year,CO2_AGTP,CH4_AGTP
0,0,0
1,1.21545E-16,1.45697E-14
2,2.22204E-16,2.63986E-14
3,3.05667E-16,3.588E-14
4,3.74933E-16,4.33563E-14
5,4.32449E-16,4.91253E-14
6,4.80211E-16,5.3446E-14
7,5.19859E-16,5.65428E-14
8,5.52736E-16,5.86103E-14
9,5.7995E-16,5.98168E-14
10,6.02417E-16,6.03076E-14
11,6.20893E-16,6.0208E-14
12,6.36009E-16,5.96255E-14
13,6.48288E-16,5.86527E-14
14,6.5817E-16,5.73686E-14
15,6.66022E-16,5.58407E-14
16,6.72152E-16,5.41263E-14
17,6.76822E-16,5.2274E-14
18,6.80251E-16,5.03249E-14
19,6.82626E-16,4.83133E-14
20,6.84105E-16,4.6268E-14
21,6.84824E-16,4.42129E-14
22,6.84898E-16,4.21676E-14
23,6.84425E-16,4.01479E-14
24,6.83491E-16,3.81668E-14
25,6.82169E-16,3.62345E-14
26,6.8052E-16,3.43588E-14
27,6.78599E-16,3.25458E-14
28,6.76451E-16,3.07999E-14
29,6.74118E-16,2.9124E-14
30,6.71634E-16,2.752E-14
31,6.69029E-16,2.59887E-14
32,6.66328E-16,2.45303E-14
33,6.63554E-16,2.31442E-14
34,6.60726E-16,2.18293E-14
35,6.57861E-16,2.05841E-14
36,6.54974E-16,1.94068E-14
37,6.52076E-16,1.82952E-14
38,6.49178E-16,1.72471E-14
39,6.4629E-16,1.626E-14
40,6.43418E-16,1.53315E-14
41,6.4057E-16,1.44589E-14
42,6.37752E-16,1.36397E-14
43,6.34967E-16,1.28712E-14
44,6.32221E-16,1.2151E-14
45,6.29515E-16,1.14764E-14
46,6.26854E-16,1.08451E-14
47,6.24238E-16,1.02547E-14
48,6.21671E-16,9.70279E-15
49,6.19152E-16,9.1872E-15
50,6.16684E-16,8.70578E-15
51,6.14266E-16,8.25648E-15
52,6.119E-16,7.83734E-15
53,6.09585E-16,7.4465E-15
54,6.07322E-16,7.08219E-15
55,6.0511E-16,6.74272E-15
56,6.0295E-16,6.42649E-15
57,6.0084E-16,6.132E-15
58,5.9878E-16,5.85783E-15
59,5.9677E-16,5.60263E-15
60,5.94809E-16,5.36513E-15
61,5.92897E-16,5.14415E-15
62,5.91032E-16,4.93858E-15
63,5.89213E-16,4.74735E-15
64,5.87441E-16,4.56949E-15
65,5.85714E-16,4.40408E-15
66,5.8403E-16,4.25024E-15
67,5.8239E-16,4.10719E-15
68,5.80792E-16,3.97415E-15
69,5.79236E-16,3.85043E-15
70,5.7772E-16,3.73536E-15
71,5.76244E-16,3.62833E-15
72,5.74806E-16,3.52878E-15
73,5.73405E-16,3.43615E-15
74,5.72042E-16,3.34997E-15
75,5.70715E-16,3.26975E-15
76,5.69422E-16,3.19508E-15
77,5.68164E-16,3.12555E-15
78,5.66939E-16,3.06079E-15
79,5.65746E-16,3.00045E-15
80,5.64585E-16,2.9442E-15
81,5.63455E-16,2.89176E-15
82,5.62354E-16,2.84283E-15
83,5.61283E-16,2.79717E-15
84,5.60241E-16,2.75452E-15
85,5.59226E-16,2.71468E-15
86,5.58238E-16,2.67742E-15
87,5.57276E-16,2.64257E-15
88,5.5634E-16,2.60994E-15
89,5.55428E-16,2.57937E-15
90,5.54541E-16,2.55071E-15
91,5.53677E-16,2.52381E-15
92,5.52836E-16,2.49854E-15
93,5.52018E-16,2.47478E-15
94,5.51221E-16,2.45242E-15
95,5.50445E-16,2.43136E-15
96,5.4969E-16,2.41149E-15
97,5.48954E-16,2.39274E-15
98,5.48238E-16,2.375E-15
99,5.47541E-16,2.35822E-15
100,5.46862E-16,2.34232E-15
101,5.46201E-16,2.32723E-15
102,5.45557E-16,2.3129E-15
103,5.4493E-16,2.29926E-15
104,5.4432E-16,2.28626E-15
105,5.43725E-16,2.27386E-15
106,5.43146E-16,2.26202E-15
107,5.42582E-16,2.25068E-15
108,5.42032E-16,2.23982E-15
109,5.41497E-16,2.2294E-15
110,5.40975E-16,2.21938E-15
111,5.40467E-16,2.20973E-15
112,5.39972E-16,2.20044E-15
113,5.3949E-16,2.19147E-15
114,5.3902E-16,2.18279E-15
115,5.38562E-16,2.1744E-15
116,5.38115E-16,2.16626E-15
117,5.3768E-16,2.15835E-15
118,5.37256E-16,2.15067E-15
119,5.36842E-16,2.1432E-15
120,5.36439E-16,2.13591E-15
121,5.36046E-16,2.1288E-15
122,5.35663E-16,2.12185E-15
123,5.35289E-16,2.11506E-15
124,5.34925E-16,2.1084E-15
125,5.34569E-16,2.10188E-15
126,5.34222E-16,2.09548E-15
127,5.33884E-16,2.08919E-15
128,5.33554E-16,2.08301E-15
129,5.33232E-16,2.07693E-15
130,5.32917E-16,2.07094E-15
131,5.3261E-16,2.06504E-15
132,5.32311E-16,2.05921E-15
133,5.32018E-16,2.05346E-15
134,5.31733E-16,2.04778E-15
135,5.31454E-16,2.04217E-15
136,5.31181E-16,2.03662E-15
137,5.30915E-16,2.03112E-15
138,5.30655E-16,2.02568E-15
139,5.30401E-16,2.0203E-15
140,5.30153E-16,2.01495E-15
141,5.2991E-16,2.00966E-15
142,5.29673E-16,2.0044E-15
143,5.29441E-16,1.99919E-15
144,5.29214E-16,1.99401E-15
145,5.28992E-16,1.98887E-15
146,5.28775E-16,1.98377E-15
147,5.28563E-16,1.97869E-15
148,5.28355E-16,1.97365E-15
149,5.28151E-16,1.96863E-15
150,5.27952E-16,1.96365E-15
151,5.27757E-16,1.95869E-15
152,5.27566E-16,1.95375E-15
153,5.27379E-16,1.94884E-15
154,5.27195E-16,1.94395E-15
155,5.27015E-16,1.93909E-15
156,5.26839E-16,1.93424E-15
157,5.26666E-16,1.92942E-15
158,5.26497E-16,1.92462E-15
159,5.26331E-16,1.91983E-15
160,5.26168E-16,1.91507E-15
161,5.26008E-16,1.91032E-15
162,5.2585E-16,1.90559E-15
163,5.25696E-16,1.90088E-15
164,5.25545E-16,1.89618E-15
165,5.25396E-16,1.8915E-15
166,5.25249E-16,1.88684E-15
167,5.25106E-16,1.88219E-15
168,5.24964E-16,1.87755E-15
169,5.24825E-16,1.87293E-15
170,5.24688E-16,1.86833E-15
171,5.24554E-16,1.86374E-15
172,5.24421E-16,1.85916E-15
173,5.24291E-16,1.8546E-15
174,5.24163E-16,1.85005E-15
175,5.24036E-16,1.84551E-15
176,5.23912E-16,1.84099E-15
177,5.23789E-16,1.83648E-15
178,5.23668E-16,1.83198E-15
179,5.23548E-16,1.82749E-15
180,5.23431E-16,1.82302E-15
181,5.23314E-16,1.81855E-15
182,5.232E-16,1.81411E-15
183,5.23086E-16,1.80967E-15
184,5.22975E-16,1.80524E-15
185,5.22864E-16,1.80083E-15
186,5.22755E-16,1.79643E-15
187,5.22647E-16,1.79203E-15
188,5.2254E-16,1.78765E-15
189,5.22435E-16,1.78329E-15
190,5.2233E-16,1.77893E-15
191,5.22227E-16,1.77458E-15
192,5.22125E-16,1.77025E-15
193,5.22024E-16,1.76593E-15
194,5.21924E-16,1.76161E-15
195,5.21824E-16,1.75731E-15
196,5.21726E-16,1.75302E-15
197,5.21628E-16,1.74874E-15
198,5.21532E-16,1.74447E-15
199,5.21436E-16,1.74021E-15
200,5.21341E-16,1.73597E-15
201,5.21246E-16,1.73173E-15
202,5.21153E-16,1.7275E-15
203,5.2106E-16,1.72329E-15
204,5.20968E-16,1.71908E-15
205,5.20876E-16,1.71489E-15
206,5.20785E-16,1.7107E-15
207,5.20694E-16,1.70653E-15
208,5.20604E-16,1.70236E-15
209,5.20515E-16,1.69821E-15
210,5.20426E-16,1.69407E-15
211,5.20338E-16,1.68993E-15
212,5.20249E-16,1.68581E-15
213,5.20162E-16,1.6817E-15
214,5.20075E-16,1.67759E-15
215,5.19988E-16,1.6735E-15
216,5.19902E-16,1.66942E-15
217,5.19816E-16,1.66535E-15
218,5.1973E-16,1.66128E-15
219,5.19644E-16,1.65723E-15
220,5.19559E-16,1.65319E-15
221,5.19475E-16,1.64916E-15
222,5.1939E-16,1.64513E-15
223,5.19306E-16,1.64112E-15
224,5.19222E-16,1.63712E-15
225,5.19138E-16,1.63312E-15
226,5.19054E-16,1.62914E-15
227,5.18971E-16,1.62517E-15
228,5.18887E-16,1.6212E-15
229,5.18804E-16,1.61725E-15
230,5.18721E-16,1.6133E-15
231,5.18639E-16,1.60937E-15
232,5.18556E-16,1.60544E-15
233,5.18473E-16,1.60153E-15
234,5.18391E-16,1.59762E-15
235,5.18308E-16,1.59372E-15
236,5.18226E-16,1.58983E-15
237,5.18144E-16,1.58596E-15
