year,CO2_AGWP,CH4_AGWP
0,0,0
1,1.69238E-15,2.02893E-13
2,3.28106E-15,3.90066E-13
3,4.78495E-15,5.62738E-13
4,6.21912E-15,7.22031E-13
5,7.59558E-15,8.68982E-13
6,8.9239E-15,1.00455E-12
7,1.02117E-14,1.12961E-12
8,1.14652E-14,1.24498E-12
9,1.26892E-14,1.35141E-12
10,1.38877E-14,1.4496E-12
11,1.50638E-14,1.54018E-12
12,1.62202E-14,1.62374E-12
13,1.7359E-14,1.70083E-12
14,1.84817E-14,1.77194E-12
15,1.959E-14,1.83755E-12
16,2.06848E-14,1.89807E-12
17,2.17672E-14,1.9539E-12
18,2.28379E-14,2.00541E-12
19,2.38977E-14,2.05293E-12
20,2.49472E-14,2.09676E-12
21,2.59867E-14,2.1372E-12
22,2.70169E-14,2.1745E-12
23,2.8038E-14,2.20892E-12
24,2.90504E-14,2.24067E-12
25,3.00545E-14,2.26996E-12
26,3.10504E-14,2.29697E-12
27,3.20385E-14,2.3219E-12
28,3.3019E-14,2.3449E-12
29,3.39921E-14,2.36611E-12
30,3.4958E-14,2.38568E-12
31,3.59169E-14,2.40373E-12
32,3.68691E-14,2.42039E-12
33,3.78146E-14,2.43575E-12
34,3.87536E-14,2.44992E-12
35,3.96864E-14,2.463E-12
36,4.0613E-14,2.47506E-12
37,4.15336E-14,2.48619E-12
38,4.24484E-14,2.49645E-12
39,4.33575E-14,2.50593E-12
40,4.4261E-14,2.51466E-12
41,4.51591E-14,2.52272E-12
42,4.60518E-14,2.53016E-12
43,4.69394E-14,2.53702E-12
44,4.78219E-14,2.54334E-12
45,4.86994E-14,2.54918E-12
46,4.95721E-14,2.55457E-12
47,5.04401E-14,2.55953E-12
48,5.13034E-14,2.56412E-12
49,5.21622E-14,2.56835E-12
50,5.30166E-14,2.57225E-12
51,5.38667E-14,2.57584E-12
52,5.47125E-14,2.57916E-12
53,5.55543E-14,2.58223E-12
54,5.63919E-14,2.58505E-12
55,5.72256E-14,2.58766E-12
56,5.80555E-14,2.59006E-12
57,5.88815E-14,2.59228E-12
58,5.97039E-14,2.59432E-12
59,6.05226E-14,2.59621E-12
60,6.13377E-14,2.59795E-12
61,6.21494E-14,2.59956E-12
62,6.29577E-14,2.60104E-12
63,6.37627E-14,2.60241E-12
64,6.45644E-14,2.60367E-12
65,6.53629E-14,2.60483E-12
