,CO2_flux,CH4_flux
0,80323512528.20825,2717544326.5072503
1,79747334110.46603,2706865941.580642
2,79094481892.74716,2695608108.383988
3,78327072467.05585,2682922638.657596
4,77401860747.6583,2667856579.241109
5,76262559605.1966,2649099219.468929
6,74869884713.85077,2626003511.14239
7,73190747473.47554,2598224417.997601
8,71194624238.29431,2565593773.38337
9,68851747266.67526,2528048649.99901
10,66129202111.03296,2485477926.409897
11,63013719864.24821,2438461955.041097
12,59503517648.57979,2387952282.9443507
13,55604779997.39172,2335094370.9862037
14,51326074439.84613,2280968668.417068
15,46668127501.63388,2226167441.2643514
16,41655051048.32399,2171787763.087239
17,36321109529.467766,2118937485.0832393
18,30703809046.38833,2068487610.302925
19,24847107418.38007,2021213886.852025
20,18808012230.188423,1978105039.1203003
21,12623450000.828247,1939355326.319063
22,6319115280.68338,1904807928.267
23,-88139506.24331665,1874179335.6738813
24,-6593697751.616417,1847059859.2514884
25,-13208153484.568169,1822880239.5720963
26,-19948779000.813324,1801213917.178723
27,-26840813417.043037,1781685090.8507977
28,-33915436714.829872,1763936616.0498805
29,-41188849217.482254,1748205297.0842617
30,-48625062914.99846,1736435163.419203
31,-56229623415.38626,1728885390.3382254
32,-64009760444.30232,1725299277.7285135
33,-71953053800.04922,1725467120.8678606
34,-80030935646.43585,1728983629.5306242
35,-88210783745.47717,1734775873.6665034
36,-96415900431.53241,1742509739.6081982
37,-104543736321.36084,1752106843.4700966
38,-112479640462.39328,1763504962.78046
39,-120114172249.13762,1776359710.0693557
40,-127369697156.37956,1789445590.1378684
41,-134157317834.28976,1802420932.222833
42,-140400544147.98672,1815243157.1936042
43,-146047664697.03925,1827873046.5796697
44,-151080282866.86176,1840009176.3807683
45,-155526747711.12708,1850565803.7712295
46,-159412329208.23996,1859262245.7834697
47,-162770689656.3469,1866085444.3556163
48,-165647117529.37253,1871023489.4662995
49,-168083198370.15646,1874445194.6575289
50,-170091157227.86597,1877859229.5398548
51,-171717554566.5539,1881630001.4019744
52,-173018539373.19675,1885740191.3460937
53,-174047026177.63608,1890171421.6032188
54,-174857268598.11533,1894708571.0418558
55,-175515843769.14413,1898536937.220878
56,-176067326615.3161,1901407243.7131488
57,-176545336123.78552,1903259921.4884157
58,-176978455753.47595,1904030243.5571828
59,-177395682629.67395,1903473400.0610645
60,-177836405339.08005,1900835450.4557893
61,-178320056964.79858,1895910870.3372185
62,-178857456483.03677,1888676030.4827094
63,-179456533134.66748,1879112360.4210415
64,-180103370726.10052,1867875863.51843
65,-180723955204.83032,1857635804.6086347
66,-181301886029.08908,1849056238.9538856
67,-181839246718.44135,1842134090.0545566
68,-182337121075.0628,1836868708.7059019
69,-182811175676.70233,1832727443.4733813
70,-183322875161.55023,1827565128.9789062
71,-183886043941.5125,1820821774.868707
72,-184497812638.1997,1812469873.037424
73,-185154229045.2071,1802482327.226336
74,-185844612639.16312,1791029551.7488952
75,-186539997772.4367,1778884798.546219
76,-187227728620.85928,1766247661.3543563
77,-187900569583.0763,1753123748.5381918
78,-188551313312.83698,1739519178.7714581
79,-189173098315.0243,1725440124.9821255
80,-189759688384.33997,1710892381.5215342
81,-190305683730.05756,1695880969.072087
82,-190806641079.35583,1680409791.0255466
83,-191259091445.03717,1664481353.8256156
