Year,Com_Weight
1900,0.002177774
1901,0.002177774
1902,0.002177774
1903,0.002177774
1904,0.002177774
1905,0.002177774
1906,0.002177774
1907,0.002177774
1908,0.002177774
1909,0.002177774
1910,0.002177774
1911,0.002177774
1912,0.002177774
1913,0.002177774
1914,0.002177774
1915,0.002177774
1916,0.002177774
1917,0.002177774
1918,0.002177774
1919,0.002177774
1920,0.002177774
1921,0.002767189
1922,0.002767189
1923,0.002767189
1924,0.002767189
1925,0.002767189
1926,0.002767189
1927,0.002767189
1928,0.002767189
1929,0.002767189
1930,0.002767189
1931,0.002767189
1932,0.002767189
1933,0.002767189
1934,0.002767189
1935,0.002767189
1936,0.002767189
1937,0.002767189
1938,0.002767189
1939,0.002767189
1940,0.002767189
1941,0.002767189
1942,0.002767189
1943,0.002767189
1944,0.002767189
1945,0.002767189
1946,0.006053533
1947,0.006053533
1948,0.006053533
1949,0.006053533
1950,0.006053533
1951,0.006053533
1952,0.006053533
1953,0.006053533
1954,0.006053533
1955,0.006053533
1956,0.006053533
1957,0.006053533
1958,0.006053533
1959,0.006053533
1960,0.011897763
1961,0.011897763
1962,0.011897763
1963,0.011897763
1964,0.011897763
1965,0.011897763
1966,0.011897763
1967,0.011897763
1968,0.011897763
1969,0.011897763
1970,0.012453497
1971,0.012453497
1972,0.012453497
1973,0.012453497
1974,0.012453497
1975,0.012453497
1976,0.012453497
1977,0.012453497
1978,0.012453497
1979,0.012453497
1980,0.017487255
1981,0.017487255
1982,0.017487255
1983,0.017487255
1984,0.017487255
1985,0.017487255
1986,0.017487255
1987,0.017487255
1988,0.017487255
1989,0.017487255
1990,0.015848758
1991,0.015848758
1992,0.015848758
1993,0.015848758
1994,0.015848758
1995,0.015848758
1996,0.015848758
1997,0.015848758
1998,0.015848758
1999,0.015848758
2000,0.020710857
2001,0.020710857
2002,0.020710857
2003,0.020710857
2004,0.018727323
2005,0.018727323
2006,0.018727323
2007,0.018727323
2008,0.013142424
2009,0.013142424
2010,0.013142424
2011,0.013142424
2012,0.013142424
,
,
,
