Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
01001020100,1125.18,104.904,0,0,19.236,0,0,0,3.798,0,0,22.256,9.737,32.042,20.464,0,0,11.513,9.31,0,0,0,2.999,0,0,0,18.95,12.461,22.951,21.197,6.42,16.906,0,1460.324
01001020200,929.883,37.224,115.29,41.58,0,0,0,0,0,18.1,0,69.203,36.816,46.806,90.796,11.984,0,20.694,20.437,0,0,36.882,11.999,0,0,0,20.522,4.08,90.706,15.012,6.527,37.343,0,1661.884
01001020300,1935.88,2.256,11.34,18.9,38.472,12.824,0,0,0,0,2.976,110.26,26.985,44.362,55.575,10.7,37.45,16.906,13.161,5.77,0,0,1.999,5,0,0,22.672,33.181,40.018,0,0,0.963,0,2447.65
01001020400,2818.87,28.2,7.56,11.34,19.236,0,31.144,0,5.136,0,0,103.897,51.102,76.029,108.178,9.682,0,23.519,51.213,0,0,13.088,11.511,0,0,0,23.918,9.091,48.077,0,0,1.498,0,3452.289
01001020500,5782.81,0,51.03,287.28,378.308,153.888,124.576,68.7,88.811,126.7,0,390.15,79.798,111.467,240.312,27.541,0,83.733,156.488,0,0,32.347,18.738,8.6,0,0,35.954,9.921,91.345,2.033,0,18.404,0,8368.934
01001020600,1712.22,506.472,0,0,0,0,0,0,3.745,0,0,38.2,102.42,52.532,47.36,0,0,4.789,8.346,0,0,693.7,53.3,0,0,0,37.895,0.809,68.985,5.517,0,1.07,0,3337.36
01001020700,953.472,557.232,98.28,64.26,0,12.824,0,0,3.745,25.2,0,142.154,39.631,79.003,60.436,9.809,0,10.784,33.758,5.564,0,7.7,103.299,0,5.192,0,48.642,11.791,60.027,2.782,0,69.122,2.141,2406.848
01001020801,1665.71,280.872,1.89,0,0,0,0,0,3.744,0,0,25.145,49.219,21.135,30.926,0,0,2.996,3.103,0,0,2.753,2.199,0,0,0,26.892,21.289,16.372,0,0,13.268,0,2167.513
01001020802,4984.15,1296.07,0,0,0,0,0,0,13.162,0,0,64.011,33.5,47.889,54.884,0,0,6.667,9.712,0,0,8.7,4.3,13.3,1.8,0,80.285,16.885,69.626,2.02,12.046,28.248,0,6747.254
01001020900,2067.57,1159.58,0,0,0,0,0,0,0,9.8,0,28.694,34.646,30.061,21.458,0,0,1.391,10.274,0,0,28.988,8.1,0,0,0,47.605,4.671,61.836,3.444,0,16.799,0,3534.917
