Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
02013000100,954.814,63.68,5.58,18.6,39.739,11.354,0,0,25.918,1208.3,0,35.183,7.374,13.648,13.792,0,0,9.309,19.633,0,0,0,5.2,11.7,0,0,5.045,9.345,12.626,16.645,0.414,13.482,0,2501.381
02016000100,940.8,0,40.92,111.6,0,11.354,0,0,0,331.9,0,14.113,0,3.21,21.1,0,0,0,0,0,0,0,0,2.077,0,0,0.672,0,11.74,19.974,2.889,5.136,0,1517.485
02016000200,904.932,67.66,100.44,93,124.894,68.124,55.148,0,43.667,1468.1,0,81.235,39.988,59.916,79.383,6.067,0,2.889,17.627,0,0,6.363,0.93,326.686,2.8,0,15.07,3.51,82.285,151.615,0,28.783,1.926,3833.038
02020000101,3079.75,166.165,27.9,145.08,34.062,0,0,0,27.81,97.3,0,24.876,11.308,25.994,74.455,0,0,12.176,23.953,0,0,12.481,0.915,0,0,0,48.769,14.6,37.587,2.505,0,20.331,0,3888.017
02020000102,2899.13,162.185,81.84,70.68,62.447,0,82.722,60.825,20.866,11.2,2.247,37.72,29.799,51.119,55.542,0,0,1.284,39.372,0,0,16.881,3.5,0,0,0,30.779,12.575,29.892,0,0,14.873,0,3777.478
02020000201,2042.61,6.965,100.44,89.28,181.664,0,27.574,0,10.486,0,0,75.531,54.088,47.93,91.092,16.906,0,56.169,75.934,1.285,0,2.482,13.701,0,0,0,42.642,9.369,38.276,0.877,0,6.634,3.103,2995.038
02020000202,3212.64,0,109.74,148.8,85.155,56.77,0,0,12.84,10.5,0,129.264,28.284,84.158,95.85,1.662,0,25.438,69.897,2.889,0,12.7,13.475,4.154,0,0,56.017,12.925,90.133,1.07,0,28.692,0,4293.052
02020000203,6669.59,12.935,35.34,0,0,0,0,0,13.054,2.8,4.066,43.53,15.484,22.53,102.263,4.853,0,6.749,64.821,0,0,9.1,3.23,0.9,2.8,0,38.361,10.145,67.856,2.505,0,261.82,0,7394.73
02020000204,2130.52,11.94,20.46,0,0,0,0,0,0,42.5,0,46.203,9.292,5.206,25.681,0,4.144,2.568,2.996,0,0,0,0,0,7.9,0,13.492,4.98,4.708,0,0,0.985,0,2333.575
02020000300,1392.78,0,22.32,353.4,471.191,11.354,0,0,5.029,1552.3,0,41.174,2.034,9.467,48.738,0,19.26,8.881,29.85,0,0,1.241,6.8,0,0,0,7.1,4.699,5.107,185.28,25.252,60.476,0,4263.733
02020000400,1316.14,10.945,100.44,301.32,181.664,0,0,0,26.107,590.1,0,60.811,90.951,34.262,19.856,6.207,0,0,28.676,0,0,5.5,4.001,0,0,0,8.945,2.9,12.571,607.135,0,52.338,5.671,3466.54
02020000500,369.656,0,93,44.64,56.77,204.372,220.592,0,30.281,9.1,0,14.021,13.259,16.694,162.681,0,0,0,31.863,0,0,13.7,0,17.2,0,0,6.6,2,9.883,4.815,0,13.264,0,1334.391
02020000600,1136.6,26.865,113.46,840.72,198.695,272.496,110.296,0,31.779,347.9,14.766,160.721,704.061,197.235,231.256,0,0,8.239,86.106,0,0,123.9,106,125.979,6.397,0,80.541,42.761,67.41,5.136,0,19.26,0,5058.579
02020000701,1524.39,344.27,120.9,416.64,73.801,79.478,137.87,0,0,10.5,0,66.384,13.91,26.226,47.39,0,0,23.326,20.63,0,0,2.5,1.2,0,0,0,41.95,0,6.138,0,0,13.803,0,2971.306
02020000702,1612.98,50.745,187.86,398.04,62.447,158.956,82.722,0,3.104,31.5,1.463,108.605,27.843,23.251,48.651,0,0,15.044,39.737,0,0,3,2,0,0,0,24.565,4.16,27.791,0,0,14.284,0,2928.748
02020000703,1082.31,258.7,193.44,301.32,198.695,113.54,82.722,182.475,22.054,182.7,36.756,53.24,11.341,50.069,44.816,0,0,1.926,66.005,0,0,1.3,1.5,2.2,0,0,7.775,2.97,13.414,14.124,0,27.071,0,2952.463
02020000801,1758.22,109.45,187.86,576.6,198.695,102.186,110.296,0,12.448,73.5,0,62.707,7.597,31.062,33.431,1.605,0,18.236,32.155,1.284,0,1.241,5.13,0,0,0,11.519,2.636,18.657,0,0,28.216,0,3384.731
02020000802,1100.83,145.27,72.54,241.8,198.695,113.54,303.314,0,0,39.2,4.387,55.917,4.806,20.694,89.676,3.877,0,21.369,8.474,0,0,0,0.915,0,0,0,9.017,3,17.762,0,0,92.148,0,2547.231
02020000901,276.36,428.845,100.44,531.96,198.695,45.416,0,0,71.072,150.1,1.463,403.152,269.425,142.31,305.091,24.434,279.377,208.66,72.225,1.391,0,33.3,161.989,0,2.489,0,71.122,1.6,49.687,54.035,0,43.442,0,3928.081
02020000902,729.904,0,14.88,360.84,124.894,34.062,82.722,304.125,7.811,0,0,5.139,8.226,5.987,29.617,1.177,0,0,6.955,0,0,0,0.915,0,0,0,2.572,0,13.482,0,0,0.637,0,1733.945
02020001000,710.01,38.805,70.68,401.76,334.943,113.54,358.462,243.3,180.937,293.3,0,208.215,133.75,177.396,400.737,6.206,0,19.367,74.972,0,0,14.881,20.7,0,0,0,55.444,0,129.322,141.582,0,20.244,0,4148.553
02020001100,213.248,0,0,14.88,5.677,45.416,165.444,60.825,840.824,86.3,0,531.09,91.861,210.481,1950.95,33.195,0,58.633,343.691,3.602,0,4.7,38.505,106.7,53.069,0,38.17,21.495,173.374,805.707,30.099,25.615,4.921,5958.472
02020001200,1488.91,77.61,392.46,100.44,158.956,124.894,110.296,60.825,122.087,130.9,0,75.624,27.82,90.688,384.549,0,0,38.166,68.755,2.14,0,0,1.68,9.7,2.3,0,48.782,2.07,83.367,24.288,0,44.119,0,3671.426
02020001300,2205.29,44.775,78.12,22.32,5.677,11.354,0,0,12.091,8.4,0,13.128,15.506,5.597,90.683,0,0,4.091,14.513,1.141,0,0,5.024,0,2.5,0,12.391,2.36,13.452,0,0,68.257,0,2636.67
02020001400,930.706,35.82,178.56,323.64,437.129,193.018,523.906,182.475,178.126,66.9,3.21,282.288,224.853,270.701,570.198,91.271,3.21,121.553,135.979,0,0,12.05,39.53,28.3,11.7,0,57.446,11.627,103.044,6.313,0,24.713,12.626,5060.892
02020001500,3142.37,0,61.38,137.64,51.093,45.416,55.148,0,130.539,34.2,0,57.334,83.315,92.438,246.784,0,28.034,171.286,45.102,0,0,2,15.945,0,337.601,2.3,32.69,14.12,106.515,55.148,9.309,58.722,0,5016.429
02020001601,2393.16,0,61.38,7.44,68.124,45.416,0,0,0,77.4,0,6.87,0,93.209,35.384,0,12.305,8.988,15.943,0,0,1.7,1.695,0,0,0,16.834,0,54.249,0,0,27.071,0,2927.168
02020001602,1519.69,0,102.3,193.44,119.217,113.54,82.722,0,5.136,225.3,2.247,42.307,6.786,104.689,153.317,0,338.628,215.743,135.855,0,0,0,0,0,1.1,0,16.527,1.7,33.374,71.138,0,96.949,31.886,3613.591
02020001701,3242.43,141.29,182.28,338.52,102.186,34.062,27.574,0,0,11.6,0,29.52,17.967,23.719,70.701,0,0,22.41,19.767,0,0,11.1,4.3,0,1.2,0,19.459,3.836,13.161,0,0,27.092,8.56,4352.734
02020001702,3134.43,15.92,111.6,96.72,39.739,0,0,0,4.815,23.1,0,38.818,17.858,22.112,46.55,5.136,0,7.15,33.4,0,0,1.4,3.79,3.116,0,0,16.284,11.85,295.222,0,0,22.954,0,3951.964
02020001731,2061.92,265.665,130.2,186,136.248,0,27.574,121.65,7.181,27.3,14.445,61.376,1.066,20.052,32.381,0,0,1.284,23.581,0,0,3.2,6.5,0,0,0,13.537,7,29.64,15.657,0,24.203,0,3217.66
02020001732,3337.88,0,303.18,11.16,0,0,0,0,2.996,44.9,0,11.279,21.222,10.25,59.813,0,0,3.863,0.77,0,0,0,3.5,0,1.1,0,12.452,5.8,18.122,0,0,13.367,0,3861.654
02020001801,1794.67,7.96,72.54,96.72,119.217,181.664,220.592,243.3,4.708,4.9,0,35.557,30.034,26.236,40.345,0,0,3.006,21.546,0,0,11.6,24.615,0,0,0,38.317,7.867,28.617,0,0,18.297,0,3032.308
02020001802,1335.35,372.13,79.98,148.8,215.726,215.726,220.592,60.825,11.473,220.4,15.408,52.525,9.095,75.644,94.774,0,22.898,189.758,59.798,0,0,3,2.8,2.9,0,0,25.79,6.075,34.065,23.54,14.766,15.513,0,3529.351
02020001900,607.306,66.665,111.6,360.84,79.478,261.142,303.314,60.825,141.097,204.1,46.973,957.948,682.47,345.728,1827.43,227.62,3.959,120.961,299.789,19.26,0,60.225,107.683,30.3,80.038,0,196.46,27.102,265.593,135.985,0,35.684,0,7667.575
02020002000,834.372,296.51,159.96,316.2,119.217,56.77,110.296,0,880.61,0,0,163.739,65.684,118.771,353.493,22.299,0,18.21,117.125,0,0,8.6,45.305,41.6,1.499,2.9,61.243,6.602,42.896,26.75,0,4.922,8.835,3884.408
02020002100,921.984,70.645,161.82,357.12,391.713,124.894,27.574,0,39.067,6.8,0,69.532,63.759,74.908,82.572,0.481,0,19.474,50.497,1.391,0,7.403,38.845,0,0,0,38.088,11.375,18.34,0,0,0,0,2578.282
02020002201,2432.95,0,282.72,174.84,17.031,56.77,0,0,333.247,4.2,1.391,15.578,3.273,16.392,49.771,0,0,1.926,18.355,0,0,2,1.4,2.9,44,0,23.828,5.39,50.396,0,0,1.569,0,3539.927
02020002202,747.544,50.745,137.64,438.96,124.894,45.416,82.722,0,43.763,16.8,0,8.377,11.698,4.992,49.947,0,0,2.246,5.115,0,0,3.5,3.915,0,50.1,0,31.691,0,17.227,2.675,0,0.984,0,1880.951
02020002301,3966.55,25.87,217.62,48.36,39.739,11.354,55.148,0,139.849,20.3,0,27.226,204.06,92.692,699.314,0,0,15.33,38.827,5.351,0,6.041,12.2,49.408,0,0,36.73,13.971,54.998,129.791,0,26.643,0,5937.373
02020002302,1928.84,38.805,132.06,245.52,164.633,45.416,55.148,0,6.099,26.6,2.247,39.026,17.807,26.361,92.994,4.066,0,2.301,14.171,0,0,6.081,10,3,6.238,0,29.26,7.37,21.293,0,0,12.412,0,2937.749
02020002303,3543.39,0,204.6,338.52,369.005,170.31,110.296,0,6.206,51.8,4.066,57.218,20.554,62.816,86.184,0,0,1.123,120.81,0,0,5.681,6.795,16.616,0,0,32.503,13.685,68.927,0,0,29.767,0,5320.873
02020002400,1214.81,0,57.66,182.28,119.217,45.416,137.87,0,58.042,96.6,0,100.098,45.945,15.239,82.049,0,0,5.671,12.091,0,0,11.6,4.1,2.2,0,0,25.873,5.01,14.746,2.889,0,48.343,0,2287.75
02020002501,2754.49,0,48.36,200.88,73.801,0,82.722,0,20.33,15.4,5.564,122.044,500.845,216.349,243.327,0,0,6.056,39.185,0,0,14.041,81.499,52.6,12.9,0,151.353,12.47,41.928,67.624,0,27.927,0,4791.695
02020002502,1740.68,0,44.64,267.84,635.824,124.894,55.148,60.825,37.902,5.6,11.984,525.607,963.927,383.974,459.914,3.638,0,42.87,124.242,6.312,0,136.162,134.589,22.8,25.6,0,268.709,26.059,130.491,0,0,51.186,0,6291.418
02020002601,1591.03,193.03,26.04,342.24,11.354,56.77,27.574,60.825,4.304,23.8,0,201.053,289.173,198.054,272.161,0,0,24.718,75.667,1.141,0,135.7,47.289,0,8.1,0,133.835,21.257,31.886,1.498,0,6.309,0,3784.809
02020002602,3487.23,83.58,16.74,0,34.062,0,0,0,0,18.2,0,4.712,15.29,9.694,22.472,0,0,2.807,13.426,0,0,4.1,2.515,0,0,0,32.583,7.82,6.497,0,0,12.305,0,3774.033
02020002603,3496.64,0,52.08,104.16,0,34.062,0,0,0,26.6,0,22.902,7.789,14.573,31.347,0,0,9.091,23.475,0,0,3,4.414,0,0,0,32.636,5.32,14.805,0,0,13.696,0,3896.59
02020002702,5651.17,64.675,165.54,189.72,90.832,0,0,0,20.651,32.9,5.885,125.224,127.794,91.05,211.253,3.638,0,26.046,75.332,0,0,5.84,20.915,1.4,7.1,0,70.373,28.72,56.3,24.673,0,26.451,0,7123.481
02020002711,3792.89,0,50.22,122.76,62.447,102.186,55.148,0,24.716,23.8,0,305.964,12.514,19.219,72.726,0,0,11.448,24.603,2.247,0,0,0,0,3.097,0,24.258,7.737,6.673,1.926,0,29.04,0,4755.619
02020002712,3349.84,651.725,96.72,342.24,102.186,90.832,110.296,0,106.464,71.4,1.391,555.517,224.842,129.898,260.666,14.54,4.144,83.955,184.381,41.084,0,47.698,25.95,3.9,11.648,0,129.637,34.371,95.441,4.493,0,16.983,0,6792.243
02020002811,2018.6,431.83,53.94,204.6,255.465,124.894,248.166,60.825,0,6.3,1.498,14.617,19.955,37.81,53.272,0,0,26.643,22.17,0,0,6,1.8,0,0,0,20.93,2.375,47.877,0,0,12.433,0,3672
02020002812,4539.95,27.86,63.24,18.6,56.77,79.478,0,0,26.429,29.9,2.782,53.894,52.845,38.655,90.56,0,0,6.022,77.043,0,0,13.6,21,1.5,0,0,62.537,14.924,153.597,0,0,81.32,0,5512.507
02020002813,3531.53,0,13.02,0,0,0,0,0,44.939,2.8,0,19.835,24.853,23.131,97.636,0,0,14.952,41.661,0,0,0,0,3,5.198,0,46.062,5.9,43.977,4.408,0,16.756,0,3939.658
02020002821,3325.73,49.75,0,0,0,0,0,0,8.025,11.9,0,33.767,55.072,9.712,44.414,0,0,9.522,14.231,0,0,22.085,3.5,0,11.498,0,20.78,6.07,16.731,0,0,21.207,0,3663.994
02020002822,2807.6,31.84,37.2,0,0,0,0,0,7.811,18.2,0,9.992,26.972,19.14,77.119,0,0,1.52,9.616,0,0,4.38,4.43,2.5,0,0,53.401,11.417,13.812,0,0,2.249,0,3139.199
02020002823,3718.61,9.95,16.74,11.16,0,0,0,0,30.816,0,1.463,10.416,8.706,11.67,70.125,1.108,0,3.354,9.951,0,0,12.1,1.4,0,0.99,0,43.59,5.891,13.529,0,0,25.583,0,4007.152
02020002900,2403.65,78.605,120.9,66.96,34.062,11.354,137.87,0,368.294,2.8,0,25.877,30.837,8.774,62.1,0,0,1.926,48.353,0,0,6.8,13.049,6.1,4.9,0,14.069,3.011,0,1.253,5.564,11.128,0,3468.236
02050000100,4004.28,14.925,29.76,14.88,5.677,0,0,0,32.635,6.3,0,115.606,10.486,52.514,99.746,4.601,23.861,15.112,28.73,0,0,11,3.9,7,0,0,21.05,9.352,20.658,82.964,2.484,69.11,0,4686.63
02050000200,2662.76,124.375,238.08,81.84,73.801,102.186,137.87,0,28.699,106.2,7.169,77.95,10.272,17.784,57.738,4.494,0,15.735,14.713,0,0,0,0,0,5,0,40.873,1,28.034,25.593,0,7.79,16.157,3886.113
02050000300,1087.51,7.96,7.44,7.44,11.354,0,0,0,27.285,5.6,0,19.23,4.601,11.556,29.677,0,0,0,9.202,0,0,5.6,0,0,0,0,8.81,0,6.634,9.441,0,26.001,0,1285.341
02060000100,1443.05,63.68,55.8,26.04,17.031,22.708,0,0,59.171,12.8,0,24.546,4.036,18.666,57.673,2.782,34.026,2.782,33.063,0,0,0,1.4,225.885,2.5,0,11.13,9.97,9.47,18.425,2.354,10.58,3.103,2172.671
02068000100,2481.65,169.15,55.8,63.24,56.77,22.708,0,0,134.281,27.6,0,67.937,4.596,12.851,38.105,0,0,3.21,36.007,0,0,1.199,1.4,0,6.1,0,8.472,4.576,28.036,22.976,12.63,16.05,0,3275.344
02070000100,1993.32,14.925,14.88,7.44,5.677,0,0,0,0.004,0,0,16.272,0.001,1.499,3.15,0,54.891,3.424,0,0,0,0,0,1,0,0,0,4.476,1.858,13.432,0,17.764,0,2154.013
02070000200,1277.92,49.75,52.08,115.32,79.478,22.708,0,0,35.738,35.2,0,78.471,14.124,33.706,120.907,6.848,35.242,16.05,17.534,1.391,0,13.169,0.8,95.8,3.079,0,11.757,5.7,21.496,28.416,15.087,144.232,9.523,2341.526
02090000100,568.498,7.96,53.94,52.08,164.633,79.478,110.296,182.475,147.933,16.8,9.309,189.081,55.707,195.868,362.67,42.266,0,215.979,92.942,0,0,19.707,6.765,2.5,6.58,0,49.427,4.35,118.733,96.915,9.844,158.456,16.692,3037.884
02090000200,874.356,10.945,94.86,152.52,113.54,181.664,110.296,121.65,60.134,182.5,15.087,91.467,16.366,46.515,90.975,8.308,4.144,55.912,143.566,18.511,0,0,3.8,0,0,0,12.191,0,42.266,35.667,3.424,18.297,0,2508.962
02090000300,1112.59,18.905,191.58,401.76,340.62,204.372,27.574,0,42.8,200.2,19.581,107.599,164.327,143.758,123.749,8.025,0,147.963,45.813,1.498,0,15.2,3.4,8.054,0.99,0,11.362,3.53,136.784,23.946,0,52.964,0,3558.944
02090000400,2380.32,22.885,156.24,141.36,68.124,68.124,55.148,0,16.371,36.4,0,21.474,40.208,35.832,99.346,0,0,1.605,25.76,9.202,0,2.4,8.19,4.1,5.078,0,38.722,2.59,54.784,0,0,0.984,0,3295.247
02090000500,900.914,15.92,117.18,200.88,102.186,113.54,193.018,0,45.261,9.1,0,234.917,147.622,96.557,190.816,26.788,0,23.228,84.255,3.959,0,66.52,32.215,0,32.56,0,92.885,15.4,30.787,47.829,0,46.211,0,2870.548
02090000600,1683.05,208.95,213.9,126.48,51.093,90.832,27.574,0,27.82,5.6,0,74.377,120.39,76.329,95.66,0,0,10.582,41.26,0,0,24.82,15.45,18.616,9.348,0,132.498,8.6,38.345,0,0,5.992,239.68,3347.246
02090000700,1485.58,36.815,83.7,66.96,85.155,79.478,303.314,243.3,82.711,24.6,0,271.484,49.43,118.984,119.34,5.243,0,16.77,60.144,0,0,45.8,5.015,0,0,0,31.312,9.251,54.393,24.182,0,21.4,5.992,3330.353
02090000800,2577.89,0,217.62,130.2,73.801,68.124,82.722,60.825,34.454,14.7,0,46.512,6.621,42.512,45.426,7.597,0,30.238,83.088,0,0,0,13.765,5.3,3.1,0,21.502,5.37,15.34,63.13,0,34.804,28.997,3713.638
02090000900,4436.26,0,57.66,11.16,17.031,0,0,0,14.124,2.1,0,33.125,9.198,7.619,58.076,0,0,0.561,14.713,0,0,13.9,3.2,0,0,0,21.833,2.916,0,0,3.852,0.942,0,4708.271
02090001000,489.51,132.335,42.78,33.48,39.739,22.708,55.148,0,292.751,15.9,0,195.264,401.716,225.43,488.095,0,0,24.61,155.932,0,0,56.103,37.499,3.9,136.392,0,277.117,9.536,18.65,66.683,0,3.446,0,3224.724
02090001100,2324.07,0,48.36,234.36,312.235,11.354,0,0,75.314,1237.9,0,34.989,20.758,16.638,18.651,10.7,0,0,4.28,0,0,0,5.217,0,0,0,5.51,0.92,10.166,63.612,0,54.891,80.356,4570.28
02090001200,4511.63,259.695,70.68,0,0,0,0,0,14.255,1.4,0,36.837,18.083,19.448,60.214,0,0,3.075,30.294,0,0,5.981,2.26,0,1.4,0,35.232,2.83,56.282,0,5.778,11.429,9.844,5156.647
02090001300,3787.7,0,165.54,55.8,56.77,22.708,27.574,0,21.947,461.1,0,285.5,21.723,47.453,60.848,3.317,0,15.628,96.235,11.556,0,0,6.384,0,3.947,0,31.751,18.3,61.039,42.908,0,38.498,35.356,5379.582
02090001400,4112.37,566.155,44.64,44.64,17.031,0,0,0,18.096,2.8,2.247,61.623,41.893,33.182,47.203,0,0,3.14,23.305,0,0,24.4,1.2,5,8.2,0,86.613,3.7,23.647,0,19.26,14.42,0,5204.766
02090001500,5860.69,193.03,93,29.76,51.093,45.416,0,60.825,0,3.5,0,65.215,17.176,37.845,69.665,0,0,0,16.865,0,0,32.3,2.315,5.4,0,0,55.848,6.911,31.332,0,0,9.091,0,6687.276
02090001600,2747.72,150.245,79.98,122.76,11.354,68.124,27.574,0,15.943,1,4.601,91.568,3.309,72.145,55.761,10.058,0,18.843,40.967,1.391,0,21.582,30.213,24.1,0,0,51.909,9,115.835,2.14,0,25.273,0,3803.395
02090001700,2074.66,93.53,53.94,7.44,0,0,0,0,21.316,0,0,11.624,5.564,3.59,9.543,0,0,0.561,7.063,0,0,1.9,4.4,0,0,0,7.327,5.935,1.858,0,0,5.35,0,2315.601
02090001800,1204.52,0,33.48,74.4,28.385,0,0,0,0,340,0,47.615,0,12.529,32.047,4.494,0,0,2.964,0,0,0,6.001,0,0,0,16.135,9.154,31.351,101.008,0,50.289,36.7,2031.072
