Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
04001942600,534.072,190.045,0,0,0,0,0,0,0,0,0,0,0,0,12.348,0,0,0,0,0,0,0,0,0,0,0,0,6.723,0,0,0,0,0,743.188
04001942700,2383.69,322.38,66.96,29.76,0,0,0,0,0,0,0,10.602,0,12.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,0,26.333,0,2853.361
04001944000,2245.4,499.49,44.64,66.96,5.677,0,0,0,16.157,0.3,0,8.33,8.881,2.782,43.096,0,0,2.935,0,0,0,0,0,0,0,0,2.6,2.1,15.943,4.601,0,49.786,0,3019.678
04001944100,2070.09,414.915,44.64,40.92,34.062,11.354,0,0,0,81.6,0,10.165,0,1.577,3.113,0,0,0.52,0,0,0,0,0,7,0,0,0,0,6.517,20.124,7.494,37.15,45.154,2836.395
04001944201,1015.69,300.49,42.78,167.4,45.416,0,0,0,0,39.2,0,0,0,0,0,0,0,0,4.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615.471
04001944202,1285.81,360.19,42.78,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707.38
04001944300,2754.79,385.065,40.92,122.76,11.354,0,0,0,51.467,0.7,39.59,39.109,14.017,44.883,95.937,4.387,50.825,14.029,34.493,0,0,0,0,22.5,0,0,5.9,2,16.693,25.862,5.564,120.943,0,3903.788
04001944901,1669.54,247.755,87.42,11.16,11.354,0,0,0,0,77.7,52.465,13.91,0,16.477,1.852,0,0,10.134,2.229,0,0,0,0,6.501,0,0,0.83,0,12.412,16.918,6.312,122.257,0,2367.227
04001944902,1955.65,260.69,70.68,29.76,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328.68
04001945001,1318.07,537.3,0,70.68,22.708,0,0,0,0,51.1,0,27.606,8.307,59.513,86.426,0,0,38.752,27.82,0,0,0,0,0,0,0,5.4,1.2,9.775,143.004,44.883,17.999,3.317,2473.86
04001945002,1447.38,305.465,3.72,22.32,0,0,0,0,22.898,8.4,0,47.4,19.046,20.062,10.942,4.28,0,0,24.931,0,0,0,2.27,0,19.12,0,0,0,0,14.453,4.551,10.727,0,1987.965
04001945100,893.393,118.405,0,0,5.677,0,0,0,0,0,0,8.774,4.28,10.817,9.951,0,0,1.284,4.494,0,0,0,0,0,0,0,3,0,4.887,6.266,0,24.181,0,1095.409
04001970200,2629.69,1476.58,0,0,45.416,0,0,0,35.845,10.5,0,95.4,9.096,15.258,27.851,0,0,0.519,13.634,0,0,1.7,0,0,0,0,11.421,5.1,19.974,30.261,4.871,39.056,0,4472.173
04001970300,1339.39,537.3,16.74,14.88,17.031,34.062,27.574,0,15.643,42.8,0,47.282,30.07,42.58,27.326,3.916,0,13.504,10.703,11.128,0,1.067,4.334,0,3.98,0,45.14,11.88,17.12,21.139,23.866,32.826,9.63,2402.91
04001970501,2305.99,525.36,20.46,0,5.677,0,55.148,0,54.541,0,2.902,136.19,35.276,127.927,58.488,9.691,36.487,17.228,33.063,1.605,0,27.815,3.342,7.7,5.292,0,30.304,6.384,140.149,46.049,2.783,65.348,1.031,3762.23
04001970502,4496.23,749.235,18.6,0,11.354,0,0,0,105.512,10.5,1.913,37.421,13.514,17.49,42.101,0,0,4.371,43.345,0,0,29.756,5.988,8.6,0.834,0,40.914,15.941,44.408,11.314,8.828,41.269,0,5759.439
04003000100,1203.34,445.76,9.3,0,0,0,0,0,15.979,0,0,19.046,8.132,12.958,13.29,1.177,0,0.856,19.153,0,0,7.567,4.094,2.7,1.2,0,6.062,30.828,1.628,13.319,11.99,17.762,0,1846.141
04003000201,1457.2,711.425,0,0,0,0,0,0,6.527,0,0,32.986,21.721,28.445,29.954,0,0,0,1.391,0,0,10.34,2.6,10.24,1.7,0,21.41,82.525,11.342,0,0,0,0,2429.806
04003000202,1397.17,382.08,14.88,89.28,102.186,56.77,27.574,0,102.425,16.5,3.638,179.238,50.239,95.269,84.02,12.519,33.17,12.626,73.339,4.815,0,6.4,9.734,9.653,3,0,26.923,9.258,59.385,30.061,0,52.638,17.227,2962.017
04003000203,1567.06,565.16,3.72,0,0,22.708,0,0,17.028,0,0,51.284,30.826,18.079,50.918,0.917,0,3.542,18.064,0,0,13,6.35,9.5,0,0,14.662,47.011,37.396,2.542,5.564,7.49,0,2492.821
04003000301,1539.94,605.955,76.26,137.64,5.677,34.062,110.296,0,65.107,51.8,15.301,132.232,45.879,60.685,115.259,12.947,13.589,57.057,60.246,0,0,4.4,5.428,2.7,9.313,0,13.794,3.695,65.877,19.612,0,29.532,0,3294.283
04003000302,1822.03,945.25,18.6,0,17.031,0,0,0,28.141,0,0,26.317,9.511,10.512,22.092,0,0,1.559,21.635,0,0,8.7,1.864,2,18.1,0,26.902,17.702,10.66,4.387,0,12.626,0,3025.619
04003000303,1028.03,906.445,0,0,0,0,0,0,17.88,1.5,0,11.481,9.684,17.362,20.308,0,0,0,8.294,0,0,1.5,2,0,0,0,9.566,7.25,9.419,0.283,0,27.713,0,2078.715
04003000400,1004.19,331.335,40.92,26.04,39.739,0,0,0,77.031,0,0,75.177,8.481,11.614,34.511,1.605,0,1.559,48.75,0,0,0,8.1,0,9.3,0,16.88,11.605,27.489,10.858,0,40.553,0,1825.737
04003000500,1954.71,696.5,0,11.16,5.677,0,0,0,8.774,239,0,26.355,14.768,25.494,30.26,0,0,5.35,15.773,0,0,9.7,25.728,23.6,0,0,14.57,38.248,13.447,5.256,4.601,41.566,0,3210.537
04003000600,918.357,362.18,11.16,0,62.447,0,0,0,14.017,48,0,125.194,74.4,12.387,27.835,1.834,0,35.753,30.71,0,0,0,92.314,2.2,6,0,4.634,14.823,26.263,56.029,13.375,10.486,7.276,1957.674
04003000700,1543.87,385.065,0,63.24,56.77,22.708,27.574,0,0,27.6,0,8.483,3.478,8.66,17.544,0,0,0,1.672,0,0,0,0,0,0,0,4.372,6.2,24.768,0,0,18.169,0,2220.173
04003000800,1671.5,147.26,20.46,26.04,113.54,102.186,55.148,0,9.416,40.6,13.803,35.256,4.601,73.844,35.617,1.284,0,17.777,38.882,0,0,0,3.457,0,2.1,0,6.01,1.345,30.736,5.457,10.486,37.664,0,2504.47
04003000901,1267.86,76.615,46.5,22.32,107.863,0,0,0,1.564,7.7,3.229,150.241,54.788,52.702,40.334,4.218,0,1.391,19.453,0,0,2.134,5.2,0,0,0,1.681,2.689,49.958,20.948,0,54.614,0,1994.002
