Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
05001480100,1004.65,327.12,0,0,0,0,0,0,4.387,0,0,19.185,21.299,8.758,11.77,0,0,0,0,0,0,3.9,2.5,0,0,0,11.284,34.216,17.915,18.74,6.24,1.712,0,1493.676
05001480200,1056.09,313.584,0,3.78,0,0,0,0,5.136,0,0,11.128,41.82,13.953,45.057,1.819,0,11.556,14.056,0,0,2.5,1.125,7.2,0,0,12.032,152.766,23.647,21.853,0,9.416,0,1748.518
05001480300,1995.87,58.656,45.36,105.84,19.236,0,0,0,0,0,16.264,47.817,46.545,60.074,145.544,0,0,5.992,11.342,1.498,0,22.4,2.7,94.2,0,0,35.701,45.11,37.316,0,0,1.696,0,2799.161
05001480400,1279.97,92.496,41.58,136.08,160.3,0,0,0,60.348,10.5,0,114.838,49.975,69.231,70.525,2.996,128.4,7.811,22.841,0,0,32.9,3,0,0,0,35.714,39.34,36.972,14.814,0,0,0,2410.631
05001480500,2975.35,25.944,11.34,30.24,76.944,38.472,93.432,0,4.331,53.9,26.75,250.853,239.074,152.557,122.985,47.615,0,34.052,54.64,8.667,0,21.3,98.1,0,0,0,72.415,51.708,88.275,36.708,6.955,12.84,0,4635.447
05001480600,1154.2,74.448,24.57,30.24,6.412,0,0,0,0,45.1,14.445,11.16,93.112,24.088,11.399,0,0,2.889,7.918,0,0,3.417,1.125,16.4,0,0,24.73,53.048,28.569,5.574,3.21,31.03,0,1667.084
05001480700,1565.73,446.688,45.36,22.68,0,12.824,31.144,0,5.992,2.2,0,192.791,57.949,85.256,39.561,31.03,7.704,15.301,28.647,0,0,191.573,59.2,13.959,1.484,0,15.133,43.801,38.222,27.202,2.996,27.606,0,3012.033
05001480800,1223.25,230.112,7.56,11.34,0,0,0,0,8.56,0,0,22.962,30.765,12.494,16.403,5.136,0,0,25.038,0,0,42,2.8,0,2,0,11.357,64.08,15.087,22.666,0,16.957,0,1770.567
05003960100,1069.63,277.488,0,3.78,0,0,0,0,0,0,0,24.122,150.121,7.754,24.057,6.771,0,0,5.795,0,0,16.778,0,5,0,0,7.7,84.967,15.515,6.398,7.072,9.095,0,1722.043
05003960200,1395.89,410.592,0,0,0,0,0,0,0,0,0,22.242,5.671,0.955,13.638,2.568,0,0,3.21,1.498,0,9.198,0,0,2.227,0,36.582,4.79,37.129,0.753,10.816,14.659,0,1972.418
05003960300,2538.64,589.944,35.91,30.24,12.824,0,0,0,0,29.8,4.066,190.068,52.384,79.168,114.016,13.161,0,16.625,23.72,1.498,0,28.125,45.049,0,0,0,34.992,22.897,94.182,36.602,0,57.459,0,4051.37
05003960400,1138.38,285.384,0,7.56,19.236,0,0,0,0,0,0,14.966,20.279,7.161,7.704,0,0,2.14,1.605,0,0,4.1,0.94,0,0,0,6.8,14.66,19.057,6.174,5.029,0,0,1561.175
05003960500,1236.39,346.296,9.45,18.9,76.944,38.472,62.288,0,26.643,0,0,69.022,28.411,30.776,19.598,3.103,0,0,4.173,0,0,82.339,0,0,0,0,39.017,15.64,39.73,0,8.736,22.042,0,2177.97
05003960600,3640.71,37.224,171.99,68.04,128.24,38.472,31.144,68.7,28.354,42.7,2.172,351.2,149.196,128.516,266.406,32.314,46.117,29.526,61.009,6.852,0,781,30.963,0,1.484,0,128.782,9.101,110.311,30.244,0,91.396,0,6512.164
05003960700,1126.54,312.456,0,0,0,0,0,0,0,0,0,15.317,29.375,54.34,28.126,0,0,0,4.358,0,0,29.6,0,0,0,0,33.917,2.358,31.672,4.387,0.416,1.027,0,1673.889
05005950100,2838.24,106.032,230.58,139.86,32.06,89.768,93.432,0,2.14,58.8,30.175,189.574,51.051,59.13,88.158,0,0,13.866,26.333,0,0,27.578,81.5,1.959,0,0,38.527,3.699,35.342,1.177,18.939,43.763,0,4301.683
05005950200,3308.57,71.064,0,37.8,121.828,38.472,62.288,68.7,30.118,1.8,0,333.978,109.937,98.706,187.441,11.77,0,52.773,78.209,0,0,90,9.9,0,10.6,0,62.695,3.361,74.765,23.187,0,4.772,0,4892.734
05005950300,2813.66,155.664,211.68,223.02,96.18,0,31.144,0,42.719,48.3,0,283.971,29.06,119.743,85.809,10.379,0,21.466,81.797,21.74,0,106.4,45.346,2.8,0,0,79.273,19.959,32.443,23.964,0,29.318,0,4615.834
05005950400,2160.05,85.728,30.24,30.24,19.236,51.296,31.144,0,4.332,206,44.19,118.887,116.281,57.309,106.171,60.027,8.239,87.846,7.889,2.675,0,12.951,258.8,17.4,0,0,34.52,9.2,98.188,27.959,0,38.397,27.92,3753.115
05005950500,3570.76,719.664,0,0,51.296,12.824,0,0,205.54,1.4,0,94.775,33.586,50.952,71.853,0,0,5.33,25.612,0,0,76.68,0,0,8.6,0,58.975,20.991,44.835,63.203,57.823,10.379,0,5185.079
05005950600,3417.23,741.096,0,0,0,0,0,0,36.167,0,0,55.202,11.241,19.439,31.276,0,0,0.717,7.062,0,0,16.48,18,0,0,0,23.605,11.355,7.513,1.882,12.48,0,0,4410.745
05005950700,3296.73,427.512,60.48,11.34,0,0,0,0,120.5,0,0,48.593,30.771,37.666,33.036,1.131,0,0.942,32.52,0,0,11.217,7.701,0,0,0,12.03,3.2,10.7,0.753,11.648,0,0,4158.47
