Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
05001480100,881.613525390625,24.9563999176025,5.62265729904175,0,0,10.0494165420532,0,0,13.9699249267578,7.59686994552612,0,0,9.22962188720703,0,0,2.93632340431213,0,0,11.478982925415,0,0,1.29631495475769,0,0,12.6524038314819,1.29631495475769,0,0,3.5910050868988,0,0.582433998584747,0,0,179.683837890625,0,327.119995117188,1493.67614746094
05001480200,931.295349121094,57.3909492492676,10.2088804244995,0,0,17.9304828643799,0,0,36.4893569946289,19.792631149292,0,0,23.8785667419434,0,0,6.29755210876465,0,0,28.9296455383301,0,0,4.3111310005188,0,0,35.8185691833496,4.3111310005188,0,0,9.06342506408691,0,0.528365969657898,0,0,248.687896728516,0,313.583984375,1748.51794433594
05001480300,1890.06628417969,110.966102600098,11.6066970825195,0,0,21.4241752624512,0,0,62.6494407653809,33.9200210571289,0,0,41.0720901489258,0,0,4.55176687240601,0,0,37.7398109436035,0,0,4.43461894989014,0,0,46.228199005127,4.46832370758057,0,0,14.8499956130981,0,0.67168802022934,0,0,455.855773925781,0,58.6559982299805,2799.16064453125
05001480400,1410.40942382813,108.640403747559,12.4277505874634,0,0,24.9980564117432,0,0,61.4629974365234,33.0291213989258,0,0,39.5640754699707,0,0,12.1436004638672,0,0,58.7294502258301,0,0,7.27961492538452,0,0,79.871940612793,11.1110649108887,0,0,19.6721267700195,0,1.8724559545517,0,0,436.9228515625,0,92.4960021972656,2410.63110351563
05001480500,2839.87841796875,267.187194824219,31.0772171020508,0,0,56.1285667419434,0,0,135.714492797852,73.6144485473633,0,0,88.9828338623047,0,0,14.5949602127075,0,0,93.3151168823242,0,0,9.71872806549072,0,0,112.622619628906,11.1264848709106,0,0,33.8027267456055,0,1.86752808094025,0,0,839.87158203125,0,25.9440002441406,4635.44677734375
05001480600,1080.66174316406,45.4122009277344,7.86423683166504,0,0,15.5060653686523,0,0,29.5667095184326,16.0636711120605,0,0,19.4336681365967,0,0,7.37585830688477,0,0,30.7904586791992,0,0,4.31752490997314,0,0,38.6987152099609,5.33227491378784,0,0,11.2439975738525,0,0.602837979793549,0,0,279.766082763672,0,74.447998046875,1667.08410644531
05001480700,1461.09375,147.066940307617,27.0727558135986,0,0,50.7499160766602,0,0,115.52222442627,61.935001373291,0,0,76.0848617553711,0,0,11.4827156066895,0,0,59.0107574462891,0,0,7.84346866607666,0,0,73.6846466064453,8.10868072509766,0,0,19.6451110839844,0,0.890525579452515,0,0,445.153686523438,0,446.687957763672,3012.03271484375
05001480800,1087.20861816406,42.8771018981934,10.1769542694092,0,0,18.4484405517578,0,0,33.0396919250488,17.7667102813721,0,0,21.7575435638428,0,0,5.34464931488037,0,0,20.7584209442139,0,0,2.93054485321045,0,0,25.0650997161865,2.93054485321045,0,0,7.45175123214722,0,0.442766010761261,0,0,244.25617980957,0,230.111999511719,1770.56713867188
05003960100,938.067626953125,49.7277793884277,9.30046367645264,0,0,17.1424407958984,0,0,40.1039085388184,21.674144744873,0,0,26.2197246551514,0,0,6.55370235443115,0,0,31.4129962921143,0,0,5.37740802764893,0,0,39.9813652038574,5.37740802764893,0,0,8.28146648406982,0,0.474457204341888,0,0,244.860137939453,0,277.488006591797,1722.04321289063
05003960200,1225.56298828125,27.8976898193359,4.05346298217773,0,0,9.31554222106934,0,0,14.8785219192505,8.13259506225586,0,0,10.0341491699219,0,0,1.71519684791565,0,0,10.2289390563965,0,0,0.475144982337952,0,0,8.99056911468506,0.50884997844696,0,0,4.35010099411011,0,0.966843605041504,0,0,234.715393066406,0,410.592010498047,1972.41796875
05003960300,2305.72119140625,164.794204711914,21.7987728118896,0,0,41.6021995544434,0,0,77.6801071166992,42.2107238769531,0,0,51.3249206542969,0,0,9.73514080047607,0,0,52.5705490112305,0,0,3.65279388427734,0,0,56.6094856262207,4.35699892044067,0,0,24.0604019165039,0,1.69527590274811,0,0,603.613098144531,0,589.943969726563,4051.36962890625
05003960400,1016.20471191406,17.3308601379395,3.01663327217102,0,0,5.87217140197754,0,0,10.4408264160156,5.69230985641479,0,0,6.95096826553345,0,0,1.46694672107697,0,0,7.79199981689453,0,0,0.835458934307098,0,0,8.6563549041748,0.835458934307098,0,0,2.62390518188477,0,0.481826364994049,0,0,187.590576171875,0,285.384002685547,1561.1748046875
05003960500,1255.44030761719,57.5390396118164,10.133846282959,0,0,20.9608459472656,0,0,45.9972038269043,24.7273864746094,0,0,30.5432968139648,0,0,4.00575733184814,0,0,23.0046215057373,0,0,2.57185077667236,0,0,26.2306671142578,2.57185077667236,0,0,11.6087760925293,0,1.48911356925964,0,0,314.849456787109,0,346.296020507813,2177.97021484375
05003960600,3605.12231445313,331.928100585938,72.1460113525391,0,0,141.414016723633,0,0,337.208770751953,180.070983886719,0,0,223.024780273438,0,0,31.141056060791,0,0,153.386703491211,0,0,22.1301708221436,0,0,202.700408935547,24.5363674163818,0,0,48.7404632568359,0,2.55267786979675,0,0,1098.83618164063,0,37.2239990234375,6512.16259765625
05003960700,989.591430664063,44.8096923828125,5.66777563095093,0,0,11.0075511932373,0,0,27.6517658233643,14.9544200897217,0,0,18.3364677429199,0,0,1.63133525848389,0,0,13.9911832809448,0,0,1.25839293003082,0,0,16.489185333252,1.25839293003082,0,0,4.47928953170776,0,0.581577599048615,0,0,209.724578857422,0,312.455993652344,1673.88891601563
05005950100,2959.1337890625,145.701614379883,16.621509552002,0,0,32.4561653137207,0,0,70.1705551147461,37.9559555053711,0,0,45.9378356933594,0,0,8.82808494567871,0,0,51.2761840820313,0,0,4.51234865188599,0,0,57.9401245117188,5.83534908294678,0,0,27.8948974609375,0,1.20167231559753,0,0,730.184814453125,0,106.031997680664,4301.68359375
05005950200,3163.12060546875,263.946655273438,28.3350086212158,0,0,51.7027206420898,0,0,134.365539550781,72.5489501953125,0,0,88.2402191162109,0,0,6.52297401428223,0,0,66.2472534179688,0,0,4.63155746459961,0,0,75.393684387207,4.67205762863159,0,0,28.7794609069824,0,1.94813001155853,0,0,831.215393066406,0,71.0640106201172,4892.73486328125
05005950300,2910.15454101563,220.974304199219,26.8204002380371,0,0,49.2547607421875,0,0,117.998268127441,63.6398696899414,0,0,77.5815200805664,0,0,10.1178216934204,0,0,65.4939193725586,0,0,5.42918491363525,0,0,78.3016357421875,7.00508499145508,0,0,32.0229721069336,0,1.43835401535034,0,0,793.938293457031,0,155.664001464844,4615.83544921875
05005950400,2113.4541015625,193.905151367188,26.5314598083496,0,0,49.8616065979004,0,0,105.87865447998,57.5067024230957,0,0,70.1055221557617,0,0,23.7306060791016,0,0,105.683502197266,0,0,12.7388343811035,0,0,135.344619750977,17.6647148132324,0,0,34.4344100952148,0,4.7409520149231,0,0,715.806396484375,0,85.7279968261719,3753.11547851563
05005950500,3271.15185546875,116.320365905762,25.1668586730957,0,0,47.1155700683594,0,0,63.9001083374023,34.4117317199707,0,0,42.2121849060059,0,0,10.1372327804565,0,0,40.7136383056641,0,0,2.87691688537598,0,0,38.1617622375488,2.90841698646545,0,0,18.7815837860107,0,6.51374483108521,0,0,745.042175292969,0,719.664001464844,5185.07763671875
05005950600,2993.32739257813,47.2793998718262,5.67544460296631,0,0,10.7665338516235,0,0,24.2714214324951,13.0910501480103,0,0,15.8815002441406,0,0,1.81249129772186,0,0,14.0260820388794,0,0,1.18211591243744,0,0,14.8941335678101,1.18211591243744,0,0,5.20778465270996,0,1.20302200317383,0,0,519.848388671875,0,741.096069335938,4410.7451171875
05005950700,2985.47998046875,55.6862678527832,5.82514333724976,0,0,11.0364551544189,0,0,26.3988246917725,14.2682609558105,0,0,17.2642860412598,0,0,1.6178560256958,0,0,15.1854610443115,0,0,1.0994518995285,0,0,15.9571180343628,1.0994518995285,0,0,9.38411331176758,0,2.92408490180969,0,0,567.731140136719,0,427.511993408203,4158.47021484375
