Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
06001400100,2687.75,0,65.1,7.44,11.354,0,0,0,25.68,1.4,0,16.558,15.664,18.782,59.047,0,0,18.132,25.363,0,0,0,9.486,5.9,0,4.9,10.689,2.468,10.014,0,0,17.484,0,3013.211
06001400200,1309.08,0,70.68,33.48,68.124,22.708,27.574,0,0,49,0,87.224,10.466,36.433,54.971,2.354,2.782,41.008,32.378,0,0,2.9,5.731,64,0,0,2.258,1.334,27.609,0,0,6.759,13.054,1971.907
06001400300,2150.81,0,197.16,338.52,124.894,113.54,330.888,60.825,5.457,19.3,0,173.804,43.31,103.733,153.169,11.366,0,86.146,72.056,10.617,0,3.3,10.921,83.308,0,0,15.156,17.876,24.198,0,0,18.382,0,4168.736
06001400400,1964.8,0,241.8,189.72,45.416,227.08,27.574,0,0,4.5,0,51.714,42.672,29.129,94.608,4.28,3.009,32.061,22.079,0,0,3.2,5.001,0,0,0,6.488,0.8,25.926,0.549,0,22.149,0,3044.555
06001400500,1205.11,0,288.3,141.36,164.633,147.602,55.148,0,0,88.2,0,34.195,5.093,44.427,55.517,0,3.009,15.64,18.546,0,0,7.9,4.2,0,2.5,0,11.781,2.86,10.502,0,0,22.472,0,2328.995
06001400600,673.358,0,156.24,104.16,11.354,34.062,27.574,0,0,4.2,0,17.505,2.905,14.474,20.288,0,0,5.553,3.702,0,0,0,1,3.5,0,0,4.238,0.98,33.063,0,0,3.264,0,1121.42
06001400700,1505.97,0,323.64,360.84,136.248,11.354,55.148,0,1.819,116.9,3.852,51.163,9.107,46.627,66.264,1.07,0,13.074,18.302,1.094,0,42.914,73.7,66.2,0,0,9.475,2.3,51.392,0,0,15.943,0,2984.396
06001400800,948.052,0,197.16,245.52,227.08,56.77,137.87,60.825,0,107.1,0,54.068,94.28,49.793,45.374,0,0,8.614,51.63,0,0,19,62.5,2,0,0,23.626,0.744,58.95,0,0,12.733,16.558,2480.247
06001400900,798.994,0,223.2,297.6,0,45.416,27.574,0,0,1.4,0,12.784,22.716,29.147,29.275,0,0,0,21.084,0,0,7.7,11.9,6.7,0,0,33.514,0,30.894,0,0,5.787,0,1605.685
06001401000,1983.32,16.915,245.52,624.96,170.31,79.478,82.722,0,38.199,14.3,1.712,29.224,25.094,112.357,103.778,0,172.912,6.622,6.829,0,0,5.994,13.545,5.107,0,0,40.872,1.47,61.038,0,0,8.667,0,3850.945
06001401100,718.83,0,314.34,517.08,204.372,124.894,275.74,0,92.877,105,4.387,82.144,87.454,161.192,85.701,12.305,36.274,29.244,64.194,0,0,2.001,7.183,0,0,0,15.038,2.161,75.894,1.922,14.873,1.177,0,3036.277
06001401200,1214.91,0,197.16,100.44,130.571,79.478,27.574,0,13.268,14.8,0,152.757,23.334,103.028,63.696,0,0,11.861,24.204,0,0,0,6.3,0,0,0,10.62,2.3,25.82,0,0,13.91,0,2216.031
06001401300,45.864,16.915,33.48,81.84,181.664,193.018,634.202,364.95,7.383,402.4,56.671,432.632,31.415,242.91,233.36,10.7,72.332,466.665,80.231,3.282,0,4.914,17.874,0,2.701,0,21.995,0,56.15,3.317,0,242.178,28.355,3969.398
06001401400,636.902,0,366.42,323.64,198.695,113.54,55.148,60.825,0,355.6,0,62.783,52.064,66.153,93.8,1.979,6.019,21.477,25.147,0,0,7.5,12.974,9.6,0,0,21.798,0.744,82.193,0,0,9.951,10.058,2595.01
06001401500,640.92,0,206.46,81.84,11.354,90.832,110.296,182.475,0,290.5,0,51.606,37.45,34.321,114.535,0,0,3.699,19.915,2.247,0,10,28.287,43.1,0,0,53.87,2.6,38.553,0,0,5.44,0,2060.3
06001401600,402.78,0,221.34,152.52,17.031,45.416,55.148,60.825,4.494,39.9,0,45.965,102.494,42.452,104.031,0,21.4,9.745,12.344,0,0,106.817,89.367,2.8,0,0,58.355,0,46.499,0,0,8.025,0,1649.748
06001401700,1122.1,0,271.56,14.88,62.447,79.478,0,60.825,0,74.9,0,228.203,542.144,73.816,392.526,0,0,0.502,148.883,0,0,176.515,54.576,56.9,0,0,284.042,8.608,22.898,16.294,0,7.062,1.926,3701.084
06001401800,310.17,0,251.1,85.56,73.801,79.478,27.574,0,0,0.7,0,21.338,10.7,5.987,16.368,0,0,0,6.099,0,0,0,0,0,0,0,7.418,0,25.313,0,0,5.992,0,927.598
06001402200,554.484,0,295.74,159.96,0,11.354,0,60.825,0,10.5,0,22.861,51.198,43.578,89.19,1.926,0,0,11.18,0,0,41.573,20.179,10.884,12.5,0,21.637,0,37.787,0.275,0,0,0,1457.631
06001402400,393.568,12.935,169.26,271.56,79.478,68.124,27.574,121.65,0,8.8,1.515,36.049,12.947,21.889,32.099,1.364,0,3.008,10.956,4.601,0,1.6,0,14.3,0,0,6.128,1.488,48.578,0,0,0.263,0,1349.734
06001402500,220.598,11.94,7.44,111.6,79.478,45.416,0,243.3,2.033,1.4,0,4.687,25.527,21.117,15.182,0,16.552,30.643,0,0,0,0,0,7.1,0,0,1.883,0,21.355,0,0,23.647,0,890.8979
06001402600,72.618,0,18.6,104.16,11.354,79.478,55.148,243.3,0,2.1,0,12.898,6.316,11.419,27.381,2.568,0,2.61,16.799,0,0,0,2.4,0,0,0,1.3,0,42.314,3.21,0,2.375,0,718.348
06001402700,280.77,0,141.36,104.16,22.708,113.54,82.722,0,0,3.5,0,12.802,41.529,78.242,64.706,0,0,8.931,23.855,0,0,0,6.902,14,0,0,9.217,5.207,36.797,0,19.795,18.677,0,1089.42
06001402800,158.27,0,46.5,159.96,90.832,56.77,275.74,1094.85,31.359,217.7,0,108.098,51.402,201.082,604.31,12.84,1.712,50.5,73.8,1.391,0,10,66.356,0,0,0,23.882,0.744,137.886,186.93,13.161,15.326,28.355,3719.756
06001402900,0,0,7.44,0,5.677,11.354,275.74,486.6,15.64,32,0,123.313,53.402,200.035,1334.62,389.024,96.3,93.387,110.636,27.82,0,32.2,207.159,3.643,0,33.1,25.537,10.965,154.725,117.439,0,33.538,0,3881.294
06001403000,127.4,0,16.74,48.36,22.708,11.354,82.722,1094.85,78.582,64.4,0,331.93,92.716,204.526,1322.15,45.127,0,246.672,177.985,0,0,5.044,71.836,13.1,1.775,0,17.117,7.113,331.892,27.927,0,59.123,4.567,4507.715
06001403100,16.17,0,0,0,11.354,11.354,248.166,304.125,7.597,208.9,0,72.856,82.73,80.788,1272.59,30.453,3.638,19.837,91.282,0,0,0,122.263,727.4,0,0,11.959,1.488,56.887,266.74,70.513,24.478,16.906,3760.473
06001403300,170.324,0,98.58,78.12,56.77,68.124,413.61,1034.03,6.527,32.9,0,101.258,172.934,85.533,243.59,3.638,0,28.366,189.613,1.094,0,3.344,15.11,86,0,0,33.185,0,67.319,74.643,13.589,3.638,69.015,3150.854
06001403400,34.986,14.925,0,0,0,340.62,937.516,1216.5,8.569,21.7,12.733,16.642,15.745,33.972,213.9,13.589,0,6.016,83,16.585,0,2,19.261,0,0,0,6.259,1.488,42.152,216.078,30.709,22.149,31.458,3358.552
06001403501,354.466,0,117.18,308.76,73.801,363.328,303.314,912.375,214,23.1,0,128.319,65.698,186.271,191.147,4.28,0,55.813,33.965,0,0,22.53,26.444,1.5,0,0,35.551,2.2,74.668,0,16.05,21.98,0,3536.74
06001403502,173.264,0,63.24,189.72,90.832,124.894,441.184,121.65,0,12.6,0,15.535,1.177,4.708,37.808,0,0,1.348,3.748,0,0,0,2.8,1.021,0,0,1.418,0,1.56,0,0,1.712,0,1290.219
06001403600,379.848,0,115.32,115.32,175.987,442.806,1102.96,121.65,2.889,70.9,13.375,20.497,11.438,19.818,34.553,0,0,4.045,2.89,0,0,0,1.4,2.8,0,0,5.738,0,22.799,0,0,13.099,0,2680.132
06001403701,16.17,0,13.02,59.52,130.571,408.744,661.776,243.3,23.703,37.8,0,18.24,6.3,57.555,58.945,0,0,14.41,13.764,1.094,0,0,2.301,0,0,0,2.856,0,82.3,0,0,21.4,0,1873.769
06001403702,0,0,66.96,37.2,85.155,317.912,330.888,182.475,0,0,19.367,17.636,19.788,65.111,169.584,0,2.782,34.304,1180.42,1.391,0,2.229,14.144,0,0,0,0.82,3.082,32.667,0,0,38.306,6.955,2629.176
06001403800,1208.63,0,87.42,472.44,221.403,113.54,220.592,60.825,0,11.2,3.317,118.624,11.646,970.902,378.164,27.575,0,12.163,75.561,44.084,0,0,14.074,0,0,0,11.95,3.762,11.099,1.922,0,6.634,0,4087.527
06001403900,592.214,20.895,109.74,212.04,107.863,351.974,496.332,304.125,3.21,24.5,0,37.897,1127.03,107.021,96.794,0.91,0,24.136,31.579,5.029,0,1.114,3.684,0,0,0,13.15,3.96,15.898,0,0,5.136,1.07,3697.301
06001404000,398.174,7.96,59.52,137.64,198.695,329.266,523.906,60.825,21.507,0,0,27.149,21.451,33.705,59.619,9.093,0,24.653,22.897,0,0,0,4.474,0,0,0,13.266,0,10.626,0,0,2.176,0,1966.602
06001404101,940.016,0,172.98,279,175.987,102.186,82.722,304.125,2.889,3.6,1.515,72.186,21.936,148.098,96.812,5.35,0,35.918,20.256,0,0,0,11.087,4.6,0,0,6.531,7.1,22.123,0,0,31.298,0,2548.315
06001404102,358.876,0,96.72,148.8,73.801,102.186,413.61,425.775,0,88.9,10.7,103.694,11.679,52.323,46.266,0,0,8.1,44.073,0,0,12.26,4.061,1.9,0,0,2.34,0,18.083,19.491,0,0.91,0,2044.548
06001404200,2390.12,0,0,11.16,0,34.062,27.574,121.65,0,65.6,0,105.627,4.297,8.921,42.479,9.416,0,3.864,14.769,1.284,0,2.115,24.657,0,0,0,8.5,2.976,19.276,0,0,36.38,160.5,3095.227
