Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
06001400100,2747.62182617188,41.8611526489258,20.2886562347412,0,0,8.1953763961792,0,0,6.85976552963257,10.4336719512939,0,0,0,0,0,6.56061792373657,0,0,37.2010536193848,0,0,1.08291375637054,0,0,29.24001121521,7.16120195388794,0,0,77.8512573242188,0,5.50468587875366,0,0,12.716010093689,0,0.632809996604919,3013.2109375
06001400200,1495.55541992188,72.1940078735352,43.0753326416016,0,0,17.7842025756836,0,0,12.5079431533813,22.9228420257568,0,0,0,0,0,13.7828006744385,0,0,75.7518310546875,0,0,2.98895001411438,0,0,54.6826210021973,16.1943244934082,0,0,111.800804138184,0,8.43186187744141,0,0,24.0653610229492,0,0.168579995632172,1971.90673828125
06001400300,3064.99584960938,170.498687744141,80.6404418945313,0,0,31.206844329834,0,0,41.1654357910156,60.0282783508301,0,0,0,0,0,26.3045520782471,0,0,178.896560668945,0,0,12.3576164245605,0,0,117.918670654297,39.1502151489258,0,0,256.623046875,0,16.5960884094238,0,0,71.2052764892578,0,1.14832007884979,4168.73583984375
06001400400,2528.48510742188,74.6320343017578,27.8044929504395,0,0,9.56797695159912,0,0,20.530330657959,33.9365425109863,0,0,0,0,0,10.6745405197144,0,0,93.4291458129883,0,0,7.2157883644104,0,0,45.9612617492676,16.5007457733154,0,0,132.209671020508,0,7.78177070617676,0,0,35.4531211853027,0,0.372399985790253,3044.5546875
06001400500,1854.24536132813,48.0354194641113,22.7149181365967,0,0,12.44788646698,0,0,20.9630546569824,38.572078704834,0,0,0,0,0,12.2457990646362,0,0,101.256973266602,0,0,7.6227855682373,0,0,28.5068626403809,14.6743640899658,0,0,126.398040771484,0,7.33496952056885,0,0,33.2511596679688,0,0.725250005722046,2328.99487304688
06001400600,936.555114746094,17.8955097198486,9.81282711029053,0,0,3.37544727325439,0,0,8.82200622558594,14.2834205627441,0,0,0,0,0,2.81784915924072,0,0,39.7793235778809,0,0,3.15816640853882,0,0,11.4103546142578,6.80455780029297,0,0,49.7348976135254,0,2.30094289779663,0,0,14.4380006790161,0,0.23149998486042,1121.419921875
06001400700,2243.26416015625,61.2598075866699,54.0807189941406,0,0,37.1543121337891,0,0,31.8183097839355,50.7034797668457,0,0,0,0,0,15.6442184448242,0,0,144.946716308594,0,0,8.52220916748047,0,0,84.5275115966797,25.7274951934814,0,0,171.399017333984,0,9.41174793243408,0,0,44.9873428344727,0,0.948890030384064,2984.39624023438
06001400800,1714.75500488281,60.9706497192383,50.8235168457031,0,0,27.8962497711182,0,0,32.2488136291504,53.1444282531738,0,0,0,0,0,16.0676689147949,0,0,151.450637817383,0,0,8.85927867889404,0,0,97.5689239501953,23.9625034332275,0,0,179.412780761719,0,13.0358953475952,0,0,48.6644058227539,0,1.38617992401123,2480.24682617188
06001400900,1262.77795410156,31.3350391387939,18.2661914825439,0,0,10.5278224945068,0,0,19.3253574371338,24.2103176116943,0,0,0,0,0,3.73638081550598,0,0,67.1742706298828,0,0,5.42049503326416,0,0,34.1415252685547,13.1580190658569,0,0,83.564338684082,0,4.15887784957886,0,0,26.1357116699219,0,1.75269997119904,1605.68505859375
06001401000,2944.208984375,132.621307373047,39.6726303100586,0,0,16.264720916748,0,0,38.0833625793457,66.9673614501953,0,0,0,0,0,19.3786525726318,0,0,169.863708496094,0,0,10.9904356002808,0,0,76.6154861450195,26.9283180236816,0,0,221.964782714844,0,10.445143699646,0,0,57.892017364502,0,19.0479412078857,3850.94458007813
