Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
08001007801,518.925,0,22.32,55.8,141.925,295.204,220.592,0,5.243,116.2,0,174.215,32.894,93.494,76.702,4.9,0,4.708,22.897,0,0,0,2.3,0,0,0,12.116,0.833,51.574,37.773,5.564,23.861,0,1920.04
08001007802,388.212,0,14.88,29.76,153.279,249.788,303.314,182.475,11.663,4.8,0,25.227,13.696,28.546,33.885,1.284,0,0,31.189,0,0,0,0,4.6,0,0,14.599,0,9.63,0,0,14.873,0,1515.7
08001007900,1406.71,0,119.04,104.16,136.248,283.85,137.87,0,3.521,11.2,0,57.011,31.115,104.907,51.182,1.284,0,0.003,15.332,0,0,20.4,4.667,0,0,0,41.682,2.105,69.728,1.775,0.015,13.444,0.001,2617.249
08001008000,1873.18,47.76,70.68,63.24,181.664,22.708,27.574,0,0,2.1,0,31.087,9.806,27.717,42.105,0,2.461,1.959,13.779,0,0,0,0,0,0,0,16.893,1.793,15.455,4.815,0,40.071,0,2496.847
08001008100,116.408,43.78,0,52.08,0,0,27.574,121.65,0,173.6,0,7.823,14.124,3.959,81.181,4.173,19.154,8.444,5.843,0,0,0,5.9,13.886,0,0,7.696,0,136.231,0,7.49,0,0,850.9961
08001008200,2319.08,0,0,0,0,0,55.148,60.825,0,43.6,0,75.899,366.173,48.835,264.275,5.136,0,4.601,16.78,0,0,137.559,30.809,7.6,17.708,0,89.952,6.793,2.247,27.713,7.383,24.556,0,3612.672
08001008308,1089.56,705.455,0,78.12,62.447,113.54,110.296,60.825,20.544,4.9,0,102.119,1219.99,71.283,170.014,1.284,4.494,3.424,42.617,0,0,190.4,170.8,8.6,0,0,140.597,10.833,41.494,0,0,15.729,0,4439.365
08001008309,386.716,712.42,0,0,22.708,56.77,27.574,0,136.51,2.8,0,239.284,664.874,274.72,233.931,13.803,0,4.305,50.85,0,0,225.5,97.077,79.159,0,0,113.985,39.317,47.142,39.911,0,7.489,0,3476.845
08001008353,3259.32,0,0,0,34.062,90.832,55.148,0,1.07,0,0,51.933,156.865,36.923,88.076,0,0,0,26.343,0,0,115.5,12.889,20.2,6,0,67.806,3.266,26.507,3.21,36.235,19.789,0,4111.974
08001008401,2226.42,209.945,26.04,0,0,11.354,27.574,0,0,0,0,50.573,38.295,29.15,71.277,4.387,0,3.332,33.221,0,0,39.917,17.875,0,0,0,74.966,37.955,10.244,8.793,1.526,17.014,0,2939.858
08001008402,2331.8,180.095,0,0,39.739,11.354,0,0,0,0,0,28.087,21.285,31.34,20.102,0,0,5.305,8.484,0,0,1.4,5.5,2.2,0,0,45.5,75.494,15.319,0,0,5.029,0,2828.033
08001008505,3560.85,0,0,0,0,0,82.722,60.825,0,0,0,55.575,41.319,65.353,64.935,0,0,20.898,16.156,4.28,0,11.663,31.442,13.886,0,0,100.273,0,66.233,7.1,0,118.011,0,4321.521
08001008506,824.39,0,0,59.52,357.651,613.116,441.184,182.475,0,90.3,26.75,86.348,1.391,82.257,99.268,9.844,0,6.741,45.262,0,0,0,2.71,2.6,0,0,13.914,9.7,48.784,183.71,10.807,6.527,0,3205.249
08001008507,3219.39,29.85,0,0,0,0,0,0,0,0,0,32.631,11.573,41.696,35.371,6.955,0,1.605,15.996,0,0,1.232,3.862,0,0,0,26.568,16.054,25.298,0,0,77.682,0,3545.763
08001008508,2595.65,0,0,40.92,39.739,56.77,110.296,0,1.819,4.2,0,51.285,20.355,17.012,39.753,0,0,10.946,37.45,0,0,4.063,3.531,0,0,0,31.2,4.33,14.201,0,0,13.696,0,3097.216
08001008523,4185.62,68.655,0,14.88,62.447,0,27.574,0,29.853,0,0,193.504,272.329,116.9,125.449,16.05,0,6.65,44.841,0,0,28.758,70.614,13.357,6.254,0,142.066,174.683,38.569,5.306,0,17.414,0,5661.772
08001008524,4192.35,13.93,0,7.44,17.031,0,0,0,0,0,0,16.136,24.384,23.71,48.404,0,0,0,18.667,0,0,9.178,5.63,0,0,0,23.538,3.03,12.836,0,0,20.865,0,4437.129
08001008526,3918.58,41.79,0,66.96,102.186,136.248,27.574,0,0,0,0,30.684,116.689,26.909,56.477,0,0,0,38.301,0,0,5.801,3.331,6.9,0.98,0,62.929,9.598,21.572,0,0,90.101,0,4763.61
08001008529,2351.99,13.93,22.32,115.32,255.465,556.346,579.054,121.65,13.911,0,0,241.955,88.959,114.504,315.998,13.267,0,28.152,70.17,7.075,0,56.064,153.121,2.3,0,1.301,63.254,45.632,73.992,64.966,0,15.996,0,5386.691
08001008533,2279.34,0,24.18,78.12,130.571,590.408,358.462,243.3,0,99.4,58.422,22.309,24.627,70.09,67.392,0.98,0,3.349,7.276,1.076,0,123.032,39.791,0,3.7,0,23.054,11.799,28.83,13.054,0,0,0,4302.563
08001008534,2343.02,11.94,0,0,0,0,0,0,0,0,0,11.984,10.553,15.798,28.995,0,0,0,0,0,0,4.063,2.5,0,0,0,32.922,1,23.897,0,0,16.879,0,2503.551
08001008535,1718.34,0,0,0,39.739,56.77,27.574,0,0,0,0,208.707,507.053,83.679,128.539,0,0,4.876,7.275,0,0,91.017,18.492,74.8,10.556,1.1,236.199,6.9,7.549,4.615,0,14.133,0,3247.913
08001008536,1519.75,0,0,0,0,0,0,0,0,0,0,8.404,6.436,6.888,7.987,0,0,0,0,0,0,1.5,8.73,0,0,0,6.245,1.8,0,0,0,0,0,1567.74
08001008537,3271.75,11.94,0,0,0,0,0,0,0,0,0,10.977,23.454,11.939,27.248,0,0,3.079,2.247,1.076,0,8.3,0.931,5.1,6.769,0,142.848,27.056,5.446,0,0,0,0,3560.16
08001008538,3096.72,0,0,26.04,0,0,0,0,0,0,0,1.177,7.607,0.86,4.066,0,0,0,2.783,0,0,0,0,0,0,0,1.349,0,0,0,0,0,0,3140.602
08001008539,4008.91,36.815,0,37.2,289.527,0,0,0,0,0,0,2.996,12.765,6.238,10.925,0,0,0,2.354,0,0,21.901,0,0,0,0,8.643,0,4.815,0,0,0,0,4443.088
08001008540,3453.52,83.58,0,0,34.062,0,0,0,0,0,0,0,0.237,1.351,18.487,0,0,0,28.909,0,0,0,0,0,0,0,8.142,0.963,0,0,0,3.959,0,3633.21
08001008541,2618.75,0,0,0,0,0,0,0,0,0,0,20.265,30.832,27.21,73.248,0,0,7.147,3.941,0,0,5.799,9.583,0,0,0,52.584,98.096,9.006,0,0,0,0,2956.461
08001008542,3933.17,0,0,0,0,0,0,0,0,0,0,11.882,98.691,3.739,21.668,0,0,0,1.497,0,0,1.243,1.332,0,0,0,10.247,0,0,0,0,0,0,4083.469
