Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
09001010101,3108.29,0,0,0,0,47.544,0,0,0,185.5,185.315,87.957,153.874,14.584,254.77,0,0,31.836,165.858,0,0,0,654.635,0,0,0,62.522,58.164,60.573,3.64,0,82.03,0,5157.092
09001010102,2982.01,0,0,0,0,0,0,0,0,14.7,0,50.845,42.648,21.678,178.355,4.399,0,14.417,61.863,0,0,0,20.984,3.3,14.5,0,31.093,29.536,71.499,0,0,68.19,0,3610.017
09001010201,1989.81,0,35.73,28.584,0,0,0,0,3.318,165.9,0,48.539,35.424,12.179,121.468,0,0,19.79,26.362,0,0,3.685,2.412,0,0,0,19.896,4.994,29.336,5.136,0,44.083,0,2596.646
09001010202,3084.84,10.3,152.448,142.92,17.829,11.886,0,0,0,6.3,34.775,22.608,28.334,35.064,170.175,0,0,11.51,17.437,0,0,9.071,15.922,0,4.3,0,67.847,21.05,103.291,0,0,20.331,0,3988.238
09001010300,2423.76,0,131.01,80.988,89.145,0,0,0,26.706,57.4,0,246.473,94.062,69.532,681.243,12.305,206.403,371.802,163.242,0,0,12.971,54.184,11.58,3.3,0,48.984,1.96,121.488,57.875,0,279.591,0,5246.004
09001010400,2546.92,13.39,581.208,119.1,17.829,35.658,28.866,0,3.701,4.9,0,60.912,69.097,31.246,179.931,6.634,0,1.498,54.428,0,0,0,24.122,1.6,0,0,84.233,19.445,29.712,1.498,0,14.231,0,3930.159
09001010500,1372.02,0,986.148,495.456,279.321,0,202.062,0,6.848,0,0,317.274,123.446,104.785,1200.16,27,0,109.485,92.04,2.479,0,8.7,113.79,29.2,0,0,96.003,36.372,68.589,0,0,63.13,0,5734.308
09001010600,365.638,0,209.616,128.628,41.601,130.746,202.062,254.7,0,3.5,0,849.89,519.934,181.236,1378.93,45.636,0,119.269,178.869,39.911,0,226.33,59.2,146.432,9.883,0,55.483,10.098,92.252,43.87,6.206,79.293,0,5379.214
09001010700,989.576,0,366.828,181.032,95.088,35.658,317.526,191.025,0,14.7,0,92.517,14.743,33.49,86.918,0,0,18.188,20.394,0,0,0,5.625,0,0,0,50.32,6.304,44.512,16.076,0,18.248,0,2598.768
09001010800,1898.46,0,181.032,100.044,47.544,0,28.866,63.675,0,12.5,0,159.062,65.002,86.307,216.536,13.165,0,44.579,81.763,0,0,15.985,13.957,30,0,0,72.433,12.178,36.381,7.074,4.815,44.159,0,3235.517
