Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
10001040100,3365.37,705,0,0,0,0,0,0,0,0,0,35.384,63.451,38.341,47.035,0,0,3.67,26.068,0,0,49.9,9.9,8.4,90,0,67.911,63.849,51.633,0.889,7.811,28.744,0,4663.356
10001040201,2631.95,155.664,35.91,64.26,6.412,76.944,0,0,5.136,1.4,4.708,122.885,63.31,69.283,51.919,7.703,0,22.604,41.484,0,0,675,13.399,51.6,1.1,0,34.377,8.615,63.49,7.78,0,57.385,0,4274.318
10001040202,6986.4,584.304,11.34,15.12,57.708,89.768,0,0,14.124,233.8,0,86.028,42.165,63.176,101.572,2.675,1169.43,40.777,23.442,0,0,35,53.099,11,0,0,41.318,23.529,49.123,11.856,2.033,34.197,0,9782.985
10001040203,2460.5,309.072,0,18.9,121.828,89.768,0,0,5.564,0,0,25.807,23.434,37.824,52.025,0,0,6.613,46.002,0,0,6.2,3.795,0,0,1.1,32.704,26.655,8.249,0.931,0,18.233,0,3295.204
10001040501,2245.9,260.568,17.01,34.02,83.356,192.36,62.288,0,38.948,0,15.194,588.085,215.015,126.889,192.829,5.951,0,6.623,177.663,2.394,0,6.2,15.931,5.04,4.412,0,69.216,20.196,41.5,13.949,3.133,21.187,6.741,4472.598
10001040502,1040.89,305.688,0,0,0,0,0,0,0,0,0,52.964,9.5,9.918,30.084,4.173,0,0,17.248,0.067,0,0,0.368,0.06,0.099,0,19.17,11.824,8.158,0.025,0.089,50.052,7.169,1567.546
10001040700,3499.87,0,0,26.46,57.708,128.24,0,0,0,84,0,82.978,18.459,103.631,105.975,10.593,0,31.707,22.643,0,0,0,3,0,1.2,0,9.9,7.62,89.064,0,0,21.893,0,4304.941
10001040900,938.784,0,32.13,41.58,128.24,115.416,124.576,137.4,64.962,253.1,13.589,54.534,16.478,37.567,70.034,0,7.276,5.592,340.474,0,0,134.8,0,10,1.567,0,4.43,5.1,15.657,30.78,0,27.713,107,2718.779
10001041000,2305.81,640.704,5.67,52.92,160.3,320.6,31.144,68.7,5.564,43.4,4.494,156.29,142.579,88.859,235.929,56.068,1.82,10.193,67.388,1.154,0,15.7,64.314,8.9,11.499,0,89.261,19.933,53.951,28.413,0,25.146,0,4716.703
10001041100,1520.48,0,102.06,75.6,12.824,0,0,0,0,226.4,0,19.902,0,18.939,10.284,15.194,0,30.388,9.309,0,0,0,10,0,0,0,6.5,8.901,2.782,41.099,0,23.433,0,2134.095
10001041200,1784.98,385.776,0,11.34,25.648,141.064,93.432,0,19.26,11.2,0,237.671,51.046,77.096,120.282,4.708,2.568,14.896,68.477,0,0,10,0.949,0,4.151,0,24.751,7.001,18.735,105.428,0,0,21.828,3242.286
10001041300,967.74,24.816,26.46,189,64.12,12.824,62.288,68.7,44.512,4.9,4.973,186.493,824.698,163.054,346.285,31.137,0,151.172,82.173,6.42,0,6.992,34.594,0,10.587,0,37.229,26.466,104.35,379.313,10.486,88.493,10.165,3970.44
10001041400,1115.76,0,79.38,68.04,185.948,192.36,155.72,68.7,1.926,39.8,0,262.15,140.204,137.109,180.91,9.844,9.309,154.141,42.88,1.391,0,68.9,11.896,108.6,0,0,29.673,12.712,59.919,57.945,17.323,7.007,22.898,3242.445
10001041500,1891.28,11.28,24.57,0,179.536,179.536,0,0,0,15.4,0,105.22,8.386,32.472,50.718,0,0,24.718,20.744,0,0,2,23.9,2.9,0,0,18.422,13.45,6.098,0,0,20.437,0,2631.066
10001041600,1588.77,34.968,0,0,19.236,12.824,0,0,0,2.1,0,96.426,65.27,31.625,97.189,0,0,36.722,61.632,0,0,2.999,2.118,0,0,0,34.937,3.363,19.903,15.919,0,8.773,0,2134.774
10001041701,3552.63,152.28,11.34,45.36,12.824,25.648,0,0,4.711,14,12.733,261.722,118.539,60.047,76.142,5.35,0,8.903,26.504,7.491,0,69.174,9.196,80.983,43.6,0,72.55,19.26,80.717,21.428,7.597,98.761,0,4899.489
