Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
11001000100,3001.14,0,136.08,90.72,38.472,179.536,249.152,687,103.052,10.2,4.494,443.397,207.901,207.472,2048.83,24.062,0,66.861,270.202,25.145,0,82.262,87.125,17.837,20,0,66.613,11.68,341.961,34.291,0,46.177,0,8501.662
11001000201,0,0,0,0,0,0,0,0,6.313,1582.1,0,11.77,0,8.774,77.093,18.939,328.062,90.094,0,0,0,3.42,1.501,0,0,0,0,0,16.157,0,0,59.171,74.472,2277.866
11001000202,3036.38,0,24.57,52.92,64.12,128.24,186.864,206.1,22.943,454,9.667,601.061,93.931,159.864,847.11,7.415,0,48.192,316.229,8.774,0,246.9,118.578,6.562,3.8,0,93.467,24.345,159.144,25.545,4.708,88.768,125.618,7165.815
11001000300,4045.17,0,41.58,257.04,134.652,218.008,155.72,137.4,22.161,0,0,87.921,13.991,41.013,162.358,0,0,13.889,55.941,3.531,0,6.84,5.145,0,0,0,4.924,0.97,20.407,6.387,0,37,0,5472.048
11001000400,779.621,0,0,11.34,0,25.648,93.432,137.4,41.088,4.2,0,101.137,3.745,53.827,199.954,0,14.124,22.371,64.418,22.149,0,0,17.579,0,1.079,0,39.49,3.357,190.622,75.802,0,54.367,31.244,1987.994
11001000501,356.235,0,0,128.52,12.824,0,218.008,1442.7,268.936,45.3,0,183.622,9.202,66.814,110.36,0,0,23.968,239.827,3.868,0,0,21.313,3.75,0,0,5.228,1.53,38.386,0.213,0,15.258,13.91,3209.772
11001000502,1174.15,0,0,26.46,57.708,192.36,218.008,618.3,19.046,4.2,0,29.285,3.852,40.863,126.806,0,0,66.401,12.037,1.498,0,0,1.8,1.1,1.8,0,3.464,7,18.669,20.876,0,87.654,0,2733.337
11001000600,2143.79,0,13.23,0,32.06,141.064,591.736,343.5,0,127.4,0,46.38,32.523,37.17,125.93,1.177,0,23.312,53.325,23.326,0,0,9.458,0,2.9,0,8.237,7.015,7.212,5.96,5.243,71.859,0,3853.806
11001000701,682.847,0,9.45,0,19.236,64.12,529.448,2061,7.673,1.4,0,16.584,8.079,15.515,113.977,0,0,17.498,24.566,0,0,0,13.199,0,0,0,3.3,0.99,68.435,0,0,48.845,0,3706.162
11001000702,90.678,0,17.01,117.18,153.888,166.712,560.592,1099.2,0,0,0,11.538,2.007,5.571,59.682,0,0,2.729,1.477,0,0,0,2.07,0,0,0,1.78,3.529,15.622,4.257,0,20.454,0,2335.977
11001000801,2777.01,0,0,83.16,0,25.648,155.72,1786.2,538.103,150.4,0,170.544,37.945,68.03,206.247,2.221,0,87.537,82.873,0,0,2,11.822,1.1,10.3,0,6.926,12.299,101.214,13.411,0,65.795,0.988,6397.492
11001000802,1777.75,0,88.83,37.8,6.412,115.416,186.864,68.7,0,0,0,17.524,11.877,20.79,134.38,0,85.6,22.392,19.367,0,0,159.608,6.789,0,0,0,1.3,1.5,16.41,23.968,0,231.899,0,3035.176
11001000901,3386.9,0,28.35,11.34,0,0,0,68.7,93.564,1316.8,0,82.599,18.846,28.558,239.08,17.602,107,100.579,38.043,0,0,1.4,35.1,6,0,0,37.336,1.77,46.194,0,0,64.949,2403.86,8134.571
11001000902,1759.17,0,0,0,0,12.824,31.144,0,0,0,0,20.93,64.631,25.559,169.623,8.346,0,11.539,23.005,0,0,1.2,11.4,0,0,0,35.09,13.8,28.237,12.134,0,42.245,0,2270.877
11001001001,4929.19,0,24.57,41.58,0,0,0,412.2,18.877,231,0,290.87,40.272,181.068,426.571,12.178,0,141.1,120.346,28.68,0,0,29.755,12,3.358,0,34.311,4.82,120.768,267.677,6.848,174.41,7.49,7559.94
11001001002,206.788,0,0,30.24,820.736,115.416,93.432,1030.5,4.432,0,39.162,93.026,42.869,35.388,236.59,8.021,40.981,8.528,66.59,14.231,0,7.7,28.234,0,4.8,0,9.917,0.99,89.933,20.494,0,0.92,20.544,3070.462
11001001100,3235.74,0,0,15.12,0,0,186.864,480.9,78.645,65.8,20.972,341.718,71.25,154.765,2052.21,12.826,3.103,86.748,167.945,2.418,0,3.34,64.18,3.75,7.358,6,25.255,1.319,165.385,92.941,5.136,78.92,16.906,7447.513
11001001200,2367.92,0,0,26.46,12.824,51.296,186.864,1167.9,22.577,14,0,34.773,64.735,52.911,1376.43,27.742,4.494,41.37,76.69,0,0,125,7.8,0,2.157,0,8.768,3.02,43.239,61.593,0,50.044,1202.68,7033.287
11001001301,1301.5,0,0,0,0,0,62.288,1374,0,72.1,74.9,16.291,18.739,17.83,91.107,0,0,75.161,3.741,0,0,0,7.2,0,0,0,2.984,6.7,12.447,92.983,0,14.641,0,3244.612
11001001302,629.126,0,0,18.9,147.476,38.472,342.584,3984.6,1.178,0,15.729,134.29,37.077,79.256,335.765,9.416,0,50.943,95.337,0,0,16.6,5.64,5.8,0,0,6.224,5.378,225.253,59.207,0,110.232,10.807,6365.291
11001001401,1516.48,0,0,0,0,51.296,93.432,480.9,0,2.8,0,41.026,15.515,18.761,122.814,5.522,0,18.641,3.21,0,0,5.1,4.905,0,144,0,12.15,0.57,32.501,0,0,27.172,0,2596.795
11001001402,1963.29,0,0,22.68,19.236,38.472,31.144,480.9,0,0,8.132,25.347,5.564,25.709,212.206,3.638,0,52.526,8.314,0,0,1.14,9.044,0,0,0,5.991,2.669,21.507,0,0,24.723,0,2962.231
