Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
12001000200,1313.31,0,285.39,396.9,192.36,269.304,529.448,412.2,44.425,455.8,0,180.208,96.097,99.458,152.462,11.93,177.513,126.618,99.921,0,0,3.5,25.621,0,0,0,12.06,1,123.9,0,27.606,78.081,49.315,5164.428
12001000301,970.788,0,277.83,241.92,256.48,153.888,93.432,137.4,0,13.3,2.04,342.752,45.451,253.368,351.708,11.342,0,139.739,93.208,68.694,0,8.599,31.042,8.303,0,0,93.59,15.56,113.585,49.678,0,50.68,19.795,3844.172
12001000302,1325.88,74.448,162.54,143.64,128.24,153.888,31.144,0,19.153,16.8,0,475.091,163.857,130.979,207.354,6.794,0,24.082,36.387,0,0,31.5,94.711,14.523,0,0,79.012,35.739,106.457,8.24,0,40.443,11.878,3522.78
12001000400,2612.04,22.56,0,90.72,166.712,230.832,31.144,68.7,3.658,42.7,8.453,456.445,238.812,285.589,120.34,37.896,0,0.981,45.664,0,0,139.3,44.361,2.7,1.8,0,107.803,12.22,111.177,28.034,5.243,82.925,0,4998.809
12001000500,2324.58,36.096,241.92,192.78,243.656,128.24,186.864,68.7,81.962,240.8,2.889,334.63,52.155,226.107,689.637,63.971,3.433,68.263,279.894,2.354,0,38.5,115.687,41.422,0,0,83.196,12.66,179.648,383.32,19.26,116.706,119.876,6579.206
12001000600,1626.87,15.792,77.49,30.24,230.832,179.536,62.288,0,0,6.6,1.391,56.598,3.195,56.683,133.752,0,0,0,11.57,0,0,11.5,0.881,0,0,0,10.311,3.05,106.952,18.618,0,33.597,0,2677.746
12001000700,3065.72,78.96,132.3,158.76,102.592,38.472,0,0,6.419,14,0,78.568,143.065,155.449,180.141,0,0,6.271,19.871,0,0,15.12,44.223,12.7,0,0,65.28,12.991,94.963,9.737,189.661,67.866,0,4693.129
12001000806,42.672,0,56.7,86.94,128.24,269.304,436.016,137.4,115.346,113.1,0,54.142,31.629,38.306,62.146,2.443,19.902,8.06,23.393,0,0,22.979,2.641,0,0,0,42.552,0.73,0,0,0,0.57,28.248,1723.459
12001000808,276.701,0,13.23,136.08,262.892,705.32,311.44,206.1,0,0,0,28.246,2.461,8.154,31.391,0,0,2.851,4.602,0,0,1.2,3,1.08,0,0,1.221,0.73,9.059,0,0,0,0,2005.758
12001000809,176.784,0,0,94.5,76.944,205.184,155.72,206.1,21.614,192,74.9,0,0,39.004,18.005,0,11.021,5.35,83.878,0,0,0,0,0,0,0,0,0,16.452,7.597,0,3.21,0,1388.263
12001000901,48.006,10.152,3.78,49.14,185.948,141.064,31.144,0,0,815.2,0,11.449,0,1.563,2.305,0,0,0,32.587,0,0,0,0,0,0,0,1.7,0,22.256,0,0,1.14,0,1357.434
12001000902,2.667,0,7.56,3.78,6.412,12.824,0,0,30.067,2349.2,0,49.273,10.271,40.307,117.753,2.568,1149.5,132.102,30.709,0,0,0,7.9,3.241,0,0,0,67.8,34.079,98.975,0,104.753,1181.81,5443.551
12001001000,2995.8,54.144,124.74,124.74,173.124,294.952,249.152,0,3.658,66.2,4.601,141.662,23.615,138.093,228.389,2.033,0,28.186,101.648,2.815,0,0,29.518,1.2,0,0,34.644,9.53,207.492,0.952,0,21.829,127.212,5189.93
12001001100,4715.73,0,0,22.68,179.536,102.592,186.864,206.1,0,0,4.922,101.706,26.919,82.541,298.091,16.584,14.873,98.357,89.815,0,0,2.44,22.851,8.4,0,0,36.891,19.441,89.82,7.8,3.745,106.29,10.914,6455.901
12001001201,1685.64,0,7.56,56.7,109.004,0,0,68.7,4.708,0,1.02,22.309,1.07,12.84,65.002,0,0,17.12,10.132,0,0,2.9,2.4,0.401,0,0,16.35,3.66,22.773,0,0,1.14,0,2111.428
12001001202,3863.53,0,47.25,162.54,64.12,243.656,186.864,0,0,6.3,16.05,26.597,21.708,55.587,123.556,4.387,26.536,18.695,20.051,0,0,7.3,4.722,7,0,0,39.363,3.52,98.081,10.7,0,30.142,0,5088.254
12001001203,1478.38,12.408,75.6,249.48,314.188,128.24,0,68.7,14.017,9.1,0,227.96,67.664,53.12,117.24,4.28,0,10.914,32.766,1.103,0,0,6.143,3,0,0,28.755,19.83,35.524,4.494,0,7.98,0,2970.886
12001001400,1229.77,260.568,0,11.34,0,0,0,0,0,317.4,0,22.793,10.663,14.02,24.019,0,0,0.981,6.006,2.205,0,0,2,0,0,0,14.822,3.66,39.787,75.756,0,44.833,0,2080.623
12001001514,0,0,0,0,294.952,397.544,124.576,137.4,0,0,0,2.675,0,10.807,5.2,0,0,0.92,60.669,2.354,0,0,1.761,0,0,0.037,0,0,4.815,47.08,0,0,26846.4,27937.19
12001001515,117.348,0,162.54,752.22,1147.75,474.488,218.008,274.8,0,0,0,11.236,5.325,2.299,12.596,0,0,0,13.875,0,0,0,2.642,0,0,5.405,1.69,0,7.749,0,0.357,0,0,3210.328
12001001516,36.0045,14.664,11.34,211.68,352.66,359.072,186.864,68.7,0,0,0,0,2.13,0,18.832,0,0,1.471,0,0,0,0,2.642,2.161,0,0,3.15,0,8.115,0,0,0,0,1279.485
12001001517,278.702,21.432,77.49,638.82,647.612,436.016,155.72,137.4,0,110.6,28.783,5.135,8.561,17.286,39.784,0,4.815,2.453,1.383,0,0,0,4,0,0,1.9,7.5,0,15.863,0,0,0,0,2641.254
12001001519,202.692,0,30.24,83.16,147.476,461.664,31.144,0,65.377,0,0,33.276,124.419,38.627,572.868,0,0,6.206,60.241,2.354,0,0,48.2,0,0,0,167.02,2.19,5.029,14.338,0,0,0,2096.521
12001001520,184.023,94.752,26.46,189,391.132,243.656,62.288,0,46.866,79.1,0,14.841,2.354,3.125,24.973,0,0,3.103,38.307,0,0,0,0,0,0,0,2.611,0,0,0,0,0,0,1406.591
