Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
13001950100,1504.28,730.944,0,11.34,0,38.472,0,0,0,3.4,0,26.55,17.025,20.536,22.919,0,0,0,2.782,0,0,1.182,8.083,0,2.8,0,32.627,21.206,17.762,1.391,10.189,14.017,3.424,2490.929
13001950200,1736.22,862.92,58.59,41.58,0,0,0,0,19.049,26.9,7.919,146.968,79.201,71.422,170.984,7.123,0,17.397,54.198,1.139,0,162.481,5,42.4,0,14.3,64.682,21.146,106.257,0,0,11.832,0,3729.708
13001950300,2344.1,550.464,128.52,49.14,44.884,0,0,0,23.112,86.1,16.799,343.411,203.604,221.75,759.879,18.083,48.15,46.714,78.99,12.53,0,294.614,38.562,10.9,11,0,214.676,18.74,98.393,46.194,0,79.135,0,5788.443
13001950400,786.956,323.736,0,0,0,0,0,0,0,0,0,17.668,10.525,7.918,7.766,0,0,0,10.931,0,0,0,0,6,0,0,12.719,43.565,9.907,3.642,21.887,0,0,1263.22
13001950500,1440.94,992.64,0,0,0,0,0,0,0,0,0,26.178,17.185,29.434,59.745,0,0,0,20.035,0,0,6.364,2,0,1.642,0,40.667,124.46,39.622,0,5.66,22.594,0,2829.166
13003960100,762.19,437.664,28.35,0,6.412,12.824,0,0,0,0,0,48.912,22.577,1.521,50.148,4.28,0,5.926,22.821,0,0,92,27.5,13.4,0,0,1.409,3.3,2.782,10.486,0,10.7,0,1565.202
13003960200,1355.03,1059.19,43.47,52.92,38.472,12.824,0,0,0,7.4,0,52.793,96.859,17.689,42.886,10.487,0,3.424,8.078,0,0,55.756,429.18,0,0,0,8.719,20.49,22.694,15.8,3.745,28.095,3.531,3389.532
13003960300,420.624,293.28,0,0,0,0,0,0,0,0,0,2.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.916,1.324,0,0,0,721.712
13005970100,1312.07,520.008,0,0,0,0,0,0,0,0,0,15.971,94.933,16.435,14.311,0,0,0,5.286,0,0,23.594,0,0,0,0,9.085,28.373,10.7,1.07,0,0,0,2051.836
13005970201,1899.86,557.232,20.79,0,70.532,0,0,0,7.169,65.7,0,134.455,111.63,71.394,113.688,1.536,6.848,31.672,35.913,0,0,75.074,9.5,223,0,0,90.938,30.397,115.731,11.82,3.745,41.58,3.745,3733.949
13005970202,1546.86,540.312,39.69,86.94,0,0,0,0,29.425,19,0,139.124,317.297,66.164,118.695,0,71.69,7.186,29.565,1.605,0,2.4,10.04,8.6,0,0,26.506,60.017,26.247,1.498,0,12.947,0,3161.808
13007960100,1140.14,301.176,5.67,0,19.236,0,0,0,0,0,0,17.733,20.492,12.08,16.724,0,0,3.103,4.347,0,0,29.551,39.2,7.1,0,0,4.196,24.951,26.996,13.275,6.038,14.552,0,1706.56
13007960200,437.579,260.568,0,0,32.06,0,62.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.495
13009970100,2288.38,1271.26,0,0,0,0,0,0,1.926,0,12.305,42.589,26.929,28.259,65.574,0,0,14.34,39.049,0,0,15.858,2.942,10.825,1.642,0,31.982,17.076,53.627,55.854,3.21,5.029,0,3988.656
13009970200,3170.59,833.592,357.21,173.88,153.888,12.824,0,0,0,14,4.387,148.734,77.109,49.166,152.526,0,0,27.17,63.314,0,0,69.6,20.68,3.1,0,0,43.814,14.838,79.924,62.816,0,6.12,0,5539.282
13009970300,3523.49,507.6,47.25,102.06,205.184,0,0,0,32.635,2.1,0,431.435,91.007,101.691,168.502,23.54,0,34.876,79.962,13.589,0,3.7,103.678,7,0.58,0,66.852,11.829,37.866,3.306,3.21,20.202,0,5623.145
13009970400,2099.12,60.912,258.93,200.34,89.768,38.472,0,0,18.297,85.4,2.354,476.542,99.83,176.731,188.146,5.349,0,116.144,140.17,0,0,15.4,51.331,0,0,0,53.203,2.47,50.247,104.432,35.85,37.251,70.62,4477.31
13009970500,2035.49,457.968,81.27,98.28,115.416,115.416,124.576,0,0,604.2,3.531,116.668,24.004,40.928,101.97,17.334,82.711,74.931,57.93,1.498,0,67.364,4.581,42.777,0,0,42.697,16.6,98.876,63.745,0,35.158,13.482,4539.4
13009970600,1388.08,997.152,32.13,83.16,38.472,38.472,0,0,0,53.2,20.33,32.335,14.425,11.515,17.498,0,0,0.497,9.235,0,0,3,0,0,0,0,10.506,0,57.887,2.899,0,19.446,0,2830.239
13009970701,937.26,257.184,7.56,41.58,76.944,12.824,0,0,5.243,369.7,0,73.858,17.635,77.764,42.264,34.149,0,8.207,28.915,0,0,0,0,0,0,0,5.717,2.5,51.355,670.562,0,24.075,0,2745.296
13009970702,878.205,68.808,62.37,26.46,0,12.824,62.288,68.7,0,235.6,55.319,18.511,0,14.213,34.495,0,0,1.284,3.672,0,0,0,0,0,0,0,4.588,1.2,0,0,0,0,0,1548.537
13009970800,2654.24,1064.83,45.36,30.24,0,0,0,0,7.169,210.5,0,44.824,41.611,32.797,103.248,0,0,9.509,16.167,0,0,4.36,2,7.401,1.3,0,34.95,5.912,36.356,74.707,0,0,0,4427.48
13011970100,2135.12,868.56,11.34,18.9,0,0,0,0,9.737,0,5.243,96.632,31.596,70.74,58.712,4.601,0,7.061,22.651,0,0,136.162,3.962,24.466,0,0,56.453,29.062,33.969,1.987,0,0,0,3626.954
13011970200,1980.34,847.128,26.46,34.02,32.06,25.648,0,0,1.926,0,0,62.531,85.026,35.585,110.203,0,0,4.387,14.752,16.478,0,29.112,9.45,6.35,0,0,57.361,20.555,39.911,28.416,15.679,76.612,0,3559.99
13011970300,1974.82,461.352,75.6,45.36,19.236,0,0,0,27.993,0,0,335.006,71.586,34.335,77.263,0,0,11.888,32.652,0,0,56.42,18.864,6,2.4,0,76.282,19.88,56.975,5.298,0,1.605,0,3410.815
13011970400,1381.22,612.504,0,0,0,0,31.144,0,37.878,0,0,111.637,21.563,9.508,41.428,0,0,0,26.355,2.461,0,9.7,5.7,0,0,0,39.412,21.055,22.886,0,0,3.531,0,2377.982
