Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
15001020100,2798.68,0,48.36,137.64,28.385,11.354,0,0,17.969,9.8,0,12.733,6.74,5.505,25.331,4.495,0,1.926,7.383,0,0,0,1.8,0,0,0,7.143,71.01,21.259,15.816,0,1.134,0,3234.463
15001020202,1025.77,3.98,29.76,0,5.677,0,0,0,8.134,92.9,0,4.558,30.192,20.571,25.65,0,0,6.649,9.639,0,0,1.9,2.75,0,0,0,5.75,17.789,10.061,5.136,0,0,0,1306.866
15001020300,973.042,0,31.62,66.96,130.571,249.788,275.74,243.3,34.238,365.9,4.601,303.614,22.339,132.093,275.379,15.611,3.638,185.067,119.496,18.939,0,1,32.03,0,0,0,27.923,4.27,119.808,107.427,0,27.801,14.231,3786.426
15001020400,1352.99,4.975,106.02,44.64,90.832,45.416,82.722,60.825,5.029,25,1.712,145.262,47.484,92.288,210.557,32.742,0,92.726,72.201,0,0,4.3,10.281,0,0,0,15.783,5.05,12.091,247.056,74.365,32.228,0,2914.575
15001020500,1931.29,11.94,148.8,122.76,28.385,238.434,303.314,60.825,7.276,256.2,0,1727.68,258.666,180.486,384.497,37.985,0,82.555,161.965,0,0,34.36,25.023,76.891,1.211,0,91.18,16.199,111.717,76.135,2.675,29.853,106.352,6514.653
15001020600,2586.02,0,0,14.88,0,0,27.574,304.125,33.838,17.5,0,359.797,466.521,198.116,203.624,0,0,19.356,111.254,0,0,41.972,19.73,41.715,1.788,0,169.326,57.32,49.27,54.24,0,37.89,7.062,4822.918
15001020701,3013.11,7.96,0,37.2,11.354,0,27.574,0,0,7.7,0,79.23,30.703,14.799,33.256,7.062,0,13.496,38.616,0,0,0,3.7,10.555,0,0,13.771,0,32.581,0,0,1.006,0,3383.673
15001020702,3312.5,0,0,0,0,0,0,0,0,20.3,0,24.303,9.844,7.506,22.405,0,0,4.194,8.132,0,0,8.494,10.8,6.872,0,0,17.945,12.95,2.219,0,0,4.922,0,3473.386
15001020801,2502.04,0,9.3,0,11.354,0,0,0,0,174.3,34.347,8.547,7.145,8.239,19.149,0,0,0,3.149,0,0,0,4.625,0,0,0,18.72,3.749,6.883,0,0,0,0,2811.547
15001020802,3733.8,18.905,59.52,0,0,0,0,0,5.029,81.2,16.05,30.361,8.902,16.798,32.262,0,0,7.504,5.334,0,0,1.9,2.1,19.2,0,0,11.951,20.47,6.633,0,0,20.972,0,4098.891
