Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
16001000100,438.702,0,146.94,312.48,244.111,215.726,330.888,669.075,375.57,392,25.954,641.967,497.92,422.88,2983.1,73.787,558.433,386.6,503.568,24.989,0,19.617,122.622,91.5,1.484,1,162.096,36.302,458.78,1664.42,23.125,77.27,0,11902.91
16001000201,1477.3,0,35.34,148.8,79.478,113.54,0,60.825,3.174,221.9,19.367,12.331,10.171,22.519,57.309,0,4.28,168.323,6.691,0,0,1.154,2.078,0,0,0,17.763,0.56,11.701,138.886,0,29.147,0,2642.637
16001000202,3796.47,0,46.5,26.04,62.447,11.354,82.722,0,4.868,0,0,47.807,42.496,55.626,143.677,0,0,4.445,47.233,0,0,1.4,12.538,0,0,0,26.791,14.474,24.436,0,0,27.082,0,4478.406
16001000302,1666.26,0,0,55.8,62.447,34.062,82.722,60.825,0,78.4,56.282,146.258,30.938,29.28,37.23,4.387,0,1.605,42.14,0,0,7.308,7.2,0,0,0,81.252,9.901,6.206,0,0,10.185,0,2510.688
16001000303,882.173,28.855,0,37.2,56.77,295.204,0,60.825,2.996,2.8,26.75,68.881,22.085,28.716,127.848,6.643,0,14.022,53.5,0,0,3.508,6.401,0,1.1,0,18.569,3.15,17.021,4.708,0,4.269,0,1773.994
16001000304,4065.94,146.265,16.74,197.16,0,11.354,0,0,0,0,4.601,106.22,27.59,83.895,122.378,10.77,0,3.868,55.316,0,0,4.254,8.207,2,0.45,0,39.799,20.703,17.892,0.328,0,27.83,0,4973.561
16001000400,2057.94,111.44,265.98,275.28,170.31,147.602,220.592,121.65,3.174,34.3,0,110.327,16.306,58.426,120.423,10.594,0,17.088,45.824,0,0,7.5,3.8,0,0,0,76.996,5.922,49.788,31.234,0,25.616,0,3988.112
16001000500,3662.21,0,208.32,85.56,102.186,0,0,0,4.815,33.6,2.059,55.877,38.419,69.461,103.626,0,0,12.236,20.718,3.383,0,1.154,10.263,2.391,1.2,0,41.994,16.192,29.048,0,0,28.732,0,4533.443
16001000600,2710,0,284.58,517.08,11.354,34.062,82.722,60.825,5.029,0,0,67.895,38.391,50.269,117.858,0,0,22.09,48.637,5.671,0,20.462,5.6,1.8,0,0,25.188,7.852,16.975,0,0,33.288,0,4167.628
16001000701,2552.83,0,79.98,141.36,79.478,158.956,82.722,243.3,0,48.3,4.922,65.698,18.733,24.539,193.001,35.952,0,29.651,54.718,0,0,1.8,1.798,0,0,0.718,36.211,26.433,35.845,107.535,0,43.163,0,4067.643
