Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
17001000100,2778.81,147.15,15.348,102.32,11.018,0,0,0,30.174,16.1,0,606.139,251.452,136.997,655.543,27.499,0,21.079,72.653,0,0,8112.16,1420.78,79.4,113.2,0,38.175,31.6,39.851,102.452,0,12.733,187.25,15009.88
17001000201,1078.91,131.89,10.232,35.812,0,0,0,0,2.087,14,0,139.71,112.671,51.97,86.352,7.49,0,0,9.63,1.498,0,350.301,166.9,0,0,0,46,6.38,19.046,3.21,0,0,0,2274.089
17001000202,1472.84,5.45,74.182,25.58,0,0,0,0,0,228.9,0,0.856,5.618,37.305,15.698,1.819,0,14.873,9.331,0,0,0,0,0,0,0,20.291,1.2,59.38,0,0,25.359,0,1998.682
17001000400,1203.93,93.74,240.452,276.264,33.054,55.09,53.516,0,0,412.3,35.31,96.07,173.233,24.073,130.54,0,0,8.025,22.741,0,0,1,0,4,0,0,67.762,2.189,15.823,54.249,0,8.667,0,3012.028
17001000500,1042.72,41.42,71.624,102.32,22.036,11.018,0,0,0,191.1,23.754,10.622,60.241,27.563,28.276,0,0,8.774,31.672,0,0,0,0,0,0,0,1.651,0,16.083,0,0,24.931,13.054,1728.859
17001000600,1904.25,0,138.132,255.8,110.18,11.018,0,0,5.35,12.4,4.066,141.561,35.738,96.565,117.061,26.907,9.523,35.763,162.776,3.539,0,11.8,8.2,31.349,0,0,29.173,6.079,36.808,0,0,60.904,0,3254.942
17001000700,125.281,10.9,76.74,358.12,88.144,11.018,26.758,295.125,98.924,54.5,0,317.043,317.258,269.418,284.251,72.974,540.778,59.92,227.336,5.029,0,118.638,74.6,6,0,0,61.413,4.9,66.848,47.094,12.519,52.029,0,3683.558
17001000800,858.015,3.27,194.408,225.104,121.198,22.036,0,0,14.873,112.7,139.1,60.177,57.459,42.543,73.975,0,0,20.45,44.747,3.959,0,287.4,8,5.823,0,0,103.331,0,32.821,4.708,0,19.26,0,2455.357
17001000900,1174.78,35.97,268.59,112.552,71.617,0,0,0,0,0,0,62.916,15.772,100.802,44.781,12.84,0,16.47,14.884,2.461,0,0,7.179,5,0,0,14.142,2.28,35.618,0,0,36.915,0,2035.569
17001001001,1916.94,32.7,140.69,0,0,11.018,0,0,0,0,0,18.463,47.187,28.26,24.626,8.667,0,6.608,18.354,0,0,1.364,2.5,2.4,0,0,24.233,0,12.412,1.605,0,18.511,0,2316.538
17001001002,1754.87,9.81,38.37,127.9,11.018,0,0,0,0,154,29.853,40.728,0,11.408,32.281,0,0,4.493,9.694,0,0,0,6.1,0,0,0,18.891,7.9,32.581,0,0,8.346,0,2298.243
17001001100,3664.27,104.64,214.872,97.204,93.653,88.144,80.274,118.05,32.314,14,0,202.008,94.333,103.734,174.347,7.918,15.515,79.693,178.475,11.663,0,38.9,15.53,7.498,1.8,0,61.752,21.876,160.212,9.095,0,32.956,11.235,5735.96
17001010100,2567.1,111.18,0,15.348,16.527,22.036,0,0,3.959,49,6.42,47.476,26.108,48.634,28.319,7.597,0,2.14,15.851,0,0,25.338,5.5,3.2,0,0,33.253,154.126,46.839,8.295,12.699,49.862,0,3306.807
17001010200,1839.77,179.85,125.342,76.74,11.018,0,0,0,21.027,69.3,0,82.84,81.214,60.626,46.578,11.341,0,24.758,45.717,0,0,14.8,83.3,7.899,0,0,47.315,179.109,64.675,21.444,5.772,35.738,0,3136.173
17001010300,3238.95,218,46.044,30.696,0,0,0,0,0,0,0,29.874,30.602,23.787,44.054,2.568,0,0,10.494,0,0,8.791,1.2,11.323,0,0,19.63,97.803,52.217,7.881,22.222,58.529,0,3954.665
17001010400,1966.5,62.13,0,0,0,0,0,0,0,0,0,35.524,156.265,64.523,164.944,0,0,3.745,9.309,0,0,63.601,70,12.919,12.6,0,69.287,61.727,30.606,2.489,0,5.885,0,2792.054
17001010500,1444.72,208.19,0,71.624,55.09,0,0,0,8.881,0,0,27.393,40.446,16.996,37.772,8.453,0,1.712,35.952,0,0,55,259.8,3.1,0,0,29.372,37.39,22.897,0,0,0,0,2364.788
17001010600,2627.64,536.28,0,66.508,5.509,55.09,0,0,0,7.7,26.037,188.832,219.02,77.87,97.138,0,0,13.374,50.269,2.675,0,35.6,11.227,119.2,3.5,0,86.797,81.446,41.561,2.996,0,0,88.81,4445.08
17003957600,1217.99,297.57,0,0,5.509,0,0,0,1.819,58.6,0,20.565,7.598,31.351,7.773,4.066,0,2.354,17.755,0,0,4.6,0,0,40.6,0,4.792,12.72,17.213,55.213,4.329,23.326,0,1835.743
17003957700,1023.6,338.99,2.558,61.392,0,0,0,0,16.264,0,0,7.276,4.601,4.441,9.305,0,0,0.584,4.494,0,0,0,3.3,0,0,0,8.47,26.16,20.53,4.147,6.638,1.498,0,1544.248
17003957800,875.679,56.68,5.116,66.508,38.563,0,0,0,8.025,0,1.157,82.103,98.976,147.396,62.498,3.959,0,3.959,17.455,0,0,17.2,0,0,0,0,10.371,1.969,48.872,1.391,0,28.141,2.782,1578.8
17003957900,586.359,0,43.486,66.508,44.072,110.18,0,59.025,0,74.9,33.705,51.832,6.42,65.475,44.336,7.137,0,3.103,21.201,0,0,0,4.2,0,0,0,7.2,0,66.084,25.047,0,15.041,0,1335.311
17005951200,1678.73,285.58,0,51.16,0,0,0,0,18.19,0,0,30.029,1.177,52.917,25.91,1.926,0,3.638,9.095,0,0,0,65,0,0,0,13.413,64.81,19.902,6.395,0.866,28.569,0,2357.307
17005951300,2581.93,73.03,115.11,163.712,99.162,33.054,0,0,50.237,410,17.957,269,161.677,98.033,122.071,12.626,107,33.127,91.043,2.675,0,33.8,248.5,0,0,0,28.576,22.33,139.612,39.005,5.778,32.303,38.092,5029.439
17005951400,1718.34,206.01,12.79,0,0,0,0,0,4.174,0,0,20.429,18.083,24.877,21.169,0,0,0,8.56,0,0,7.5,5.5,0,0,0,12.754,56.169,3.531,2.489,9.235,11.951,0,2143.561
17005951500,2292.18,349.89,10.232,25.58,0,0,0,0,16.264,0,0,44.897,49.328,11.471,40.857,4.494,0,6.955,18.311,0,0,2.728,0,0,9.6,0,32.87,103.996,23.058,4.978,0,11.235,0,3058.924
17007010100,2906.58,0,335.098,353.004,352.576,154.252,0,0,5.404,7.1,0,204.136,228.551,78.854,97.729,13.985,0,33.592,100.73,0,0,122.928,43.15,3.199,0,0,47.046,10.05,51.514,20.144,21.293,45.582,0,5236.497
17007010200,2399.54,70.85,225.104,158.596,66.108,11.018,0,118.05,4.815,83.3,3.103,218.339,101.523,98.446,294.223,50.825,1.926,30.142,75.036,0,0,2222.5,27.506,31.1,0,0,31.288,3.019,100.156,9.758,0,75.007,0,6511.278
17007010300,2208.41,677.98,122.784,61.392,93.653,22.036,26.758,59.025,0,28,0,108.81,48.985,56.393,31.434,5.243,80.25,18.404,17.256,0,0,3.6,107.552,0,0,0,17.631,1.5,24.717,6.206,0,21.935,4.601,3854.556
17007010400,3123.27,417.47,38.37,15.348,5.509,0,0,0,26.108,0,0,125.082,293.349,257.701,204.042,0,0,6.419,34.277,0,0,569.128,181.952,0,18,0,608.261,108.387,26.321,1.244,0,9.737,0,6069.975
17007010500,6695.87,0,7.674,0,0,0,0,0,0,56,0,50.057,49.864,26.194,96.016,17.013,0,9.638,36.573,0,0,13.2,6.1,4.2,0,0,86.392,63.723,34.93,22.37,5.457,14.541,0,7295.813
17007010601,2047.11,33.79,15.348,46.044,16.527,22.036,0,0,0,0,0,18.15,18.886,33.83,24.069,3.638,0,2.247,19.56,0,0,134.064,12.052,0,0,0,53.545,139.757,99.408,11.075,6.927,43.763,0,2801.826
