Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
18001030100,2446.96,165.68,0,0,60.599,11.018,0,0,0,0,0,44.842,82.924,33.295,66.109,1.177,0,0,168.489,1.282,0,57.7,13.594,0,0,0,47.694,122.962,71.392,0.405,10.174,51.4,0,3457.696
18001030200,2549.35,55.59,181.618,0,137.725,99.162,26.758,0,62.808,7,7.276,446.733,138.143,142.521,118.827,21.4,0,33.385,99.503,5.35,0,421.111,102.694,58.7,0,0,72.62,21.73,93.811,7.768,0,18.939,2.044,4932.566
18001030300,2580.22,92.65,104.878,179.06,110.18,33.054,53.516,0,0,98.2,67.344,127.942,59.829,86.421,132.753,9.844,171.2,37.985,63.726,0,0,301.837,18.2,72.5,0,0,43.118,15.103,149.024,34.78,8.77,111.092,0,4763.226
18001030400,1695.19,40.33,0,0,0,0,0,0,0,0,0,40.18,29.96,33.052,53.632,0,0,0,19.688,0,0,121.6,18.2,16.9,0,0,31.548,114.632,28.379,4.708,0,0,0,2247.999
18001030500,2084.58,28.34,23.022,25.58,0,0,0,0,0,0,0,192.076,112.02,32.957,22.584,0,0,0,2.782,0,0,70,12.799,5.2,8.5,0,23.997,126.622,31.805,7.918,0,28.89,0,2839.672
18001030600,1496.85,34.88,15.348,107.436,60.599,154.252,26.758,0,15.301,37.8,37.45,201.815,316.87,73.363,83.194,15.087,0,24.962,49.495,0,0,286.9,806.7,16.5,32.4,0,47.32,33.736,86.055,8.889,0,28.569,0,4098.529
18001030700,2502.01,32.7,61.392,20.464,27.545,22.036,26.758,59.025,21.079,95.9,196.988,80.25,16.042,52.128,37.375,8.56,0,20.518,13.525,0,0,114.383,6.7,32.8,3.684,0,38.43,93.662,36.378,8.695,9.121,18.002,0,3656.15
18003000100,1574.28,0,0,15.348,0,0,0,0,0,0,0,57.58,23.827,48.502,31.463,45.154,0,11.191,35.1,1.605,0,2,11.6,0,0,0,12.756,0.98,20.437,10.165,0,134.969,0,2036.957
18003000300,1930.23,0,81.856,25.58,11.018,33.054,0,0,0,0,2.46,83.946,29.869,16.274,53.666,5.885,0,27.7,13.507,0,0,0,9.1,0,0,0,17.262,0,19.474,0,0,31.565,0,2392.446
18003000400,1066.82,22.89,260.916,327.424,137.725,22.036,0,0,0,0,0,107.932,53.982,81.922,71.623,0,0,111.922,41.837,0,0,2.943,3.37,0,0,0,14.948,0,29.825,0,0,14.873,0,2372.988
18003000500,766.948,15.26,58.834,143.248,22.036,22.036,160.548,354.15,0,114.8,65.163,104.334,17.227,26.293,56.263,0,0,1.712,86.781,0,0,7.8,0,0,0,0,50.726,4.9,27.792,27.82,0,1.191,0,2135.862
18003000600,879.452,0,286.496,30.696,11.018,0,0,0,0,50.4,0,29,102.151,42.044,53.853,0,0,4.28,28.102,0,0,40.425,29.97,1.5,0,12,33.574,1.038,30.652,0,0,27.452,0,1694.103
18003000701,1693.22,0,150.922,76.74,49.581,0,0,0,0,2.1,0,91.19,6.329,47.353,38.675,0,1.926,4.922,41.302,0,0,0,90.9,113.069,0,0,29.756,1.038,51.172,0,0,15.729,0,2505.925
18003000704,604.795,11.99,196.966,71.624,22.036,176.288,267.58,59.025,0,33.7,6.527,220.637,171.323,284.606,96.06,0,0,12.689,66.112,0,0,19.4,9.989,137.308,0,0,72.49,1.038,76.317,0,0,27.345,0,2645.845
18003000800,2488.12,8.72,66.508,0,0,11.018,0,118.05,0,0,0,85.6,16.091,45.553,48.087,23.54,0,7.811,61.097,0,0,2.7,8.194,0,0,0,15.312,4,54.088,0,0,28.462,0,3092.951
18003000900,1679.33,19.62,53.718,102.32,0,0,0,0,0,134.2,0,17.016,63.55,33.787,27.966,6.42,0,6.884,21.293,0,0,110.7,27.7,35,0,0,27.06,0.65,36.861,0,0,0,0,2404.075
18003001000,612.255,0,115.11,107.436,22.036,0,0,0,0,0,0,286.124,95.503,126.542,113.433,0,0,0,32.4,0,0,20.5,4.9,22.614,91.7,0,19.226,52.945,22.042,0,0,29.755,0,1774.521
18003001100,606.338,8.72,161.154,358.12,99.162,0,107.032,59.025,5.243,37.1,0,13.647,5.004,34.448,30.33,0,71.155,80.143,6.891,0,0,0,1.6,0,0,0,5.65,0,29.639,12.733,0,60.778,0,1793.912
18003001200,144.917,0,127.9,71.624,38.563,55.09,53.516,177.075,14.083,184.1,0,131.836,95.764,210.628,580.423,32.528,4.494,32.408,59.225,0,0,65.5,507.7,414.3,0,0,44.804,51.816,283.318,63.462,43.87,294.464,0,3783.408
18003001300,290.864,0,43.486,40.928,38.563,11.018,80.274,236.1,0,409.2,0,102.252,251.58,177.052,1474.86,142.952,0,68.09,141.519,16.69,0,22.656,44.358,9.2,0,0,22.66,5.276,183.58,326.018,6.741,234.312,0,4380.229
18003001600,963.744,14.17,53.718,117.668,38.563,33.054,0,0,0,54.6,0,77.214,956.086,56.082,2075.74,3.541,0,0,17.887,0,0,781.8,336.282,26.4,265.5,0,93.022,2.726,78.455,8.881,0,31.421,0,6086.554
18003001700,412.457,0,10.232,71.624,82.635,187.306,53.516,118.05,0,3.8,0,18.572,129.445,36.454,103.907,0,0,3.398,8.774,0,0,110.2,52.4,0,50,0,33.881,1.038,87.709,0,49.541,25.532,0,1650.471
18003002000,1159.34,0,317.192,291.612,110.18,0,80.274,59.025,1.782,28.1,61.508,135.075,58.636,95.472,45.414,1.148,1.284,8.351,132.472,0,0,10.74,31.1,2.4,0,0,32.712,10.209,108.712,0,0,0,0,2782.738
18003002100,787.614,35.97,309.518,240.452,11.018,11.018,26.758,0,0,0,0,36.12,65.689,20.235,37.675,3.959,0,4.526,24.632,0,0,12.1,8.577,6,510.3,0,18.924,0,23.405,0,0,0.595,0,2195.085
18003002200,2089.56,5.45,84.414,107.436,170.779,33.054,0,59.025,10.692,0,0,127.608,346.976,161.923,479.196,1.148,0,31.939,106.886,0,0,574.1,92.821,8.4,7,0,144.889,27.202,69.44,21.977,0,97.793,3.424,4863.132
18003002300,2297.24,122.08,33.254,56.276,71.617,55.09,0,0,0,0,0,35.38,17.029,112.044,22.149,0,0,12.644,3.567,0,0,0,0,0,0,0,9.75,1.038,101.809,0,0,65.462,0,3016.429
18003002500,1818.33,0,194.408,0,0,0,0,0,3.564,3.5,0,21.996,2.782,15.954,33.904,0,0,8.088,16.564,0,0,2.843,8.753,0,0,0,11.328,5.132,31.91,0,0,37.485,1.926,2218.467
18003002600,1705.57,0,258.358,15.348,11.018,0,0,0,0,0.7,0,95.755,24.456,108.77,36.838,0,16.371,19.92,22.268,0,0,0,30.5,0,0,0,14.538,5.191,56.84,0,0,53.56,0,2476.001
18003002800,1044.18,0,28.138,76.74,0,0,0,0,0,35.7,0,26.609,5.218,54.519,7.714,0,0,0,5.878,0,0,0,2.3,0,0,0,0,1.038,82.576,0,0,29.498,0,1400.108
18003002900,1156.08,33.79,2.558,25.58,5.509,0,0,0,0,0,0,30.594,16.255,40.27,6.883,0,0,0,18.083,0,0,1.5,1.094,0,0,0,13.812,1.1,15.22,0,0,0,0,1368.328
18003003000,1852.11,26.16,7.674,0,0,0,0,0,0,0,0,24.258,3.975,50.736,14.162,0,0,0,14.11,0,0,1.6,4.376,0,0,0,0.9,1.978,51.653,0,0,14.338,0,2068.03
18003003100,1412.65,0,23.022,0,0,0,53.516,0,0,0,0,170.2,53.689,83.031,51.296,13.054,0,0,68.335,0,0,31,19.182,0,0,0,22.536,9.3,28.515,0,0,30.354,0,2069.68
