Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
19001960100,1445.57,89.38,10.232,153.48,11.018,0,0,0,44.298,59.5,22.446,82.944,107.887,50.627,52.271,10.807,0,11.417,101.938,0,0,8.278,44.94,3.694,0,0,30.688,256.013,39.49,8.794,12.071,1.712,0,2659.495
19001960200,1295.68,15.26,0,20.464,11.018,0,0,0,4.708,0,0,26.108,23.552,46.141,26.283,2.461,0,0,12.23,0,0,3.9,4.231,0,0,0,14.024,219.621,14.077,2.493,7.243,25.787,0,1775.281
19001960300,1954.09,21.8,7.674,107.436,33.054,22.036,0,0,8.774,45.6,28.462,145.149,37.158,92.679,74.542,13.268,28.249,14.766,33.299,5.029,0,80.7,8.1,0,0,0,34.48,63.482,89.922,40.392,3.745,36.594,0,3030.48
19003950100,1300.32,11.99,0,0,0,0,0,0,6.42,2.8,0,19.187,30.454,13.727,48.454,1.926,42.8,0,8.452,0,0,17.374,0.94,0,0,0,19.36,189.741,19.12,4.992,0,11.342,0,1749.399
19003950200,1349.6,58.86,40.928,92.088,11.018,22.036,0,0,19.325,74.6,30.709,153.897,47.027,54.4,61.357,18.511,0,30.789,34.302,7.062,0,78.029,15.487,0,0,0,37.452,58.277,61.239,28.771,0,43.135,0,2428.899
19005960100,1438.35,251.79,23.022,25.58,16.527,22.036,0,0,26.173,37.1,41.195,92.58,21.529,17.803,27.225,6.741,0,3.745,27.207,0,0,30.645,5.043,0,0,0,25.658,63.888,24.088,2.078,10.347,40.35,0,2280.699
19005960200,1399.91,176.58,25.58,30.696,5.509,0,0,0,6.42,21.7,0,44.776,36.11,14.626,33.68,13.161,0,1.926,20.544,0,0,17.4,33.8,2.2,4.284,0,23.809,195.195,27.392,24.319,6.553,27.348,0,2193.518
19005960300,2015.24,183.12,207.198,138.132,66.108,55.09,26.758,0,14.552,90.8,78.984,283.102,105.395,129.038,83.46,18.404,11.877,29.632,94.002,0,0,79.758,45.2,27.7,7.713,0,48.729,57.719,83.291,17.538,0,88.168,2.782,4089.49
19005960400,2058.84,477.42,5.116,20.464,0,0,0,0,17.698,6.1,0,54.554,6.57,15.01,48.063,0,0,0,16.467,0,0,19,13.69,10.3,0,0,22.764,120.073,21.521,10.304,8.622,14.371,0,2966.947
19005960500,1708.99,31.61,58.834,56.276,38.563,22.036,0,0,0,37.1,22.256,57.459,80.801,58.454,60.008,8.132,0,17.559,25.285,0,0,12.503,50.586,130,0,0,42.597,163.094,54.63,7.963,0,48.825,0,2793.561
19007950100,1556.77,150.42,12.79,51.16,16.527,0,0,0,6.164,0,0,30.033,44.094,36.538,40.096,5.35,0,1.498,12.074,0,0,16.748,3.5,0,0,0,21.735,98.867,29.205,26.166,6.206,37.18,0,2203.121
19007950200,1279.68,138.43,0,0,0,0,0,0,24.138,0,0,16.33,19.838,11.01,31.273,0,0,0,8.75,0,0,27.2,2.2,2,0,0,26.422,72.816,26.215,11.369,9.657,4.708,0,1712.036
19007950300,1200.73,146.06,53.718,255.8,99.162,11.018,53.516,118.05,57.245,35.8,37.854,271.441,51.514,112.483,86.838,20.865,92.02,30.816,50.476,1.498,0,4.6,9.343,0,136.7,0,5.584,44.24,65.05,27.288,3.959,39.162,27.169,3149.999
19007950400,1556.77,168.95,17.906,30.696,5.509,22.036,0,0,0,43.4,0,95.742,83.107,66.43,114.457,5.457,0,9.095,71.644,0,0,153.399,117.058,116,0,0,20.572,15.967,68.183,16.264,0,75.925,0,2874.567
19007950500,1230.66,130.8,0,0,0,0,0,0,0,0,0,52.414,34.754,17.739,15.352,0,0,0,12.519,0,0,35,1.6,0,3.2,0,12.37,77,6.801,4.394,0,5.243,0,1639.846
19009070100,1326.64,3.27,15.348,10.232,5.509,0,0,0,3.317,0,3.103,36.553,110.87,20.501,53.03,2.14,0,0,26.525,0,0,36.6,1.043,12.5,0,0,19.967,290.942,22.972,2.078,0,1.712,0,2004.852
19009070200,1516.27,0,58.834,61.392,38.563,0,0,0,0,54.2,21.721,84.808,58.14,53.477,74.662,10.165,20.651,16.798,28.226,3.21,0,81.929,126.199,0,0,0,43.576,41.451,107.224,14.92,7.383,53.072,2.782,2579.653
19009070300,1137.52,8.72,0,10.232,0,0,0,0,3.317,39.2,17.334,33.885,29.773,20.779,12.433,4.815,0,9.931,17.216,0,0,15,33.389,2.1,0,0,18.918,101.953,39.376,8.77,0,24.182,0,1588.843
19011960100,1654.81,61.04,0,0,22.036,11.018,0,0,5.35,0,0,47.451,27.464,27.605,31.297,3.852,0,2.14,16.36,0,0,19.1,3.7,58.346,0,0,37.264,65.379,20.961,5.86,0,2.044,0,2123.077
19011960200,1995.37,68.67,5.116,30.696,5.509,22.036,0,0,7.704,0,0,66.014,63.971,37.84,53.489,8.987,0,9.202,42.629,0,0,7.987,0,0,8.413,0,47.065,233.705,41.041,3.74,6.208,18.939,0,2784.331
19011960300,2748.47,116.63,120.226,153.48,77.126,11.018,26.758,0,5.243,135.4,16.906,252.249,117.973,114.997,117.096,14.338,75.863,24.472,98.929,6.634,0,33.8,75.887,14.7,8.7,0,60.376,40.796,72.239,46.203,3.449,86.2,0,4676.158
19011960400,1850.89,215.82,12.79,5.116,0,0,0,0,0,16.1,6.848,32.553,30.966,27.271,29.072,3.103,0,2.14,15.627,0,0,16.899,5.5,0,0,0,49.958,90.15,23.553,5.621,0,34.257,0,2474.234
19011960500,3123.86,20.71,30.696,138.132,33.054,11.018,0,0,0,0,0,160.848,791.166,45.74,82.629,13.14,0,3.9,30.94,0,0,10.5,2.8,83.787,0,0,83.236,163.803,61.868,7.897,10.347,42.276,0,4952.348
19011960600,1640.88,66.49,5.116,25.58,5.509,11.018,0,0,0,25.9,21.4,41.219,78.395,58.47,46.476,3.425,0,0.942,24.492,0,0,34.4,4.143,14.657,0,0,26.53,145.633,43.976,2.494,12.761,13.696,0,2353.602
19011960700,1544.65,20.71,46.044,143.248,5.509,11.018,0,0,2.055,35.7,14.659,110.448,50.105,50.104,61.461,2.14,23.346,13.803,36.667,0,0,0,24.787,0,0,0,18.214,13.438,47.903,11.308,5.992,46.876,5.136,2345.321
19013000100,326.456,0,51.16,306.96,93.653,11.018,80.274,177.075,121.338,227.2,0.951,103.629,151.008,186.684,439.471,62.169,1.926,12.409,161.517,3.852,0,17.8,67.949,28.994,0,0,60.164,7.379,137.89,341.411,44.726,109.347,20.376,3354.786
19013000200,1124.88,19.62,112.552,179.06,88.144,44.072,0,0,0,0,0,61.39,23.369,81.077,79.724,0,0,31.244,29.904,0,0,0,4.043,9,0,0,11.6,0,385.307,0,0,203.562,0,2488.548
19013000300,892.422,10.9,381.142,117.668,170.779,11.018,80.274,59.025,19.902,12.6,3.317,17.512,2.247,50.47,57.589,1.712,0,11.342,21.358,0,0,0,3.13,0,0,0,8.657,0,41.698,5.778,0,0,18.511,1999.051
19013000400,878.49,0,10.232,61.392,0,22.036,0,0,0,0,0,116.922,548.111,60.9,57.137,0.76,0,0.91,38.637,0,0,220.701,14.4,0,2.5,0,51.668,0,53.495,0,0,45.713,0,2184.004
19013000500,980.4,0,0,0,0,0,0,0,0,0,0,31.94,108.955,8.174,27.538,0,0,0,41.019,0,0,70.4,3.843,0,0,0,10.157,0,5.41,1.819,0,45.713,0,1335.368
19013000700,457.95,19.62,130.458,71.624,38.563,22.036,0,0,0,10.6,0,31.517,38.948,36.711,7.191,0,0,4.815,7.054,0,0,20,7.5,0,0,0,45.29,2.038,5.959,1.177,0,32.652,0,991.703
19013000800,1618.95,277.95,173.944,0,5.509,0,0,0,0,0,0,61.058,266.317,87.825,42.125,6.955,0,0.803,13.724,0,0,32.389,35.187,29.199,0,0,13.977,3.319,30.923,4.28,0,12.412,0,2716.846
19013000900,647.58,0,66.508,97.204,49.581,44.072,80.274,59.025,73.616,3.5,0,1001.65,237.436,278.613,290.745,8.56,0,13.91,165.714,0,0,45.759,6.473,20,0,0,89.008,4.919,40.686,18.94,0,0,0,3343.773
19013001000,2106.57,0,61.392,0,0,0,0,0,0,0,0,32.364,35.738,32.79,30.854,2.354,0,2.889,20.972,0,0,23.5,5.786,0,2.2,0,19.808,9.969,34.882,0,0,35.917,0,2457.985
19013001100,1470.86,0,138.132,86.972,0,0,26.758,0,0,0.7,0,27.071,2.996,19.078,11.966,0,0,0,0.835,0,0,0,1.5,0,0,0,7.37,5.7,53.714,0,0,19.591,0,1873.243
19013001200,1501.56,0,51.16,15.348,0,0,26.758,0,0,4.2,0,43.596,4.815,22.78,36.479,0,0,76.933,6.807,0,0,0,3.7,0,0,0,11.7,5.177,24.791,2.909,0,1.712,0,1840.425
19013001301,1265.49,10.9,66.508,46.044,225.869,275.45,80.274,177.075,0,191.8,40.66,27.352,44.22,322.139,105.283,0,363.586,151.683,40.359,0,0,5.5,18.7,0,0,0,6.577,9.738,33.219,2.183,0,15.655,0,3526.264
19013001302,1555.74,32.7,25.58,15.348,314.013,88.144,26.758,59.025,0,56.7,17.548,28.904,14.381,45.87,200.243,5.885,0,75.708,23.55,0,0,0,6.63,2.1,0,0,23.83,13.577,23.735,0,2.354,58.774,0,2717.097
19013001400,2814.78,0,71.624,0,27.545,33.054,0,0,3.317,0,0,58.817,19.468,27.948,74.73,32.1,30.388,14.21,43.589,0,0,3.6,3.28,0,0,0,13.271,12.448,31.425,18.19,0,36.029,0,3369.813
19013001501,1419.52,0,38.37,107.436,165.27,143.234,53.516,0,14.304,67.2,21.185,87.508,245.709,60.377,181.688,0,0,36.831,55.075,2.568,0,0,13.667,0,0,0,19.49,21.3,61.115,11.314,0,11.128,0,2837.805
19013001502,2356.06,15.26,92.088,20.464,33.054,88.144,0,0,48.593,18.2,0,114.383,54.336,96.247,70.055,3.479,0,38.705,74.948,0,0,15.4,6.663,0,0,0,63.902,6.352,70.549,5.029,0,107.82,3.396,3403.127
19013001503,2398.88,11.99,0,25.58,44.072,0,0,0,2.301,30.1,0,182.092,143.709,205.525,103.578,0,21.186,12.646,43.875,19.26,0,20.2,35.674,14.2,0,0,45.871,5.42,58.029,6.741,0,29.672,0,3460.601
19013001600,1324.83,67.58,0,56.276,16.527,55.09,0,0,5.35,0,0.951,106.087,190.197,43.568,60.285,0,0,2.14,8.239,0,0,35.764,2.243,70.032,41,0,64.571,5.7,50.504,38.317,0,39.183,0,2284.434
19013001701,991.666,0,10.232,0,0,33.054,0,0,0,0,0,91.815,18.618,29.917,23.558,0,0,0,5.874,0,0,147,0,4.188,0,0,10.985,6.1,39.206,0,0,28.081,0,1440.294
19013001702,1065.54,8.72,71.624,35.812,66.108,88.144,0,0,19.795,5.6,0,98.444,137.952,26.182,486.286,5.35,454.001,75.435,36.414,0,0,788.7,1.9,0,0,0,20.4,6.22,9.383,8.774,0,72.256,0,3589.04
19013001800,797.22,0,0,0,11.018,0,0,0,0,0,0,0,0,50.802,2.889,0,0,0,7.723,0,0,0,0,0,0,0,2.677,2.8,66.199,0,0,54.981,0,996.309
19013001900,1080.25,22.89,53.718,46.044,44.072,0,0,0,0,0,0,32.313,31.245,29.445,33.813,0,0,2.568,6.313,1.498,0,22.2,0,0,0,0,25.1,0.91,7.276,8.453,0,0,0,1448.108
19013002000,2846,76.3,92.088,0,33.054,66.108,26.758,0,18.769,7.7,0,85.781,40.573,67.813,54.568,6.848,0,11.417,37.742,0,0,18.7,17.7,5,14.806,0,176.333,3.018,45.724,8.548,9.416,69.057,0,3839.821
19013002200,1885.72,0,327.424,168.828,38.563,33.054,53.516,59.025,17.484,67.2,0,169.014,40.047,146.195,226.049,34.882,161.142,52.374,107.501,0,0,567.6,14.18,0,0,0,30.507,28.864,111.343,13.161,4.922,67.624,0,4426.219
19013002301,1120.75,0,66.508,0,66.108,66.108,0,0,29.318,0,0,183.02,105.074,67.442,104.512,1.284,0,12.249,117.801,4.922,0,46.515,21.73,0,0,0,102.62,0.95,40.822,12.198,5.029,35.641,0,2210.601
19013002303,172.602,0,212.314,71.624,104.671,11.018,26.758,0,20.116,1546.8,0,9.309,0,15.461,35.134,4.387,0,0,16.478,0,0,0,15.2,0,0,0,13.172,2.9,55.393,0,0,9.309,139.314,2481.96
19013002304,909.364,0,74.182,250.684,49.581,44.072,26.758,59.025,3.125,24.4,0,79.929,6.342,12.262,42.087,0,0,9.231,24.952,0,0,0,0,0,0,0,4.05,5.519,41.45,0,0,2.033,144.664,1813.71
19013002400,2444.29,0,15.348,20.464,27.545,121.198,80.274,0,28.451,7,0,82.078,25.188,51.872,138.892,7.383,0,33.279,19.998,2.365,0,1.7,4.1,1.5,0,0,10.65,16.529,107.107,0,0,15.482,0,3262.693
19013002500,2741.25,161.32,48.602,56.276,143.234,55.09,26.758,177.075,69.32,6.3,2.568,410.258,6.663,64.565,131.703,21.131,0,35.265,77.708,0,0,1.9,15.137,0,0,0,12.818,15.816,36.155,1.605,0,73.86,0,4392.377
19013002601,1207.44,439.27,69.066,306.96,77.126,121.198,107.032,118.05,15.301,192.8,46.117,98.76,748.679,46.354,148.768,0,0,0,14.4,0,0,342.9,114.901,0,123.8,0,52.236,10.128,25.666,0,0,0,12.733,4439.685
19013002603,3984.64,139.52,176.502,127.9,165.27,451.738,187.306,0,6.313,101.5,26.964,246.408,74.139,81.726,273.621,3.21,0,21.708,72.655,0,0,67.716,15.473,15.8,0,0,55.132,124.629,100.089,24.503,0,87.526,18.404,6650.391
