Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
20001952600,1226.02,192.93,0,0,5.509,0,0,0,3.21,28.7,26.322,43.545,27.382,11.758,10.704,0,0,2.675,25.031,0,0,102.2,0,2.7,2.7,0,11.642,104.011,43.569,8.728,0,30.174,0,1909.51
20001952700,1074.83,234.35,20.464,0,0,0,0,0,1.07,0,0,69.612,52.217,43.194,20.888,0,0,5.564,9.309,0,0,75.1,17.6,0,12.637,0,9.948,11.062,21.507,4.348,0,17.119,0,1700.819
20001952800,2356.57,21.8,89.53,20.464,5.509,11.018,0,0,3.638,139.6,207.045,129.335,81.24,87.29,84.685,0,3.339,9.094,52.562,4.066,0,50.496,7.175,1.9,7.7,0,26.841,13.807,48.32,19.516,0,32.742,85.6,3600.883
20001952900,1177.77,58.86,25.58,0,22.036,44.072,26.758,59.025,13.161,3.6,0,137.265,156.495,83.91,90.661,13.138,32.1,37.599,36.914,3.906,0,6,113.1,0,0,0,30.348,8.372,73.8,25.809,0,51.252,0,2331.531
20001953000,1454.86,187.48,92.088,20.464,11.018,0,0,0,5.243,15.4,0,94.217,61.379,22.949,35.472,0,0,13.157,18.234,0,0,249.291,10.7,1.333,0,0,17.481,24.002,56.895,10.767,0,32.533,0,2434.963
20003953600,2842.13,197.29,2.558,61.392,0,0,53.516,0,17.762,60.7,26.643,226.975,140.878,65.555,82.207,7.276,42.8,38.413,84.125,1.498,0,132.73,18.5,31.333,32.153,0,39.898,63.681,53.153,42.373,10.487,56.061,0,4432.087
20003953700,1571.99,247.43,0,5.116,22.036,0,0,0,0,0,0,21.12,24.289,21.91,52.693,2.14,0,2.14,5.93,0,0,0,0.72,0,6.942,0,27.57,133.446,18.852,4.348,0,30.495,0,2199.167
20005081600,2441.71,251.79,12.79,35.812,11.018,0,0,0,18.083,0,0,74.734,24.014,16.338,49.083,2.782,0,1.605,13.52,2.354,0,12.6,6.675,6.663,6.079,0,35.202,195.461,35.067,13.435,0,46.332,0,3313.147
20005081700,2392.43,260.51,117.668,173.944,110.18,11.018,0,0,3.21,542.6,50.825,143.591,52.145,85.346,86.642,1.177,107.428,61.881,43.706,0,0,124.697,7.087,7.863,71.249,0,63.922,38.092,60.981,0.439,7.517,75.98,3.317,4705.444
20005081800,1721.63,8.72,0,5.116,0,22.036,0,0,78.859,80.5,0,79.433,441.507,26.975,25.875,1.284,11.449,10.593,25.427,0,0,4.3,13.033,1,4.8,0,28.303,10.272,59.171,0,0,9.63,0,2669.913
20005081900,1498.12,9.81,94.646,71.624,22.036,44.072,53.516,118.05,5.885,14.8,0,193.655,132.43,175.223,137.687,30.923,0,28.21,75.661,5.778,0,7.797,98.9,507.4,4.9,0,50.194,12.596,97.041,39.518,5.885,37.883,0,3574.24
20007968100,1852.44,161.32,53.718,35.812,5.509,22.036,53.516,0,19.221,8.4,0,131.183,46.673,77.724,77.513,6.206,44.084,18.97,40.355,0,0,3.6,11.643,0,56.437,0,32.162,90.516,63.072,46.546,2.782,52.965,2.568,3016.972
20007968200,1217.24,74.12,2.558,35.812,16.527,0,0,0,10.058,19.6,0,122.659,51.248,34.719,36.133,13.803,20.758,4.884,43.592,1.204,0,1.8,2.3,4.9,7.5,0,19.954,117.442,40.554,8.941,0,20.335,0,1928.641
20009971100,2437.33,136.25,0,107.436,0,0,0,0,3.103,40.6,14.231,171.239,95.748,64.358,91.468,6.848,27.499,0,23.364,0,0,17.697,1.5,2,57.053,0,44.551,162.054,81.107,5.651,1.819,69.448,0,3662.354
20009971200,1124.36,74.12,0,0,27.545,0,0,0,0,0,0,4.337,42.707,16.016,30.939,4.535,1.113,2.279,9.718,0,0,16.3,4,0,6.9,0,18.54,159.976,18.91,5.651,7.216,44.008,0,1619.17
20009971300,1891.14,168.95,12.79,10.232,0,11.018,0,0,0,0.7,0,118.481,8.606,36.465,19.852,13.161,34.24,52.238,38.267,0,0,28.197,151.8,1.4,1.999,0,17.726,31.796,62.702,13.121,0,44.191,0,2769.072
20009971400,1424.93,61.04,127.9,0,0,0,26.758,0,0,0,0,98.717,17.501,75.688,52.229,1.284,0,12.091,24.591,0,0,0,13.584,4.8,3.2,0,30.472,14.992,42.158,6.955,0,30.395,0,2069.285
20009971500,1884.95,115.54,69.066,35.812,22.036,11.018,26.758,0,14.008,100.1,38.306,102.953,76.828,43.738,60.418,8.668,0,15.494,89.77,10.485,0,14.9,8.9,6.8,33.49,0,40.425,15.036,37.686,0,0,38.199,0,2921.384
20009971600,2480.67,7.63,86.972,25.58,33.054,11.018,0,0,23.54,26.6,0,189.543,69.769,53.381,74.145,14.659,122.301,59.039,107.733,2.996,0,226.332,11.888,0,9.3,0,24.622,17.992,73.616,5.217,0,23.005,0,3780.602
20009971700,1580.77,5.45,25.58,76.74,0,11.018,0,59.025,0,39,0,299.563,126.641,135.16,270.1,37.17,0,26.231,17.174,0,0,1.2,29.863,0,12.5,0,35.506,4.088,88.029,71.458,15.194,19.26,0,2986.72
20009971800,2295.43,773.9,28.138,0,93.653,33.054,0,0,21.293,140.7,11.877,160.459,262.765,94.02,128.972,0,0,6.292,44.373,0,0,207.944,29.775,569.1,167.399,0,128.868,77.198,55.475,18.939,0,12.198,21.4,5383.222
20011955600,1676.48,257.24,20.464,5.116,0,0,0,0,0,0,2.568,41.121,31.351,4.729,20.052,0,0,0,5.393,0,0,2.794,0.6,0,8.411,0,9.6,57.819,24.202,7.663,0,0,0,2175.603
