Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
21001970100,913.171,109.416,0,0,0,0,0,0,0,0,0,12.292,5.35,5.219,3.504,0,0,0,0,0,0,0,0,0,3.1,0,15.46,12.151,5.03,0,0,11.449,0,1096.142
21001970200,1138.07,258.312,0,0,0,0,0,0,0,5.6,0,34.422,12.777,9.392,14.149,0,0,1.122,2.568,0,0,11.039,5.619,0,0,0,11.069,22.074,30.216,0,0,0,0,1556.429
21001970300,1375.2,499.704,18.9,0,0,0,0,0,0,0,0,30.74,16.179,23.201,28.427,0,0,0,2.782,0,0,21.6,7,0,2.5,0,21.158,49.733,14.827,0,0,23.645,0,2135.596
21001970401,1678.51,277.488,102.06,18.9,147.476,64.12,0,0,21.935,77.2,21.293,314.245,107.989,111.287,94.59,11.845,0,43.172,52.328,0,0,60.746,62.1,7,4.4,0,26.408,26.627,65.491,34.005,9.844,67.838,0,3508.897
21001970402,1579.28,342.912,18.9,37.8,0,25.648,0,0,0,317,0,135.968,283.7,101.177,96.076,10.486,64.2,26.954,31.08,0,0,43.101,39.619,15.126,25.8,0,20.679,54.867,54.062,22.577,0,9.202,0,3356.214
21001970500,1061.2,366.6,0,0,0,12.824,0,0,0,0,0,23.877,38.207,15.314,8.921,0,0,0.963,1.363,0,0,2.5,5.8,0,6.4,0,6.2,35.211,18.992,0,11.182,13.054,0,1628.608
21001970600,988.711,86.856,0,0,0,0,0,0,0,0,0,14.215,15.603,3.21,1.947,0,0,0,2.889,0,0,0,0,0,3,0,16.2,15.799,6.42,0,0.86,0,0,1155.71
21003920100,1812.59,667.776,0,0,0,0,0,0,1.926,0,0,119.865,16.947,41.183,38.026,0,0,0,16.403,0,0,7.493,2.238,3.6,0,0,22.359,40.774,37.952,0.406,0,23.112,0,2852.65
21003920200,1357.25,228.984,0,11.34,0,0,0,0,0,0,0,18.041,47.293,10.272,14.587,0,0,0.561,1.363,0,0,16.9,4.1,0,0,0,13.77,19.55,17.859,0,0,6.098,0,1767.968
21003920300,2292.1,171.456,79.38,94.5,179.536,0,0,0,8.774,82.6,19.367,121.201,41.024,81.886,81.866,38.841,36.38,29.201,53.164,0,0,128.495,8.019,0,0,0,37.29,16.548,59.629,62.832,8.172,92.234,0,3824.495
21003920400,1924.9,485.04,117.18,15.12,44.884,0,0,0,15.729,7.9,0,125.46,67.058,60.124,64.748,1.391,0,18.771,34.22,0,0,57.116,202.076,12.3,0,0,30.996,15.754,41.363,0,2.889,2.354,1.284,3348.657
21003920500,850.332,113.928,0,0,12.824,0,0,0,1.926,0,0,16.585,2.996,3.745,4.451,0,0,0,0.681,0,0,2,3.7,0,0,0,18.269,19.073,12.412,0.812,0.43,0,0,1064.164
21003920600,1230.04,620.4,0,0,0,0,0,0,0,0,0,18.08,38.97,10.653,23.39,0,0,0.835,1.712,0,0,5.349,11.5,3.8,0,0,20.238,34.55,28.11,0,0,0,0,2047.627
