Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
22001960100,3042.11,542.568,134.19,0,32.06,38.472,0,0,0,93.1,16.05,171.923,138.247,85.822,62.811,17.976,26.322,27.934,30.261,0.963,0,1.6,7.4,22.749,20.503,0,29.07,15.208,74.5,2.675,0,54.543,0,4689.057
22001960200,3003.51,637.32,0,26.46,19.236,0,0,0,3.317,0,0,77.644,28.676,46.794,46.821,0,0,1.042,2.033,0,0,45.999,17.1,5.05,6.482,0,79.954,51.677,36.273,7.29,0,8.132,0,4150.81
22001960300,1981.94,331.632,0,3.78,0,0,0,0,0,48.3,0,20.71,8.453,21.155,29.221,0,0,0,13.589,0,0,9.8,0.924,7.9,13.1,0,6.341,10.013,14.178,0.768,0,0,0,2521.804
22001960400,3155.05,702.744,47.25,3.78,96.18,12.824,0,0,19.551,36.4,16.379,101.055,79.378,66.696,59.912,4.387,0,40.151,22.019,2.377,0,18.5,138,10.1,4,0,16.563,36.099,49.326,4.674,9.354,51.761,0,4804.51
22001960500,3041.52,756.888,0,0,0,0,0,0,0,8.5,0,40.015,32.211,37.527,88.752,0,0,1.926,23.865,0,0,0,0,0,19.7,0,58.53,18.785,21.186,1.535,2.889,23.968,0,4177.797
22001960600,2808.59,635.064,13.23,18.9,128.24,25.648,31.144,0,27.392,70,32.207,133.45,103.221,81.69,108.732,16.585,0,37.108,51.015,1.391,0,295.113,239.44,3.649,14.964,0,45.98,12.461,52.271,11.117,0,38.72,0,5037.322
22001960700,2204.32,341.784,206.01,18.9,0,0,0,0,12.947,6.1,0,151.806,55.056,47.738,80.722,11.128,0,9.915,30.817,1.188,0,44.5,15.999,3.2,9.781,0,61.537,508.201,70.434,17.034,0,50.276,0,3959.393
22001960800,2818.34,135.36,81.27,75.6,147.476,38.472,0,0,0,182.6,53.338,267.009,206.143,95.262,125.021,41.73,74.9,103.366,94.505,11.342,0,22.709,21.2,0,0,0,20.991,22.475,48.713,18.19,0,40.296,0,4746.309
22001960900,2503.02,142.128,88.83,41.58,96.18,12.824,0,0,0,106.8,10.7,60.169,15.896,77.594,42.133,0,0,6.652,30.599,0,0,0,0,0,1.6,0,6.6,12.506,84.853,10.916,5.029,35.096,0,3391.706
22001961000,3331.26,257.184,66.15,15.12,25.648,0,0,0,0,0,28.141,350.674,284.812,94.433,120.646,0.695,0,21.828,46.787,2.675,0,128.1,76.11,86.875,21.531,0,61.984,40.256,92.208,56.088,0,61.216,0,5270.42
22001961100,2111.69,240.264,90.72,0,0,0,0,0,0,5.6,0,92.733,36.374,5.238,16.773,2.996,0,2.54,19.824,0,0,0,2,354,0,0,16.848,19.722,11.235,12.359,0,36.487,0,3077.403
22001961200,1635.68,480.528,0,0,0,12.824,0,0,0,0,0,19.295,61.028,16.248,17.307,0,0,0,11.959,0,0,5.813,2.771,2.6,1.8,0,18.917,16.735,16.585,0,0,2.862,0,2322.952
22003950100,2535.96,765.912,0,18.9,0,0,0,0,19.581,1.4,0,58.421,47.307,15.955,24.933,0,0,1.562,12.306,0,0,32.896,1.848,0,3.89,0,12.89,18.063,91.808,38.069,0,26.429,0,3728.13
22003950200,1763.14,153.408,111.51,15.12,6.412,0,0,0,0,243.6,0,112.188,10.808,58.189,63.233,28.298,32.528,11.428,33.482,1.498,0,17.87,1.848,1.1,0,0,15.75,3.801,49.971,27.58,5.885,16.906,0,2785.553
22003950300,1833.59,133.104,105.84,41.58,70.532,0,0,0,0,48.3,0,92.947,21.935,97.537,21.982,0,0,30.976,23.462,0,0,3.1,9,39.7,0,0,7.78,0,76.96,14.877,0,16.986,0,2690.188
22003950400,2362.73,554.976,51.03,22.68,12.824,0,0,0,9.416,71.2,39.055,151.761,23.984,32.233,53.072,6.206,0,5.778,21.352,0,0,85.6,2.771,0,0,0,79.093,29.714,80.49,22.229,0,37.597,0,3755.791
22003950500,3574.24,602.352,109.62,22.68,44.884,0,0,0,44.298,206.1,19.046,102.397,30.495,80.831,128.754,20.402,29.104,13.589,22.477,1.391,0,6.17,1.2,0,0,0,76.046,12.101,106.921,46.806,0,23.62,0,5325.524
22005030101,3567.37,655.368,0,0,0,0,0,0,0,0,0,18.011,15.363,31.405,30.237,0,0,0,2.943,0,0,7.5,0,2.9,9.701,0,25.783,5.975,7.811,0,0,31.471,0,4411.838
22005030102,2437.55,628.296,0,37.8,0,0,0,0,0,0,0,30.102,6.754,33.17,18.611,0,0,0,11.185,0,0,13.77,4.1,0,3.6,0,29.038,7.402,22.684,0,14.032,32.568,0,3330.663
22005030103,3330.17,418.488,0,0,0,0,0,0,0,0,0,41.408,20.831,33.498,32.794,0,0,0,7.17,0,0,12.7,4.747,0,0,0,26.626,9.352,7.597,0,0,0,0,3945.381
22005030203,6419.34,838.104,49.14,11.34,19.236,0,0,0,0,0,0,155.628,109.356,63.808,174.197,14.445,0,22.363,50.765,1.498,0,33.2,25.648,30.9,13.001,0,157.985,17.004,55.107,0,0,16.905,0,8278.97
22005030204,6560.04,454.584,0,15.12,0,0,0,0,0,0,0,68.115,56.931,56.1,59.654,0,0,21.12,16.747,0,0,28.934,24.924,1.7,0,0,58.301,16.736,30.249,0,0,0.575,0,7469.831
22005030205,5200.47,522.264,9.45,68.04,115.416,76.944,31.144,0,0,0,0,153.199,164.797,58.281,102.472,0,0,4.067,36.283,1.498,0,216.7,32.024,0,0,0,137.33,4.701,29.692,16.883,1.871,3.425,0,6986.952
22005030206,4605.85,1055.81,17.01,90.72,44.884,0,0,0,0,0,0,156.276,66.03,101.982,40.869,0,0,4.68,32.343,0,0,57.313,15.948,0,0,0,86.912,7.27,33.332,0,3.639,0,0,6420.868
22005030300,7692.44,981.36,0,0,0,0,0,0,1.07,0,0,247.008,231.54,49.145,338.617,5.671,0,1.712,76.754,0,0,110.8,7.4,413.5,7.879,0,42.053,12.203,202.026,0.767,0,0.962,0,10422.91
22005030401,2305.02,345.168,34.02,105.84,89.768,51.296,0,0,26.001,11.2,0,462.226,115.66,151.947,167.782,16.157,0,21.351,105.319,1.498,0,75.983,2.424,6.6,0,0,45.862,20.209,39.777,23.54,0,60.669,0,4285.317
22005030402,3807.96,189.504,0,219.24,44.884,89.768,93.432,0,36.059,124.6,18.083,286.606,261.653,59.429,170.179,29.211,79.073,63.515,54.464,7.062,0,39.3,43.2,72.3,0,0,32.461,9.253,77.876,31.565,15.622,0,0,5956.299
22005030500,4150.24,1350.22,13.23,0,0,0,31.144,0,1.926,2.5,0,89.873,47.454,49.909,71.12,6.848,0,2.218,26.031,1.498,0,1.7,61.1,10.5,0,0,58.368,13.681,85.145,4.988,20.58,14.124,0,6114.397
22005030600,1843.14,794.112,30.24,83.16,44.884,0,0,0,7.169,0,0,54.785,65.543,58.377,139.555,0,47.187,33.706,15.089,0,0,57.565,8.419,4,6.3,0,38.931,4.943,45.851,6.992,5.885,9.202,0,3405.035
22005030900,1623.54,495.192,132.3,0,0,64.12,0,0,5.732,0,0,88.915,30.153,27.881,39.601,0,0,3.795,65.903,1.391,0,0,2.771,84.175,1.8,0,7.842,11.102,71.476,5.136,0,35.751,0,2798.577
22005031000,3006.99,469.248,134.19,177.66,83.356,25.648,0,0,5.35,123.7,3.852,166.203,79.439,101.693,144.734,17.548,53.5,29.675,66.24,0,0,2.2,8.001,372.252,1.482,0,19.585,18.9,110.35,35.738,0,97.918,0,5355.451
22007050100,1914.38,489.552,13.23,0,0,0,0,0,0,0,0,17.975,44.743,20.284,31.689,0,0,35.254,7.92,0,0,13,0,65.1,10.243,0,11.48,20.245,24.047,1.918,0,10.593,0,2731.653
22007050200,3234.55,1179.89,0,0,25.648,0,0,0,0,0,0,127.3,34.957,28.361,57.037,9.951,24.717,5.651,39.417,0,0,3.557,22.6,5.501,2.3,0,74,9.71,46.921,3.454,14.032,26.857,0,4976.411
22007050300,2150.1,294.408,0,18.9,0,0,0,0,0,74.9,46.01,148.263,61.076,16.647,66.114,6.848,23.005,2.889,22.866,1.498,0,14.3,7.39,56.375,8.1,0,25.073,15.75,49.407,4.531,0,40.307,0,3154.756
22007050400,1963.93,209.808,37.8,30.24,0,0,0,0,21.4,15.2,0,12.519,5.838,54.555,26.928,9.095,19.581,19.516,7.917,0,0,10.9,1.8,2.9,0,0,15.172,13,41.702,16.16,0.468,58.529,0,2594.958
22007050500,1469.81,432.024,0,0,0,0,0,0,0,4.2,2.584,9.69,7.276,17.484,8.687,0,0,0,1.177,0,0,7.1,0,0,0,0,11.485,15.6,14.499,0,0,14.766,0,2016.382
22007050600,1536.78,817.8,47.25,56.7,0,64.12,0,0,0,0,0,47.613,42.404,42.497,29.165,0,0,2.14,14.58,0,0,11.6,0.924,0,2,0,17.943,16.45,30.735,1.919,12.861,20.865,0,2816.347
22009030100,2263.23,498.576,7.56,0,0,0,0,0,0,0,0,13.767,71.889,11.481,15.626,8.56,0,0,12.359,0,0,0,6,5.1,0,0,13.101,19.62,4.601,0.767,16.37,1.725,0,2970.333
22009030200,1454.29,348.552,0,0,0,0,0,0,0,49.7,16.906,15.37,12.9,6.258,19.874,0,0,0,11.048,0,0,130.147,0,3.1,0,0,19.168,24.832,22.897,1.918,0,13.696,0,2150.656
22009030300,1735.48,570.768,0,0,0,0,0,0,0,0,0,24.609,35.976,13.496,13.238,0,0,0,2.889,0,0,8.4,0,86,4.6,0,33.502,18.045,27.391,0,0,0,0,2574.394
22009030400,3299.42,526.776,260.82,98.28,64.12,0,62.288,0,197.521,198.4,44.833,235.68,50.615,185.525,248.752,25.997,28.034,82.09,67.391,0,0,3.657,9.295,3.001,1,0,31.765,25.077,101.197,34.189,5.778,13.696,4.815,5910.012
22009030500,4098.01,404.952,88.83,49.14,70.532,38.472,0,0,24.931,102.9,49.112,133.95,84.244,71.531,70.139,5.029,0,4.251,18.994,4.066,0,71.099,8.742,0,0,0,37.035,31.89,41.57,19.617,6.42,30.067,0,5565.524
22009030600,3231.76,253.8,141.75,34.02,0,51.296,31.144,0,40.141,46.2,13.482,204.871,34.407,96.669,155.312,14.338,1.177,39.354,37.46,0,0,106.401,24.719,9.2,0,0,54.006,20.632,109.035,23.718,8.667,35.952,0,4819.511
22009030700,3232.46,342.912,100.17,56.7,102.592,0,0,0,0,207.6,7.169,97.85,53.05,48.609,91.92,9.951,0,18.167,17.605,0,0,7.5,2.224,8.5,0.741,0,54.961,40.594,69.739,61.564,21.515,28.676,0,4682.769
22009030800,1495.29,282,0,3.78,44.884,0,0,0,0,43.4,10.7,28.746,12.605,11.713,15.203,1.819,0,0,0,0,0,11.082,0,3.8,0,0,11.381,8.59,13.589,5.022,0.468,27.285,0,2031.357
22009030900,1314.3,341.784,66.15,11.34,83.356,0,0,0,10.272,80.9,48.15,60.38,19.154,32.922,9.983,6.42,0,11.235,10.166,0,0,17,0.924,4.1,0,0,4.311,16.24,21.615,6.136,18.709,17.013,0,2212.56
22011960100,3075.15,1318.63,9.45,0,0,0,0,0,17.976,0,0,78.964,48.514,32.292,59.377,0,0,0,12.723,0,0,14.925,4.323,32.299,1.099,0,64.896,55.739,81.267,12.379,40.643,19.645,0,4980.291
22011960200,2108.01,862.92,0,0,0,0,0,0,0,0,0,37.224,48.388,27.896,35.807,0,0,1.851,8.346,0,0,57.986,0,9.601,0,0,65.82,19.899,54.943,3.531,22.87,5.925,0,3371.017
22011960300,2387.3,103.776,134.19,41.58,141.064,12.824,0,0,15.943,69.3,0,282.287,19.376,100.221,127.213,35.952,2.354,27.21,124.042,1.188,0,21.2,37.824,0,0,0,49.021,20.9,108.124,11.769,0,7.53,0,3882.188
22011960400,1927.61,289.896,28.35,22.68,0,0,0,0,0,25,5.35,64.841,79.286,59.969,62.062,5.457,0,69.821,11.39,4.066,0,66.471,12.323,92.2,0,0,15.242,19.811,81.882,39.61,23.54,49.969,0,3056.826
22011960500,2638.14,298.92,34.02,98.28,224.42,38.472,31.144,0,0,44.8,22.47,110.42,58.221,71.306,133.387,5.029,0,19.31,34.379,0,0,9.439,8,3.6,0,0,30.205,18.301,61.82,7.174,0,37.056,0,4038.313
22011960600,1558.17,638.448,26.46,41.58,0,0,0,0,0,26.6,13.375,18.189,34.028,17.142,13.83,4.622,0,0,17.126,0,0,31.597,0,0,1.7,0,2.95,8.84,68.238,2.461,0,11.77,0,2537.126
22011960700,3085.89,1465.27,0,15.12,0,0,0,0,2.354,92.1,0,29.957,31.256,29.251,27.186,0,0,0.899,5.458,0,0,21.071,2.5,3.4,2,0,23.173,18.372,72.145,4.604,4.066,48.899,0,4984.971
22013970100,1637.57,254.928,151.2,64.26,19.236,12.824,0,0,41.623,146.5,29.532,134.249,57.485,58.796,100.465,17.737,15.087,21.507,58.457,0,0,85.17,1.098,13.4,56.251,0,21.962,64.9,92.127,28.868,7.958,32.258,0,3225.448
