Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
23001010100,116.85,0,121.482,295.368,243.663,71.316,57.732,127.35,0,12.5,14.338,149.586,46.331,97.621,113.907,15.55,0,32.064,47.722,2.354,0,7.2,12.573,0,0,0,11.344,2.762,50.825,49.499,0,20.064,0,1720.001
23001010200,1580.14,43.26,109.572,166.74,130.746,190.176,144.33,254.7,8.56,82.7,6.42,945.025,96.245,127.932,223.626,36.974,0,48.385,118.195,14.659,0,36.83,8.843,0,2.94,1.2,43.616,31.027,77.272,6.12,0,24.182,0,4560.416
23001010300,313.404,10.3,209.616,471.636,213.948,71.316,28.866,0,0,0.3,0,37.606,8.902,14.222,37.544,2.675,0,14.168,3.745,0,0,0,4.8,0,0,0,10.338,4.25,17.227,11.128,8.453,34.454,0,1528.898
23001010400,910.446,0,247.728,0,0,11.886,28.866,0,14.98,89.6,125.19,37.343,80.867,120.321,66.845,3.852,0,12.123,37.878,0,0,11.021,0,2.8,0,0,28.32,19.737,28.462,0,6.282,20.758,5.891,1911.196
23001010500,268.304,11.33,373.974,290.604,106.974,0,0,63.675,1.712,16.1,0,25.087,69.358,46.758,40.912,0,5.992,5.778,33.803,0,0,0,13.4,0,0,0,8.444,0.92,12.519,0,0,0,0,1395.644
23001010600,1440.58,37.08,228.672,85.752,17.829,0,0,0,56.121,5.3,0,71.574,57.459,29.899,47.595,0,0,3.424,26.857,0,0,7.6,3.097,0,0,0,21.171,13.202,11.984,0.728,0,33.705,0,2199.629
23001010700,1291.5,135.96,121.482,38.112,41.601,59.43,86.598,0,1.177,0.3,0,135.402,281.056,118.805,139.057,12.776,25.252,59.133,31.904,1.498,0,944.311,326.947,158,9.7,0,119.234,26.1,20.651,16.38,0,6.206,0,4208.572
23001010800,2300.1,24.72,154.83,95.28,17.829,0,0,0,0,9.1,0,23.464,18.768,28.769,48.756,0,4.815,4.484,16.839,0,0,116.7,145.846,40,0,0,8.244,10.78,10.689,0,0,19.249,0,3099.262
23001020100,30.914,0,90.516,200.088,124.803,106.974,173.196,127.35,0,62.3,1.926,151.065,163.585,130.237,320.598,64.993,23.326,81.845,122.052,0,0,78.66,187.58,2.2,0,0,29.307,2.587,53.735,96.633,20.651,58.859,14.017,2519.997
23001020200,317.34,0,269.166,128.628,35.658,35.658,0,0,6.099,7.7,0,92.818,92.983,21.905,77.628,13.803,429.284,107.117,9.586,0,0,40.504,27.9,0,0,0,19.07,3.45,8.453,1.82,0,16.799,0,1763.369
