Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
24001000100,2669.38,287.64,7.56,0,12.824,0,0,0,41.486,3.9,0,51.376,21.405,20.115,38.988,0,0,2.158,21.561,0,0,12.4,4.4,0,5.2,0,25.546,19.456,30.62,22.821,34.593,23.326,0,3356.755
24001000200,1968.15,110.544,17.01,37.8,0,64.12,0,0,2.996,153.5,52.376,278.496,212.894,67.485,275.182,3.959,398.199,11.681,54.025,0,0,135.272,580.567,27.7,0,0,56.671,3.806,36.273,41.678,0,15.173,0,4605.558
24001000300,1772.13,12.408,22.68,11.34,38.472,0,31.144,0,6.527,93.5,52.43,12.574,6.005,10.572,39.973,0,0,8.442,0.598,0,0,231.101,0,0,0,0,12.124,1,39.593,0,27.423,33.49,0,2463.526
24001000400,2013.39,0,107.73,64.26,57.708,12.824,0,0,5.153,9.8,6.848,81.075,19.476,62.211,36.03,0,0,22.256,14.44,0,0,0,9.368,4.6,0,0,21.116,1.56,62.743,7.169,0.713,1.07,0,2621.54
24001000500,1327.02,0,109.62,52.92,96.18,141.064,31.144,68.7,4.095,237.3,24.182,63.339,15.408,30.664,21.351,0,40.339,8.239,33.155,1.498,0,3.4,0,0,0,0,13.455,0,61.312,56.027,0,3.531,161.356,2605.299
24001000600,1734.31,0,153.09,45.36,51.296,51.296,0,0,0,22.1,25.359,48.38,34.668,23.496,27.901,0,303.773,70.534,20.429,0,0,0,47.5,0,0,0,15.574,0.59,49.755,0,0,19.153,0,2744.564
24001000700,1706.88,0,162.54,173.88,76.944,38.472,0,137.4,0,3.5,0,73.77,13.178,46.199,39.19,12.412,0,19.644,33.582,0,0,1.252,0.751,17.5,0,0,31.739,0,85.958,4.28,0,35.31,0,2714.381
24001000800,1191.77,14.664,75.6,41.58,121.828,12.824,0,0,0,0,0,68.349,92.025,51.99,35.348,0,0,6.976,46.351,0,0,51.5,8.8,0,0,0,47.035,7.66,55.872,5.31,0,1.016,0,1936.498
24001001000,1316.55,0,185.22,158.76,25.648,51.296,0,137.4,31.458,61.6,7.598,288.05,227.597,204.026,349.793,26.749,0,37.802,124.926,2.675,0,15.257,38.46,5,0,0,25.016,0,107.448,20.652,15.515,5.992,0,3470.488
24001001100,716.28,19.176,49.14,120.96,141.064,12.824,0,137.4,0,2.8,7.49,31.353,64.673,66.296,120.358,20.279,0,31.061,38.197,0,0,3.756,14.434,0,3.002,0,13.766,0.99,56.345,30.676,0,49.969,0,1752.289
24001001200,2260.09,29.328,86.94,3.78,51.296,25.648,31.144,0,0,40.9,1.712,28.757,35.845,15.279,39.661,1.07,93.625,120.482,20.554,0,0,1.252,7.3,0,0,0,17.243,0,43.186,33.031,0,45.144,0,3033.267
24001001300,1178.05,29.328,7.56,37.8,44.884,51.296,31.144,0,0,321.8,0,22.872,22.479,54.547,16.897,1.926,0,12.002,8.25,2.461,0,2.504,10.539,12.729,0,0,28.738,0.66,27.179,48.578,46.359,2.14,0,2022.722
24001001401,3077.91,133.104,47.25,0,0,0,0,0,44.767,4.9,0,472.943,110.286,67.57,69.73,21.699,0,45.58,112.383,16.317,0,69.455,3.993,7.2,0,0,48.621,19.707,36.015,41.561,65.83,29.96,0,4546.782
24001001402,927.83,49.632,79.38,11.34,6.412,12.824,0,0,0.066,0,0,57.938,15.301,31.488,25.688,0.022,0,14.141,24.47,0.054,0,7.445,4.675,0,0,0,14.79,0.007,15.31,0.044,0,3.21,0,1302.067
24001001502,1360.17,33.84,0,11.34,0,12.824,0,0,0,0,0,51.628,45.161,18.124,11.47,0,0,0,7.083,0,0,0,10.8,0,0,0,17.83,7.86,21.08,1.118,1.426,0,0,1611.754
24001001503,1238.73,83.472,0,0,38.472,0,0,0,0,0,2.085,4.602,3.426,6.559,9.173,0,0,0,9.417,0,0,23.321,0,0,0,0,5.7,2.153,26.755,0.839,57.057,19.474,0,1531.235
24001001600,1123.76,9.024,41.58,22.68,6.412,0,31.144,0,0,63.3,24.502,35.979,4.293,16.232,16.221,0,0,6.142,17.25,0,0,152.8,1.2,0,0,0,19.645,0.999,21.721,6.431,0,23.112,0,1644.427
24001001700,2253.81,55.272,119.07,75.6,320.6,38.472,0,137.4,6.634,103.6,39.055,64.784,101.157,31.693,71.647,8.453,0,29.953,47.349,6.634,0,0,6.614,0,0,0,59.894,14.739,37.1,0.559,0,24.289,1.644,3656.022
24001001800,1659.26,6.768,192.78,113.4,70.532,115.416,62.288,137.4,4.004,780.4,0,83.806,25.039,53.478,65.614,12.198,0,9.951,56.472,1.095,0,2.47,8.038,0,0,0,13.146,5.62,116.478,27.262,7.36,7.986,14.338,3652.599
