Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
25001010100,2699.85,16.48,681.252,952.8,499.212,202.062,57.732,0,490.236,30.8,15.516,499.414,81.944,94.889,371.601,22.153,0,32.657,354.636,4.387,0,15.361,26.999,6.4,0,0,36.433,35.439,55.942,66.664,0.011,37.571,0,7388.44
25001010206,5794.04,146.26,16.674,76.224,41.601,0,28.866,0,78.642,0.7,0,182.205,26.604,48.433,139.316,16.585,0,6.228,92.022,21.4,0,19,12.378,0,1.899,0,47.088,10.58,31.34,38.925,10.058,14.646,0,6901.714
25001010208,3970.93,28.84,95.28,128.628,23.772,35.658,28.866,0,118.214,2.8,0,34.139,15.498,23.178,70.295,3.312,0,0,57.773,12.305,0,8.761,11.598,0,0,0,38.339,14.308,14.715,12.22,10.474,8.56,0,4768.464
25001010304,3903.12,0,16.674,23.82,0,0,0,0,64.608,0,0,23.578,5.429,11.84,53.66,0,0,5.25,10.274,0,0,2.5,5.89,0,0,0,53.419,16.279,19.132,3.21,0,1.036,0,4219.719
25001010306,4163.8,0,80.988,14.292,11.886,0,0,0,119.733,0,0,88.879,49.648,50.471,98.519,9.095,0,16.253,174.534,0,0,5.75,11.64,11.396,0,0,63.91,45.862,20.758,4.27,0,32.603,0,5074.287
25001010400,2164.14,0,283.458,238.2,95.088,35.658,173.196,0,50.165,54.6,82.818,644.353,88.676,146.248,269.654,23.894,0,61.714,109.547,0,0,49.041,127.016,10.199,3.199,0,86.439,24.29,28.811,31.089,11.128,60.35,0,4952.971
25001010500,3678.52,0,176.268,85.752,47.544,95.088,0,0,172.742,7,0,231.195,15.556,27.937,121.329,12.765,0,14.82,122.96,0,0,16.161,12.084,34.6,0,0,53.938,4.719,77.248,9.795,0,18.265,0.634,5036.92
25001010600,3843.42,0,38.112,214.38,95.088,23.772,57.732,0,92.72,72.1,74.793,221.983,67.112,49.257,186.76,8.453,0,34.55,96.486,1.391,0,64.341,9.303,0,0,0,45.053,14.879,55.089,9.579,5.243,38.199,0,5419.795
25001010700,6252.83,0,69.078,47.64,53.487,0,28.866,0,122.984,0,6.634,162.997,56.594,54.58,228.337,2.14,0,22.47,102.161,2.995,0,61.49,22.999,15.119,0,0,110.547,52.698,57.575,53.227,0,24.076,0,7611.526
25001010800,5043.41,0,95.28,47.64,136.689,11.886,28.866,0,121.188,139.3,15.943,156.532,33.445,77.463,159.356,4.433,0,34.967,165.523,0,0,5.846,7.842,9.101,6.591,0,70.195,26.642,60.764,12.733,9.095,23.838,0,6504.568
25001010900,4522.46,14.42,88.134,381.12,178.29,309.036,57.732,0,47.023,60.6,0,124.212,23.523,49.695,112.077,0,0,23.175,53.399,5.35,0,11.901,6.961,0,0,0,70.251,19.483,19.691,2.824,0,24.715,0,6206.071
25001011002,4089.26,30.9,126.246,142.92,65.373,23.772,57.732,0,74.793,107.1,50.931,206.288,97.913,108.281,135.802,0,0,11.343,57.862,1.214,0,29.148,31.147,10.5,0,1.099,100.368,49.225,27.501,6.516,0,33.361,0,5676.595
25001011100,4364.53,0,35.73,0,17.829,0,28.866,0,3.944,6.3,0,110.333,19.509,37.082,86.411,5.778,0,30.707,40.751,0,0,12.48,5.984,0,0,0,109.257,35.757,20.794,34.84,0,219.35,0,5226.231
25001011200,4472.77,0,35.73,42.876,190.176,142.632,57.732,0,95.486,4.9,0,136.288,18.775,45.44,176.875,9.737,0,24.181,67.029,0,0,15.6,25.168,0,0,0,43.524,45.102,57.853,1.965,14.231,25.145,0,5749.214
25001011300,3626.53,0,92.898,95.28,5.943,23.772,57.732,0,200.538,0,0.038,160.987,19.063,44.728,113.215,10.186,0,26.07,69.595,0,0,1.5,14.065,5.099,0,0,51.481,12.342,11.174,3.403,0,6.487,0,4652.125
25001011400,3220.14,63.86,57.168,76.224,112.917,83.202,0,0,15.245,0,0,89.261,40.205,23.531,69.155,7.062,0,22.597,34.279,0,0,8.014,15.72,5,0,0,32.032,10.335,12.04,1.361,0,17.655,11.984,4028.987
25001011500,3230.23,0,233.436,42.876,35.658,0,57.732,0,17.441,79.8,32.1,219.832,96.428,74.668,118.379,9.89,1.712,21.315,65.775,19.423,0,26.233,9.95,4.239,0,0,125.763,37.527,25.124,29.853,9.095,18.05,0,4642.529
25001011600,5323.44,0,126.246,119.1,136.689,237.72,202.062,0,211.157,5.6,0,146.551,28.348,35.011,103.622,5.046,0,1.605,87.827,0,0,17,22.102,0,0,0,39.976,7.089,15.627,2.723,0,5.671,0,6880.213
