Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
26001000100,3032.12,87.2,2.558,0,0,0,0,0,12.326,0,0,27.279,8.915,7.825,23.017,0,0,0,42.546,0,0,19.4,4.1,0,0,0,37.198,9.461,83.763,3.84,7.507,0,0,3409.055
26001970100,2521.74,144.97,0,0,22.036,0,0,0,43.54,31.5,29.211,96.176,13.871,42.081,51.471,1.498,0,5.029,23.51,0,0,22.1,9.252,0,0.67,0,39.324,28.432,58.021,25.984,6.848,5.136,0,3222.4
26001970400,2416.09,281.22,0,15.348,5.509,0,26.758,0,0,30.8,11.77,110.897,26.283,83.091,21.235,7.811,0,22.577,30.095,0,0,84.336,19.7,7,0,0,48.434,44.062,52.222,22.854,13.307,33.063,0,3414.462
26001970500,3589.15,589.69,0,0,0,0,0,0,6.099,4.2,0,57.412,11.235,17.865,44.685,4.601,0,0,24.894,0,0,14.136,2.2,0,0,0,24.102,20.334,26.643,5.973,13.326,8.774,0,4465.32
26001970600,2108.25,63.22,2.558,5.116,11.018,0,0,0,41.401,5.6,0,23.723,13.192,8.667,10.125,0,0,1.284,30.388,0,0,21.125,3.59,0,0,0,19.436,6.299,7.846,0,6.483,4.091,0,2393.412
26003000100,2667.17,189.66,122.784,51.16,82.635,22.036,26.758,59.025,103.071,105.7,23.861,173.175,38.768,116.078,69.051,14.017,0,29.532,65.091,0,0,234.185,18.807,0,0,0,105.725,16.748,73.945,32.735,3.959,0,1.969,4447.645
26003000200,2543.69,124.26,15.348,56.276,22.036,33.054,0,0,93.732,7.2,0,54.458,20.423,10.41,34.883,1.177,0,0.002,24.867,0,0,6.3,0,4,1.1,0,16.279,9.94,27.713,17.323,0,144.664,0,3269.135
26003000300,2549.18,130.8,5.116,0,5.509,0,0,0,68.617,84.7,0,65.345,34.268,20.577,28.909,3.424,0,6.498,14.764,0,0,19.654,6,5.6,0,0,42.268,10.96,14.552,4.268,11.259,30.602,5.243,3168.113
26005030200,2292.1,13.08,10.232,15.348,0,0,0,0,0,0,8.346,40.679,22.182,22.652,63.645,0,0,2.401,16.689,0,0,5.095,6.43,1.6,0,0,94.294,250.382,9.362,5.457,0,1.284,0,2881.258
26005030300,3578,393.49,20.464,10.232,0,0,0,0,0,4.9,0,83.169,72.802,41.77,80.297,0,0,3.263,30.529,0,0,28.3,42.437,4,6.8,0,154.106,165.2,88.076,36.823,9.554,45.475,0,4899.687
26005030401,3795.47,77.39,0,0,5.509,0,0,0,3.103,3.5,0,100.139,168.448,92.5,103.048,11.663,0,2.461,44.87,2.547,0,73.365,8.5,12.8,3.96,9.2,184.51,156.882,75.661,9.715,10.236,76.381,0,5031.857
26005030402,2220.15,244.16,15.348,15.348,0,0,26.758,0,0,0,0,55.067,300.36,44.355,39.022,0,0,0,12.374,0,0,120.227,24.3,0,34,0,147.516,153.258,26.973,4.066,0,0,0,3483.281
26005030500,2911.9,568.98,120.226,153.48,148.743,55.09,53.516,0,26.75,66.9,29.853,295.591,164.223,117.655,133.763,11.556,0,25.691,76.334,0,0,172.1,33.3,42.5,16.239,0,76.741,36.751,74.579,25.721,5.564,193.013,11.77,5648.529
26005030600,2263.89,345.53,10.232,10.232,16.527,0,0,0,18.939,0,0,106.718,37.625,29.642,42.955,0,0,3.456,38.054,0,0,78.943,8.2,2.1,13.13,0,76.122,120.122,37.988,2.987,0,39.911,0,3303.303
26005030702,2345.52,355.34,33.254,0,0,0,0,0,3.745,0,4.601,77.065,135.695,67.952,79.149,8.453,16.371,5.81,12.84,0,0,159.752,0,1.6,0,0,67.302,28.784,41.517,12.183,0,12.733,0,3469.666
26005030703,1185.32,247.43,20.464,0,11.018,22.036,0,0,3.317,0,0,19.468,8.56,20.391,15.156,3.959,0,0,13.6,0,0,1.5,1.6,42.7,0,0,17.915,14.062,22.589,4.066,14.33,0,0,1689.481
26005030704,1917.37,346.62,12.79,15.348,60.599,0,0,0,25.786,1.5,0,56.346,49.288,75.628,45.557,9.674,0,11.663,6.169,0,0,36.269,11.555,35.9,0,0,49.133,56.685,53.073,2.56,0,53.54,0,2933.053
26005030800,4693.18,194.02,58.834,143.248,132.216,22.036,26.758,0,292.813,41.3,1.605,321.103,79.877,129.735,289.587,9.416,0,25.402,157.289,3.424,0,240.196,97.725,13.109,4.32,0,86.681,54.066,107.47,9.407,5.934,65.937,0,7306.688
26005030901,2239.1,306.29,51.16,40.928,22.036,11.018,0,0,87.421,4.2,0,64.464,15.341,37.9,37.798,0,0,21.707,46.652,0,0,10.513,2.101,3.3,0,0,36.658,108.01,17.013,9.387,10.379,14.98,0,3198.356
26005030902,2037.93,226.72,7.674,0,0,11.018,0,0,12.84,7,0,58.86,35.661,29.745,55.033,0,6.573,5.425,10.343,0,0,61.913,55.225,8.8,0,0,52.341,60.705,31.565,7.254,0,4.387,0,2787.013
26005031000,2967.81,1064.93,43.486,0,0,0,0,0,6.741,19.6,0,65.02,52.922,40.532,61.012,1.108,0,18.618,13.396,0,0,79.678,5.5,0,5,0,32.392,62.124,82.182,2.69,0,17.747,0,4642.489
26005031100,3269.65,686.7,0,15.348,0,0,0,0,22.743,96.5,42.907,147.707,138.95,146.061,102.711,3.638,0,29.671,49.925,0,0,212.22,69.97,1447.8,3,0,108.014,87.565,65.035,0,0,69.55,0,6815.665
26005031200,2087.33,99.19,48.602,168.828,77.126,275.45,80.274,0,9.767,65.4,14.659,180.742,40.937,112.602,235.665,29.362,90.529,91.806,70.154,9.095,0,128.458,181.5,188.203,17.5,0,32.038,9.307,132.153,50.146,21.4,110.987,0,4659.21
26005031300,2094.79,378.23,38.37,0,22.036,0,0,0,1.177,17.5,0,90.94,45.825,38.245,52.92,4.066,0,1.498,28.457,0,0,46.3,42.3,0,6.499,0,43.766,155.474,53.931,7.254,7.506,60.776,0,3237.86
26005031800,2330.08,81.75,94.646,10.232,5.509,66.108,53.516,0,44.901,9.8,0,84.826,39.16,65.22,45.022,5.778,0,5.108,50.319,0,0,235.019,182.252,3.9,0.62,0,40.842,15.86,37.566,1.707,0,135.473,0,3645.214
26005031900,2156.01,298.66,76.74,0,132.216,0,26.758,0,0,4.9,0,209.699,39.859,102.474,76.385,22.539,0,22.363,123.57,4.28,0,322.226,20.473,549.331,243.5,0,45.919,13.931,27.384,18.631,3.531,60.139,0,4601.518
26005032000,2207.81,297.57,148.364,25.58,115.689,44.072,26.758,0,6.236,108.5,37.878,188.85,36.27,84.239,73.405,3.745,41.517,13.268,33.384,0,0,19.7,42.758,0,0,0,54.979,31.847,57.633,27.606,0,56.068,0,3783.727
26005032100,2514.36,21.8,122.784,56.276,0,0,26.758,0,14.445,7.7,0,126.915,81.223,127.915,112.047,14.439,0,21.403,68.105,1.605,0,171.639,76.514,287.056,1.3,0,49.714,25.072,34.032,16.763,0,22.684,0,4002.549
26005032200,2437.96,17.44,107.436,117.668,77.126,99.162,160.548,0,7.772,95.2,19.687,119.476,82.104,123.522,106.347,7.635,17.548,111.28,57.67,0,0,21.813,15.3,11.478,2.7,3.878,50.877,16.642,92.243,0,0,44.94,0,4025.452
26005032401,377.3,294.3,58.834,25.58,0,0,0,0,0,0,0,143.108,312.509,174.883,96.68,0,0,2.247,47.306,0,0,1550.57,629.652,154.2,0,0,58.988,10.362,31.9,2.996,0,3.852,0,3975.267
26005032402,1940.18,171.13,56.276,0,0,0,0,0,19.474,0,0,118.658,419.76,87.471,59.32,0,0,0,42.05,0,0,288.233,24.256,25,0,0,100.04,101.66,47.472,0,0,47.829,0,3548.809
26005032600,715.755,11.99,33.254,25.58,88.144,66.108,0,0,21.507,0,0,2.675,586.895,36.937,26.615,3.638,0,11.629,0.785,0,0,46.013,0,0,0,0,7.27,2.789,16.155,0,0,24.546,0,1728.285
26007000100,3673.62,416.38,5.116,15.348,0,0,0,0,24.505,6.3,0,44.456,64.634,45.425,56.37,2.996,0,0,38.587,0,0,36.412,17.252,0,2.16,0,69.612,90.857,54.047,8.004,0,10.273,0,4682.353
26007000200,2637.5,388.04,25.58,10.232,0,0,0,0,5.778,4.9,0,155.477,92.448,57.677,46.566,4.387,0,13.776,24.931,0,0,70.313,31.126,4.2,0,0,74.295,47.247,75.542,14.979,0.341,10.165,0,3795.5
26007000300,2453.48,206.01,0,0,16.527,0,0,0,33.17,46,0,87.755,187.673,106.002,171.994,0,113.848,40.768,92.296,0,0,666.6,5.1,0,303.3,10.6,51.779,16.379,49.443,21.293,0,28.034,0,4708.05
26007000400,1251.26,6.54,163.712,173.944,16.527,0,53.516,59.025,0,30.8,8.988,142.191,42.907,144.129,124.244,13.803,0,30.495,109.982,5.564,0,23.3,6.752,0,0,0,21.216,0.94,29.324,65.26,0,34.561,0,2558.98
26007000500,1068.79,0,148.364,133.016,22.036,0,0,0,0,42.7,11.984,86.507,104.432,95.231,105.121,41.302,0,13.022,31.382,0,0,41.974,5.1,1.2,151,0,26.48,1.5,45.906,13.354,4.601,0.682,0,2195.684
26007000600,1399.44,67.58,53.718,76.74,148.743,88.144,80.274,0,5.671,149.8,43.87,40.66,21.395,33.078,36.138,0,0,48.995,22.299,0,0,3.6,1.6,5.9,0,0,13.812,4.809,35.53,0,0,1.07,0,2382.866
26007000700,1521.55,80.66,33.254,76.74,38.563,0,0,59.025,44.833,14.7,4.601,391.851,164.352,95.095,67.349,16.937,0,23.272,59.239,0,0,8.613,4.29,3.7,0,0,81.871,8.061,48.703,34.807,0,49.648,0,2931.714
26007000800,2255.48,0,48.602,97.204,11.018,11.018,26.758,0,8.988,11.2,0,67.321,35.278,87.821,101.702,16.906,0,22.456,27.247,0,0,1.8,11.6,0,0,0,40.798,5.77,113.163,8.337,0,14.552,0,3025.02
26007000900,2075.84,109,46.044,0,22.036,22.036,0,0,16.264,0,0,110.747,90.163,100.442,60.989,5.564,0,6.602,21.322,5.243,0,65.665,2.251,5.8,0,0,18.626,2.03,15.515,2.56,0,16.585,0,2821.324
26009960100,2871.85,149.33,2.558,5.116,0,0,0,0,30.71,27.3,0,70.085,29.955,40.085,44.94,0,0,4.197,31.847,0,0,14.6,18.026,3.2,12,0,70.338,98.138,29.963,24.323,0,14.552,0,3593.113
26009960200,2325.8,465.43,5.116,5.116,0,0,0,0,2.033,0,0,73.711,32.1,18.964,30.374,0,0,0.738,11.162,0,0,108.802,3.5,0,3.6,0,61.785,163.082,12.955,10.051,0,7.276,0,3341.595
26009960300,2890.12,195.11,5.116,30.696,5.509,11.018,0,0,34.239,6.3,0,55.597,25.68,49.835,38.696,2.215,0,5.136,36.519,0,0,13.8,40.052,0,1.63,0,37.718,35.691,51.042,2.987,0,34.24,0,3608.946
26009960400,3543.79,161.32,71.624,168.828,176.288,33.054,0,0,47.294,79.8,26.215,120.477,52.601,81.621,131.566,8.56,0,46.388,118.445,5.778,0,56.517,29.524,8.499,109.76,0,97.94,24.549,50.931,36.995,9.844,56.139,0,5354.347
26009960500,3957.71,79.57,56.276,5.116,11.018,0,0,0,22.684,0,0,132.581,31.886,26.412,59.055,8.025,0,0,10.911,1.605,0,16.251,6.4,0,0,0,70.01,48.2,20.455,1.707,0,5.125,0,4570.998
26009960600,2981.7,144.97,40.928,158.596,82.635,22.036,26.758,0,67.117,9.1,5.136,132.606,94.133,75.478,101.687,9.095,0,18.711,58.102,8.025,0,36.5,83.451,88.4,6,0,69.088,77.444,56.71,5.134,0,68.831,0,4528.37
26009960700,2832.92,674.71,58.834,76.74,44.072,11.018,0,0,43.258,10.5,0.02,92.718,34.274,90.067,57.342,2.461,0,7.704,74.397,0,0,236.306,6.026,0,5.04,0,38.956,26.95,79.729,22.448,0,75.863,0,4602.354
26011970100,1957.84,287.76,10.232,15.348,0,11.018,0,0,35.203,0,0,58.498,64.876,16.964,44.333,1.926,0,1.605,46.104,0,0,93.4,12.5,0,3.56,0,70.104,54.75,31.675,14.733,0,17.762,0,2850.191
26011970200,2274.18,417.47,0,15.348,0,0,0,0,18.296,58.8,14.659,37.679,21.756,38.085,34.669,0,0,0.007,9.742,0,0,31.592,11.2,3.5,2.6,0,30.377,42.349,31.687,3.414,8.53,0,0,3105.94
26011970300,1629.94,311.74,5.116,10.232,11.018,0,0,0,15.943,0,0,30.892,15.408,40.992,24.859,0,2.568,186.32,21.469,0,0,16.613,5.1,51.9,4.32,0,32.612,30.049,8.242,19.209,12.283,10.633,0,2497.458
26011970400,2848.27,216.91,2.558,46.044,55.09,44.072,26.758,0,14.62,13.3,0,80.508,38.91,46.628,73.095,5.243,0,11.77,76.134,0,0,57.818,7.47,36.7,0,0,34.346,29.462,45.537,0.853,0,27.927,0,3840.023
26011970500,2112.28,334.63,28.138,46.044,71.617,33.054,26.758,0,67.945,47,17.869,253.853,120.151,117.501,143.013,18.939,134.071,48.275,76.398,0,0,146.1,135.552,0,18.1,0,46.457,46.512,77.969,99.069,10.236,29.318,3.281,4310.129
26013000100,3434.37,265.96,86.972,122.784,16.527,22.036,26.758,0,14.62,72,22.47,142.217,42.692,69.711,72.21,3.21,95.52,41.099,27.713,0,0,45.599,5.5,0,2.9,0,26.115,5.23,40.981,32.081,13.973,49.327,0,4800.575
