Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
27001770100,3554.47,407.66,0,0,0,0,0,0,62.695,3.5,0,61.737,8.667,15.001,36.761,5.885,0,2.889,61.589,0,0,31.2,15.6,12,4.9,0,16.8,5.2,36.189,29.916,5.781,16.157,0,4394.597
27001770200,2097.54,310.65,0,0,49.581,66.108,26.758,0,12.198,7.7,0,40.465,22.256,14.123,14.961,2.354,0,0,8.656,0,0,101.172,9.208,0,0,0,27.256,8.127,31.999,21.583,0,7.062,0,2879.757
27001770300,1803.16,91.56,56.276,81.856,44.072,55.09,80.274,0,22.791,121.2,0,141.509,85.065,89.878,92.82,11.556,160.5,6.933,37.364,7.704,0,185.16,30.833,5.4,0,0,37.591,21.91,74.495,49.301,8.988,44.94,0,3448.226
27001770400,3595.49,600.59,2.558,0,0,0,26.758,0,5.243,0,0,6.42,18.404,4.953,7.749,0,0,1.819,39.193,0,0,12.4,3.808,0,0,0,21.563,8.475,18.725,2.464,0,16.05,0,4392.662
27001790501,2542.07,486.14,5.116,0,0,0,0,0,19.688,7.7,0,40.232,16.264,19.815,57.426,0,0,3.813,22.459,0,0,15.491,5,3.5,1.4,0,38.086,18.35,18.956,1.232,0,0,0,3322.738
27001790502,4828.21,360.79,30.696,5.116,0,11.018,0,0,16.992,4.3,0,39.754,9.861,17.222,28.501,0,0,2.356,5.789,0,0,6.4,1.2,0,10,0,27.77,11.76,8.459,0,0,0,0,5426.194
27003050107,1208.99,233.26,23.022,0,38.563,0,0,0,3.21,0,0,39.219,7.924,15.312,14.41,1.926,0,3.832,23.92,1.605,0,6.52,0.148,0,0,0,31.632,12.289,6.972,0,0,229.729,0,1902.483
27003050108,2512.4,1.09,38.37,30.696,0,44.072,0,0,0,0,0,71.014,12.733,46.634,51.871,7.773,0,7.064,23.339,1.605,0,123.821,12.93,3.48,0,0,57.676,6.864,15.206,11.671,5.243,55.105,0,3140.657
27003050109,2619.22,142.79,0,0,0,0,0,0,1.926,2.8,0,86.442,33.925,58.796,63.092,4.387,0,0,61.318,0,0,23.48,4.59,0,0,0,50.692,22.822,30.727,13.276,0,0.712,2.14,3223.135
27003050110,1266.26,187.48,0,0,0,0,0,0,1.284,0,0,51.094,40.767,32.372,44.222,0,0,8.774,55.295,0,0,27.74,7.4,0,0,0,75.959,16.328,20.619,0,0,17.976,0,1853.57
27003050111,2167.2,17.44,0,0,0,0,0,0,0,3.5,0,11.066,12.869,19.393,41.125,0,0,0,11.828,0,0,3.841,2.6,0,0,0,42.185,7.872,3.103,0,0,1.424,0,2345.446
27003050114,1487.63,0,0,0,0,0,26.758,0,5.243,2.8,0,7.552,24.675,47.98,47.1,1.75,0,0.747,17.267,0,0,3.841,8.686,0.783,0,0,57.448,7.916,13.286,0,0,0,0,1761.462
27003050115,2874.64,0,12.79,0,5.509,0,0,0,0,1.4,0,36.602,61.929,60.483,56.116,0,0,5.885,26.759,1.183,0,57.603,61.008,4.2,3.2,0,88.167,27.964,21.343,4.106,0,1.177,0,3412.064
27003050116,2286.4,0,12.79,0,0,0,0,0,1.925,6.6,0,29.827,19.076,46.519,74.551,0,0,6.099,12.864,0,0,35.06,19.76,3.1,1.8,0,117.369,49.01,40.362,0,0,11.389,0,2774.501
27003050208,1727.57,0,0,0,0,0,0,0,0,11.2,0,33.461,174.349,85.355,29.746,0,0,4.922,40.399,26.322,0,2.56,3.13,0,0,0,52.839,20.78,29.746,3.745,0,1.497,0,2247.621
27003050210,2227.57,0,30.696,0,0,0,0,0,0,0,0,131.198,63.235,105.115,65.645,0,0,1.178,1.969,0,0,133.604,17.815,1.9,0,0,89.916,32.988,31.772,4.601,0,43.067,0,2982.269
27003050215,1998.47,0,17.906,0,0,0,80.274,59.025,22.042,2.1,0,76.868,90.955,87.528,129.332,5.778,0,0,90.293,1.605,0,189.86,45.995,10,6.3,0,114.218,15.656,60.615,7.391,0,1.07,0,3113.281
27003050216,3054.72,14.17,0,0,0,0,26.758,0,35.304,1.4,0,53.81,69.556,43.981,67.954,0,0,0,41.77,2.568,0,61.58,83.057,0,0,70.7,105.383,38.626,32.213,0,0,1.07,0,3804.62
27003050217,1414.87,0,0,0,0,0,0,0,0,0,0,20.273,23.7,13.439,70.401,0,0,3.638,21.646,0,0,38.553,10.3,2.3,2.3,0,64.473,14.232,37.339,0,0,0,0,1737.464
27003050218,1687.32,0,0,0,0,0,0,0,0,0,0,12.594,32.133,34.725,45.233,0,0,1.926,0.909,0,0,16.24,5,0,0,0,91.474,15.8,3.21,0,0,0,1.391,1947.955
27003050219,1551.1,38.15,0,0,0,0,0,0,1.177,2.1,0,22.829,6.545,25.213,44.057,0,0,1.07,3.492,0,0,7.3,4.433,1.8,0,0,39.007,4.163,12.84,0,0,0,0,1765.276
27003050220,3400.61,0,46.044,56.276,0,0,0,118.05,0,2.8,14.873,57.53,21.293,33.643,84.514,1.498,0,10.968,26.643,3.103,0,5.1,5.317,1.6,0,0,44.141,11.484,102.506,0,5.243,0,0,4053.237
27003050221,3128.34,9.81,0,0,0,0,80.274,0,0,0,0,30.415,7.918,21.095,47.427,0,0,0,13.618,0,0,6.701,8.8,0,0,0,31.962,17.701,32.42,5.777,0,3.959,0,3446.217
27003050222,2580.52,10.9,0,0,0,0,0,0,0,11.2,0,23.26,29.055,14.44,56.732,0,0,4.55,10.437,0,0,0,3.325,2.2,1.7,0,39.707,2.588,1.605,0,0,20.651,0,2812.869
27003050223,1402.49,0,0,0,0,0,0,0,0,0,0,17.198,13.916,28.377,25.785,0,0,0.984,2.223,0,0,4.8,4.817,0,0,0,35.034,14.99,5.474,0,0,0,0,1556.088
27003050224,1513.94,0,0,0,0,0,0,0,0,0.6,0,29.249,15.527,50.888,35.702,0,0,0,2.889,0,0,1.9,13.208,0,0,0,54.395,8.602,1.825,0,0,0,0,1728.725
27003050225,3188.88,0,10.232,0,5.509,0,0,0,1.177,0,0,73.402,16.371,49.817,55.567,0,0,1.498,26.531,1.605,0,6.7,7.708,0,0,0,63.326,7.321,24.081,0,0,0,0,3539.725
27003050226,1524.78,0,0,0,11.018,0,0,0,0,0,0,20.574,9,21.11,33.072,6.099,0,23.326,16.585,0,0,3.6,1.6,0,0,0,5.247,5.055,21.079,0,5.993,10.593,0,1718.731
27003050227,2171.84,16.35,0,0,5.509,0,0,59.025,0,0,0,112.86,87.667,25.371,91.95,8.453,0,3.534,6.099,4.173,0,192.3,84.401,1.799,21,1.6,79.215,5.275,1.038,0,0,17.869,0,2997.328
27003050228,2647.08,85.02,0,15.348,27.545,0,0,0,21.929,0.7,4.921,157.278,184.294,97.433,166.681,0,0,0,26.716,0,0,125.201,230.507,4.366,39.3,0,89.045,18.975,18.511,0,0,3.21,0,3964.06
27003050229,2199.71,14.17,0,0,0,11.018,0,0,0,140.5,0,32.365,54.667,13.696,42.608,0,0,16.532,22.324,0,0,101.36,84.9,11.1,0,0,117.348,23.159,19.58,53.073,0,15.836,0,2973.946
