Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
27001770100,3419.65087890625,71.2577438354492,12.2407464981079,0,0,22.5577068328857,0,0,37.7648773193359,20.4147090911865,0,0,24.9637413024902,0,0,4.84586668014526,0,0,58.1447296142578,0,0,1.65580689907074,0,0,23.8384609222412,1.73455691337585,0,0,10.7520046234131,0,2.06485772132874,0,0,275.050506591797,0,407.660003662109,4394.59716796875
27001770200,2116.73681640625,40.2472496032715,11.4227304458618,0,0,21.566255569458,0,0,43.4413642883301,23.2602062225342,0,0,28.9060878753662,0,0,5.01848649978638,0,0,41.7933692932129,0,0,2.99345088005066,0,0,27.1366424560547,3.16670083999634,0,0,8.30831050872803,0,0.819941997528076,0,0,194.289260864258,0,310.649993896484,2879.75708007813
27001770300,2009.162109375,152.763565063477,30.7482051849365,0,0,61.521900177002,0,0,120.101737976074,64.3389892578125,0,0,78.5169906616211,0,0,28.0495262145996,0,0,127.58219909668,0,0,14.6483402252197,0,0,149.744705200195,22.0426788330078,0,0,31.7510948181152,0,2.04479885101318,0,0,463.649261474609,0,91.5599975585938,3448.22631835938
27001770400,3445.94165039063,29.5524005889893,4.10388898849487,0,0,8.2774486541748,0,0,16.5263118743896,8.95398998260498,0,0,10.9332103729248,0,0,1.85382771492004,0,0,46.1691474914551,0,0,0.89242696762085,0,0,10.8402481079102,0.89242696762085,0,0,5.32143926620483,0,0.441909998655319,0,0,201.371826171875,0,600.590026855469,4392.662109375
27001790501,2435.87426757813,59.0454978942871,5.72398328781128,0,0,10.580738067627,0,0,30.1637496948242,16.311882019043,0,0,19.8014450073242,0,0,1.64093434810638,0,0,41.9909553527832,0,0,1.38181400299072,0,0,19.7620220184326,1.5550639629364,0,0,6.07836484909058,0,0.734967947006226,0,0,185.952270507813,0,486.139984130859,3322.73754882813
27001790502,4633.8154296875,38.6996994018555,3.83207297325134,0,0,7.05263805389404,0,0,20.5591640472412,11.0877504348755,0,0,13.481125831604,0,0,0.98139101266861,0,0,58.7430801391602,0,0,0.884640991687775,0,0,12.5579977035522,0.98139101266861,0,0,4.63413524627686,0,0.492102026939392,0,0,257.601104736328,0,360.7900390625,5426.1943359375
27003050107,1198.42590332031,64.0842971801758,14.8400716781616,0,0,34.088321685791,0,0,18.9307861328125,10.2414398193359,0,0,12.3887100219727,0,0,11.9256505966187,0,0,37.8974571228027,0,0,0.586870968341827,0,0,10.8072700500488,0.622983455657959,0,0,29.7193374633789,0,0.189695999026299,0,0,224.474258422852,0,233.259994506836,1902.48315429688
27003050108,2476.19506835938,91.2071685791016,17.1437950134277,0,0,33.5256156921387,0,0,65.6332473754883,35.1354522705078,0,0,43.2839050292969,0,0,7.0319242477417,0,0,56.8393211364746,0,0,3.26145696640015,0,0,34.666576385498,3.29756951332092,0,0,15.1958351135254,0,0.418414771556854,0,0,256.731414794922,0,1.0900000333786,3140.6572265625
27003050109,2499,105.914001464844,11.2800054550171,0,0,20.2518520355225,0,0,50.2910499572754,27.2084903717041,0,0,33.028491973877,0,0,3.00221633911133,0,0,53.1449928283691,0,0,1.80807685852051,0,0,30.1912975311279,1.87107694149017,0,0,9.41926574707031,0,0.812882006168365,0,0,233.121200561523,0,142.789993286133,3223.13525390625
27003050110,1209.77478027344,88.5619049072266,9.22190761566162,0,0,17.4663887023926,0,0,44.8865432739258,24.240650177002,0,0,29.4145812988281,0,0,2.79361414909363,0,0,36.6788558959961,0,0,1.90919482707977,0,0,26.6458587646484,1.90919482707977,0,0,9.51924324035645,0,0.396821975708008,0,0,162.670547485352,0,187.479995727539,1853.57006835938
