Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
28001000100,2444.7,1021.97,0,0,121.828,0,0,0,14.805,197.6,0,179.411,116.421,52.499,81.369,3.456,0,9.384,32.465,0,0,24.42,17.273,23.8,14.99,0,40.55,22.326,121.417,29.532,0,38.017,0,4608.233
28001000200,1948.1,411.72,13.23,0,0,0,0,0,0,0,0,20.965,45.432,25.019,618.139,0,0,6.527,38.919,0,0,44.659,0,0,1.8,0,35.341,21.843,66.656,7.062,0,0,0,3305.412
28001000300,1293.64,73.32,60.48,11.34,0,0,0,0,3.103,4.2,0,29.551,7.321,50.258,13.657,4.173,0,0,12.684,0,0,17.759,4.137,0,0,0,3.23,0.92,12.626,0,0,17.869,0,1620.268
28001000400,1222.88,49.632,175.77,98.28,96.18,0,31.144,0,21.08,1.6,0,117.861,18.6,130.144,61.316,8.113,5.94,3.62,54.185,0,0,84.92,9.375,0,0,0,21.617,1.7,73.707,19.833,12.84,52.857,0,2373.194
28001000500,1488.94,239.136,18.9,64.26,70.532,0,31.144,68.7,0,0,0,105.983,136.8,65.599,80.964,4.494,0,25.573,21.077,0,0,9.129,1.938,4.6,7,0,41.271,13.39,115.007,12.626,0,36.38,0,2663.443
28001000600,1260.79,6.768,85.05,79.38,25.648,0,0,0,21.614,0,0,234.233,189.582,69.388,73.539,9.736,0,15.389,23.123,0,0,8.001,9,21,15.1,0,43.305,4.124,63.853,8.924,0,27.927,0,2295.474
28001000700,1262.41,9.024,66.15,18.9,12.824,12.824,0,0,174.156,40.6,9.844,400.695,128.445,109.959,339.632,47.08,1.926,43.327,146.156,4.173,0,74.3,19.6,29.4,52.09,0,45.905,9.905,126.14,54.542,0,31.708,0,3271.715
28001000800,1239.97,485.04,0,45.36,109.004,38.472,0,0,37.45,7.5,0,291.097,39.498,40.159,124.023,0,0,16.414,33.566,7.49,0,411.63,5.5,11,31.799,0,30.797,10.904,65.484,8.706,3.882,18.511,28.89,3142.146
28001000900,2211.02,31.584,45.36,49.14,166.712,38.472,62.288,68.7,141.24,126,31.139,294.998,164.771,108.123,175.596,24.288,166.493,124.24,89.592,0,0,31.22,15.774,18.506,46.779,0,34.566,16.08,77.349,6.517,0,17.526,0,4384.073
28003950100,3029.74,348.552,43.47,105.84,6.412,12.824,0,0,0,14,0,88.59,44.651,25.146,42.5,0.792,0,3.424,22.421,1.195,0,165.12,430.376,0,0,0,24.994,20.94,65.912,6.695,11.646,1.702,0,4516.942
28003950200,4034.78,154.536,32.13,94.5,166.712,102.592,62.288,0,0,23.8,14.552,108.923,82.303,90.441,123.546,17.869,0,46.715,67.415,2.675,0,158.239,360.24,20.8,0,0,34.242,24.565,91.582,54.374,1.926,58.423,0,6030.167
28003950300,1740.77,172.584,69.93,132.3,70.532,0,0,0,101.222,153.1,3.959,277.383,51.75,129.898,205.225,41.088,296.069,112.13,79.531,1.195,0,154.22,14.7,86.1,0,0,51.518,10.67,113.925,100.492,14.037,32.314,0,4216.642
28003950400,2696.16,557.232,0,30.24,0,0,0,0,0,0,4.066,21.948,23.758,41.649,52.34,4.954,0,2.772,6.923,0,0,4.9,2.86,4.602,0,0,12.19,12.74,30.59,0,1.941,16.392,0,3528.257
28003950500,2485.77,412.848,234.36,264.6,166.712,64.12,31.144,0,114.704,14,7.597,879.61,515.998,331.765,353.633,32.079,2.97,86.451,265.716,0,0,440.77,248.814,12.6,3.1,21.5,185.442,26.15,194.445,18.832,23.291,37.985,0,7477.006
28003950600,1708.69,710.64,0,0,0,0,0,0,9.095,0,0,32.742,93.156,40.222,44.701,0,0,4.592,13.169,0,0,16.202,12.399,0,0,0,23.456,8.254,42.419,1.969,12.034,30.174,0,2803.914
