Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
29001950100,2128.76,246.34,0,10.232,5.509,0,0,0,0,0,0,3.531,11.877,7.383,8.881,0,0,0,3.317,0,0,0,0,0,0,0,3,22.32,17.655,2.509,0,16.478,0,2487.792
29001950200,1777.62,241.98,0,15.348,0,0,0,0,22.577,0,0,34.615,76.248,23.54,13.782,0,0,0,29.318,0,0,2.3,75.1,0,0,0,24.53,49.476,14.657,1.673,6.527,21.4,0,2430.691
29001950300,897.754,183.12,250.684,127.9,132.216,121.198,0,0,149.608,9.1,0,211.431,101.435,175.596,152.733,26.108,0,38.027,61.348,0,0,122.4,29.5,102.2,0,0,75.689,7.8,81.957,43.332,7.212,13.571,0,3121.919
29001950400,1798.78,54.5,194.408,317.192,11.018,44.072,26.758,0,5.243,6.5,0,145.232,27.434,37.195,61.669,8.346,0,45.792,71.776,0,0,0,0,0,0,0,15.607,26.516,23.647,11.973,0,59.278,12.519,3005.455
29001950500,2805.06,258.33,207.198,404.164,247.905,33.054,53.516,59.025,118.663,229,82.39,106.663,89.923,125.555,113.077,2.996,42.946,106.12,73.16,9.416,0,13.052,3.3,0,1.7,0,60.099,29.248,109.291,9.416,5.179,12.132,6.42,5417.999
29001950900,728.936,35.97,163.712,204.64,88.144,11.018,0,0,12.626,0,0,103.055,11.674,44.449,36.074,5.136,3.103,12.348,10.7,0,0,0,1.276,0,0,0,2.68,4.86,30.494,2.29,5.457,14.231,0,1532.873
29001951000,0,0,0,30.696,0,0,26.758,0,34.561,971.2,0,0,0,0,5.58,0,28.717,1.122,0,0,0,0,3.1,0,0,0,0,0,2.085,0,0,13.589,490.167,1607.575
29003010100,2814.26,253.97,156.038,30.696,0,0,0,0,6.313,0,20.223,80.143,83.503,62.163,46.954,3.103,0,3.343,41,0,0,1.6,12,0,0,0,48.959,69.794,57.775,2.091,5.869,22.939,0,3822.736
29003010200,2907.4,253.97,148.364,276.264,60.599,44.072,26.758,0,5.457,82.7,44.94,274.453,34.262,134.233,96.668,14.552,0,16.209,78.755,1.392,0,5.899,18.9,1.6,6,0,58.564,43.726,71.314,26.768,4.488,47.721,0,4786.027
29003010300,987.624,259.42,0,0,5.509,0,0,0,0,0,0,11.774,4.066,6.409,19.826,0,0,0,4.387,0,0,0,2,11.8,0,0,11.706,58.138,5.992,2.509,0.345,8.453,0,1399.958
