Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
30001000100,1549.76,194.025,16.74,7.44,5.677,0,0,0,50.397,0,0,92.083,38.273,20.882,23.88,0,0,1.498,38.823,0,0,8.989,2.3,0,0,0,9.448,81.432,29.737,12.714,25.891,25.681,0,2235.67
30001000200,1983.14,412.925,0,40.92,0,0,0,0,34.499,0,0,24.109,66.457,31.141,26.653,0,20.116,12.654,58.223,0,0,20.329,5.19,19.001,21.016,0,38.309,101.369,5.778,21.807,0,3.21,0,2946.846
30001000300,1808.66,372.13,72.54,40.92,96.509,79.478,0,0,108.717,165.6,21.828,186.885,95.707,87.282,197.473,11.235,0,9.737,57.61,0,0,11.14,22.4,4.7,0.89,0,41.116,38.873,108.049,40.016,22.504,65.815,35.631,3803.445
30003000100,1844.29,239.795,37.2,130.2,90.832,0,0,0,60.06,35.1,10.593,110.381,56.215,78.878,87.344,12.198,32.849,19.975,99.47,9.63,0,3.899,10.8,10.301,5.799,0,41.96,67.115,169.685,21.178,9.17,108.955,0,3403.872
30003940400,687.225,65.67,24.18,0,0,0,0,0,1.712,1.2,0,7.169,1.712,1.06,19.5,0,0,0,2.675,0,0,0,0,0,10,0,7.3,31,2.675,1.047,0,30.388,0,894.5129
30003940500,576.334,290.54,9.3,3.72,17.031,0,0,0,13.792,0,0,35.771,5.243,5.799,8.678,0,0,5.029,6.955,0,0,0,0,1.7,1.403,0,3.502,37.12,40.629,13.273,0,46.866,0,1122.685
30003940600,779.79,158.205,63.24,22.32,0,0,0,0,3.745,16.1,11.128,23.861,0,9.574,11.224,0,0,32.741,5.67,0,0,2.089,0,8.247,0,0,0.99,1.81,5.029,30.163,0,1.604,0,1187.53
30003940700,817.658,108.455,11.16,7.44,0,0,0,0,0,18.9,0,2.782,0,0,1.523,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0.349,0,9.737,0,987.454
30005000100,674.602,75.62,11.16,22.32,17.031,22.708,0,0,6.741,67.9,0,57.891,78.661,21.02,17.34,4.601,21.721,1.16,17.227,0,0,0,1.1,2.1,0,0,7.992,77.195,46.583,24.778,19.918,40.446,23.968,1361.783
30005000200,1515.54,146.265,1.86,7.44,17.031,34.062,27.574,0,24.182,77.7,14.765,63.54,23.698,51.28,37.178,7.811,16.478,14.317,18.077,3.21,0,0,8.6,4.123,10.299,0,30.417,123.275,31.351,22.473,6.955,44.619,0,2384.12
30005940100,532.95,30.845,20.46,14.88,11.354,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.424,0,0,0,0,0,0,614.313
30005940200,409.811,100.495,18.6,18.6,5.677,0,0,0,0,0,0,4.818,0,7.597,5.62,0,0,5.564,0,0,0,0,0,0,0,0,0,2.46,4.382,2.443,0,28.676,0,614.743
