Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
31001965400,2267.82,81.75,48.602,35.812,16.527,0,0,0,0,30.8,17.227,54.531,86.378,29.569,62.861,6.688,0,5.704,29.939,0,0,7.2,3.2,0,0,0,41.713,146.031,54.206,25.842,0,35.834,0,3088.234
31001965500,2277.11,0,92.088,86.972,22.036,11.018,0,0,37.343,54.6,0,157.559,57.107,55.88,52.124,0,0,48.257,221.994,0,0,44.699,2.112,0,1.501,0,45.956,11.185,32.849,0,5.456,18.961,0,3336.807
31001965600,2509.05,185.3,71.624,158.596,38.563,0,80.274,0,1.819,302.8,0,51.793,18.774,58.344,61.627,0,0,25.359,7.429,0,0,12.202,21.925,0,0,0,31.317,23.555,8.581,2.14,0,12.091,499.69,4182.853
31001965700,375.648,0,7.674,235.336,55.09,66.108,0,0,3.633,28.9,12.305,264.341,65.27,167.797,155.298,56.504,350.103,75.14,47.159,4.173,0,140,37,0,0,0,25.872,12.5,88.83,28.865,0,53.286,0,2356.832
31001965800,1277.19,11.99,25.58,40.928,22.036,11.018,0,0,0,0,0,241.18,57.449,37.162,149.198,0,0,11.588,18.019,1.498,0,327.764,53.113,0,0,0,31.969,8.457,14.723,14.766,0,0,0,2355.628
31001965900,2579.23,0,0,15.348,49.581,33.054,53.516,0,0,5,5.671,1216.2,22.684,38.793,80.971,7.383,0,6.709,27.092,0,0,4.2,3.2,0,0,0,27.656,38.078,41.302,2.55,0,32.972,0,4291.189
31001966000,1966.73,196.2,209.756,184.176,33.054,22.036,0,0,106.037,44.1,0,233.258,316.07,226.021,147.971,0.802,8.025,8.284,73.724,3.852,0,556.9,43.137,90.799,41.201,0,83.444,124.257,38.69,25.438,8.025,39.575,0,4831.562
31001966100,334.97,183.12,120.226,291.612,66.108,11.018,53.516,118.05,0,249.9,45.261,42.979,267.917,55.556,31.574,0,0,2.889,8.566,1.819,0,147.9,0,55.5,0,0,25.1,5.67,10.807,4.601,0,21.4,0,2156.059
31001966200,1405.58,44.69,0,25.58,0,0,0,0,4.815,0,0,18.057,59.006,24.834,78.113,0,0,1.14,13.154,0,0,88.499,129.8,5.7,95,0,24.674,191.079,22.427,14.95,0,21.946,0,2269.044
31003979600,1414.36,13.08,0,5.116,0,0,0,0,0,0,0,69.222,27.82,21.561,39.822,8.667,0,8.025,21.8,0,0,11.6,3.1,0,0,0,20.989,58.776,27.777,11.529,2.261,9.054,0,1774.559
31003979700,1050.83,14.17,15.348,40.928,16.527,0,26.758,0,5.565,41.2,25.681,69.047,55.632,46.901,40.68,9.737,0,15.28,20.865,5.029,0,4.3,7.813,0,0,0,9.693,54.042,33.171,28.248,0,30.776,0,1668.221
31003979800,1580.25,120.99,0,15.348,11.018,0,0,0,8.875,4.2,5.564,183.004,93.157,49.098,54.425,15.837,10.7,14.979,18.095,0,0,9.2,9.04,2,0,0,16.987,235.321,38.135,11.9,23.066,36.339,0,2567.528
31005958300,369.972,16.35,0,0,0,0,0,0,0,0,0,11.984,6.838,2.354,3.745,0,0,0,1.431,0,0,0,5.2,0,2.7,0,1.8,22.7,3.21,0.674,0,15.943,0,464.901
