Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
32001950100,1087.03,327.355,0,22.32,0,0,0,0,0,153.1,0,45.389,40.464,79.61,84.893,2.033,0,1.926,20.009,0,0,3.699,8.585,0,9.27,0,16.35,68.666,34.026,18.19,0,12.732,0,2035.647
32001950301,1569.4,314.42,81.84,174.84,39.739,45.416,55.148,0,8.16,78.4,0,82.307,71.907,55.194,61.525,2.434,0,17.227,25.045,0,0,5.9,17.31,4.257,7.234,4.4,17.415,5.122,37.478,33.709,0,30.374,0,2846.201
32001950302,2060.83,29.85,245.52,293.88,215.726,22.708,27.574,0,96.914,15.2,0,373.662,118.632,101.066,115.406,24.102,21.293,48.905,202.889,0,0,8,9.689,1.71,45.2,1.2,47.475,9.347,75.328,76.59,5.575,53.607,17.762,4365.641
32001950400,84.15,0,79.98,29.76,11.354,11.354,0,0,0,0,0,0,0,0,3.21,0,0,0,4.601,0,0,2.4,38.2,0,0,0,2.6,0,3.424,6.206,0,0,0,277.239
32001950500,627.011,198.005,0,3.72,5.677,0,0,0,0,0.3,0,6.206,2.354,10.508,31.816,0,0,6.206,7.205,0,0,0,1.2,0,0,0,19.379,25.968,6.741,4.28,0,0,0,956.576
32001950600,2456.62,642.77,13.02,0,11.354,0,0,0,0,0,0,26.032,147.762,20.115,47.092,0,0,5.728,23.577,0,0,6.2,55.886,4.7,0,0,27.504,26.499,9.925,2.793,0,0,0,3527.577
32001950700,2756.19,637.795,9.3,48.36,17.031,0,0,0,4.066,0,0,114.669,67.428,56.799,64.955,1.177,14.445,3.108,16.959,0,0,17.897,6.643,2,0.79,0,51.353,65.533,12.796,8.346,0,0.974,3.424,3982.038
32003000101,3005.37,13.93,0,0,0,0,0,0,0,29.4,15.707,253.296,20.566,45.126,98.659,10.534,0,11.563,76.554,0,0,6.8,3.9,0,0,0,14.161,4.575,28.544,76.933,10.005,101.577,17.548,3844.747
32003000103,1815.58,0,0,148.8,266.819,170.31,27.574,0,8.264,0,0,29.949,10.076,22.369,50.62,1.177,0,11.674,15.703,2.247,0,0,2.3,0,1.9,0,13.103,4.609,10.125,0,0,15.836,0,2629.035
32003000105,2044.1,0,22.32,0,0,0,0,0,0,0,0,402,22.019,83.034,1075.36,1.665,0,60.358,38.29,0,0,1.5,23.8,2.034,0,0,6.669,8.409,20.96,0,0,49.412,0,3861.93
32003000106,1767.9,11.94,0,66.96,79.478,158.956,55.148,304.125,8.265,0,2.461,116.99,63.248,41.744,110.783,6.848,0,10.179,9.157,0,0,2.1,3.369,1,0,0,6.034,4.416,16.707,6.206,0,57.892,0,2911.906
32003000107,1251.78,0,50.22,33.48,73.801,204.372,0,243.3,55.212,2.8,3.959,148.632,17.707,39.741,58.633,2.556,0,11.505,40.464,0,0,0.75,13.885,0,2.6,0,7.06,9.629,14.338,1.605,0,7.326,0,2295.355
