Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
33001965100,2525.44,95.79,21.438,33.348,0,11.886,28.866,0,39.71,49,7.191,159.58,20.604,52.923,77.63,5.457,0,5.511,21.961,0,0,30.036,36.455,1.3,0,1.9,61.487,9.762,20.474,23.726,7.49,34.617,0,3383.582
33001965200,2919.04,288.4,109.572,100.044,89.145,0,0,0,26.225,0,2.461,176.5,14.259,45.387,82.779,18.832,0,9.155,50.048,0,0,2.653,10.08,0,0,0,33.228,15.263,46.76,5.671,5.564,0,0,4051.066
33001965300,2611.13,114.33,123.864,104.808,5.943,11.886,0,0,248.668,67.2,21.4,299.23,226.979,98.29,154.379,0,0,24.469,77.848,15.087,0,68.418,86.983,0,0,0,94.12,20.003,62.763,14.278,14.704,31.994,0,4598.774
33001965400,2326.18,9.27,0,33.348,0,0,0,0,29.104,6.3,18.917,55.365,7.784,29.513,51.123,0,0,0.749,6.142,0,0,56.408,9.78,4.1,0,0,42.169,17.934,28.952,1.529,5.671,32.258,0,2772.596
33001965598,1686.82,192.61,157.212,181.032,71.316,35.658,28.866,0,73.922,165.2,0,669.085,83.873,131.398,161.065,6.313,0,28.071,83.31,6.527,0,42.313,101.554,0,3.5,0,53.692,11.558,27.117,107.339,5.243,301.098,0,4415.692
33001965600,3081.89,13.39,11.91,0,0,0,0,0,17.579,0,0,33.137,16.638,19.971,49.034,0,0,0,7.104,0,0,9.34,2.895,5.548,0,0,52.737,22.539,14.237,1.911,4.901,34.454,0,3399.215
33001965700,3210.3,136.99,0,14.292,0,0,0,0,21.293,0,0,68.929,32.835,36.175,58.186,0,0,0.653,13.054,0,0,19.888,10,0,0,0,61.944,12.667,5.885,1.911,5.671,72.729,0,3783.402
33001965800,3648.67,724.09,121.482,219.144,89.145,23.772,0,0,11.235,1.4,0,159.988,135.667,88.91,185.179,5.457,0,27.048,50.317,3.103,0,131.82,74.179,20.8,2.4,0,297.917,28.769,28.471,14.751,3.852,45.507,26.857,6169.929
33001965900,1085.19,145.23,443.052,247.728,130.746,23.772,57.732,63.675,0,8.4,19.474,96.526,40.258,91.805,108.673,10.165,64.414,89.96,34.775,0,0,43.8,60.155,2.7,0,0,36.445,9.95,50.231,13.482,0,22.684,1.284,3002.306
33001966000,1839.34,10.3,338.244,195.324,243.663,106.974,115.464,0,16.823,176.1,70.62,218.402,148.058,134.422,235.534,15.491,0,76.549,37.091,0,0,272.498,219.555,0,70.101,34,83.227,17.545,90.191,59.514,23.273,115.024,44.507,5007.835
