Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
34001000100,813.276,10.3,171.504,90.516,23.772,11.886,28.866,0,32.1,0,0,157.441,5.243,9.049,23.455,0,0,0,13.919,0,0,0,4,0,0,0,39.687,1.7,23.106,0,0,9.63,0,1469.45
34001000200,976.495,0,252.492,90.516,101.031,47.544,86.598,573.075,0,0,0,18.334,2.461,21.81,46.314,4.543,0,29.781,14.873,0,0,0,0,6.6,0,0,11.944,0,31.544,0,0,16.938,0,2332.893
34001000300,613.035,0,271.548,343.008,303.093,71.316,115.464,63.675,0,0,0,36.99,13.011,37.989,55.357,4.259,0,16.27,19.608,0,0,2.4,11.411,3.3,0,0,3.089,0,22.737,0,0,0,0,2007.56
34001000400,205.713,0,297.75,52.404,23.772,178.29,288.66,1082.47,839.478,11.2,0,138.392,13.182,160.136,209.79,12.626,4.492,22.649,108.701,0,0,1.264,10.08,0,0,0,23.966,0,114.65,0,0,0,76.505,3876.17
34001000500,577.724,4.12,242.964,242.964,112.917,11.886,0,0,0,0,0,46.973,13.91,17.773,66.436,0,0,6.074,16.478,0,0,3.3,6,0,0,0,48.879,0,15.729,0,39.911,29.639,0,1503.677
34001001100,413.478,0,78.606,85.752,17.829,95.088,0,254.7,0,0,0,4.555,62.06,12.198,6.114,0,0,0.856,1.561,0,0,0,1.4,2.8,0,0,1.68,0,41.007,10.791,0,0,0,1090.475
34001001200,1143.99,0,133.392,185.796,0,83.202,28.866,127.35,1422.51,145.6,0,14.479,40.672,28.651,585.22,0,0,0,13.814,0,0,0,2.9,7.6,0,0,14.379,0,45.395,0.408,0,26.159,0,4050.383
34001001300,707.769,0,178.65,66.696,53.487,83.202,28.866,0,42.243,7.7,0,34.407,1.059,16.892,34.028,0,0,2.14,12.1,0,0,6.8,4.2,19.8,0,0,3.45,0,55.875,133.429,0,30.388,0,1523.181
34001001400,804.128,0,23.82,142.92,386.295,23.772,0,254.7,3930.81,4,0,82.028,26.53,27.752,60.078,0,0,2.354,20.179,0,0,0,7.9,0,0,0,41.289,1.5,31.467,1.036,0,0,0,5872.558
34001001500,226.746,0,9.528,28.584,0,35.658,28.866,445.725,0,12.6,0,3.21,21.4,33.794,11.122,0,0,0.91,4.601,0,0,0,1,0,0,0,2.309,1,14.764,0,0,0,0,881.817
34001001900,96.1875,0,52.404,119.1,17.829,23.772,28.866,636.75,0,0,0,7.49,0,5.35,17.655,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.614
34001002300,539.932,0,357.3,185.796,136.689,23.772,28.866,0,11.128,0,0,109.944,133.83,71.445,104.291,2.675,0,7.383,145.067,2.568,0,0,6.6,3.3,0,0,30.977,4.213,3.317,3.531,0,17.013,0,1929.637
34001002400,210.074,25.75,64.314,338.244,124.803,95.088,144.33,700.425,2710.66,214.2,0,552.091,52.372,180.828,761.644,31.886,347.75,99.82,254.493,0,0,18.1,26.61,3,0,0,58.839,4.5,110.77,756.901,9.63,91.635,29.853,8018.61
34001002500,875.263,0,135.774,76.224,118.86,59.43,86.598,955.125,3525.76,166.6,10.7,101.319,8.132,118.411,103.501,9.087,0,1.391,58.011,1.498,0,4.2,2.001,2.6,0,0,19.129,3.42,65.586,4.922,0,29.211,0,6542.753
34001010101,3177.09,30.9,450.198,100.044,101.031,47.544,57.732,0,17.061,0.7,0,42.265,27.392,32.041,68.907,0,53.5,2.365,33.516,0,0,0,0,0,0,0,37.235,8.956,12.626,0,0,21.507,0,4322.61
34001010102,2086.54,0,397.794,142.92,0,106.974,0,191.025,15.301,0,0,62.322,10.063,52.558,71.741,0,0,19.228,12.951,1.498,0,0,9.003,0,0,0,29.769,9.394,31.725,4.173,5.243,6.313,0,3266.535
34001010104,910.404,0,524.04,209.616,59.43,71.316,86.598,382.05,17.976,2.1,0,186.394,10.807,45.389,87.912,14.701,0,14.006,42.337,1.498,0,0,4.502,0,0,0,20.559,2.72,25.198,7.968,0,6.848,0,2734.369
34001010105,2024.21,0,221.526,128.628,71.316,249.606,28.866,127.35,1.819,0,20.437,44.597,11.392,20.633,22.199,0,0,1.712,28.584,0,0,0,0,0,0,0,23.518,2.28,13.534,0,0,0,0,3042.207
34001010200,3272.77,0,38.112,71.46,11.886,11.886,57.732,0,128.828,105,26.75,190.313,57.347,104.511,145.323,19.153,0,50.947,77.39,0,0,2.964,7.501,0,0,0,45.263,15.752,89.879,11.128,20.865,54.891,0,4617.651
34001010300,1083.03,0,35.73,0,5.943,47.544,57.732,63.675,15.943,0,0,57.628,48.558,73.157,87.755,7.383,0,29.773,29.104,0,0,0,4.9,0,0,0,21.897,9.542,32.314,0,0,0,0,1711.608
34001010401,3141.36,24.72,73.842,42.876,77.259,95.088,0,0,63.713,0,0,282.863,99.321,102.97,501.712,19.945,172.377,47.879,95.372,138.672,0,174,17.6,4,0,0,106.487,59.052,32.661,109.163,17.358,128.141,13.161,5641.592
34001010403,3043.37,0,16.674,9.528,0,0,0,63.675,20.651,286.3,136.746,16.515,41.166,16.115,65.034,0,0,64.467,35.357,0,0,3.792,1.4,0,0,0,14.948,9.04,0,0.956,0,0,0,3845.734
34001010501,4213.61,29.87,21.438,309.66,243.663,35.658,28.866,0,8.881,7,0,132.547,45.768,46.071,167.907,3.638,0,27.498,56.118,1.135,0,12.956,15.004,3.789,0,0,51.219,18.434,47.721,13.393,12.11,97.952,0,5651.907
34001010503,1913.32,33.99,73.842,123.864,683.445,641.844,57.732,63.675,0,0,0,30.097,14.941,9.608,33.525,0,0,9.117,3.656,0,0,1.264,0,2.5,0,0,19.407,4.241,10.699,0,0,95.593,0,3826.359
34001010505,1910.41,0,0,0,0,71.316,0,0,126.629,25.2,0,16.585,24.182,10.807,44.608,0,0,24.717,46.609,7.062,0,2.7,1,1.9,0,0,27.172,0.005,20.972,0,0,25.968,0,2387.841
34001010506,2640.07,63.86,0,19.056,130.746,0,0,0,35.738,0,0,95.749,41.811,81.982,114.553,7.918,0,35.671,40.21,0,0,0,3.9,0,0,0,63.517,25.595,35.203,26.108,0,56.265,0,3517.952
34001010600,1723.17,0,181.032,85.752,136.689,47.544,28.866,0,64.2,11.1,0,148.476,239.631,88.41,212.237,166.92,1.711,14.887,76.815,0,0,125.3,28.003,1.6,0,0,28.049,6.746,86.723,26.736,20.651,71.529,0,3622.777
34001010700,3088,77.25,38.112,0,0,23.772,86.598,0,39.591,60.9,0,128.018,77.75,52.125,101.376,1.284,0,3.841,90.969,0,0,142.128,41.91,11.4,1.8,0,118.792,60.034,51.279,24.522,11.235,35.342,0,4368.027
34001010800,1401.17,0,135.774,9.528,59.43,23.772,28.866,0,0,141.4,25.787,85.363,119.194,28.82,59.928,5.136,0,27.615,36.081,0,0,5.2,11.8,23.3,0,0,58.727,23.133,20.221,0,5.885,47.936,0,2384.066
34001010900,2332.87,0,76.224,147.684,267.435,142.632,0,0,5.457,19.6,15.836,209.496,96.165,115.991,165.485,22.736,0,110.743,88.949,1.391,0,11.064,14.31,0,0,0,47.527,115.412,56.95,24.839,16.157,44.298,0,4149.252
34001011000,1178.45,0,64.314,33.348,5.943,11.886,0,0,3.53,35,0,148.076,268.551,54.378,84.977,2.461,0,24.157,61.249,2.354,0,164.62,39.6,74.599,0,0,59.708,46.666,21.04,11.449,0,0,0,2396.356
34001011100,1206.66,8.24,135.774,80.988,59.43,0,0,0,0,18.2,13.803,82.116,52.216,57.734,306.124,6.206,0,16.895,32.366,0,0,23.9,12.8,150,1.8,0,124.428,13.7,16.371,0,0,0,0,2419.751
34001011201,1037.8,3.09,0,0,0,0,0,0,12.84,3.5,0,46.01,77.215,11.806,30.018,53.5,1.926,6.137,10.486,0,0,103.4,5.2,40,0,0,41.837,1.6,17.013,12.733,0,12.84,0,1528.951
34001011202,3592.54,416.12,45.258,52.404,0,0,0,0,24.61,12.6,0,125.55,138.959,79.23,111.139,0,0,11.773,93.618,1.391,0,102.963,153.701,59,0,0,133.013,56.362,89.823,11.421,5.885,73.509,0,5390.869
34001011300,1645.36,7.21,247.728,161.976,35.658,95.088,28.866,63.675,0,13.3,0,58.529,291.707,54.59,121.132,5.564,0,20.223,46.01,0,0,269.4,34.001,6.1,0,0,47.478,25.66,25.359,2.063,0.404,58.475,0,3365.556
34001011401,2816.88,0,35.73,14.292,23.772,0,0,0,8.881,72.1,0,87.412,62.451,73.156,103.928,12.412,0,18.144,49.655,0,0,56.264,10.3,4.4,0,0,60.41,20.353,62.61,36.594,18.802,45.443,0,3693.989
34001011403,2053.8,0,42.876,247.728,255.549,213.948,86.598,63.675,0,0,0,549.184,44.554,31.681,71.21,1.01,13.025,10.636,96.401,0,0,3.176,7.8,2.6,0,0,35.368,7.439,8.826,3.208,0,5.381,36.866,3892.539
34001011404,3576.98,321.36,42.876,238.2,309.036,47.544,115.464,63.675,0,119.9,9.416,216.48,84.096,65.607,128.683,4.921,38.335,46.24,82.674,1.498,0,41.293,11.9,0,2.2,1.2,26.252,4.961,2.247,34.041,0,241.503,32.79,5911.372
34001011500,3303.04,0,16.674,23.82,23.772,83.202,28.866,0,3.959,2.8,3.852,146.097,85.204,76.054,125.093,0,0,28.93,54.419,0,0,11.992,523.69,8.8,0,0,72.461,14.23,94.146,42.686,37.561,3.852,0,4815.2
34001011600,2290.29,430.54,7.146,57.168,5.943,47.544,0,0,17.168,5.7,0,44.831,55.217,43.733,52.376,2.675,0,0.91,18.012,0,0,23.664,1.9,14.8,0,0,101.223,16.88,26.666,14.319,18.165,96.153,0,3393.023
34001011701,3737.72,614.91,71.46,47.64,0,71.316,0,0,19.367,0,0,745.083,71.494,121.676,250.656,11.877,2.461,53.919,151.736,0,0,307.605,23.61,6.201,0,2.499,68.613,19.23,61.037,37.236,14.129,50.533,0,6562.008
34001011702,1022.32,389.34,11.91,9.528,59.43,23.772,28.866,0,18.511,1.4,2.675,302.752,319.965,95.853,676.402,9.095,15.408,34.005,93.014,0,0,74.4,61.071,8.901,1.4,0,136.21,10.251,15.595,3.317,17.358,15.34,0,3458.088
34001011802,8284.95,78.28,161.976,142.92,29.715,0,0,0,21.828,6.3,2.675,182.854,60.299,73.961,191.045,4.922,1.819,16.815,63.671,1.498,0,29.932,7.202,14.7,3.1,0,124.422,36.161,114.565,4.708,18.102,75.245,0,9753.665
34001011803,1910.07,179.22,78.606,142.92,285.264,118.86,28.866,63.675,140.491,2.8,0,316.18,164.024,95.778,257.455,11.359,3.531,44.183,110.293,1.425,0,27,10.272,1.4,0,0,40.381,2.936,50.079,19.26,9.737,22.627,0,4138.692
34001011804,3719.93,334.75,0,0,0,0,0,0,4.387,2.8,0,45.357,24.529,40.697,91.762,0,0,1.665,55.114,0,0,19.819,23.801,3.651,5.9,0,82.644,4.1,52.43,0,0,29.703,0,4543.039
34001011805,1262.41,144.2,0,0,0,0,0,0,6.123,0,0,13.567,21.925,19.796,126.789,0,0,0,36.863,0,0,3.7,1.5,0,0,0,32.868,6.984,16.985,0,0,0,0,1693.71
