Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
35001000107,1614,0,0,40.92,22.708,113.54,55.148,60.825,0,0,0,7.897,17.174,10.852,58.205,0,0,7.233,20.738,0,0,1.4,3.062,0,0,0,3.382,0,8.025,0,0,1.546,0,2046.655
35001000108,1268.98,0,0,63.24,119.217,124.894,0,60.825,0,26.6,15.194,35.163,18.418,49.403,197.161,0,0,6.634,33.919,0,0,2.4,0,0,0,0,10.02,5.242,19.194,0,0,4.847,0,2061.351
35001000109,1486.74,0,7.44,22.32,45.416,45.416,0,0,25.573,4.2,5.457,66.547,46.331,32.841,64.152,33.17,0,25.52,33.421,0,0,3.8,5.5,50.5,0,0,14.912,0.98,18.939,0,0,20.758,0,2059.933
35001000110,1505.54,0,0,156.24,51.093,272.496,82.722,121.65,6.527,0,0,37.68,7.864,38.061,44.939,0,0,13.45,57.192,4.292,0,0,1.5,3.3,0,0,11.918,3.12,15.638,0,0,39.442,0,2474.664
35001000111,1918.25,0,0,0,0,0,0,0,3.21,5.6,6.18,18.319,11.042,15.002,40.958,0,0,2.299,2.945,0,0,4.11,5.7,0,0,0,10.83,0.59,4.963,0,0,28.248,0,2078.246
35001000112,1364.73,0,0,152.52,5.677,11.354,0,0,0,0,3.959,2.636,15.325,11.546,26.347,0,0,10.875,7.49,0,0,0,1.9,0,0,0,14.54,0.742,0,0,0,0,0,1629.641
35001000113,1455.33,0,39.06,267.84,45.416,11.354,0,60.825,0,0,0,50.442,13.706,44.608,83.885,0.717,0,9.96,42.805,0,0,0,6.387,0,5.5,0,11.186,5.34,33.105,0,0,12.23,0,2199.696
35001000114,1807.73,7.96,16.74,111.6,0,22.708,0,0,0,2.8,4.066,106.717,22.926,32.775,62.906,0,0,9.026,26.704,0,0,0,7.613,0,0,0,23.212,1.82,8.642,0,0,23.037,0,2298.982
35001000115,1360.43,0,0,212.04,39.739,79.478,110.296,60.825,3.772,5.6,0,53.971,126.163,72.665,54.869,36.462,0,37.585,40.687,1.392,0,0,13.981,1.6,0,0,17.795,4.1,18.98,0,0,17.26,0,2369.69
35001000116,1708.71,0,26.04,156.24,0,22.708,0,0,0,7,6.634,44.566,11.449,39.773,99.321,2.033,0,9.759,32.319,0,0,3.5,15.266,1.5,0,0,11.169,5.012,11.959,0,0,18.928,0,2233.886
35001000117,1485.43,24.875,33.48,0,0,22.708,0,0,0,4.9,0,94.141,16.157,37.974,131.633,0,0,52.554,30.839,1.498,0,0,0.881,0,0,0,8.993,0,14.017,0,0,2.033,0,1962.113
35001000118,1015.69,0,0,167.4,39.739,113.54,82.722,121.65,3.772,7.7,0,129.782,36.883,38.991,95.778,21.72,1.038,68.683,35.101,0,0,10.394,7.544,3.3,0,0,15.236,3.227,2.889,4.066,0,16.585,0,2043.43
35001000119,1142.76,8.955,0,7.44,0,45.416,55.148,0,0,9.8,3.424,15.56,4.494,5.126,25.409,0,0,9.833,5.136,0,0,0,1.7,0,0,0,12.059,1,29.942,0,0,1.514,0,1384.716
35001000120,1220.08,0,11.16,111.6,28.385,34.062,137.87,60.825,0,0,0,37.388,16.164,37.986,38.208,4.922,0,28.98,53.415,0,0,0,0.881,2.3,0,0,20.021,9.735,18.725,0,0,36.273,0,1908.98
35001000121,2700.93,0,11.16,26.04,204.372,11.354,220.592,486.6,0,89.6,29.318,211.273,48.902,106.541,443.248,12.947,0,5.863,71.479,7.811,0,12.32,19.225,0.71,0,0,34.458,10.035,18.452,0,0,30.484,21.4,4835.114
35001000122,2512.06,0,0,89.28,5.677,0,82.722,182.475,57.566,11.9,4.468,212.691,106.533,167.233,442.514,15.219,0,95.467,122.717,14.552,0,14.929,21.2,2.7,0,0,33.502,10.562,113.139,17.334,0,35.353,0,4371.793
35001000123,2852.12,7.96,0,249.24,0,11.354,0,0,0,5.6,0,104.587,30.326,78.313,94.022,1.605,0,29.209,56.189,0,0,15.3,3.7,2.2,0,0,59.079,9.042,18.593,3.633,0,57.352,0,3689.424
35001000124,619.812,0,29.76,122.76,130.571,158.956,248.166,790.725,5.136,131.6,1.499,234.812,41.412,40.49,365.532,1.712,12.519,74.256,42.394,0,0,9.9,12.41,1.2,14.933,12.9,40.546,3.732,13.778,15.961,0,15.964,0,3193.436
35001000125,3493.72,0,0,22.32,0,0,0,0,0,0,0,12.286,17.594,8.763,84.411,0,0,9.438,11.9,0,0,6.7,4.03,0,0,2.2,9.616,0,0,0,0,0.995,0,3683.973
35001000126,1399.88,0,0,197.16,56.77,79.478,0,60.825,0,0,0,59.313,18.732,15.184,69.279,0,0,36.106,22.952,16.906,0,2.4,9.181,0,0,0,10.28,3.52,49.113,0,0,0,0,2107.079
35001000127,1733.86,16.915,0,0,0,0,0,0,0,8.4,1.391,78.712,22.751,41.903,77.088,11.506,0,1.712,31.406,3.317,0,3.9,5.362,3.6,0,0,15.253,6.6,2.889,0,0,9.646,0,2076.211
35001000128,1701.51,21.89,7.44,7.44,45.416,0,0,60.825,0,14,0,101.655,13.506,54.865,110.792,0,0,16.612,16.055,0,0,3.5,3.963,0,1.5,0,5.149,3.742,7.169,0,0,20.198,0,2217.227
35001000129,814.852,30.845,61.38,546.84,164.633,329.266,82.722,243.3,0,64.4,0,28.873,27.827,42.752,38.878,8.025,0,0,22.824,0,0,0,1.881,2.2,0,0,17.102,0,6.354,0,0,1.958,0,2536.912
35001000203,652.63,0,0,59.52,28.385,90.832,55.148,304.125,0,0,0,33.536,16.128,54.945,106.456,0,14.766,50.343,27.692,7.704,0,0,12.9,0,0,0,5.293,10.785,43.03,52.965,0,43.754,0,1670.937
35001000204,1435.51,38.805,29.76,59.52,39.739,170.31,27.574,60.825,0,5.6,9.844,88.629,17.241,64.575,188.866,5.243,0,24.133,16.694,2.164,0,8.51,14.861,0,0,1.811,8.813,2.97,11.531,1.391,0,6.41,0,2341.329
35001000205,1373.05,26.865,0,33.48,158.956,102.186,110.296,182.475,0,0,0,56.397,21.439,41.561,94.71,1.177,0,10.636,21.323,0,0,13.5,20.99,10.6,0,0,25.432,3.242,18.338,0,0,38.157,0,2364.81
35001000206,1943.12,0,0,0,0,0,0,0,0,5.6,0,52.846,9.35,42.845,70.984,2.354,0,4.804,12.198,0,0,5.8,7.081,0,0,0,23.412,5.244,9.136,0,0,28.394,0,2223.168
35001000207,2074.95,15.92,0,0,22.708,0,55.148,60.825,109.059,9.1,5.297,892.265,86.362,107.047,817.01,37.218,31.886,45.128,149.894,10.273,0,8.175,43.551,8.2,0.622,0,42.904,6.727,62.238,1.177,0,56.1,0,4759.784
