Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
35001000107,1410.56970214844,30.6991405487061,2.21368646621704,0,0,23.5726490020752,0,0,1.38239884376526,0,0,6.93971920013428,3.21456551551819,0,0,4.10981035232544,0,0,38.5800819396973,0,0,2.2431058883667,0,0,18.2429122924805,6.35923910140991,0,0,427.995483398438,0,3.38984155654907,0,0,52.3025131225586,0,14.8401498794556,2046.6552734375
35001000108,1234.90209960938,93.7892990112305,5.6977915763855,0,0,43.9855690002441,0,0,1.89571464061737,0,0,16.0605030059814,6.7002387046814,0,0,13.9300727844238,0,0,85.2115173339844,0,0,3.18173956871033,0,0,43.9196395874023,15.3311805725098,0,0,406.573394775391,0,9.40715885162354,0,0,61.7263450622559,0,19.0386409759521,2061.35083007813
35001000109,1216.70922851563,78.7385711669922,6.85152196884155,0,0,38.5286407470703,0,0,1.23811531066895,0,0,29.3424797058105,8.19701957702637,0,0,13.0198307037354,0,0,66.4150619506836,0,0,2.2089159488678,0,0,66.2892150878906,16.3353652954102,0,0,439.300964355469,0,8.77031421661377,0,0,61.1549224853516,0,6.83280038833618,2059.93286132813
35001000110,1631.33654785156,43.612678527832,5.28627967834473,0,0,58.1244697570801,0,0,4.05413866043091,0,0,14.551197052002,7.8901162147522,0,0,8.2765064239502,0,0,83.4432067871094,0,0,6.4883131980896,0,0,28.6380138397217,14.0060033798218,0,0,457.677154541016,0,8.31422805786133,0,0,68.0968856811523,0,34.868350982666,2474.66430664063
35001000111,1435.53735351563,27.0022888183594,2.15184116363525,0,0,10.8986186981201,0,0,0.664652049541473,0,0,8.47498226165771,2.50691556930542,0,0,4.73385334014893,0,0,21.5425148010254,0,0,1.02253293991089,0,0,19.988187789917,5.12772035598755,0,0,481.697113037109,0,3.4230751991272,0,0,52.8799705505371,0,0.594399988651276,2078.24609375
35001000112,1136.74047851563,22.4636383056641,1.4886531829834,0,0,12.7956171035767,0,0,0.773259937763214,0,0,5.7244725227356,2.15104722976685,0,0,2.36056137084961,0,0,21.9393463134766,0,0,1.25002682209015,0,0,15.0536870956421,4.3102388381958,0,0,351.228576660156,0,1.59674549102783,0,0,40.5451927185059,0,9.21938991546631,1629.64086914063
35001000113,1399.5107421875,59.6169509887695,4.78350019454956,0,0,45.8094711303711,0,0,2.4512312412262,0,0,16.7950801849365,7.27320861816406,0,0,9.4505033493042,0,0,72.5492782592773,0,0,4.02044010162354,0,0,37.5827484130859,13.9858121871948,0,0,433.848388671875,0,7.7421441078186,0,0,62.3854560852051,0,21.8908500671387,2199.69580078125
35001000114,1460,68.3607177734375,5.27524709701538,0,0,28.0377235412598,0,0,1.57968926429749,0,0,18.3180370330811,5.94789218902588,0,0,11.8028173446655,0,0,50.9698371887207,0,0,2.94017744064331,0,0,46.8748741149902,13.3856039047241,0,0,497.140991210938,0,7.28836107254028,0,0,64.3506240844727,0,16.709400177002,2298.98217773438
35001000115,1387.44909667969,90.6897583007813,7.58639717102051,0,0,54.4929618835449,0,0,2.83364772796631,0,0,30.5844268798828,8.53110599517822,0,0,14.2557878494263,0,0,97.6574935913086,0,0,4.71673965454102,0,0,95.0170822143555,19.7828350067139,0,0,447.671417236328,0,10.7831211090088,0,0,71.547492980957,0,26.090648651123,2369.69018554688
35001000116,1430.33862304688,63.2506408691406,4.7762770652771,0,0,32.4040298461914,0,0,1.49374139308929,0,0,17.7922115325928,5.60285234451294,0,0,9.90259552001953,0,0,56.1186256408691,0,0,2.51950812339783,0,0,39.8437728881836,11.8001270294189,0,0,477.600646972656,0,7.1983790397644,0,0,62.3009757995605,0,10.9430904388428,2233.88647460938
35001000117,1145.56433105469,105.510559082031,8.57829570770264,0,0,30.4456005096436,0,0,0.662688910961151,0,0,16.8446235656738,4.89409160614014,0,0,15.0700969696045,0,0,53.6213874816895,0,0,1.50847578048706,0,0,43.6272239685059,12.650369644165,0,0,429.322021484375,0,8.03323268890381,0,0,57.6460189819336,0,28.1340503692627,1962.11279296875
35001000118,1145.37365722656,123.225662231445,11.3282527923584,0,0,57.1189422607422,0,0,3.2171642780304,0,0,27.2766933441162,9.3742151260376,0,0,18.7160167694092,0,0,94.1409225463867,0,0,5.70191240310669,0,0,63.7715606689453,19.8039970397949,0,0,364.728393554688,0,10.0345439910889,0,0,62.4352226257324,0,27.1828289031982,2043.43005371094
35001000119,937.76611328125,22.4603004455566,1.74791860580444,0,0,16.2444152832031,0,0,0.578495979309082,0,0,5.006422996521,2.45753693580627,0,0,3.15554046630859,0,0,26.6112766265869,0,0,0.99425083398819,0,0,11.0239267349243,4.54504537582397,0,0,299.398590087891,0,2.20268034934998,0,0,35.5453109741211,0,14.9781503677368,1384.7158203125
35001000120,1200.01391601563,52.8836097717285,6.0590033531189,0,0,45.8118438720703,0,0,2.63510513305664,0,0,16.7965068817139,6.75590848922729,0,0,8.52403354644775,0,0,64.6498565673828,0,0,4.23101854324341,0,0,33.2214965820313,12.1965503692627,0,0,372.15185546875,0,7.8571891784668,0,0,54.8012199401855,0,20.3908500671387,1908.98022460938
35001000121,2766.30908203125,250.650588989258,16.1640758514404,0,0,118.065406799316,0,0,5.78465938568115,0,0,52.922191619873,19.1441478729248,0,0,41.3337707519531,0,0,226.741561889648,0,0,10.1420164108276,0,0,133.888198852539,43.6134719848633,0,0,923.976989746094,0,26.1858329772949,0,0,150.139297485352,0,50.0527000427246,4835.11376953125
35001000122,2198.1328125,310.04443359375,24.5765628814697,0,0,136.237030029297,0,0,3.1926007270813,0,0,69.5220642089844,21.1590576171875,0,0,47.713508605957,0,0,231.714080810547,0,0,5.9792160987854,0,0,174.874694824219,48.0830421447754,0,0,897.624938964844,0,34.0202445983887,0,0,148.875350952148,0,20.0433292388916,4371.79345703125
