Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
36001000100,302.585,0,545.478,100.044,65.373,11.886,0,0,0,55.3,0,287.7,541.19,65.309,195.327,1.915,0,5.848,54.243,0,0,160.804,53.374,61.9,0,0,22.392,0.85,24.222,19.141,4.707,16.799,0,2596.387
36001000200,639.625,0,1288.66,700.308,392.238,71.316,28.866,254.7,14.873,58.8,85.601,75.563,113.577,232.064,134.592,0,385.628,54.57,78.692,6.527,0,51.6,222.301,0,0,0,80.118,1,50.844,38.338,0,156.209,0,5216.61
36001000300,1378.43,0,1193.38,728.892,130.746,35.658,115.464,63.675,103.789,135.1,0,462.473,315.594,209.233,251.345,116.789,8.667,173.372,114.021,1.391,0,8.579,76.846,22.5,2.885,0,144.051,6.24,81.167,31.431,11.021,76.81,38.417,6037.967
36001000401,760.18,23.69,0,133.392,160.461,0,0,191.025,35.966,402.5,323.354,505.151,147.124,270.914,485.456,9.232,12.626,45.668,110.503,2.354,0,64,31.752,0,0,0,74.98,2.9,107.086,117.128,0,19.581,3.532,4040.554
36001000403,1545.07,31.93,833.7,219.144,148.575,23.772,0,63.675,0,10.5,0,112.471,28.193,80.694,220.958,12.432,0,40.672,37.892,0,0,3.9,18.282,2.4,5.799,0,7.477,4.75,28.99,216.204,365.084,7.704,0,4070.268
36001000404,14.4495,0,0,0,0,0,0,0,0,2070.8,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,2087.85
36001000501,292.752,16.48,757.476,200.088,59.43,59.43,86.598,318.375,3.814,15.3,0,47.66,48.417,238.989,29.684,1.926,0,11.47,8.774,0,0,0,0.943,0,0,0,73.173,8.6,13.054,3.429,167.285,20.116,0,2483.263
36001000502,375.174,0,331.098,123.864,172.347,35.658,28.866,0,0,625,0,4.318,7.436,55.212,23.807,5.885,0,24.294,0.856,0,0,0,10.91,0,0,0,5.752,2.9,45.321,4.815,0,121.962,556.186,2561.661
36001000600,312.759,0,933.744,481.164,89.145,35.658,57.732,0,0,100.1,0,115.592,44.725,130.526,64.732,3.831,17.12,17.431,85.518,1.712,0,8.148,9.243,0,0,0,54.837,1.1,68.159,34.634,0,67.132,0,2734.742
36001000700,479.911,0,1040.93,428.76,160.461,11.886,0,0,0,9.8,0,77.384,81.105,52.25,1897.46,0,1.605,17.943,36.616,0,0,10,61.703,56.4,0,0,14.535,0,26.81,6.206,9.523,24.717,0,4506.005
36001000800,259.151,0,550.242,471.636,41.601,59.43,28.866,63.675,0,77.8,0,113.733,56.805,104.19,106.319,8.346,0,6.26,34.931,0,0,0.66,2.1,0,0,0,25.251,1.5,55.426,161.463,0,26.215,0,2255.6
36001001100,55.575,0,69.078,190.56,77.259,11.886,57.732,318.375,69.871,102.9,7.918,350.15,225.839,450.441,2821.47,59.686,0,112.888,590.152,2.339,0,153.167,157.265,17.633,6.7,0,95.323,63.642,515.66,5966.14,48.075,186.881,162.563,12947.17
36001001400,563.018,0,352.536,581.208,588.357,178.29,144.33,318.375,15.408,21.7,0,180.72,36.983,99.603,183.76,3.424,2.958,28.215,58.254,3.638,0,0,27.754,6.8,1.8,0,13.753,2.98,282.948,26.001,0,43.997,6.104,3772.914
36001001500,531.211,0,781.296,585.972,350.637,71.316,115.464,191.025,16.799,20.1,0,64.899,3.638,35.31,69.966,0,6.918,40.062,21.403,0,0,23,0.91,0,0,0,13.699,1,49.347,0,0,2.265,0,2996.237
36001001600,775.229,0,843.228,247.728,219.891,47.544,28.866,0,0,88.1,0,20.429,6.356,58.015,44.031,2.782,0,34.466,34.311,0,0,3.3,0,0,0,0,17.077,0,63.558,22.898,0,8.346,0,2566.155
36001001700,1111.41,0,574.062,433.524,148.575,83.202,57.732,0,1.907,101.5,90.094,44.619,32.688,119.607,52.378,10.272,638.79,164.802,34.329,0,0,0,3,0,0,0,19.478,4.5,62.112,1.029,34.989,50.504,0,3875.103
36001001801,4151.28,0,145.302,152.448,148.575,71.316,57.732,127.35,0,73.5,0,69.037,16.164,40.246,118.261,0,25.252,19.657,25.876,0,0,6.4,1.887,0,0,0,28.799,4.479,206.938,0,0,47.989,21.4,5559.889
36001001802,1719.75,12.36,352.536,309.66,35.658,11.886,0,191.025,5.457,11.2,7.276,28.922,4.6,31.721,40.493,5.023,0,14.857,21.274,0,0,3.224,0,1.4,0,0,12.868,3.509,27.829,2.461,0,1.926,0,2856.915
36001001901,1234.62,0,376.356,52.404,11.886,0,0,0,0,16.1,0,52.575,2.835,19.522,32.876,0,0,13.15,6.302,0,0,2.448,0,0,0,0,10.759,5.2,8.406,0,0,355.561,0,2201
36001001902,1731.72,0,19.056,0,5.943,0,0,0,0,3.5,0,11.93,3.905,7.843,22.306,0,0,2.033,3.941,0,0,3.3,0,1.7,0,0,7.193,1.77,9.737,0,0,15.087,0,1850.964
