Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
37001020100,2207.04,0,137.97,170.1,102.592,12.824,93.432,68.7,0,42.7,5.778,327.955,376.468,267.332,348.761,36.484,0,121.305,53.099,1.391,0,197.335,403.102,47.993,7.3,0,78.664,5.56,161.531,16.264,20.33,75.898,0,5387.909
37001020200,2082.17,3.384,170.1,143.64,96.18,12.824,31.144,0,22.47,61.8,8.067,172.564,75.285,69.118,42.725,0,0,1.685,29.877,0,0,40.084,20.981,12.5,0,1.1,34.68,3.49,96.137,2.675,0,17.12,21.721,3273.521
37001020300,3042.95,730.944,94.5,158.76,38.472,102.592,0,0,0,249.4,49.434,373.814,113.846,204.941,173.05,12.808,0,62.873,67.943,0,0,171.767,10.1,65.682,6.5,0,112.945,12.99,105.863,34.136,0,73.617,0,6069.927
37001020400,3115.44,276.36,223.02,102.06,19.236,0,0,0,0,58.8,13.356,61.426,43.162,90.216,29.635,0,0,12.198,55.389,0,0,137.253,116.001,143.1,0,0,49.37,4.21,91.6,0,0,14.338,0,4656.17
37001020501,2179.51,148.896,0,11.34,12.824,76.944,0,0,0,0,2.675,143.529,38.37,18.682,31.71,0,0,1.45,6.378,0,0,71.097,10.4,126,0,0,26.919,4.65,32.233,0,0,0,0,2943.607
37001020502,1628.3,215.448,153.09,71.82,19.236,0,0,0,0,114.5,7.062,93.025,49.434,303.202,43.525,0,2.896,7.65,9.63,0,0,199.702,66.401,0,0,0,15.06,0.83,77.426,0,0,0,0,3078.237
37001020601,2687.86,0,0,0,12.824,0,0,0,12.305,0,3.473,69.538,22.213,58.292,187.379,9.434,0,33.303,73.713,0,0,7.914,11.7,3.6,0,0,52.626,2.212,32.65,6.202,0,0,0,3287.238
37001020602,1855.47,0,0,102.06,0,0,0,137.4,0,35.7,69.48,46.108,16.601,25.515,58.615,0,0,65.962,6.104,0,0,14,2.2,0,0,0,12.091,8.538,32.992,0.004,0,70.621,0,2559.461
37001020701,2354.58,15.792,0,34.02,173.124,564.256,93.432,206.1,52.476,9.8,440.859,671.563,102.787,160.633,364.991,46.335,0,44.168,243.594,0,0,98.801,25.279,1.9,1.7,0,53.265,17.06,35.677,5.307,29.854,17.655,0,5865.007
37001020702,1823.18,83.472,22.68,264.6,545.02,218.008,31.144,0,5.136,0,11.663,175.976,91.067,87.408,141.266,1.712,0,39.439,21.429,0,0,350.917,86.799,0,0,0,61.466,8.63,62.107,0.706,0,53.081,24.931,4211.837
