Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
38001965600,1399.65,92.65,25.58,66.508,93.653,66.108,0,0,6.099,36.4,20.758,103.861,93.789,90.114,31.199,24.416,59.92,4.915,14.894,0,0,18.4,5.16,0,0,0,22.622,90.227,44.79,9.644,0,4.387,0,2425.744
38003967900,1343.66,40.33,0,25.58,0,0,0,0,15.315,0,0,21.823,49.199,23.022,47.971,4.066,0,0,31.492,0,0,31.6,0,2.7,0,0,47.982,162.148,32.971,3.429,30.225,8.453,0,1921.966
38003968000,1861.73,130.8,5.116,30.696,16.527,0,0,0,8.988,7.7,8.988,71.313,118.183,22.164,30.004,1.177,0,0.942,29.357,0,0,1.6,102.725,0,0,0,34.837,233.999,71.46,9.181,48.696,29.854,0,2876.037
38003968200,1039.22,119.9,115.11,179.06,126.707,88.144,133.79,0,25.359,118.1,12.091,176.899,106.198,99.051,79.859,10.272,0,7.766,92.341,6.206,0,241.4,5.074,30.1,0,0,44.353,22.849,41.057,12.626,0,29.889,33.063,2996.484
38003968300,1535.27,0,35.812,250.684,60.599,154.252,133.79,0,16.46,129.8,0,272.515,7.972,55.18,64.174,51.895,96.3,24.886,10.744,0,0,39.3,17.9,0,0,0,14.744,24.219,92.662,33.405,0,50.312,0,3172.875
38005940100,697.546,77.39,117.668,20.464,38.563,11.018,26.758,0,15.222,3.4,0,31.993,5.564,8.977,22.598,4.602,0,14.98,12.466,0,0,26.6,10.81,0,0,0,1,15.337,21.262,35.761,0,73.617,0,1293.596
38005940200,768.84,190.75,7.674,0,0,0,0,0,60.883,0,0,21.475,1.07,6.705,3.193,0,0,0,6.982,0,0,4.6,0,0,0,0,9.903,19.949,7.918,1.182,5.038,15.408,0,1131.57
38005956500,752.07,43.6,0,25.58,33.054,0,0,0,0,0,0,33.594,45.261,15.996,18.725,6.206,0,0,10.779,0,0,19.7,1.287,46,0,0,5.71,84.481,13.146,4.727,15.113,12.84,0,1187.869
38005956600,661.77,42.51,17.906,15.348,0,44.072,0,0,0,0,0,21.028,54.298,21.9,24.947,5.992,0,3.531,15.087,0,0,0,0,0,0,0,7.051,67.823,25.787,1.97,14.273,18.511,0,1063.804
38007963100,575.856,75.21,0,20.464,16.527,0,0,0,61.739,6.3,0,23.646,7.812,2.996,14.85,0,0,0,56.013,0,0,0,2.574,0,4.899,0,4.101,32.642,1.177,9.956,0,7.597,0,924.3589
38009952300,1161,58.86,20.464,71.624,11.018,66.108,26.758,0,19.26,122.5,25.573,144.261,40.222,44.289,67.033,16.585,8.56,15.424,40.379,1.712,0,5.415,7.987,19.2,0,0,17.401,31.945,65.062,17.073,0.42,43.55,22.47,2192.153
38009952400,2580,188.57,0,0,0,0,0,0,63.451,0,0,73.174,32.207,15.268,29.474,7.704,0,2.139,31.831,0,0,12.6,10.122,4.9,4,0,27.628,150.354,17.211,5.664,16.792,25.791,0,3298.88
38009952500,1380.82,57.77,0,30.696,11.018,0,0,0,0,14,17.12,26.317,75.747,21.407,40.509,9.095,0,0,20.289,0,0,10.7,5.087,0,16.3,0,17.193,142.577,30.021,19.272,14.273,41.021,0,2001.232
38011965200,1298.77,57.77,10.232,40.928,22.036,11.018,0,0,47.294,57.4,11.021,110.86,22.898,51.747,45.112,17.976,0,14.738,29.504,0,0,2.5,1.8,0,7.1,0,22.1,22.297,20.543,16.934,14.355,63.15,0,2020.083
38011965300,899.388,114.45,2.558,15.348,11.018,0,0,0,8.453,0,0,19.414,86.82,14.957,27.87,3.852,12.84,4.152,25.532,0,0,2.831,2,2.4,22.5,0,27.93,146.721,26.062,1.888,0,29.853,0,1508.837
38013953300,1783.3,123.17,12.79,61.392,11.018,0,0,0,14.338,1.4,0,52.853,62.662,38.039,52.553,12.064,0,5.071,25.492,0,0,1.415,2.2,2.6,14.6,0,17.264,97.741,44.405,23.805,24.348,32.849,0,2517.369
38015010100,1019.62,32.7,53.718,306.96,258.923,132.216,160.548,177.075,46.01,30.1,2.675,351.657,144.399,180.682,474.018,137.174,317.897,172.831,216.389,0,0,6.5,58.835,15.445,8.5,0,25.344,13.302,148.527,201.294,13.805,216.328,1.288,4924.76
38015010200,1460.8,77.39,864.604,306.96,77.126,99.162,0,59.025,10.165,204.4,144.664,231.134,118.333,143.074,127.932,2.889,462.775,78.394,37.097,13.803,0,3.9,39.787,0,0,0,86.705,10.35,80.555,8.492,0,20.758,0,4770.274
38015010300,2116.63,0,301.844,260.916,275.45,143.234,267.58,0,145.734,108.6,147.339,22.801,30.334,50.806,97.638,10.272,0,12.726,62.649,2.461,0,5.7,1.99,4.045,0,0,25.553,14.995,82.908,20.116,0,154.681,0,4367.002
38015010400,1804.97,0,122.784,86.972,126.707,143.234,53.516,59.025,28.783,0,0,88.533,102.369,51.528,112.931,9.897,0,15.515,86.872,0,0,4.1,4.101,0,0,0,15.302,13.048,68.984,1150.05,12.411,63.739,14.441,4239.812
38015010500,2080.77,0,33.254,0,55.09,176.288,347.854,0,15.622,103.6,0,54.078,65.541,64.489,142.897,0,0,25.355,140.737,18.576,0,4,9.274,0,277.309,0,35.376,9.197,207.871,35.472,0,65.45,56.603,4024.703
