Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
39001770100,2114.25,564.62,33.254,61.392,38.563,0,26.758,0,38.626,34.3,9.583,121.049,129.773,55.974,110.548,9.844,0,13.483,37.374,0,0,45.38,46.233,0,12.6,0,34.069,48.323,84.153,22.146,2.568,52.315,0,3747.178
39001770200,2277.78,317.19,43.486,56.276,27.545,0,0,0,18.833,42,31.351,46.891,43.37,112.792,48.644,11.737,0,7.49,0,0,0,33.8,2.2,0,0,0,40.948,106.446,42.586,3.034,7.066,30.174,0,3351.639
39001770300,2877.77,894.89,0,0,0,0,0,0,62.06,0,4.922,154.955,67.118,60.929,76.869,0,7.49,10.934,40.492,0,0,88.679,25,1.5,0,0,54.744,170.803,72.635,7.538,5.837,55.105,0,4740.271
39001770400,1877.93,564.62,63.95,122.784,71.617,0,53.516,0,9.63,123.4,44.623,320.999,37.065,107.903,144.632,23.235,89.131,43.87,73.158,0,0,4.378,5,0,0,0,33.449,57.244,73.17,74.479,5.778,46.866,0,4072.427
39001770500,1408.62,684.52,15.348,10.232,0,0,0,0,0,6.3,0,48.793,10.931,43.526,19.054,0,0,1.122,9.783,0,0,27.76,0,0,0,0,15.708,40.646,27.044,4.931,0,0,0,2374.318
39001770600,1444.12,562.44,7.674,15.348,33.054,22.036,0,0,20.33,0,0,83.17,10.117,29.021,55.813,4.28,0,9.48,38.031,0,0,89.532,13.464,5,0,0,30.297,33.241,43.656,24.403,9.217,36.594,0,2620.318
39003010100,2014.78,40.33,48.602,40.928,49.581,11.018,26.758,0,0,367.9,83.354,86.596,77.468,70.389,82.233,20.971,0,55.747,63.014,7.384,0,7.9,404.569,3.7,1.8,0,26.799,20.946,107.682,5.31,6.099,46.545,107,3885.403
39003010200,2177.88,77.39,15.348,0,0,0,0,0,3.852,46.2,23.861,59.852,79.008,48.575,44.509,0,0,0,18.465,0,0,61.139,1.2,3,0,0,33.587,214.687,49.095,6.828,0.307,4.28,0,2969.063
39003010300,940.249,37.06,2.558,0,0,0,0,0,0,0,0,32.118,74.935,24.271,27.857,2.238,0,0,5.778,1.498,0,9.1,1.2,0,0,0,30.517,45.21,29.425,10.807,0,193.043,0,1467.864
39003010600,2651.65,64.31,166.27,0,5.509,0,0,0,3.21,35,25.466,81.384,100.288,34.246,51.137,7.383,0,10.807,37.905,0,0,123.1,52.74,9.9,75,0,47.027,106.841,97.201,19.705,6.42,4.066,0,3816.565
39003010800,4606.15,6.54,117.668,245.568,22.036,0,0,59.025,11.449,0,5.564,173.876,166.965,112.954,148.474,10.485,0,30.435,63.463,3.745,0,164.057,21.663,8.682,50,0,149.642,31.698,98.115,5.689,2.14,18.939,0,6335.023
39003010900,2012.38,61.04,109.994,163.712,16.527,22.036,80.274,0,0,233.9,4.173,529.451,77.069,117.131,280.406,26.853,0,31.566,216.083,0,0,0,3.201,0,0,0,37.117,1.913,82.282,2.568,0,40.661,86.027,4236.364
39003011000,1833.51,92.65,378.584,353.004,253.414,176.288,80.274,0,27.328,144.9,0,987.443,93.175,163.272,222.826,16.692,0,17.921,123.479,123.965,0,47.413,16.8,0,0,0,48.544,14.099,97.02,0,0,94.266,0,5406.867
39003011200,705.551,69.76,0,0,0,0,0,0,54.142,288.6,0,67.637,548.954,40.106,39.721,0,0,0.974,31.542,0,0,2557.3,22.6,0,0,0,29.1,0,20.535,114.918,0,0,0,4591.44
39003011300,4069.44,291.03,30.696,117.668,0,33.054,0,0,28.247,69.3,0,85.5,249.755,158.378,172.807,6.42,0,23.757,78.823,0,0,10.1,149.288,80.501,6.85,0,55.007,137.946,63.559,14.124,5.136,60.147,249.952,6247.484
39003011400,1721.17,88.29,0,0,5.509,0,0,0,0,0,0,67.215,11.188,13.795,24.197,0,0,0,13.941,0,0,4.1,13.7,0,0,0,45.887,39.992,25.359,0,9.831,3.317,0,2087.491
39003011500,1414.02,110.09,40.928,0,0,0,0,0,4.066,0,0,46.074,43.928,19.174,34.21,0,0,1.122,5.942,0,0,4.6,0,110,0,0,25.229,56.652,24.825,3.414,8.295,13.803,0,1966.372
39003011600,1232.91,234.35,0,0,5.509,11.018,80.274,0,71.796,39.9,15.836,207.802,288.286,27.25,112.502,5.029,0,4.602,101.995,0,0,26.3,64.6,133.2,0,0,70.009,45.3,39.163,14.016,6.527,3.424,0,2841.599
39003011800,1240.55,15.26,17.906,71.624,22.036,11.018,53.516,59.025,3.745,7.3,16.05,61.101,47.186,73.371,79.651,4.28,8.881,27.143,50.889,0,0,35.5,2.7,107.201,414.699,0,50.314,12.673,48.024,18.297,5.778,0,0,2565.718
