Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
40001376600,1466.43,374.496,0,7.56,0,0,0,0,12.305,0,0,25.22,23.872,17.676,6.955,0,0,7.789,1.177,0,0,0,4.2,13.7,0,0,5.059,8.867,10.572,2.441,6.55,55.105,0,2049.974
40001376700,2679.83,534.672,62.37,26.46,6.412,38.472,0,0,9.371,0,11.021,66.63,35.961,46.941,17.939,11.839,0,6.42,1.07,0,0,23.2,79.213,21.7,0,0,6.675,34.569,34.454,14.02,13.509,48.899,0,3831.647
40001376800,2442.53,538.056,0,3.78,0,0,0,0,0,0,0,3.21,0,2.889,0.769,0,0,0,0,0,0,0,0,0,1.611,0,5.26,0,2.196,0,4.503,5.992,0,3010.796
40001376900,1776.77,209.808,240.03,52.92,57.708,25.648,31.144,0,7.49,49.4,18.725,186.181,42.829,60.356,71.359,18.297,33.063,38.648,22.282,0,0,1.7,1.1,24,0,0,14.66,2.78,33.491,13.754,6.55,156.541,0,3197.234
40001377000,2484.81,446.688,0,0,0,0,0,0,0,0,0,131.289,19.367,28.997,117.176,0,0,1.605,22.684,0,0,84.401,1,6.3,2,0,27.719,60.411,35.794,20.073,20.468,97.583,0,3608.365
40003955600,1571.7,109.416,1.89,7.56,0,0,0,0,0,1.1,0,85.981,17.769,34.614,23.583,6.206,0,8.988,17.212,0,0,16.2,7.373,0,7.011,0,13.135,66.154,47.187,13.933,0,19.49,0,2076.502
40003955700,1217.88,20.304,1.89,7.56,0,0,0,0,0,28,7.49,33.384,18.197,16.436,18.89,0,0,5.457,3.21,0,0,3.2,4.8,6.9,2.9,0,3.376,49.153,12.412,3.939,0,27.178,0,1492.556
40003956000,1537.97,129.72,5.67,11.34,0,0,0,0,5.243,100.3,0,19.843,50.903,26.151,36.815,5.457,0,2.14,2.472,0,0,0.24,0,1.6,3.2,0,12.658,50.249,43.933,42.483,0,65.27,0,2153.657
40005587600,1055.5,151.152,0,0,0,0,0,0,0,0,0,5.923,0,1.712,5.563,0,0,0,0,0,0,11.7,0,0,0,0,7.7,6.3,8.453,8.509,2.456,37.022,0,1301.99
40005587700,2584.11,90.24,77.49,37.8,57.708,0,31.144,0,38.413,35.7,34.271,338.474,142.922,111.129,76.262,18.234,21.506,30.068,46.302,3.705,0,119.802,84.613,4.1,0,0,17.145,24.533,80.206,29.151,13.1,78.415,0,4226.543
40005587800,2244.62,466.992,1.89,0,0,0,0,0,2.095,2.1,0,20.384,25.274,13.139,11.388,0,0,1.113,3.852,0,0,34.7,0,0,0,0,7,10.927,4.601,4.883,5.731,68.71,0,2929.399
40005587900,2501.73,476.016,0,0,0,0,0,0,5.029,64.8,0,13.311,36.107,14.915,32.606,0,0,0,13.31,0,0,1.313,6.4,0,0,0,5,13.37,21.94,18.469,11.463,35.845,0,3271.624
40007951600,1491.7,392.544,18.9,3.78,12.824,0,0,0,6.955,0,0,11.77,62.064,27.767,21.163,5.621,0,2.782,8.538,0,0,39,0,0,11.326,0,14.681,91.467,35.159,9.246,0,46.866,0,2314.153
40007951700,1165.94,63.168,0,0,12.824,0,0,0,12.305,0,25.68,104.678,30.601,37.247,90.887,17.12,27.82,14.199,15.643,0,0,7.8,3.8,10.047,26.33,0,21.017,143.991,39.012,24.87,0,22.283,0,1917.262
40007951800,1094.8,84.6,9.45,0,19.236,12.824,0,0,0.171,22.9,0,13.167,7.383,7.746,13.623,0,0,4.986,0.646,0,0,1.6,0,0,5.121,0,1.599,13.414,26.108,18.928,0,18.19,0,1376.492
40009966100,4813.61,113.928,109.62,45.36,51.296,141.064,0,206.1,36.89,9.5,0,374.572,283.53,178.985,201.473,41.491,1.926,37.889,73.523,3.96,0,65.626,22.736,1.212,81.599,0.8,91.635,59.567,115.57,34.454,5.821,57.352,0,7261.088
40009966200,3719.21,597.84,211.68,52.92,134.652,12.824,31.144,0,75.008,77,10.165,195.732,219.492,95.463,124.788,17.868,6.206,65.615,83.341,6.419,0,16.4,1.6,6.6,76.316,0,58.101,57.952,73.626,1.605,0,58.957,0,6088.524
40009966500,1362.65,134.232,39.69,26.46,6.412,0,0,0,18.831,11.2,17.227,25.873,23.238,14.904,17.784,4.815,0,0,9.325,0,0,2.1,11.2,0,1.9,0,2.517,11.12,27.192,4.88,0,19.902,0,1793.452
40009966800,3115.25,205.296,54.81,71.82,25.648,25.648,0,0,42.674,190.2,13.161,124.141,30.594,73.613,99.137,17.228,31.03,19.868,55.925,0,0,1.8,10.527,7.212,11.911,0,17.17,93.767,111.659,40.965,4.154,38.067,10.914,4544.188
