Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
41001950100,2307.9,513.42,0,3.72,0,0,0,0,28.579,4.2,0,39.203,39.599,29.532,47.921,0,0,8.675,39.421,4.922,0,23.55,29.766,20,0,0,44.02,97.925,26.703,11.5,27.522,9.951,10.058,3368.087
41001950200,1668.74,133.33,16.74,107.88,90.832,11.354,27.574,0,11.9,0,5.992,169.282,75.552,60.584,98.423,20.758,8.56,10.604,60.372,0,0,37.2,32.8,13,1,0,30.456,35.999,58.974,18.397,0,41.944,8.346,2856.593
41001950300,1426.1,131.34,22.32,63.24,45.416,56.77,0,0,14.124,4.2,0,33.499,21.614,38.306,28.915,1.605,0,0,12.006,0,0,10.3,6.811,0,0,0,20.728,26.318,8.346,45.258,5.243,9.416,0,2031.875
41001950400,1509.4,141.29,24.18,0,51.093,11.354,82.722,0,118.877,31.5,9.202,60.26,40.654,42.271,45.391,7.383,4.494,2.159,25.573,1.106,0,10.557,6.518,0,0,0,17.466,6.769,30.926,4.166,0,25.846,4.708,2315.865
41001950500,1311.24,130.345,31.62,59.52,11.354,0,0,0,25.038,50.9,17.441,62.302,34.449,58.769,57.656,0.978,144.45,90.065,21.787,1.284,0,10.867,3.6,0,0,0,38.307,53.45,23.664,31.565,15.194,26.429,0,2312.274
41001950600,1383.96,367.155,9.3,40.92,0,0,0,0,22.688,7.7,0,61.845,40.241,12.321,42.417,4.911,0,1.498,23.071,0,0,5.1,13.499,0,0,0,20.551,77.683,12.526,12.696,13.502,47.704,0,2221.288
41003000100,2827.89,250.74,126.48,345.96,181.664,193.018,0,0,13.375,44.8,0,72.854,79.067,70.579,61.291,0,0,1.819,64.651,0,0,27.55,15.747,4.19,0,0,54.259,19.557,22.277,33.391,0,23.768,0,4534.927
41003000202,2749.19,0,18.6,145.08,90.832,147.602,0,182.475,9.523,0,0,96.103,57.459,34.711,66.257,0.706,0,15.301,24.696,0,0,13.882,109.936,1.3,0,0,27.176,27.26,33.284,17.334,0,125.832,0,3994.54
41003000400,4860.9,0,79.98,133.92,272.496,79.478,0,60.825,3.768,3.5,11.449,92.763,15.94,32.933,152.489,13.13,0,30.504,75.242,0,0,10.8,13.419,1.3,0,0,32.571,5.79,58.281,0,0,20.587,0,6062.064
41003000500,2143.75,135.32,9.3,0,0,0,0,60.825,10.486,37.8,8.881,21.716,11.07,45.503,292.251,0,257.977,96.993,11.984,0,0,4.1,8.1,0,0,0,19.268,14.588,34.775,0,0,17.179,0,3241.866
41003000600,1461.18,546.255,107.88,119.04,124.894,79.478,27.574,121.65,32.528,58.6,46.652,127.888,94.749,39.504,77.334,0,0,5.155,17.27,0,0,127.689,7.073,2.095,0,0,13.798,30.6,17.525,8.774,0,19.26,0,3314.445
41003000900,2646.59,15.92,130.2,159.96,210.049,90.832,82.722,60.825,7.834,16.4,0,15.357,14.598,9.801,96.918,0,0,2.183,5.286,0,0,1.4,4.046,0,0,0,15.711,4.19,23.443,0,0,14.911,0,3629.175
41003001001,1034.29,116.415,148.8,156.24,158.956,170.31,137.87,60.825,11.877,13.3,70.847,213.118,15.488,71.192,143.681,17.655,0,18.581,76.038,0,0,0,6.937,8.295,0,0,19.8,7.83,45.064,0,0,13.719,0,2737.128
41003001002,1644.64,0,79.98,14.88,45.416,79.478,55.148,0,0,12.6,4.922,24.479,7.701,26.017,43.155,0,0,35.878,11.021,0,0,2.883,3.473,0,0.88,0,7.31,4.16,84.222,0,0,40.107,0,2228.35
41003001101,340.158,25.87,143.22,178.56,124.894,147.602,248.166,60.825,148.394,395,9.202,37.146,0,27.692,45.039,0,13.803,26.504,11.289,0,0,0,3.7,1.3,0,0,4.3,0.87,123.894,0,0,9.844,0,2127.272
41003001102,1343.48,0,111.6,186,181.664,124.894,220.592,243.3,37.771,161.7,13.268,120.772,27.596,117.237,134.973,12.412,0,15.085,92.692,0,0,1.4,7.883,0,0,0,17.514,2.14,57.803,25.359,0,73.725,4.494,3335.354
41003010100,5714.48,66.665,111.6,0,0,0,0,0,7.536,0,0,64.008,51.475,42.897,133.043,7.383,23.861,13.424,66.909,0,0,22.45,20.679,6.843,2.9,0,67.001,35.797,55.384,4.494,0,44.71,0,6563.539
41003010200,2530.26,132.335,35.34,3.72,17.031,0,0,0,1.177,4.2,1.391,88.295,58.876,33.918,222.629,4.066,0,6.322,47.862,0,0,44.97,40.592,13.4,0,0,49.068,38.401,40.577,12.865,0,22.256,0,3449.551
41003010300,1965.88,296.51,0,0,0,0,0,0,1.884,0,0,32.481,27.911,17.334,43.061,0,0,3.745,6.592,0,0,36.583,1.834,0,0,0,52.623,64.749,8.135,17.24,5.457,13.696,0,2595.715
41003010400,1957.84,346.26,44.64,18.6,0,11.354,0,0,5.48,5.6,0,88.677,102.345,36.392,178.828,2.354,0,8.205,31.404,2.247,0,137.782,20.8,32.4,3.1,0,52.343,121.51,38.841,0,0,38.828,0,3285.83
41003010600,579.67,9.95,83.7,148.8,312.235,272.496,220.592,243.3,31.03,769.8,0,481.677,57.673,158.28,390.362,27.376,17.548,28.832,192.668,4.708,0,13.47,63.981,4.7,4.2,0,46.712,32.599,85.2,107.469,31.03,45.855,20.116,4486.03
41003010702,511.658,0,29.76,48.36,227.08,22.708,27.574,121.65,3.768,593.6,1.498,11.285,3.424,20.544,226.446,0,0,2.675,110.449,0,0,0,1.8,0,0,0,0,63.4,16.478,40.124,1.391,61.118,482.57,2629.36
41003010800,1419.63,173.13,100.44,81.84,79.478,34.062,27.574,0,8.667,11.9,0,75.269,59.901,39.313,58.82,0,0,3.414,20.009,0,0,85.866,1.946,0,0,1.1,17.312,18.82,35.812,4.763,0,35.846,0,2394.912
41003010900,2706.96,105.47,0,0,17.031,147.602,0,60.825,8.541,8.4,16.264,39.631,48.088,17.639,53.485,0,0,3.534,30.538,0,0,30.51,15.857,2.095,0,0,35.71,15.35,45.304,0,0,2.14,0,3410.974
41005020100,2968.13,7.96,16.74,59.52,68.124,34.062,55.148,0,5.671,0,0,85.662,39.956,62.289,159.815,16.371,0,26.566,53.528,0,0,8.7,9.082,1.4,0,0,32.736,20.726,28.396,12.7,5.243,66.821,0,3845.346
41005020200,3836.5,0,0,145.08,334.943,158.956,55.148,60.825,91.257,0,0,185.723,117.058,109.133,305.119,18.175,0,66.536,172.656,5.209,0,10.068,29.971,6.2,0,0,53.06,7.81,52.059,96.418,2.782,18.035,0,5938.722
41005020302,2045.85,0,0,48.36,90.832,170.31,0,0,66.941,9.1,0,216.781,263.759,95.633,858.272,183.357,6.848,116.329,128.297,0,0,16,90.232,13.795,9.2,1.2,90.207,29.71,66.25,10.478,0,2.6,0,4630.341
41005020303,2557.02,0,65.1,122.76,175.987,272.496,110.296,425.775,4.173,42,5.243,97.294,28.819,38.895,267.836,0,0,26.272,21.443,0,0,14.883,45.135,0,2.4,0,19.896,9.35,58.164,0,0,11.128,0,4422.365
41005020304,2733.71,0,52.08,11.16,334.943,124.894,0,60.825,3.768,0,4.28,19.558,80.69,55.349,307.37,9.355,0,39.525,26.985,1.383,0,42.884,11.746,0,0,1.2,30.096,9.281,47.61,0,0,44.162,0,4052.855
41005020401,3336.51,61.69,78.12,55.8,51.093,11.354,0,0,0,23.8,4.173,129.805,165.099,56.331,151.828,10.7,0,27.712,51.39,0,0,74.9,45.542,11.9,3,35,58.426,20.219,21.806,8.881,0,42.147,0,4537.227
41005020403,2611.31,0,0,0,0,0,0,0,0,8.4,0,28.787,16.528,10.52,76.591,0,0,4.699,3.19,0,0,2.18,9.974,1.7,0,0,26.373,2.7,13.724,0,0,12.924,0,2829.6
41005020404,2817.21,0,0,0,0,0,0,0,3.424,3.5,0,42.345,21.877,19.177,134.374,0,0,9.38,23.187,0,0,39.968,10.138,0,0,1.488,27.166,16.76,43.452,0,0,42.302,0,3255.748
41005020501,4082.78,0,26.04,70.68,249.788,45.416,0,182.475,5.652,42,49.862,81.922,37.306,28.888,146.84,5.671,0,27.373,38.243,0,0,10.202,10.874,5.943,1,0,51.766,25.07,4.929,14.657,0,3.991,0,5249.369
41005020503,1526.84,14.925,44.64,0,17.031,11.354,82.722,0,0,0,0,13.33,9.786,19.862,40.534,0,0,3.403,25.01,0,0,4,12.146,0,3.009,0,11.254,2.62,142.477,0,0,1.177,0,1986.12
41005020504,4162.16,0,0,14.88,45.416,204.372,27.574,0,0,9.8,2.354,54.024,39.772,20.335,165.664,5.044,0,30.397,47.963,0,0,9.3,4.646,2.1,1.8,0,24.946,9.998,36.835,0,0,8.145,0,4927.524
