Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
41001950100,2363.28125,57.8818778991699,49.0205993652344,0,0,36.0742340087891,0,0,20.6302433013916,18.9515857696533,0,0,0,0,0,9.02109146118164,0,0,62.5580978393555,0,0,0.753492295742035,0,0,73.3810043334961,16.5987529754639,0,0,7.83797025680542,0,1.67939913272858,0,0,132.416549682617,0,518.0009765625,3368.08666992188
41001950200,1886.69885253906,125.653663635254,72.4194183349609,0,0,37.467529296875,0,0,25.2762489318848,30.6580715179443,0,0,0,0,0,22.2427959442139,0,0,121.998527526855,0,0,5.13944625854492,0,0,115.118476867676,28.6502876281738,0,0,15.7307367324829,0,1.52071392536163,0,0,219.354415893555,0,148.663787841797,2856.59301757813
41001950300,1574.56896972656,37.757251739502,23.9391632080078,0,0,13.6768159866333,0,0,13.0192756652832,15.7086563110352,0,0,0,0,0,6.92719984054565,0,0,54.9270210266113,0,0,2.1468710899353,0,0,35.220630645752,11.4903984069824,0,0,6.14196968078613,0,0.239209190011024,0,0,93.7183609008789,0,142.393051147461,2031.87475585938
41001950400,1714.03112792969,53.3020286560059,32.5814247131348,0,0,14.6514320373535,0,0,13.4663429260254,20.9675407409668,0,0,0,0,0,15.4922962188721,0,0,81.117919921875,0,0,2.77321219444275,0,0,49.5878105163574,12.862232208252,0,0,9.43560409545898,0,1.82146954536438,0,0,142.902984619141,0,150.871688842773,2315.86474609375
41001950500,1454.46728515625,150.482711791992,60.0894317626953,0,0,24.6072826385498,0,0,18.5218124389648,36.3812484741211,0,0,0,0,0,22.8169403076172,0,0,105.712455749512,0,0,2.27794528007507,0,0,69.8988723754883,16.8498649597168,0,0,15.1203079223633,0,0.548138380050659,0,0,195.936935424805,0,138.562728881836,2312.27392578125
41001950600,1472.15051269531,47.2393608093262,33.4437980651855,0,0,21.5135364532471,0,0,14.9323625564575,15.1480321884155,0,0,0,0,0,10.0417394638062,0,0,53.3814277648926,0,0,2.47165536880493,0,0,53.2962799072266,12.6872653961182,0,0,8.06036567687988,0,0.405926376581192,0,0,104.21745300293,0,372.298187255859,2221.2880859375
41003000100,3458.53344726563,81.8711776733398,52.2732200622559,0,0,29.0721263885498,0,0,34.3466987609863,44.4937057495117,0,0,0,0,0,15.9088344573975,0,0,141.540908813477,0,0,8.27492809295654,0,0,88.0423736572266,26.4098262786865,0,0,15.6167764663696,0,0.340470016002655,0,0,241.726531982422,0,296.475677490234,4534.9267578125
41003000202,3202.25439453125,80.102912902832,60.9051704406738,0,0,33.4617958068848,0,0,30.9943332672119,38.9420623779297,0,0,0,0,0,15.9424715042114,0,0,123.751365661621,0,0,9.3925838470459,0,0,112.090629577637,26.2962818145752,0,0,17.3730125427246,0,0.416642397642136,0,0,211.343215942383,0,31.2722702026367,3994.53979492188
41003000400,5301.609375,116.375946044922,52.0446586608887,0,0,21.2025337219238,0,0,23.7593364715576,35.7145919799805,0,0,0,0,0,16.943416595459,0,0,119.02367401123,0,0,6.64028453826904,0,0,59.2897911071777,22.5522613525391,0,0,13.8691034317017,0,0.615968406200409,0,0,239.236999511719,0,33.1873016357422,6062.064453125
41003000500,2215.70849609375,247.248336791992,57.1772270202637,0,0,18.5999526977539,0,0,13.5200500488281,41.7338790893555,0,0,0,0,0,30.9972267150879,0,0,125.25562286377,0,0,1.30023860931396,0,0,71.1119232177734,16.2958869934082,0,0,19.1218929290771,0,0.440026819705963,0,0,243.232879638672,0,140.122421264648,3241.86572265625
41003000600,1960.47229003906,95.2880706787109,60.3895492553711,0,0,50.0401573181152,0,0,28.3016052246094,36.847957611084,0,0,0,0,0,20.6402702331543,0,0,126.543075561523,0,0,6.62222480773926,0,0,99.6169662475586,24.6513786315918,0,0,12.7986011505127,0,0.461496382951736,0,0,213.91178894043,0,577.859558105469,3314.44482421875
41003000900,3176.583984375,46.582218170166,13.3907165527344,0,0,7.13270568847656,0,0,19.5165691375732,29.7451877593994,0,0,0,0,0,6.98274850845337,0,0,82.3866195678711,0,0,6.47958612442017,0,0,24.1128273010254,12.780387878418,0,0,8.19227409362793,0,0.303369224071503,0,0,141.454147338867,0,53.5327491760254,3629.17602539063
41003001001,1709.10375976563,140.460876464844,58.217227935791,0,0,19.24436378479,0,0,29.3406524658203,43.0676116943359,0,0,0,0,0,24.9806823730469,0,0,148.120620727539,0,0,9.42746829986572,0,0,83.3404235839844,30.37282371521,0,0,17.4327430725098,0,0.555157601833344,0,0,264.251892089844,0,159.211654663086,2737.12841796875
41003001002,1867.13623046875,45.3936996459961,28.8987236022949,0,0,10.1761093139648,0,0,9.81315326690674,21.0046844482422,0,0,0,0,0,7.4855899810791,0,0,67.4786987304688,0,0,3.64195585250854,0,0,23.2369613647461,10.7083806991577,0,0,7.51201677322388,0,0.842220008373261,0,0,110.798973083496,0,14.2226305007935,2228.35009765625
