Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
42001030101,1393.91,58.71,9.528,4.764,0,0,0,0,5.35,0,0,33.58,76.355,8.638,141.645,1.819,0,0,11.434,0,0,7.4,4.1,29,0,0,20.916,79.385,3.652,4.547,0,0.995,0,1895.728
42001030102,2885.54,264.71,0,66.696,17.829,0,0,0,0,0,0,33.086,51.897,34.231,55.097,0,0,3.21,24.716,0,0,3.72,7.757,1.263,3.3,0,44.203,59.819,15.3,1.284,0.542,14.943,0,3589.143
42001030200,2434.61,307.97,78.606,114.336,23.772,0,0,0,3.21,0,0,46.22,51.372,73.744,41.316,9.897,0,10.707,14.21,0,0,38.9,4.7,53.1,0,0,54.57,83.784,109.503,13.225,0,16.371,0,3584.123
42001030300,2184.61,103,28.584,114.336,0,0,0,0,0,42,0,27.907,171.049,38.63,24.548,3.849,0,0,16.82,0,0,12.818,15.099,68.4,0,0,41.114,156.314,19.582,2.739,8.132,12.947,0,3092.479
42001030400,2908.45,234.84,85.752,23.82,23.772,0,57.732,0,6.036,149.8,63.451,137.036,70.509,43.705,33.695,5.499,0,4.387,51.789,0,0,21.157,5.653,0,0,0,73.333,252.118,63.391,9.624,27.634,3.21,0,4356.393
42001030500,1708.97,156.56,73.842,52.404,11.886,35.658,0,0,10.424,0,0,89.494,37.506,45.236,31.048,0,0,17.369,51.801,0,0,165.5,27.178,41,0,0,61.76,69.006,58.222,7.881,0,13.589,12.733,2779.067
42001030600,2177.34,238.96,73.842,38.112,29.715,0,0,0,81.319,184.4,63.199,232.215,78.259,105.772,58.563,2.461,15.408,9.801,89.802,0,0,39.985,9.732,40.2,0,4.949,44.464,88.458,56.082,3.853,7.49,3.638,0,3778.019
42001030700,2488.91,533.54,104.808,38.112,29.715,35.658,0,0,0.025,0,0,95.37,48.721,75.416,56.505,0,0,0,31.14,0,0,52.097,7.2,0,0,0,109.691,69.533,15.541,4.066,24.815,0,0,3820.863
42001030800,3521.75,385.22,97.662,57.168,23.772,23.772,28.866,0,20.009,5.6,26.108,191.353,131.752,88.42,98.588,4.28,0,20.731,60.115,3.745,0,68.98,91.08,16.1,0,0,73.814,45.973,57.393,21.955,1.084,0,0,5165.291
42001030900,3069.54,121.54,157.212,176.268,41.601,23.772,57.732,63.675,31.03,259,91.486,226.715,95.598,178.609,86.933,4.601,0,18.003,59.448,1.178,0,203.738,10.5,11.187,18.3,0,86.85,9.721,113.599,13.322,21.674,91.271,0,5344.104
42001031000,947.682,17.51,0,0,0,0,0,0,0,3.5,0,5.886,16.906,3.413,11.598,0,0,2.043,4.224,0,0,70.2,18.013,0,13.4,0,214.147,4.199,6.741,8.988,0,6.848,0,1355.298
42001031101,2476.25,13.39,140.538,95.28,106.974,0,86.598,0,5.35,8.4,2.354,157.655,393.005,78.596,154.985,10.447,0,42.072,27.983,2.354,0,803.775,344.027,7.5,0,0,29.241,3.001,49.862,5.778,47.554,68.642,0,5161.611
42001031102,1863.3,19.57,9.528,0,0,0,0,0,0,0,0,32.956,93.627,27.224,24.745,0,0,0,13.88,0,0,28.2,35,0,12.8,0,29.2,10.533,6.997,0,5.565,0,0,2213.125
42001031201,2113.39,55.62,11.91,0,23.772,0,0,0,24.416,7.1,0,228.558,45.02,33.052,57.773,0,0,4.173,38.087,0,0,13.697,12.4,1.2,0,0,67.457,48.961,26.887,0,0,0.995,0,2814.468
42001031202,1559.52,23.69,38.112,0,0,0,0,0,0,0,1.712,47.31,20.911,29.636,30.279,0,0,2.135,31.403,0,0,18.877,3.773,0,0,0,54,21.472,29.64,1.96,10.836,7.704,0,1932.97
42001031203,1683.15,39.14,14.292,0,0,0,0,0,0,0,0,45.319,25.359,15.564,61.278,0,0,0.004,15.347,0,0,5.1,20.827,0,0,0,41.849,41.001,21.293,4.066,0,0,0,2033.589
42001031300,2201.03,0,192.942,123.864,35.658,47.544,0,0,0,0,0,104.02,57.98,34.117,59.74,12.519,23.326,30.763,34.894,0,0,170,109.75,0,0,0,30.673,4.375,40.767,10.121,2.568,8.453,0,3335.104
42001031401,1904.08,152.44,61.932,9.528,148.575,35.658,0,0,26.314,154,100.366,96.212,75.579,47.125,68.394,18.083,0,33.086,41.742,0,0,110.053,19.459,0,0,0,39.313,13.543,47.657,22.906,0,31.661,30.816,3288.521
42001031402,1097.91,190.55,0,28.584,0,0,0,0,58.957,0,0,42.866,12.293,51.512,65.366,0,0,7.17,57.646,0,0,3.1,47.088,8.3,0,0,19.968,36.771,9.662,42.644,7.09,1.038,0,1788.515
