Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
44001030100,2544.87,15.45,59.55,0,5.943,0,0,191.025,0,1.4,0,36.159,43.066,32.351,105.738,0,0,9.705,7.299,0,0,4.8,20.364,41.9,0,0,43.622,4.934,38.04,2.675,0,26.301,17.655,3252.847
44001030200,1634.51,0,164.358,42.876,0,11.886,0,0,1.07,0,11.449,107.464,17.756,59.598,103.129,13.161,0,58.625,36.842,2.782,0,2.2,22.9,9.182,0,0,49.012,15.72,23.638,20.763,11.77,69.229,0,2489.919
44001030300,2606.53,0,33.348,14.292,11.886,0,0,0,0,7,8.881,98.915,16.834,45.128,106.656,0,0,9.133,14.791,1.498,0,0,1.828,0,0,0,21.75,32.284,134.899,0,0,27.713,0,3193.366
44001030400,2467.87,0,64.314,0,0,0,0,0,0,9.8,0,67.153,27.285,17.297,99.757,6.955,0,27.844,47.826,0,0,1.3,5.608,15.178,0,0,20.09,3.8,54.356,0,0,0,0,2936.433
44001030500,621.888,0,743.184,581.208,65.373,59.43,0,0,0,4.7,8.881,188.845,229.276,128.098,141.304,11.663,0,19.265,97.834,0,0,594.1,252.899,82.9,0,0,32.991,11.044,56.357,19.574,13.161,17.068,0,3981.042
44001030601,1723.31,0,54.786,185.796,29.715,23.772,28.866,0,5.457,49,17.655,40.738,35.949,39.014,154.997,2.498,0,0.749,12.912,0,0,118.2,78.3,5.643,0,0,35.751,30.797,0,4.601,0,30.816,0,2709.322
44001030602,1718.56,0,314.424,80.988,47.544,71.316,173.196,0,5.136,122.5,29.319,103.953,40.26,56.088,57.775,0,0,35.577,51.251,1.279,0,34.334,62.325,2.1,0,0,40.729,6.884,17.706,0,9.522,1.585,0,3084.351
44001030700,701.346,0,526.422,924.216,101.031,106.974,115.464,63.675,28.141,16.8,8.774,140.49,49.266,71.946,163.93,11.414,0,31.008,91.864,3.959,0,216.7,35.349,0,0,0,30.13,6.37,71.129,13.996,0,39.521,0,3569.916
44001030800,1552.75,0,438.288,238.2,59.43,23.772,28.866,0,8.384,901.2,6.206,28.569,27.97,55.896,47.013,0,0,6.741,36.736,0,0,94.296,14.149,5,8.7,0,20.55,5.47,13.466,5.564,9.416,8.539,185.324,3830.495
44001030901,3474.34,0,16.674,28.584,0,35.658,0,0,0,162.4,6.527,65.005,16.689,54.991,141.771,7.383,0,6.153,35.175,1.391,0,1.648,53.7,0,0,0,54.623,19.353,22.117,30.495,0,5.904,0,4240.582
44001030902,3240.48,0,273.93,252.492,279.321,83.202,0,0,0,261.7,65.804,171.735,100.445,108.464,221.755,8.881,0,78.825,81.17,1.498,0,347.281,188.872,35,17,0,91.076,32.243,51.883,8.774,15.622,23.905,10.7,6052.058
44003020101,2486.4,0,33.348,190.56,101.031,511.098,230.928,63.675,50.825,0,0,157.452,70.555,85.881,248.265,0,0,5.067,73.219,1.498,0,519.3,189.382,37.3,0,0,53.97,13.474,20.704,0,0,71.885,0,5215.816
44003020102,1815.48,18.54,228.672,390.648,83.202,166.404,86.598,0,21.097,77,0,80.143,51.349,51.029,73.949,0,15.408,23.266,62.903,1.605,0,13.9,1.2,52.7,0,0,26.932,12.09,35.044,0,0,36.604,0,3425.763
44003020200,1722.49,0,335.862,323.952,190.176,154.518,57.732,127.35,0,11.2,0,117.507,82.437,45.799,91.661,0,2.386,14.777,28.819,0,0,190.091,153.316,2.5,0,0,23.32,4.368,19.26,0,0,18.725,0,3718.246
44003020300,1078.38,0,616.938,533.568,433.839,297.15,28.866,127.35,21.507,8.4,0,121.534,32.421,49.826,101.856,43.373,48.15,17.157,33.416,1.498,0,80.901,73.898,0,5.5,0,33.45,3.726,34.026,36.819,17.441,64.949,0,3945.939
44003020400,1195.72,0,245.346,214.38,118.86,0,0,0,0,0,0,40.282,8.82,19.22,49.048,0,0,0,0,0,0,1.648,2.2,4.6,0,0,17.23,1.58,15.729,0,5.457,0,0,1940.12
44003020500,1611.14,0,340.626,404.94,83.202,23.772,0,191.025,2.033,10.5,6.527,33.448,28.138,83.998,65.178,0,0,1.102,20.402,0,0,27.5,7.4,350.4,0,0,35.482,2.594,23.709,0,0,27.285,0,3380.401
44003020601,3017.76,15.45,164.358,57.168,11.886,23.772,0,0,0,125.3,32.1,48.642,79.234,44.435,49.153,1.391,0,7.383,36.38,0,0,243.2,50.107,3.501,0,0,61.916,24.925,9.264,0,11.021,40.128,0,4158.474
44003020602,1386.95,384.19,28.584,157.212,89.145,11.886,0,0,0,3.5,5.564,179.036,144.121,121.395,81.373,18.551,32.1,21.656,87.818,13.91,0,27.336,87.358,9.2,1.7,0,51.78,14.604,24.517,0,22.189,39.986,0,3045.661
44003020603,3211.2,207.03,40.494,123.864,106.974,130.746,0,0,0,0.8,0,164.456,68.409,133.589,403.886,4.815,0,21.998,50.233,0,0,81.281,43.767,40.005,2,0,67.985,22.788,21.09,0.706,26.15,13.376,0,4987.642
44003020604,2012.03,11.33,354.918,219.144,225.834,106.974,0,0,0,3.5,22.791,70.271,29.205,74.315,53.594,0,0,4.901,41.645,0,0,7.5,6.233,138.1,1.933,0,30.791,15.038,28.141,3.852,5.778,18.938,0,3486.756
44003020701,1082.81,0,0,14.292,0,0,0,0,0,27.3,10.7,16.021,13.439,7.236,25.497,0,0,0,0.653,0,0,0,0,0,0,0,24.841,8.01,8.56,0,0,3.959,0,1243.318
44003020702,2492.88,161.71,38.112,9.528,0,0,0,0,5.734,45.5,26.643,30.574,26.041,14.755,49.306,0,0,9.823,11.021,0,0,20.3,12.217,2.5,0,0,57.183,18.512,9.095,0.588,20.456,15.696,0,3078.174
44003020703,3207.76,219.39,9.528,38.112,89.145,35.658,57.732,127.35,6.42,123.2,20.543,80.465,359.52,62.352,97.83,10.914,0,11.182,40.661,0,0,54.099,443.316,0.5,4.5,0,59.21,19.425,22.534,54.55,0,4.074,0,5259.97
44003020800,2944.21,188.49,85.752,14.292,17.829,35.658,28.866,0,42.372,12.1,3.393,524.963,383.807,59.435,74.09,4.922,0,4.826,40.572,0,0,188.663,21.506,34.42,3.78,0,92.605,24.873,28.236,8.075,11.021,66.523,16.478,4961.757
44003020901,1467.23,0,276.312,185.796,142.632,35.658,28.866,127.35,14.785,5.6,49.541,130.222,40.092,119.68,283.167,22.508,0,49.017,149.051,1.712,0,30.501,56.181,6.5,0,0,41.113,21.099,97.488,29.784,24.396,81.468,0,3517.749
44003020903,3723.46,0,73.842,38.112,0,0,0,0,0,12.6,19.568,106.557,53.978,64.973,248.595,17.439,0,100.637,98.715,1.712,0,21.9,102.89,9.186,22.6,0,70.743,33.296,10.592,3.274,5.244,30.349,0,4870.262
44003020904,2088.62,0,0,0,0,0,57.732,63.675,0,136.5,2.461,170.086,97.529,68.319,131.182,5.457,0,13.225,65.492,2.567,0,155.3,14.098,56.935,0,0,22.429,21.987,57.422,0,0,49.077,0,3280.093
44003021001,1280.43,0,52.404,19.056,0,11.886,28.866,0,0,0,0,22.479,43.794,41.763,55.965,0,0,4.908,26.881,1.391,0,1.5,5.141,1.252,0,0,26.124,9.135,3.21,0,4.922,29.425,0,1670.532
44003021002,2626.13,0,204.852,95.28,35.658,83.202,86.598,0,0,81.2,4.922,313.638,48.685,98.623,95.525,0,0,11.652,44.393,1.391,0,40,101.108,24,0,0,42.044,10.702,36.865,0,0,24.13,0,4110.598
44003021100,2527.81,0,123.864,38.112,53.487,106.974,115.464,63.675,44.512,0,0,583.75,1046.28,436.26,1005.24,6.206,8.239,119.587,275.407,3.21,0,434.138,436.887,58.148,58.2,18,231.943,48.744,128.306,10.007,0,80.704,0,8063.155
44003021200,1671.32,0,23.82,71.46,71.316,118.86,86.598,0,0,2.8,0,98.576,15.483,63.81,80.893,9.133,0,39.312,32.135,0,0,1,10.035,3.9,0,0,95.665,1.1,0,1.001,0,29.318,0,2527.535
44003021300,3213.42,0,16.674,14.292,17.829,0,57.732,0,0,7,4.28,81.542,9.23,62.067,72.94,6.313,0,24.61,20.805,0,0,3.5,22.316,0,0,0,41.377,11.895,12.069,0,0,7.116,0,3707.007
44003021401,2152.01,0,30.966,0,5.943,35.658,28.866,0,0,14,0,108.45,23.397,51.493,101.175,8.667,0,9.672,33.416,0,0,4.6,5.408,0,1.8,0,21.41,7.19,4.708,4.532,0,29.96,0,2683.321
44003021402,1881.9,0,88.134,42.876,11.886,106.974,28.866,0,0,32.2,0,32.578,23.378,36.84,38.554,8.667,0,15.52,16.471,3.103,0,2.9,13.8,5.6,0,1.3,25.2,12.484,43.977,0,0,0,0,2473.208
44003021501,1726.18,0,159.594,71.46,17.829,11.886,0,0,0,25.2,5.35,34.004,10.587,37.997,44.423,0,0,14.552,13.066,2.354,0,2.1,20.72,1.148,0,0,16.111,5.14,18.618,0.667,0,2.354,0,2241.34
44003021502,2343.48,0,181.032,90.516,0,0,0,0,47.829,0,0,27.578,10.642,39.395,32.274,1.819,0,2.889,80.326,0,0,0,4.3,0,0,0,33.012,8.94,27.114,0,0,43.87,0,2975.016
44003021600,1031.56,0,33.348,14.292,0,0,0,0,1.819,2.1,0,10.506,7.169,22.59,19.984,0,0,1.391,121.242,0,0,0,10.2,0,0,0,8.7,4.8,5.992,0,0,0,0,1295.693
44003021700,2478.94,0,159.594,104.808,0,0,0,0,0,0.7,0,64.57,28.079,56.576,58.476,0,0,1.391,53.174,1.279,0,13.7,13.3,2.296,0,0,49.886,5.567,19.581,0,0,32.853,0,3144.77
44003021800,1847.95,0,54.786,14.292,89.145,178.29,144.33,0,0,4.2,0,244.074,35.414,93.016,67.293,0,0,4.847,27.875,0,0,7.343,0.908,1.699,0,0,32.843,10.135,35.311,0,0,59.068,0,2952.819
44003021901,1840.08,0,33.348,14.292,0,11.886,86.598,127.35,0,0,0,39.612,37.021,16.296,144.979,0.781,0,12.711,44.976,0,0,77.4,1.2,0,0,0,70.545,18.014,14.662,3.336,0,27.921,107,2730.008
44003021902,1314.62,0,42.876,28.584,29.715,59.43,28.866,0,1.1,3.5,0,27.445,38.919,39.63,84.376,5.957,0,0,9.755,4.494,0,220.8,99.141,19,0,0,14.971,0.044,12.557,66.727,0,22.575,0,2175.082
44003021903,2321.83,0,9.528,38.112,23.772,83.202,0,0,0,2.1,0,62.701,14.598,20.831,29.784,3.745,0,1.391,26.667,0,0,2.9,6.023,6.791,0,0,24.243,5.494,13.91,0,0,31.458,0,2729.08
44003022000,1584.81,0,161.976,47.64,77.259,154.518,144.33,0,5.136,72.8,38.52,108.535,107.902,136.072,206.116,2.997,0,20.437,36.189,1.279,0,35.844,46.925,3.648,9.667,0,110.091,20.213,56.765,16.05,24.396,5.885,0,3236
44003022100,3015.14,0,80.988,333.48,124.803,23.772,0,0,162.961,116.2,36.701,389.423,146.195,167.806,399.938,40.874,356.095,149.543,105.676,5.029,0,70.895,625.345,64.352,1.933,0,74.063,8.3,66.678,16.192,0,26.624,162.318,6771.323
44003022201,3547.16,0,50.022,47.64,95.088,320.922,144.33,127.35,2.461,0.7,1.712,87.222,45.15,138.02,299.152,13.161,0,132.305,24.134,0,0,9.295,138.1,31.051,0,0,57.704,16.761,26.535,0,0,38.595,0,5394.57
44003022202,813.44,42.23,57.168,61.932,53.487,618.072,230.928,445.725,25.699,88.9,21.4,411.409,119.934,80.619,490.392,20.438,0,127.042,71.369,41.195,0,16.082,7.409,10,0,0,5.39,7.454,21.646,4.708,0,72.301,0,3966.369
44003022300,987.116,105.06,359.682,142.92,106.974,71.316,115.464,573.075,25.787,4.2,69.55,920.938,193.883,201.758,637.899,39.923,26.321,78.734,119.95,0,0,132.7,51.14,15.858,0,0,173.451,21.62,57.195,23.688,5.564,1.819,0,5263.585
44003022400,1512.82,15.45,23.82,0,11.886,0,0,0,0,0,0,25.002,4.173,16.907,46.725,0,0,11.363,14.5,0,0,4.943,1.4,1,0,0,12.91,7.924,1.027,0,0,39.583,0,1751.433
44003980000,0,0,0,0,0,0,0,0,62.564,0,0,76.6,220.128,47.882,174.331,0,0,5.885,27.16,0,0,44,25.359,0,0,0,5.03,1.456,1.247,17.984,0,3.532,0,713.158
44005040101,2703.29,190.55,178.65,66.696,0,0,0,0,16.692,83.1,0,74.162,41.808,21,105.659,0,0,8.57,44.76,6.843,0,5.148,18.001,0,3.7,0,60.76,4.1,1.049,10.007,0,1.391,0,3645.937
44005040102,3622.51,29.87,128.628,157.212,41.601,0,0,0,0.535,2.8,0,102.805,71.149,62.4,171.848,0,0,25.577,38.752,3.852,0,14.9,22.608,2.296,0,0,50.92,37.957,69.418,0,0,95.971,0,4753.609
44005040103,3662.37,93.73,400.176,33.348,106.974,0,28.866,191.025,8.025,72.6,0,215.626,71.044,110.51,191.318,5.125,0,46.759,97.988,1.28,0,168.099,411.237,3.2,0,11.5,110.811,49.829,28.558,21.009,20.53,66.724,0,6228.26
44005040200,218.448,0,185.796,290.604,17.829,11.886,0,0,0,8.4,0,2.873,0,1.391,11.963,0,0,5.432,5.066,0,0,0,0,0,0,0,0,3.3,0,0,0,23.968,0,786.956
44005040302,1259.03,100.94,216.762,57.168,0,0,0,63.675,17.655,3.5,0,240.578,34.454,40.607,127.948,8.025,0,37.84,30.368,0,0,0,1.2,7.9,0,0,21.65,8.663,24.931,3.337,0,1.039,0,2307.27
44005040303,1251.81,0,152.448,47.64,77.259,178.29,28.866,0,37.878,10.3,0,118.625,27.606,38.104,79.348,15.194,0,4.519,19.743,11.021,0,14.3,0,0,0,19.6,18.1,1.5,36.648,11.669,0,0.59,0,2201.058
44005040304,1217.13,76.22,95.28,38.112,11.886,71.316,144.33,63.675,44.494,43.4,48.044,268.11,37.394,98.333,198.856,11.342,0,27.049,91.961,0,0,105,92.81,5.5,0,0,40.01,21.6,34.614,12.626,0,25.038,0,2924.13
44005040400,3727.15,60.77,440.67,80.988,35.658,0,0,63.675,142.416,150.5,112.457,173.993,156.041,164.828,449.008,2.997,0,73.571,180.91,7.895,0,14.501,47.824,26.316,10.5,10.3,104.631,94.322,44.033,6.527,5.136,403.04,1.177,6791.833
44005040500,1009.09,0,402.558,476.4,47.544,154.518,173.196,63.675,17.869,2.1,0,201.973,24.181,129.335,66.965,0,2.995,1.872,200.196,2.354,0,24.001,55.801,0,0,0,43.181,2.887,17.227,8.126,0,0,0,3128.044
44005040600,1335.04,22.66,721.746,504.984,184.233,11.886,28.866,63.675,17.227,3.8,1.605,72.102,20.755,65.055,136.164,2.14,0,63.034,54.546,0,0,8.196,12.45,1.9,3,0,24.781,11.9,73.889,6.338,16.478,64.708,5.675,3538.833
44005040700,1571.94,53.56,381.12,366.828,142.632,35.658,0,0,397.133,70,5.885,80.884,80.461,53.929,153.566,0,0,22.961,50.749,0.749,0,66.7,7.9,1.148,0,0,38.515,3.17,60.669,21.4,0,70.807,0,3738.363
44005040800,881.418,0,250.11,585.972,178.29,11.886,86.598,63.675,163.281,102.5,0,147.935,17.762,63.634,198.806,11.878,0,28.472,129.124,0,0,11.243,10.919,4.65,0,0,26.662,11.05,41.089,2.247,0,21.272,0,3050.473
44005040900,2058.12,54.59,438.288,262.02,130.746,130.746,0,0,91.485,476.8,17.12,170.022,14.279,51.009,146.889,0,0,7.598,220.647,2.354,0,7.65,6.1,9.4,0,0,24.14,16.983,67.305,18.611,0,58.346,53.393,4534.642
44005041000,743.904,0,292.986,347.772,166.404,35.658,57.732,127.35,248.453,47.6,21.4,343.415,59.386,103.041,370.842,23.647,0,27.232,230.441,16.264,0,54.343,47.374,8,0,0,18.691,9.23,57.675,21.166,2.381,0,24.182,3506.569
44005041100,992.2,0,109.572,171.504,17.829,47.544,0,63.675,75.152,0,7.276,116.117,13.907,15.318,139.274,5.243,0,5.457,76.325,0,0,86.8,5.325,2,0,0,15.241,1.6,8.456,0,6.42,1.038,0,1983.273
44005041200,131.364,0,19.056,19.056,11.886,71.316,0,0,3.53,1108,0,12.734,8.601,2.995,21.741,0,0,8.699,4.601,0,0,0,0,0,0,0,0,0.984,23.346,62.187,0,8.507,42.479,1561.082
44005041300,4137.64,0,109.572,52.404,0,47.544,86.598,0,6.634,7.7,0.963,94.531,57.286,58.341,218.353,4.601,74.9,33.695,72.829,1.498,0,156.248,24.632,3,0,0,67.022,24.15,40.683,9.793,10.807,55.235,0,5456.658
44005041400,3597.42,51.5,9.528,0,0,0,0,0,13.803,0,0,38.373,35.839,46.49,90.935,4.994,0,16.274,65.897,0,0,15.496,16.232,9.8,0,0,69.913,65.081,40.74,16.321,9.416,23.508,0,4237.56
44005041601,1307.49,9.27,316.806,109.572,59.43,11.886,0,0,0,0.7,0,54.419,9.041,180.634,33.457,0,0,3.863,33.919,0,0,32.3,14.7,0,0,0,33.286,4.64,27.654,2.247,5.243,9.202,0,2259.759
44005041602,2722.56,0,154.83,33.348,11.886,0,28.866,127.35,0,30.1,8.989,123.009,64.093,53.502,76.229,13.448,4.28,30.153,60.105,0,0,7.043,18.2,2.5,0,0,31.901,13.874,13.589,18.567,0,19.153,0,3667.575
44005041701,1812.53,92.7,0,109.572,11.886,0,86.598,0,0,4.2,0,58.766,72.273,31.152,58.4,0,0,16.124,35.461,1.39,0,12.943,6.299,0,0,0,53.683,16.704,19.26,7.389,13.886,22.684,1.135,2545.035
44005041702,2803.25,272.95,71.46,57.168,0,0,0,0,3.21,5.6,12.412,122.177,61.191,109.915,107.411,0,0,16.312,70.702,6.206,0,157.501,3.008,0,1.8,0,55.87,39.141,59.691,0,4.922,16.906,0,4058.803
