Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
45001950100,1530.1,464.736,20.79,11.34,25.648,0,0,0,2.247,29.4,7.918,61.426,19.868,49.801,48.642,6.206,0,9.737,8.044,0,0,72.126,19.2,3.801,1.991,0,24.973,1.632,55.427,7.276,0,0,0,2482.329
45001950200,1567.05,597.84,35.91,11.34,12.824,0,0,0,0,297.6,0,87.629,2.75,39.154,44.3,3.317,0,7.34,5.136,0,0,23.13,5.9,0,0,0,40.138,10.562,82.197,0.648,20.304,61.033,32.528,2988.63
45001950300,2011.58,903.528,24.57,0,6.412,0,0,0,0.003,2.8,0,20.038,7.383,12.85,13.834,0,0,3.087,6.609,0,0,4.2,0,5.8,0,0,19.451,16.88,41.556,3.974,0.406,29.659,0,3134.62
45001950400,2795.11,708.384,107.73,15.12,83.356,0,0,0,14.98,32.4,0,106.114,16.427,73.021,60.248,0,0,6.404,34.217,0,0,163.9,298.78,25.4,136.3,61,62.319,30.731,85.835,24.017,22.916,58.842,0,5023.55
45001950500,2194.27,714.024,94.5,196.56,192.36,0,0,0,9.951,67.2,36.906,121.453,33.568,54.625,118.52,30.974,53.5,78.242,81.167,2.192,0,435.273,251.462,15.2,25,0,44.541,23.4,101.915,54.122,0,69.022,1.284,5101.231
45001950600,1427.8,542.568,13.23,41.58,19.236,0,0,0,2.458,0,0,43.549,6.42,29.95,29.53,6.206,0,4.82,7.881,0,0,109.5,4.362,0,0,0,10.46,7.393,81.271,6.722,14.212,28.079,0,2437.227
45003020100,1491.04,1382.93,0,0,0,0,0,0,2.247,33.6,0,34.2,66.728,33.445,67.814,0,0,0.92,1.894,2.461,0,19.6,4.481,0,1.7,0,41.516,62.303,108.207,0.648,13.806,25.542,0,3395.082
45003020200,2462.21,1123.49,0,0,0,0,0,0,27.928,11.2,0,103.141,99.948,64.933,77.1,0,0,12.273,40.669,0,0,243.974,495.765,55.3,3.7,0,67.406,17.373,65.494,25.922,0,28.096,4.815,5030.737
45003020301,533.4,842.616,0,0,0,0,0,0,16.585,0,0,64.403,21.316,31.078,73.674,3.176,0,9.416,7.233,0,0,48.499,19.7,0,0,0,37.533,12.581,26.556,1.862,10.558,38.092,0,1798.278
45003020302,1879.57,1203.58,15.12,11.34,70.532,153.888,62.288,0,16.265,0,0,97.806,32.565,48.128,102.29,5.243,3.745,12.819,23.881,0,0,187.715,189.64,0,13.3,0,37.106,4.791,96.407,258.382,0,6.099,81.534,4614.034
45003020400,2352.48,822.312,17.01,75.6,89.768,0,0,0,0,0,0,120.061,54.014,708.129,60.749,3.661,0,5.896,22.859,0,0,140.037,2.191,2.637,0,0,58.846,6.927,81.935,1.498,6.099,59.529,0,4692.238
