Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
46003973600,1707.7,111.18,23.022,56.276,5.509,0,0,0,30.723,30.6,15.301,50.73,100.178,45.126,47.989,13.91,0,6.966,42.203,0,0,4.446,17.858,12,1,0,15.056,210.11,28.248,44.71,8.869,37.352,2.033,2669.095
46005956600,1046.96,116.63,28.138,25.58,5.509,0,0,0,0,177.9,0,10.613,39.098,8.172,42.03,0,0,0,12.627,0,0,2.1,2.759,5.3,0,0,51.769,278.287,34.843,1.207,0.355,22.791,0,1912.668
46005956700,1254.4,73.03,12.79,25.58,5.509,0,0,0,0,0,0,30.83,34.058,16.435,30.062,4.066,0,0.594,8.473,0,0,21.4,0.92,10.1,0,0,18.8,200.67,28.187,0.806,20.221,29.647,0,1826.578
46005956800,699.18,144.97,12.79,0,27.545,121.198,0,0,18.618,5.6,0,231.374,176.776,69.012,41.747,0,0,1.781,15.409,0,0,268.201,17.701,50.199,3.5,0,48.665,38.798,12.84,41.41,5.777,11.342,0,2064.433
46005956900,1219.05,18.53,158.596,51.16,66.108,77.126,107.032,0,86.455,67,15.087,176.698,17.245,131.342,77.981,27.767,50.397,192.172,58.506,13.589,0,39.4,68.779,8.1,0,0,48.45,6.896,157.849,70.877,10.997,62.847,43.876,3129.912
46005957000,2614.57,150.42,158.596,184.176,22.036,110.18,160.548,59.025,84.957,133.7,43.656,187.341,103.873,53.881,90.966,3.187,0,18.35,133.071,0,0,9.8,23.24,2.113,0,0,47.915,37.548,71.617,17.571,0,39.911,0,4562.248
46005957100,1730.92,28.34,46.044,20.464,82.635,33.054,0,0,15.408,0,0,62.83,46.223,29.086,45.09,4.899,0,15.194,28.444,0,0,0,6.02,0,0,0,16.516,8.735,76.573,0,0,0.651,0,2297.126
46007941000,540.682,80.66,17.906,20.464,33.054,0,26.758,0,5.243,25.9,0,15.301,11.342,0,3.894,6.099,0,0,2.461,0,0,0,3.6,0,0,0,21.284,4.2,10.199,10.274,0,25.241,0,864.562
46007941200,727.818,128.62,15.348,15.348,0,0,0,0,14.98,0,28.997,43.696,12.519,17.815,26.705,0,0,3.745,7.704,1.498,0,0,4,8,0,0,6.657,59.64,16.799,5.759,10.643,45.785,0,1202.076
46009967600,1938.1,97.01,5.116,10.232,60.599,22.036,0,0,0,189.8,31.993,106.398,81.363,79.865,87.745,13.054,80.25,10.86,41.743,0,0,7.3,13.1,0,0,0,28.737,188.095,48.471,18.862,19.512,32.421,0,3212.662
