Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
47001020100,698.964,6.768,92.61,56.7,455.252,410.368,124.576,0,210.413,4.2,4.28,502.748,59.85,63.531,381.684,64.382,0,26.76,135.578,30.305,0,8.443,14.935,0,0,0,37.399,2.68,54.594,157.247,0,18.876,5.671,3628.814
47001020201,2722.04,0,0,128.52,102.592,64.12,93.432,68.7,0,72.1,0,76.796,56.203,76.736,273.121,49.274,0,36.39,68.963,0,0,640.733,10.933,2.2,4.9,31.801,52.37,0,16.086,6.314,4.066,1.78,6.527,4666.696
47001020202,2886.87,0,22.68,11.34,6.412,51.296,31.144,343.5,0,161,24.824,262.052,176.636,159.599,938.645,40.286,1.284,102.838,41.644,2.568,0,168.418,72.591,15,5.4,4.753,117.601,20.432,118.805,31.16,0,55.401,30.281,5904.46
47001020300,2834.63,0,9.45,109.62,0,0,0,0,0,0,0,40.182,4.925,26.434,70.247,1.284,0,2.782,10.062,0,0,0,2.5,0,0,0,14.619,3.2,49.577,0.756,0,22.294,0,3202.562
47001020400,2628.73,0,124.74,230.58,83.356,38.472,62.288,0,0,74.2,4.601,99.036,24.731,58.238,189.052,21.614,440.947,163.558,44.341,0,0,0,9.012,4.662,0,0,39.769,6.161,326.91,5.564,4.173,128.606,0,4813.341
47001020500,1901.21,0,325.08,147.42,51.296,0,0,0,51.36,26.6,0,114.346,63.879,119.561,206.575,4.922,0,16.564,109.83,7.169,0,0,2.2,12.8,0,0,30.856,4,110.632,26.772,0,103.587,0,3436.659
47001020600,1839.9,0,0,0,0,0,0,0,0,0,0,62.984,9.737,1.851,27.569,0,0,4.186,8.033,0,0,2.422,0,7.31,0,1.3,2.547,2.501,19.819,0,0,14.98,0,2005.139
47001020700,804.683,170.328,0,0,0,0,0,0,0,0,0,9.202,0,0.903,1.504,0,0,1.498,0,0,0,64.8,0,0,13.374,0,6.278,0,3.103,1.135,0,11.449,0,1088.257
47001020800,1907.71,549.336,119.07,52.92,51.296,12.824,0,0,57.566,81.2,21.4,120.514,31.522,105.055,54.641,8.453,0,8.025,21.079,0,0,60.533,47.136,4.386,1.583,0,37.305,2.7,162.06,10.466,5.992,26.213,0,3560.984
47001020901,3441.82,442.176,7.56,18.9,25.648,38.472,0,0,11.449,67.6,21.079,64.248,95.904,40.261,303.891,4.226,0,28.99,13.17,4.922,0,102.544,23.6,0,0,0,53.205,10.284,97.764,3.405,5.35,48.218,0,4974.687
47001020902,2731.49,961.056,28.35,0,0,0,0,0,28.462,0,0,62.516,15.835,43.958,78.445,0,0,32.089,95.304,0,0,8.422,6.112,0,0,0,61.811,31.972,48.043,30.246,0,25.145,0,4289.256
47001021000,2740.28,714.024,11.34,11.34,32.06,38.472,0,0,0,0,1.23,123.315,35.272,67.271,51.207,5.745,0,30.602,20.667,0,0,35.9,9.112,0,3.735,0,66.917,14.023,42.515,0,0,24.464,0,4079.491
47001021100,2600.47,216.576,11.34,68.04,64.12,0,0,0,0,0,0,47.794,4.173,64.714,55.898,0,0,10.595,15.309,0,0,0,1.5,0,0,0,29.279,6.1,26.75,0.781,0,0,0,3223.439
47001021201,2576.21,403.824,58.59,0,0,0,0,0,0,30.3,0,21.609,29.734,26.656,29.09,0,0,0,7.811,0,0,127.9,14,0,0,0,32.961,9.001,79.216,0,0,10.807,0,3457.709
