Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
48001950100,2829.78,709.512,1.89,15.12,6.412,25.648,0,0,0,34.3,15.943,47.097,10.968,37.482,25.899,11.77,0,2.14,5.017,0,0,91.5,0,0,3.4,0,7.014,3.912,26.734,2.354,1.266,33.277,0,3948.435
48001950401,34.029,0,0,79.38,0,0,0,0,0,603.5,0,0,0,0,0,0,0,1.498,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,720.007
48001950402,41.591,22.56,9.45,56.7,0,0,0,0,0,1057.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188.201
48001950500,2480.34,34.968,0,56.7,96.18,89.768,0,0,56.282,60.2,15.087,167.123,34.302,147.639,125.087,5.136,0,40.639,150.848,18.215,0,7,4.644,2.9,7.162,0,28.752,5.55,75.016,87.783,0,23.539,0,3820.86
48001950600,3623.09,219.96,37.8,11.34,38.472,0,0,0,29.211,67.2,19.046,172.665,113.746,153.845,99.233,4.601,0,5.243,46.613,0,0,91.167,8.32,5.047,19.264,0,24.73,14.523,103.968,7.351,0,54.739,7.597,4978.771
48001950700,1406.03,0,52.92,37.8,32.06,0,31.144,0,9.3,54.7,18.832,306.583,120.971,111.726,140.112,14.445,0,56.429,40.805,3.21,0,5.5,39,0,5.782,0,25.755,12.456,134.385,46.652,19.578,18.252,0,2744.427
48001950800,2857.94,0,9.45,120.96,96.18,359.072,62.288,68.7,0,8.4,16.05,194.775,154.481,69.615,87.575,12.626,7.704,39.355,56.603,13.641,0,9.167,7.5,0,3.821,0,21.8,6.486,90.359,2.996,0,32.849,0,4410.393
48001950901,2127.51,959.928,0,30.24,25.648,0,0,0,0,113.3,9.63,70.094,60.446,12.317,62.74,5.457,0,107.856,7.668,0,0,94.045,3.3,0,11.3,0,10.731,7.206,15.836,15.836,0,0,33.705,3784.793
48001950902,3401.31,566.256,11.34,22.68,0,0,0,0,6.313,0.7,0,119.405,88.783,71.417,74.624,2.568,0,23.066,11.003,0,0,12.193,13.7,3.2,28.341,0,32.541,37.102,89.37,7.587,14.971,11.663,0,4650.133
48001951000,3796.22,984.744,52.92,0,0,0,0,0,0,53.9,8.56,212.481,43.139,24.657,42.389,8.239,0,7.291,24.139,0,0,38.6,4.9,1.8,2.5,0,15.974,24.3,26.536,3.941,7.115,57.646,0,5441.991
48001951100,2267.01,918.192,0,0,6.412,12.824,0,0,0,0,0,14.503,27.285,5.625,4.922,0,8.132,0,2.247,0,0,0,1.5,0,11.844,0,14.434,11.5,15.539,93.354,6.047,17.761,0,3439.132
48003950100,969.826,138.744,0,0,12.824,0,31.144,0,25.457,0,0,52.509,35.937,27.423,29.229,1.177,0,2.675,16.261,5.564,0,80.187,60.1,0,64.079,0,13.599,8.6,30.026,0,0,0,0,1605.361
48003950200,3974.63,13.536,0,204.12,19.236,0,62.288,0,0,55.3,8.988,120.452,39.179,39.097,69.402,8.667,108.177,14.855,26.643,0,0,4.9,1.888,0,21.758,1.2,15.301,6.468,51.665,6.245,0,14.338,2.782,4891.114
48003950300,1650.9,442.176,51.03,52.92,0,38.472,0,0,5.564,2.1,0,170.958,37.575,49.731,76.405,15.622,0,10.297,27.339,0,0,3.2,12.196,2.824,42.565,0,24.015,1.2,46.381,23.326,13.268,0,0,2800.064
48003950400,1330.71,320.352,0,0,0,0,0,0,0,0,0,10.168,3.272,19.168,5.988,0,0,0,10.862,0,0,3.88,3.396,2.247,39.782,0,4.115,3.757,8.519,0,0,0,0,1766.216
48005000101,2482.13,1170.86,0,0,0,0,0,0,0,287,0,24.849,68.497,22.398,26.864,0,0,1.101,26.096,0,0,16.654,9.696,0,0,0,17.274,8.406,36.701,2.218,11.383,54.356,0,4266.482
48005000102,2437.65,421.872,0,0,0,0,0,0,0,0,0,6.705,3.582,10.383,20.007,0,0,0,0,0,0,0,0,1.1,0,0,13.289,4.197,9.4,0,0,0,0,2928.185
48005000200,3261.21,930.6,24.57,0,12.824,0,0,0,18.37,8.4,0,14.252,20.174,20.89,23.762,0,0,0.899,5.608,0,0,11.693,2.548,0,0,0,33.186,23.265,30.709,0,0,1.712,0,4444.672
48005000301,2565.81,735.456,52.92,0,0,0,0,0,0,80.5,0,121.181,203.878,93.305,87.3,2.889,21.614,21.844,14.845,0,0,12.287,3.448,0,0,0,64.347,8.127,47.936,0,0,0,0,4137.687
48005000302,2088.11,598.968,0,45.36,0,0,0,0,3.317,0,0,72.422,37.663,29.685,48.948,0,0,12.779,10.462,1.214,0,0.23,1.7,0,0,0,35.73,20.169,15.581,2.568,8.893,28.89,0,3062.689
48005000400,2390.09,305.688,162.54,105.84,70.532,64.12,62.288,0,0,182,123.977,266.948,288.017,236.139,254.989,19.474,67.838,259.678,47.921,0,0,124.9,16.496,104.261,99.4,0,41.955,59.466,117.29,89.995,0,15.087,0,5576.93
