Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
49001100100,1756.77,146.265,48.36,59.52,45.416,56.77,27.574,0,110.816,1.4,0,105.288,5.51,53.358,41.678,0,23.54,10.051,34.989,1.391,0,23.099,3.4,14.1,1.5,0,24.294,27.488,12.626,32.263,9.416,25.359,0,2702.241
49001100200,1585.57,30.845,0,40.92,0,0,0,0,37.985,7,23.54,44.733,37.923,15.105,18.689,5.534,6.859,4.894,11.235,0,0,26.866,0,12.7,23.1,0,31.374,45.036,5.157,4.909,0,28.569,0,2048.543
49003960100,1755.84,203.975,0,0,0,0,0,0,2.609,6.3,0,8.774,48.164,5.202,31.544,0,0,0,5.458,0,0,208.999,91.099,0,69.601,0,17.68,71.165,3.079,5.552,6.602,8.879,0,2550.522
49003960200,3344.59,84.575,26.04,44.64,5.677,0,0,0,3.103,0,0,55.176,64.058,80.453,74.714,2.997,0,3.096,29.052,0,0,179.072,228.37,73.19,32.052,0,62.199,90.608,25.145,13.13,0,25.37,0,4547.307
49003960300,3135.34,179.1,63.24,319.92,107.863,0,0,0,21.591,22.4,9.095,322.161,102.604,110.85,120.829,18.209,24.144,43.667,54.185,0,0,11.255,27.672,0,0,0,69.942,60.166,26.555,28.789,8.239,51.741,0,4939.557
49003960400,2363.4,55.72,9.3,3.72,0,11.354,0,0,0,0,0,21.649,77.745,15.902,65.961,0,0,0,14.51,0,0,28.899,5.052,0,0,0,41.407,159.285,17.762,7.484,2.14,8.56,0,2909.85
49003960500,2048.02,0,70.68,119.04,45.416,56.77,0,0,3.186,18.2,0,126.507,101.334,55.427,97.001,10.379,0,18.297,35.738,0,0,189.8,68.1,39,13.9,0,67.111,29.069,31.476,39.324,0,28.355,8.247,3320.377
49003960601,1753.97,38.805,61.38,18.6,0,56.77,0,0,0,3.5,2.247,106.788,7.348,44.582,59.703,8.774,0,16.007,28.783,5.029,0,6.495,0,2.8,0,0,11.58,21.459,36.127,23.005,0,23.814,0,2337.566
49003960602,1126.49,0,0,18.6,0,56.77,0,0,3.187,27.3,19.902,43.423,51.474,24.392,100.334,0,0,0,14.683,0,0,49.606,1.8,0,0,0,15.914,3.8,16.668,0,0,10.807,0,1585.15
49003960701,2196.69,90.545,91.14,3.72,56.77,11.354,0,0,25.36,41,5.243,74.988,27.357,63.452,52.217,1.177,25.107,34.882,30.388,1.108,0,1.178,9.946,8.499,0,0,24.854,5.44,45.903,8.346,0,65.452,0,3002.115
