Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
50001960100,2008.59,248.23,35.73,42.876,0,0,0,0,21.491,2.1,0,61.459,15.356,24.116,70.135,0,0,5.657,3.625,0,0,32.126,11.005,7.53,0,2,60.72,52.97,10.36,6.955,0,39.413,0,2762.444
50001960200,1911.42,119.48,30.966,38.112,17.829,0,0,0,14.175,2.1,0,50.556,60.094,37.704,34.114,2.354,0,4.173,25.46,0,0,20.464,39,3.5,0,0,78.546,54.305,16.925,7.667,0,14.691,0,2583.635
50001960300,852.39,132.87,97.662,80.988,124.803,11.886,28.866,0,18.725,201.6,9.042,210.353,27.178,55.103,90.551,10.807,0,32.26,39.316,4.387,0,0,15.35,1.01,0,0,19.476,12.359,48.814,25.927,4.815,30.923,0,2187.461
50001960400,3010.79,209.09,54.786,47.64,11.886,0,0,0,45.903,0,0,135.31,63.568,57.557,108.812,2.249,0,15.943,44.966,0,0,56.068,238.338,1.015,61.251,0.001,101.832,165.26,61.094,22.377,19.271,39.162,0,4574.169
50001960500,1637.95,228.66,157.212,76.224,89.145,35.658,0,0,12.289,8.4,0,100.689,54.152,44.813,80.619,2.996,0,16.973,48.045,1.498,0,57.258,17.017,20.162,0.67,0,48.251,30.263,26.265,9.978,0,29.425,0,2834.612
50001960600,1866.4,128.75,57.168,38.112,5.943,0,0,0,64.936,4.2,1.712,42.518,10.454,13.772,55.558,0,0,0,26.708,1.23,0,214.858,4,3.97,0,0,34.54,23.664,9.321,18.8,5.671,20.009,0,2652.294
50001960700,1634.92,135.96,109.572,171.504,112.917,23.772,28.866,63.675,52.751,16.6,0,162.486,78.966,103.115,150.31,8.779,0,23.829,46.752,4.922,0,91.75,42.528,0,0,0,65.237,79.697,58.105,24.077,4.387,25.736,0,3321.214
50001960800,988.182,9.27,104.808,204.852,106.974,23.772,28.866,0,63.472,1027.6,51.895,249.12,111.373,105.67,274.918,19.687,72.937,98.853,93.405,0,0,38.598,115.524,112.795,0,27.999,32.888,18.759,70.675,30.816,8.988,46.573,129.883,4269.152
50001960900,3257.53,270.89,95.28,28.584,11.886,0,0,0,12.572,1.4,0,125.745,78.346,59.36,114.231,5.35,0,16.129,26.96,1.23,0,22.04,23.938,2.4,2.502,0,59.709,242.94,38.642,13.011,46.942,61.251,1.04,4619.908
50001961000,1598.51,168.92,7.146,0,5.943,0,0,0,14.98,13.3,0,39.008,7.911,35.102,26.137,0,0,3.264,6.626,0,0,13.2,8.7,0,0,0,27.979,35.2,16.058,7.911,14.824,16.121,0,2066.84
50003970200,1980.05,33.99,42.876,28.584,0,0,0,0,28.462,0,0,42.668,29.052,12.016,51.915,0,0,4.28,31.137,3.103,0,28.7,5.055,0,1.8,0,48.334,24.49,10.914,13.168,0,47.935,0,2468.529
50003970300,863.46,45.32,26.202,0,0,0,0,0,33.705,12.6,15.087,39.389,3.519,8.152,23.824,0,0,4.066,3.745,0,0,45.61,16.5,1.3,0,0,18.3,25.157,14.197,11.488,9.882,51.36,0,1272.863
50003970400,3100.5,156.56,147.684,100.044,172.347,0,0,63.675,286.193,16.1,10.165,660.838,145.397,109.473,327.992,46.331,11.235,58.55,215.916,6.901,0,19.131,46.039,71.5,3.5,13,84.475,27.666,79.759,19.847,22.149,88.168,11.021,6122.156
50003970500,3166.02,18.54,235.818,185.796,65.373,11.886,0,0,91.913,0,0,60.223,7.49,7.747,79.037,3.531,0,0,66.54,0,0,5.31,4.1,5.052,0,0,58.669,11.559,16.799,8.392,2.889,15.301,0,4127.985
50003970600,2271.07,119.48,54.786,38.112,5.943,0,0,0,28.233,0,0,63.445,40.431,26.758,50.86,0,0,0,8.989,0,0,36,31.701,0.001,2.502,0,34.146,8.809,19.046,8.302,12.353,19.725,0,2880.692
50003970700,1415.24,61.8,73.842,109.572,35.658,0,0,0,58.503,0,0,61.056,24.064,27.305,81.424,6.848,0,11.555,14.658,0,0,17.415,363.776,23.499,0,0,18.229,10.05,20.8,6.509,0,35.631,0,2477.435
50003970800,2107.97,71.07,92.898,128.628,11.886,0,0,0,3.21,0,0,43.587,45.521,21.325,50.46,0,0,6.206,20.22,0,0,37.6,327.5,54.2,1.6,0,47.286,44.738,5.785,7.881,20.611,34.347,0,3184.529
50003970900,458.79,197.76,78.606,114.336,101.031,35.658,0,0,0,0,0,88.081,54.878,22.566,32.339,0,0,3.252,14.478,0,0,203,13.856,0,0,0,39.299,2.998,20.188,0,0,28.463,0,1509.579
50003971000,1294.21,162.74,131.01,95.28,17.829,35.658,0,0,100.144,361.2,16.799,191.004,72.433,72.395,256.695,7.49,0,6.42,56.78,0,0,131.888,291.328,2.8,0,0,46.651,25.199,23.433,8.385,0,59.706,62.06,3529.538
50003971100,1754.23,245.14,145.302,147.684,47.544,11.886,28.866,0,40.125,216.3,81.106,105.937,101.695,71.009,138.115,1.284,257.869,105.801,40.906,18.081,0,79.939,31.924,6,0,7.5,34.694,16.1,28.174,2.14,5.992,15.514,0,3786.857
50003971200,1154.56,13.39,433.524,976.62,160.461,11.886,28.866,63.675,36.166,167.1,17.12,389.303,170.675,141.679,223.698,37.236,0,67.421,138.562,0,0,213.529,182.528,14.2,0,3.2,71.754,10.49,80,106.575,5.671,83.887,14.338,5018.115
50003971300,1759.39,328.57,26.202,19.056,29.715,11.886,0,0,4.05,0,0,75.601,20.697,21.78,25.782,1.07,0,1.765,307.304,1.498,0,13.8,10.53,2.6,0,0,33.079,14.447,16.264,11.332,5.778,21.293,0,2763.489
50005957000,2842.53,333.72,4.764,14.292,0,0,0,0,12.824,2.8,0,47.561,32.221,29.824,53.7,0,15.622,4.28,10.269,0,0,33.312,17.554,9,0,0,29.283,33.009,1.498,10.078,17.294,31.621,0,3587.056
50005957100,1318.56,106.09,64.314,80.988,29.715,11.886,0,0,47.294,0,0,33.298,3.161,11.647,27.795,0,0,0,11.342,0,0,2.6,0,4.221,3.8,0,27.257,12.8,10.058,11.192,0.494,20.651,0,1839.163
50005957200,900.36,165.83,121.482,119.1,77.259,11.886,28.866,0,5.778,35.7,321,91.834,37.176,25.031,34.619,14.367,0,6.206,13.91,4.066,0,7.62,0.032,25,8.2,0,18.929,5.229,18.554,6.346,0,31.281,0,2135.661
50005957300,933.57,47.38,161.976,166.74,83.202,0,0,0,21.261,333.5,0,145.971,154.585,54.257,52.603,23.754,0,6.898,36.273,0,0,192.736,26.7,7,0,0,59.76,12.268,37.886,18.959,0,7.081,30.709,2615.069
50005957400,839.434,31.93,231.054,404.94,202.062,35.658,230.928,63.675,83.039,106.2,11.128,377.991,99.871,139.245,331.107,27.82,29.746,69.928,79.551,0,0,62.9,56.129,0,22.518,0,54.694,8.61,132.695,90.062,10.593,49.754,8.988,3892.25
50005957500,1325.94,183.34,147.684,166.74,65.373,35.658,0,0,7.787,72.8,0,235.735,42.586,115.815,77.013,3.424,121.338,65.099,46.459,0,0,312.986,50.4,9.641,2.301,0,82.131,7.2,26.388,29.155,9.882,10.593,0,3253.468
50005957600,1432.21,82.4,66.696,42.876,41.601,23.772,0,0,8.988,0,0,48.434,16.465,21.25,44.265,3.745,0,15.622,25.849,0,0,27.952,9.598,4.1,0,0,41.188,41.37,6.142,8.335,0,19.153,0,2032.011
50005957700,1341.93,200.85,21.438,66.696,53.487,0,0,0,19.943,18.2,0,223.23,44.69,61.203,58.518,8.025,20.544,16.821,20.222,0,0,25.62,14.923,2.021,0,0,26.636,26.339,33.116,24.711,0,28.548,0,2357.711
50005957800,2245.73,111.24,9.528,71.46,17.829,0,0,0,8.025,0,1.498,44.867,29.278,48.594,31.047,1.819,0,0,10.004,0,0,45.651,3.856,0,0,0,26.039,33.116,32.636,21.138,9.882,4.248,0,2807.485
50005957900,2008.84,93.73,83.37,9.528,0,0,0,0,17.227,27.3,0,42.572,45.9,16.542,31.286,0,0,6.206,22.674,2.461,0,28.188,17.433,0,0,0,48.812,19.32,25.251,4.532,0,28.569,0,2579.741
50007000100,2059.02,119.48,121.482,152.448,35.658,0,57.732,63.675,0,4.2,0,24.688,8.975,25.904,44.99,6.313,0,0.91,18.632,0,0,25.2,5.738,2.3,0,0,33.896,4.168,34.061,22.216,0,31.242,0,2902.928
50007000200,2599.48,0,166.74,247.728,124.803,71.316,57.732,0,29.211,219.1,68.266,63.233,22.788,36.26,101.725,3.531,3.959,22.919,13.961,2.568,0,1.6,69.988,1.4,0,0,37.726,5.189,93.893,20.651,0,87.028,3.852,4176.647
50007000300,549.81,0,621.702,357.3,124.803,59.43,0,0,0,0,0,89.182,126.214,49.109,60.97,0,0,21.561,45.138,1.23,0,3.3,9.339,12,0,0,30.778,7.978,7.918,0,0,35.206,14.98,2227.948
50007000400,145.386,5.15,407.322,743.184,249.606,71.316,57.732,0,0,57.9,0,71.772,8.69,116.519,77.238,1.605,6.848,11.503,26.53,2.461,0,7.2,6.65,4,0,0,23.42,2.14,70.484,17.773,6.099,22.47,0,2220.998
50007000500,343.334,0,283.458,514.512,522.984,190.176,0,0,5.136,170.2,0,85.479,42.776,54.172,134.2,0,0,56.614,26.586,0,0,2.376,18.1,0,0,0,7.436,2.9,160.714,0,6.099,16.157,0,2643.409
50007000600,667.316,23.69,412.086,242.964,273.378,285.264,144.33,63.675,17.441,383,0,51.05,15.729,77.799,136.933,0,0,63.698,53.147,0,0,4.2,11.328,50,0,0,29.24,4.3,43.556,0.867,5.885,33.063,4.922,3098.861
50007000800,786.626,0,200.088,181.032,130.746,35.658,0,63.675,6.099,13.1,6.652,95.551,62.793,33.031,142.881,1.07,0,12.251,19.367,0,0,4.5,201.346,24.8,0,0,12.888,6.047,21.186,27.196,0,24.187,0,2112.77
50007000900,331.28,12.36,290.604,319.188,178.29,47.544,28.866,127.35,47.654,254.5,26.75,7.156,31.196,14.231,101.014,1.124,0,16.019,16.332,0,0,6.2,4.05,56.581,0,0,12.219,5.998,13.469,0,0,12.733,62.595,2025.303
50007001000,191.88,0,135.774,181.032,196.119,142.632,259.794,254.7,57.641,67,0,704.514,240.142,264.94,1175.97,132.52,4.494,135.311,332.546,0,0,243.776,143.378,34.687,1,0,38.502,5.118,102.402,159.599,18.832,10.357,127.942,5362.602
50007001100,777.606,0,176.268,404.94,83.202,23.772,0,0,3.103,1.1,0,99.697,33.234,41.163,81.494,0,0,4.44,22.463,0,0,43.6,78.161,27,0,0,26.085,12.4,13.803,0,0,1.059,0,1954.59
50007002101,1584.32,43.26,76.224,52.404,0,0,0,0,8.453,0,0,22.214,16.648,23.24,20.665,0,0,6.313,7.274,1.498,0,31.1,2,4.6,0,0,32.433,13.57,2.579,2.461,0,0.661,0,1951.917
50007002102,3350.03,360.5,123.864,109.572,89.145,47.544,28.866,0,3.103,0,0,157.077,457.083,117.132,91.219,14.445,0,22.225,60.176,1.498,0,144.188,87.484,218.6,4,0,92.162,29.555,35.406,20.336,9.736,24.289,0,5699.235
50007002200,2120.19,701.43,47.64,443.052,190.176,35.658,86.598,0,29.532,758.1,18.939,317.243,298.352,128.743,411.277,8.667,14.546,68.159,114.073,1.391,0,57.099,68.701,5.499,5.8,0,130.43,29.148,39.783,31.886,1.712,23.471,2.033,6189.329
50007002301,1199.41,19.57,92.898,104.808,71.316,0,0,0,9.17,0,0,26.781,65.917,13.76,76.783,0,0,3.156,52.537,0,0,9.6,5.922,1.4,0,0,45.268,10.762,16.799,0,0,0,0,1825.857
50007002302,3726.41,69.01,373.974,204.852,23.772,0,28.866,0,33.796,0,0,184.486,96.515,97.331,198.382,7.009,0,71.991,85.007,0,0,8.108,21.956,3.4,0.021,0,102.779,28.27,45.397,65.723,0,54.243,17.12,5548.418
50007002400,654.36,0,445.434,404.94,130.746,0,28.866,0,0,30.8,0,33.094,38.282,43.55,47.775,11.157,0,10.158,10.498,0,0,1.18,108.356,60.3,13.279,0,49.098,2.527,14.666,0,0,10.844,0,2149.91
50007002500,854.686,25.75,216.762,262.02,142.632,23.772,86.598,509.4,12.626,101.6,0,84.364,39.553,52.816,264.118,9.363,0,26.232,58.408,0,0,26.1,41,0,0,0,29.396,5.218,35.417,43.576,7.383,187.727,0,3146.517
50007002601,2260.74,19.57,109.572,128.628,219.891,130.746,86.598,0,4.05,1.4,0,213.038,36.138,88.792,162.819,17.655,0,40.547,129.37,0,0,6.103,6.533,4.201,0,0,64.447,8.829,41.575,39.102,0.002,116.951,0,3937.297
