Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
51001090100,4266.25,1451.74,47.25,98.28,51.296,128.24,0,0,315.052,12.8,5.457,181.68,95.402,53.619,111.374,6.527,0,9.474,68.217,11.663,0,1.6,7.232,22.674,2.22,0,47.842,15.875,45.079,18.532,2.461,32.742,0,7110.579
51001090200,5197.03,1020.84,62.37,0,0,25.648,0,0,12.84,12,0,111.021,76.323,33.146,95.834,3.654,0,7.527,32.42,0,0,21.315,111.196,11.1,4.776,0,66.88,50.822,36.166,13.553,15.261,51.392,2.461,7075.574
51001090300,1409.7,330.504,1.89,0,0,0,0,0,2.708,0,0,33.187,39.075,24.667,68.734,2.568,0,2.675,6.675,0,0,1.6,5.495,68.5,3.8,0,11.007,15.769,9.951,2.645,10.852,32.501,0,2084.503
51001090400,2627.09,953.16,0,15.12,0,38.472,62.288,0,8.297,152,60.455,81.8,102.261,56.472,262.647,10.705,7.936,19.447,9.737,0,0,18.45,8.418,3,0,0,21.334,74.845,180.343,44.529,0,47.616,0,4866.422
51001090500,1540.48,284.256,17.01,11.34,0,25.648,0,68.7,0,7,2.355,87.05,95.858,52.313,69.237,4.28,0,10.742,17.032,0,0,10.345,11,14.477,1.592,0,22.953,24.887,47.675,14.278,5.564,0,0,2446.072
51001090600,3668.55,205.296,35.91,3.78,89.768,25.648,31.144,0,42.158,21.7,4.494,98.348,81.764,158.636,118.701,14.616,4.387,22.207,57.222,2.461,0,16.544,15.111,0,0,0,29.306,25.13,71.308,27.493,0.678,9.886,0,4882.248
51001090700,3459.1,322.608,34.02,15.12,70.532,0,0,0,13.055,5.6,0,219.757,111.053,91.755,64.8,5.457,0,19.763,50.844,2.996,0,61.8,21,0,6,0,50.47,62.708,53.5,8.021,29.089,55.105,41.409,4875.563
51001090800,2220.09,269.592,7.56,37.8,0,0,0,0,0,36.4,0,90.598,42.683,46.652,98.393,5.872,0,3.724,19.334,0,0,5.5,1.6,4.959,5.572,0,32.331,31.868,34.219,9.115,8.817,35.02,0,3047.699
51001980100,0,0,0,0,0,0,0,0,0,0,0,2.675,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,1.401,3.201,0,25.359,0,0,0,33.303
51001980200,0,0,0,0,0,0,0,0,0,0,0,1.324,0,2.578,48.691,1.268,0,0,0,0,0,0,0,0,0,0,1.456,6.162,0,35.429,0,2.647,0,99.55501
51001990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51003010100,4328.26,81.216,9.45,0,25.648,0,0,0,15.648,93.8,3.666,73.932,21.175,60.579,84.588,0,0,9.084,28.091,0,0,22.9,15.099,13.8,2.45,0,58.365,68.76,82.061,0.294,0,69.056,0,5167.921
51003010201,3261.36,9.024,51.03,0,0,0,0,0,0,3.5,0,69.455,18.3,21.307,132.936,1.391,0,6.317,51.342,1.082,0,50.001,53.92,0,0,0,30.273,12.506,35.51,4.439,0.002,4.719,0,3818.414
51003010202,2920.27,0,0,15.12,0,0,0,0,0,0,0,79.602,44.498,32.731,92.282,0,0,2.67,11.659,0,0,64.712,9.448,2.6,0,0,51.044,82.276,28.028,1.708,1.354,13.161,0,3453.163
