Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
53001950100,1563.1,106.465,0,18.6,5.677,34.062,27.574,0,24.61,24.5,0,75.375,39.153,37.971,122.275,11.128,17.976,6.916,41.948,2.266,0,6.5,4.402,6.3,0.99,0,8.126,137.029,62.664,84.958,2.782,19.795,0,2493.142
53001950200,929.04,140.295,13.02,0,17.031,11.354,0,0,4.815,0,0,70.794,31.41,15.398,36.006,1.177,0,5.405,5.432,0,0,19.1,0,2.7,0,0,8.788,157.343,21.828,2.293,0,47.615,0,1540.844
53001950300,1466.77,956.195,0,0,0,22.708,27.574,0,0,20.3,1.674,18.8,305.063,23.833,37.796,0,0,0,6.957,0,0,7.9,2.181,81.501,0,0,16.879,259.554,12.45,1.528,0,1.574,3.959,3275.196
53001950400,959.126,51.74,37.2,48.36,62.447,34.062,27.574,0,37.129,51.8,6.4,79.876,33.288,62.173,70.868,11.531,27.82,40.83,52.785,3.21,0,8.5,0,5.7,0,0,15.038,22.401,45.475,13.801,0,18.939,0,1828.073
53001950500,1421.49,42.785,72.54,40.92,73.801,34.062,82.722,0,4.387,0,0,69.135,81.467,42.186,31.741,0,0,0,8.881,0,0,5.9,0,37.8,0,0,18.771,69.286,52.551,5.564,0,86.242,0,2282.231
53003960100,2762.82,187.06,31.62,7.44,17.031,0,0,0,3.424,0,0,44.066,44.641,33.937,35.262,10.234,0,6.206,20.069,0,0,42.7,12.9,4.7,0,0,29.953,43.912,33.315,29.49,0,30.581,0,3431.361
53003960200,2310.45,436.805,29.76,37.2,0,34.062,27.574,60.825,0,3.5,2.461,54.392,32.073,34.312,96.614,0,0,3.189,21.572,1.498,0,39.276,4.9,0,0.95,0,26.886,32.541,21.186,5.594,4.922,0,0,3322.542
53003960300,1445.11,161.19,135.78,81.84,56.77,11.354,55.148,0,47.134,4.7,0,248.536,135.562,99.151,90.043,21.293,0,41.613,70.887,2.889,0,25.699,17.23,2,5.6,6.667,68.129,2.67,50.196,10.057,0,62.102,17.227,2976.577
53003960400,956.97,193.03,50.22,29.76,5.677,0,0,0,3.67,14,4.066,9.239,9.705,27.746,6.983,0,0,0,0.616,0,0,13.7,3.6,0,0,0,5.7,3.8,24.409,0,0,1.605,0,1364.496
53003960500,1512.92,84.575,163.68,145.08,11.354,22.708,27.574,60.825,3.669,60.9,26.001,28.783,9.191,28.812,103.318,1.177,82.818,53.543,23.861,0,0,1.4,2.2,0,0,0,17.244,26.892,42.278,8.252,0,50.29,0,2599.345
53003960600,1745.48,145.27,66.96,66.96,51.093,0,0,0,0,10.5,10.165,12.164,40.873,22.348,18.113,2.354,0,1.498,22.847,0,0,63.901,3.251,0,0,0,23.112,7.116,19.688,0,0,45.951,0,2379.644
53005010100,3285.35,0,27.9,14.88,22.708,22.708,0,60.825,28.355,19.6,8.453,25.522,25.021,26.211,3365.69,0,0,20.371,35.942,0,0,3.9,9.4,12.4,0,0,48.017,10.072,34.052,30.723,5.243,25.681,0,7169.023
53005010201,2522.23,159.2,14.88,159.96,5.677,0,27.574,0,3.317,13.3,0,37.912,116.356,55.701,387.82,0,0,6.446,27.988,0,0,367.499,107.208,111.959,0,0,131.73,27.106,21.293,1284.31,0,15.787,0,5605.253
