Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
54001965500,2256.47,340.656,0,30.24,0,0,0,0,0,0,0,9.63,1.712,0,10.981,0,0,0,0,0,0,7.094,0,0,0.01,0,0,1.7,8.089,0.962,0,6.313,0,2673.857
54001965600,1809.75,179.352,51.03,30.24,102.592,0,0,137.4,14.766,180.3,3.531,209.153,34.914,75.551,102.245,15.408,26.75,55.105,62.193,7.275,0,9.419,22.6,6.5,5.407,0,17.593,33.8,108.444,54.432,10.379,70.104,59.064,3495.297
54001965700,3116.77,582.048,0,0,0,0,0,0,0,0,0,5.273,2.312,8.132,6.848,0,0,0,1.07,15.836,0,2.5,0,0,0,0,7.9,0.88,6.634,1.603,0,0,0,3757.806
54001965800,1992.44,249.288,20.79,11.34,64.12,25.648,0,0,87.419,46.9,26.323,72.454,49.541,35.437,46.65,8.56,0,12.091,8.809,0,0,39.238,3.146,1.3,0,0,23.634,5.91,59.984,7.913,14.121,23.861,0,2936.917
54003971101,2750.82,613.632,15.12,11.34,0,0,0,0,0,4.9,0,29.654,26.494,17.099,17.7,0,0,1.926,11.526,0,0,14.8,0,93.801,0,0,10.41,6.319,17.783,0,8.025,23.647,0,3674.996
54003971102,4435.7,1005.05,0,15.12,109.004,38.472,0,0,13.161,0,0,54.181,30.452,41.43,70.438,4.173,0,3.135,6.206,0,0,23.6,2.446,0,1.214,0,32.055,34.6,31.351,14.011,0,9.523,0,5975.323
54003971201,6516.05,524.52,18.9,3.78,6.412,12.824,0,0,1.926,1.6,0,67.334,43.603,37.127,88.692,8.774,0,8.398,16.102,0,0,49.1,7.199,2.4,15.7,0,73.869,45.667,44.727,4.81,2.824,47.936,0,7650.274
54003971202,5239.99,516.624,0,34.02,0,0,0,0,48.063,0,0,84.327,17.206,23.561,41.573,0,0,1.819,83.032,0,0,40.751,6.784,0,0,0,48.245,5.39,29.488,0,0,17.044,0,6237.918
54003971300,3022.76,645.216,11.34,11.34,307.776,512.96,155.72,0,108.207,53.9,45.047,167.741,210.762,330.714,215.762,41.195,249.31,42.075,72.22,12.305,0,145.805,532.935,5.9,4.8,0,131.255,29.091,45.539,8.571,0,45.903,0,7166.149
54003971400,5397.06,291.024,9.45,71.82,134.652,115.416,0,68.7,1.819,0,0,38.452,71.221,29.745,58.324,0,0,21.048,15.382,0,0,3.5,10.696,0,2.2,0,42.235,27.927,20.18,0,0,11.021,0,6441.872
54003971500,1710.79,135.36,79.38,158.76,25.648,0,62.288,206.1,0,28.7,31.672,228.003,24.847,75.647,107.738,47.811,1.819,47.105,44.211,1.605,0,2.4,4.732,0,1.1,0,21.301,3.859,118.769,10.7,16.946,24.931,0,3222.222
54003971600,2566.13,0,122.85,185.22,256.48,38.472,62.288,0,5.137,72.8,0,131.384,112.715,126.587,174.512,6.955,5.029,126.484,40.93,3.679,0,40.1,16.529,0,0,0,15.038,7.85,110.681,77.418,17.12,10.517,0,4332.905
54003971700,2408.11,29.328,103.95,177.66,269.304,76.944,62.288,274.8,88.51,61.6,9.141,491.993,44.279,93.982,160.883,28.676,0,46.929,148.546,0,0,110.413,36.5,12.2,2.7,0,30.814,19.7,81.062,20.538,0,61.846,37.557,4990.254
54003971800,4571.81,802.008,30.24,7.56,0,0,0,0,4.922,5.6,0,32.603,23.273,42.007,26.666,0,0,2.033,9.247,0,0,7.1,0,0,2.6,0,40.189,63.178,21.635,1.603,0,19.26,0,5713.534
