Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
55001950100,4352.5,499.22,0,0,0,0,0,0,15.087,0,0,32.809,21.951,22.154,77.188,6.313,21.507,7.168,82.688,0,0,8.98,9.37,0.99,0,0,36.965,30.11,33.065,0,0,3.317,0,5261.382
55001950201,1532.52,316.1,5.116,0,82.635,0,0,0,6.634,0,0,22.898,26.544,5.586,9.686,0,0,0,14.98,0,0,1,11.8,0,0,0,13.785,17.1,3.103,1.605,0,6.42,0,2077.512
55001950202,2851.02,924.32,0,10.232,16.527,0,0,0,2.46,0,0,25.145,31.976,8.004,19.021,0,0,0,19.106,0,0,60.11,45.7,0,0,0,16.185,685.195,44.196,22.313,0,0,0,4781.51
55001950400,2538.2,395.67,66.508,179.06,60.599,44.072,0,59.025,55.14,79,106.679,183.046,29.318,53.82,118.79,13.268,77.04,20.287,74.783,0,0,120.7,9.4,0,0,0,25.1,35.056,56.981,37.42,11.746,18.404,0,4469.112
55001950501,1687.56,801.15,7.674,0,0,0,0,0,17.761,0,0,17.227,12.212,15.836,25.672,0,0,0,22.019,0,0,6.4,0,5.888,0,0,15.541,16.452,14.072,0,0,7.276,0,2672.74
55001950502,1704.02,848.02,23.022,46.044,27.545,66.108,0,0,19.795,126.6,0,36.273,75.562,55.533,19.622,0,0,0,7.276,0,0,8.6,4.78,1.6,0,0,16.932,22.247,5.03,40.54,0,9.416,0,3164.565
55001950700,2826.75,691.06,25.58,5.116,0,0,0,0,96.318,0,0,30.543,36.115,37.557,28.128,2.782,0,0,54.904,0,0,19.6,1.114,2.288,0,0,61.309,58.988,23.433,4.219,0,7.169,0,4012.973
55003940000,886.312,173.31,33.254,0,11.018,0,0,0,0,0,0,21.186,0,13.737,1.862,0,0,0,0,0,0,0,0,0,0,0,0,0,3.103,2.14,0,0,0,1145.922
55003950300,1105.06,30.52,243.01,76.74,5.509,44.072,26.758,0,19.919,153.3,0,175.717,8.045,93.791,101.448,30.174,0,45.895,39.547,7.49,0,21.397,16.429,0,0,0,29.782,9.28,67.474,39.209,0,74.152,0,2464.719
55003950400,1083.11,45.78,102.32,107.436,44.072,33.054,80.274,59.025,50.655,109.2,33.491,116.141,28.658,58.846,34.976,0,119.626,97.659,69.149,0,0,62.1,46.228,27.2,0,0,40.667,3,29.746,15.943,0,26.75,0,2525.106
55003950500,1063.64,206.01,17.906,0,22.036,11.018,0,0,13.375,0,0,4.494,6.608,8.432,13.643,0,0,0.963,14.626,0,0,6.6,0,0,0,0,13.67,17.517,19.153,2.708,0,0,0,1442.399
55003950600,1159.94,276.86,20.464,10.232,0,22.036,26.758,0,6.099,20.8,8.667,11.352,2.568,13.177,9.611,1.678,0,0,10.665,0,0,70.32,1.5,0,0,0,6.63,13.7,28.676,23.942,24.916,18.618,0,1789.209
55003950700,2143.49,276.86,25.58,25.58,16.527,11.018,53.516,0,28.792,0,0,37.247,101.123,22.694,25.387,3.103,0,0,25.133,0,0,259.449,3.3,0.8,0.976,0,18.951,11.38,25.787,15.578,0,6.955,0,3139.227
55003950800,2414.29,218,219.988,117.668,115.689,11.018,0,0,310.406,8.5,6.634,242.526,173.735,80.979,337.577,0,0,10.559,103.148,0,0,143.789,1.1,15.6,14.6,0,54.907,29.92,40.599,32.473,11.128,34.774,0,4749.608
55005000100,3529.21,136.25,17.906,15.348,16.527,0,0,0,117.503,0,0,67.216,39.556,53.965,60.487,6.848,0,7.672,48.634,2.675,0,46.063,24.274,6.4,0,0,58.15,99.821,54.146,2.257,0.402,8.051,0,4419.36
