Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
56001962700,1416.34,440.785,68.82,14.88,17.031,0,0,0,6.818,7.2,0,31.61,76.682,26.288,81.314,0.931,0,9.682,40.006,0,0,44.312,2.9,0,0,13.701,70.54,25.152,37.247,10.058,3.317,3.125,4.173,2452.912
56001962800,1276.37,391.035,119.04,100.44,28.385,79.478,0,0,1.819,0,0,90.369,29.907,63.471,37.972,3.21,0,1.712,20.565,0,0,6.1,6.5,0,0,0,18.215,3.421,3.537,16.371,0,13.375,0,2311.292
56001962900,614.295,442.775,14.88,7.44,0,0,0,0,146.911,0,0,10.952,15.408,21.273,41.642,0,0,0.856,26.626,0,0,1.5,11,4.6,0,0,17.471,0,2.996,0,0,9.331,0,1389.956
56001963000,527.06,139.3,63.24,267.84,181.664,90.832,55.148,0,31.352,14,0,130.066,91.652,85.4,53.716,8.774,2.354,7.854,65.484,0,0,15.831,19.3,0,0,0,59.125,4.234,10.165,4.067,0,3.638,1.926,1934.022
56001963100,3004.44,80.595,145.08,331.08,198.695,306.558,82.722,60.825,10.226,0,0,16.718,10.618,39.422,79.424,0,0,12.252,11.646,0,0,0,0,0,2.2,0,25.475,13.304,16.256,0,0,25.124,0,4472.661
56001963400,679.091,36.815,360.84,271.56,289.527,113.54,82.722,0,13.36,62.4,0,266.452,63.872,170.362,232.06,14.124,0,32.324,91.678,1.391,0,12.8,38.5,4.811,0,0,42.007,7.87,104.937,72.046,16.157,14.264,17.762,3113.272
56001963500,54.978,14.925,89.28,122.76,130.571,11.354,0,0,11.77,794.4,9.951,10.272,5.136,9.629,155.472,4.28,0,3.638,41.178,0,0,0,7.848,0,0,0,0.7,0,22.576,8.56,0,23.647,209.506,1742.431
56001963600,2319.17,83.58,238.08,133.92,124.894,34.062,82.722,0,6.099,51.8,20.865,65.317,5.029,67.446,96.835,10.7,0,16.559,38.499,12.412,0,2.336,12.244,0,3.4,0,29.756,9.866,90.099,0.732,0,104.86,17.788,3679.07
56001963700,2224.36,58.705,35.34,331.08,73.801,147.602,165.444,0,200.197,0,0,274.209,51.151,74.308,162.139,4.922,210.79,87.586,58.627,0,0,1.501,3.546,12.114,0.714,0,56.221,7.528,56.669,0.695,12.305,12.198,0,4323.752
56001963900,3095.69,241.785,9.3,7.44,0,0,0,0,57.967,0,0,40.132,31.446,24.439,69.947,0,0,0,31.101,1.094,0,17,29.101,3.7,2.214,0,28.833,82.3,19.056,17.79,14.519,6.014,16.478,3847.346
56003962600,1577.81,128.355,22.32,0,45.416,11.354,0,0,6.42,45.1,34.24,50.833,183.002,41.738,39.9,9.523,0,1.926,31.916,0,0,4.2,3.1,2.4,0,0,15.341,51.067,39.615,8.693,8.56,33.17,0,2395.999
56003962700,2073.46,168.155,53.94,40.92,0,0,0,0,70.238,0,4.494,101.613,76.902,58.627,99.802,15.087,0,3.973,55.364,0,0,22.2,15.601,0,29.67,0,32.954,90.31,44.496,26.773,5.05,40.35,0,3129.979
56003962800,2737.96,411.93,48.36,29.76,39.739,0,0,0,10.7,51.8,92.554,116.849,64.879,85.209,72.192,9.416,0,20.91,78.104,1.391,0,53.468,18.6,4,52.3,0,72.597,49.635,37.296,26.67,0,67.089,0,4253.407
56005000100,3748.04,825.85,93,48.36,17.031,22.708,275.74,60.825,15.301,0,0,60.531,136.446,59.129,79.477,2.14,0,8.165,38.353,0,0,6.967,6.899,20.111,102.824,0,56.861,59.501,16.681,16.72,6.311,60.776,0,5844.746
56005000200,2652.59,474.615,44.64,137.64,22.708,68.124,0,0,0,31.2,0,118.983,226.792,172.83,147.29,0,0,23.754,33.903,0,0,130.899,35.045,9.2,43.741,0,118.856,17.2,29.931,0,0,32.956,1.925,4574.822
56005000300,1559.11,673.615,74.4,133.92,73.801,34.062,193.018,0,89.345,6.3,0,309.517,86.246,90.192,212.89,8.881,0,11.021,103.006,16.05,0,2.1,13.099,18.861,72.077,0,33.753,8.412,24.559,25.808,0,20.352,0,3894.396
56005000400,1716.75,258.7,163.68,197.16,73.801,147.602,27.574,0,9.416,21,0,231.668,64.213,123.996,223.063,19.228,0,42.809,64.041,0,0,3.3,20.547,1.6,34.604,0,40.895,11.616,89.936,125.09,0,63.984,0.712,3776.985
56005000500,3270.07,130.345,48.36,148.8,34.062,0,0,0,5.029,10.7,4.922,41.107,85.989,12.352,56.337,0,0,5.362,17.441,0,0,11.17,4.3,0,11.725,0,40.174,9.204,17.869,4.066,15.943,38.371,0,4023.698
56005000600,1606.7,735.305,13.02,70.68,102.186,147.602,275.74,0,177.834,122.2,0,56.118,174.572,121.035,150.945,0,0,75.062,31.639,0,0,10.3,8,25.5,96.973,0,58.051,8.782,46.169,15.077,5.243,79.502,11.235,4225.47
56005000700,2205.01,1840.75,31.62,52.08,204.372,68.124,0,0,17.308,1.4,0,117.242,195.8,76.369,238.676,0,3.317,7.18,12.557,0,0,61.834,23.763,10.9,282.121,0,218.488,67.042,25.481,14.178,2.888,23.251,0,5801.751
56007967600,1371.74,204.97,0,0,0,0,0,0,5.35,67.1,1.498,32.56,38.875,15.901,44.346,0,0,2.782,23.433,2.996,0,7.8,0,3.2,24.5,0,11.652,26.756,10.97,52.63,0,8.667,0,1957.726
56007967700,1780.71,286.56,48.36,104.16,85.155,45.416,137.87,0,53.179,5.6,0,102.369,140.408,103.506,93.596,0,0,3.178,55.148,1.391,0,0,5.7,0,5.2,0,33.917,12.099,24.396,2.771,0,29.746,8.56,3168.995
56007967800,2590.79,126.365,40.92,137.64,79.478,45.416,55.148,0,81.061,34.3,8.453,152.976,46.097,79.808,91.605,27.285,83.46,27.927,59.074,0,0,0,11.793,0,1.8,0,19.207,6.25,76.408,38.903,6.527,7.276,0,3935.967
56007968000,3091.58,211.935,9.3,37.2,17.031,11.354,0,0,61.166,19.6,0,100.908,36.787,40.506,175.168,7.276,0,3.11,76.49,1.284,0,77.936,14.845,3.011,0,0,47.136,43.226,38.205,20.015,4.417,61.937,1.284,4212.708
56007968100,1438.96,148.255,11.16,26.04,5.677,0,0,0,17.333,0,0,25.45,2.086,17.457,8.387,2.354,0,3.531,26.859,0,0,13.27,2.8,3.3,14.151,0,0.702,23.185,13.706,11.435,0,31.779,0,1847.877
