Year,Median,Upper_95,Lower_95,Upper_80,Lower_80
1900,76212168,76212168,76212168,76212168,76212168
1910,92228496,92228496,92228496,92228496,92228496
1920,106021537,106021537,106021537,106021537,106021537
1930,123202624,123202624,123202624,123202624,123202624
1940,132164569,132164569,132164569,132164569,132164569
1950,151325798,151325798,151325798,151325798,151325798
1960,179323175,179323175,179323175,179323175,179323175
1970,203302031,203302031,203302031,203302031,203302031
1980,226542199,226542199,226542199,226542199,226542199
1990,248709873,248709873,248709873,248709873,248709873
1995,265065890,265065890,265065890,265065890,265065890
2000,281421906,281421906,281421906,281421906,281421906
2005,295083722,295083722,295083722,295083722,295083722
2010,308745538,308745538,308745538,308745538,308745538
2015,319874093,319874093,319874093,319874093,319874093
2020,331002647,331002647,331002647,331002647,331002647
2025,340399604,343062293,337576627,342154410,338580037
2030,349641876,355441954,343630820,353442534,345710357
2035,358690997,367942262,348989476,364558871,352375460
2040,366572150,379475955,353166044,374791968,357883571
2045,373343357,390059743,356322570,384000425,362191710
2050,379419097,400045727,358440788,392428357,365783170
2055,385334853,410062026,360147069,400882541,369008773
2060,391494892,421427019,361994424,410245283,372386031
2065,397876094,433218886,363554061,420073625,375552453
2070,404174404,445572949,364898687,430383945,378429607
2075,409992638,458096414,365422931,440000400,380767898
2080,415197398,470850616,364399368,449312386,382391159
2085,419937438,483251570,362866210,458525723,383222420
2090,424469922,495796698,360961926,468036249,383792261
2095,429081664,508904500,358979570,477745881,384298591
2100,433853891,522584329,356827113,487767658,384369985
