time,S1,S2,S3,S4,S5,S6,S7
2017,49.21854995073475,49.1185898105111,49.4791864610062,50.84818444660043,50.66562694696593,50.78973238819726,50.937184209548114
2018,48.91112606884569,48.81901933440217,49.18161219010167,50.85649598197481,50.67088747246522,50.795104574166125,50.956942786931364
2019,48.547985903476224,48.46515589488826,48.83010674009575,50.86664093581738,50.677308402652216,50.80165430880537,50.9810323176106
2020,48.12187611549026,48.04993144558014,48.41764916293559,50.87902190953686,50.68514455145387,50.809636521068335,51.01039041496867
2021,47.62576360305641,47.566492551242696,47.93743169164827,50.89412901675809,50.694706120909615,50.81935978089733,51.04615198072015
2022,47.053368203384096,47.00871948121093,47.383375374748276,50.91255846718387,50.70637046324207,50.83119683313482,51.08968794801318
2023,46.39983704488377,46.371883334647066,46.75078282270228,50.93503488181498,50.72059620457478,50.845596831813296,51.14265027840478
2024,45.66252700286214,45.65340850773715,46.03709559438113,50.96243798221698,50.73794013706632,50.863099363042274,51.20702353720692
2025,44.84182160866055,44.85366873418638,45.242684933094125,50.9958343526243,50.75907732174076,50.88435024012159,51.2851829869508
2026,43.941865486764044,43.97670276050543,44.371562672931105,51.036515003063236,50.78482486288023,50.91011887904772,51.37995849346739
2027,42.97106619363486,43.030703364941765,43.431866999086836,51.08603944165477,50.8161698022133,50.941316787068914,51.49470252567812
2028,41.942207750183776,42.02812798966757,42.43597234284702,51.1462868610222,50.854301515742634,50.97901628541937,51.63335901668574
2029,40.87205760483009,40.98531574430259,41.40010893722887,51.21951480795248,50.90064884686481,51.0244680001536,51.80052769402025
2030,39.780433018033605,39.921577640452945,40.343459113795326,51.30842526773622,50.956921932380766,51.07911485525008,52.00151554542069
2031,38.688808431237305,38.8578395366036,39.286809290361916,51.41623736068507,51.02515821347773,51.14459927012968,52.242363290890516
2032,37.61865828588358,37.81502729123863,38.25094588474393,51.546764695443706,51.10777139407509,51.222759022006535,52.52983016465734
2033,36.58979984243288,36.81245191596441,37.2550512285042,51.70449370208116,51.207601019302025,51.31560588554124,52.87131535311311
2034,35.61900054930339,35.86645252040061,36.315355554659746,51.894656811109705,51.327958791857775,51.425279945899796,53.27468996098388
2035,34.71904442740668,34.9894865467195,35.44423329449641,52.12329099849811,51.47266562624181,51.5539718259603,53.748010967663625
2036,33.8983390332055,34.189746773169134,34.6498226332097,52.397267899024044,51.64607070805484,51.70380563345911,54.29909071385107
2037,33.161028991183684,33.47127194625885,33.936135404888425,52.72427649495102,51.853040537342096,51.87667807666244,54.934905178645394
2038,32.50749783268318,32.83443579969491,33.30354285284221,53.112733747585416,52.09890236563701,52.07405479936822,55.66084491192419
2039,31.935102433010876,32.27666272966313,32.749486535942275,53.57159345000607,52.38932321530132,52.29673406694323,56.47984588576806
2040,31.43898992057731,31.793223835326067,32.26926906465527,54.11002083744349,52.73010393436919,52.54460004687004,57.39148207513324
2041,31.012880132591576,31.37799938601809,31.856811487495232,54.73690285582543,53.126869236393105,52.816400997151675,58.39114964812485
2042,30.649739967221834,31.024135946503762,31.505306037489092,55.46017504603639,53.584641672960245,53.10959770306359,59.46950952546991
2043,30.34231608533257,30.72456547039484,31.207731766584473,56.28596944034897,54.10730232147456,53.42032918855623,60.612361269117955
2044,30.08352248246048,30.47238297126714,30.957229700134135,57.21762586047926,54.696965017287305,53.74353141961397,61.801079666063025
2045,29.866698001165815,30.261097456640222,30.74735209876152,58.25465968067012,55.35332303173407,54.07321927085816,63.013651784579906
2046,29.68575760439642,30.08477933693393,30.57220888504975,59.391833801480146,56.07306170706245,54.40290712210206,64.2262239030966
2047,29.535263101402286,29.9381293446278,30.426536103454406,60.6185245320471,56.84945711151166,54.72610935315967,65.41494230004164
2048,29.41043684786162,29.81649188440752,30.305709181489636,61.91857813177498,57.67228524187522,55.03684083865251,66.5577940436899
2049,29.307137914267045,29.715831810348405,30.205719861659436,63.27080744725826,58.5281363542564,55.33003754456442,67.63615392103482
2050,29.221815753580646,29.63268927717128,30.123131353563863,64.6501716179566,59.40116162175545,55.6018384948458,68.6358214940261
2051,29.151452287583307,29.564123306043758,30.055022275752936,66.02953578865451,60.274186889254985,55.849704474772764,69.54745768339167
2052,29.09349991430319,29.507651375663876,29.998926649349265,67.38176510413787,61.1300380016359,56.072383742347874,70.36645865723544
2053,29.04582029084341,29.461189768931234,29.95277464222206,68.68181870386636,61.95286613199956,56.26976046505371,71.09239839051446
2054,29.006626801580946,29.422997510845814,29.914836880458616,69.90850943443277,62.72926153644881,56.44263290825674,71.72821285530814
2055,28.974432259218755,29.391625405581078,29.88367382503291,71.04568355524268,63.44900021177702,56.59246671575586,72.27929260149635
