time,S1,S2,S3,S4,S5,S6,S7
2017,80.32351252820825,80.16037993727225,80.74886516494892,112.93351451621407,112.52805539787194,115.79436381723244,116.13053589462227
2018,79.9952675775968,79.84462490261245,80.43765382761775,109.6881971131629,109.28787337115394,114.41774122686695,114.782287434696
2019,79.64752314517509,79.51163274924308,80.11036883168957,106.47911959482988,106.08278987713685,113.08960890888565,113.4889224576006
2020,79.25485244796063,79.13636238359865,79.74197911727637,103.29214073255089,102.89854025431117,111.79793117768956,112.23965584943794
2021,78.78873658455548,78.69068269659346,79.30433849990828,100.14559553928191,99.75318633502305,110.55051940279884,111.04387460434037
2022,78.21012554501786,78.13591232075952,78.7586495569778,97.15669306463064,96.76322345289437,109.4117764344862,109.9681664829876
2023,77.4996393428581,77.45294947065997,78.08580888443481,94.36329267727882,93.9660191756763,108.39719625024117,109.03048138707412
2024,76.64691212241966,76.631606256967,77.27564486680271,91.77402452531585,91.36974498998579,107.50591188004957,108.23284127334622
2025,75.64693402904135,75.66691980773935,76.32317955989268,89.39702480183664,88.98198356502597,106.73788793977641,107.57869735586902
2026,74.497979893519,74.55704216795777,75.22647814867427,87.22810336199653,86.7979318747435,106.07279872944659,107.05172401881512
2027,73.19713167192324,73.29871793140822,73.98206209648396,85.2270095048811,84.77678508785567,105.42742290597508,106.57270214047846
2028,71.76209206856933,71.90909949777082,72.60691121519005,83.38940400341562,82.91334825401674,104.78158750129975,106.12651478997394
2029,70.22171209577726,70.41629932550364,71.12894972481986,81.72300537516182,81.21424060552997,104.1365583356744,105.72042954001635
2030,68.61072168954311,68.85415881860601,69.58179273702883,80.23576330228329,79.68608479883333,103.49407696935914,105.3630014465282
2031,66.9620525537941,67.25460924446811,67.99706413930431,78.93134337851893,78.33098045736897,102.88208647137341,105.09034021704387
2032,65.29435493916387,65.63519079346955,66.39181063760675,77.79838769113373,77.13582484639508,102.40724773919251,105.02041346618282
2033,63.64106453502157,64.02832587674786,64.79814401004727,76.8377409862554,76.09931172172492,102.10135286743682,105.19670833614273
2034,62.035770433054196,62.46674472866772,63.24857591849728,76.05563083565872,75.22509108463184,101.97122782962157,105.63842439514185
2035,60.50488066996118,60.97618016644838,61.76866734929191,75.45947942628847,74.51756169716023,102.02411431485945,106.36606687983519
2036,59.071728098926705,59.5795393744052,60.38127411670554,75.04211812278798,73.96627141171801,102.24043303490221,107.37241640087292
2037,57.76555389354395,58.305988152874434,59.115766859673464,74.749534273354,73.51434459598208,102.51800337765204,108.56163122728799
2038,56.59209196960083,57.16125615420566,57.977921578039336,74.57558233899485,73.15206183143317,102.83298056800147,109.91597649307477
2039,55.54661596528789,56.1407120282935,56.96312249156745,74.53048193133058,72.88567048013037,103.18707996819374,111.44080941165082
2040,54.62055262586019,55.235981182288945,56.06303871710646,74.62456282845828,72.72148288064459,103.58030563312897,113.1348844368005
2041,53.80155040940309,54.43496406962055,55.26561357086383,74.82076246260375,72.61998133120419,103.99386957994689,114.97037826295151
2042,53.07255766758658,53.720855246039214,54.554041022787956,74.93720389460609,72.40300297164326,104.35583973823472,116.85252522621485
2043,52.42066369944468,53.081053842613585,53.91579229343694,74.92526072107519,72.0251205346457,104.64050178404788,118.7283566735338
2044,51.83444171954043,52.50445522463554,53.33985472032354,74.77688681506127,71.48267165433208,104.83627688706238,120.55395186454462
2045,51.30303286136752,51.98050608669425,52.815762059174624,74.47681662870862,70.76754566625783,104.9298292221322,122.27886206106292
2046,50.83288663502198,51.516157945301266,52.35081580689689,74.09903882362579,69.95843890389585,104.97525266257418,123.93021693966632
2047,50.48011438449405,51.16867212545116,52.00343120537134,74.01383215307618,69.41188702836997,105.2360324031565,125.79021364580781
2048,50.251860022473245,50.94566205484286,51.78155848374377,74.31319326642028,69.21689432490741,105.77863350880324,127.92145035979965
2049,50.14032605475092,50.83954292355782,51.677671392291856,74.99143029653678,69.37020143855638,106.60357408792953,130.3135885229843
2050,50.13913650087751,50.84411814396322,51.68562444943667,76.04138984727834,69.86751581965656,107.71315038229983,132.9628796875851
2051,50.236280750157995,50.947430813500226,51.793389986271094,77.39810632525067,70.65183587621354,109.06588098056145,135.8154857493235
2052,50.4003945041554,51.11785363071408,51.96891890910321,78.81760327457506,71.50485114075407,110.48286874788106,138.64736430331428
2053,50.621618124742426,51.34553209549243,52.20227573304337,80.21919767572584,72.35989536399514,111.92001854989505,141.4021044494118
2054,50.89754858798253,51.62814882462453,52.491172932308295,81.58292094481973,73.2047704386382,113.38001745375114,144.0851641113209
2055,51.2262740122428,51.96386397571089,52.83379671284367,82.89449231025498,74.03085447209264,114.86679490847925,146.70664067510162
2056,51.597704671008714,52.342524493157256,53.2198708356411,84.15057637748974,74.83767316270246,116.37791754251782,149.27053461350567
2057,51.97617443451125,52.72801548765444,53.612712797869534,85.36759770883745,75.64070240882877,117.88934976639702,151.75410035754354
2058,52.35170388618956,53.11026587252603,54.00211261318753,86.5509386176707,76.44418604091734,119.39795065753657,154.16163847886747
2059,52.72301061438429,53.48801821693249,54.38681660585914,87.70441212161909,77.25001763803944,120.90755580229388,156.50647238870178
2060,53.08891741837099,53.86011457972761,54.76566812385437,88.834171164283,78.06151978185744,122.42166655018463,158.80121498857022
2061,53.440638077743884,54.21767126777201,55.129651330221925,89.85502717617959,78.80153758324633,123.89320304093303,160.99222291151904
2062,53.74661285339476,54.528694231778246,55.44624804064399,90.40340746971677,79.14957009079433,125.12326433582757,162.8272330960107
2063,53.99866896546152,54.78491160809925,55.707058527373015,90.39488389990073,79.03086297025173,126.06117888508162,164.24521554574739
2064,54.19640980141235,54.98593756782022,55.91169991990215,89.84020563227811,78.45370956685912,126.70607724324209,165.24948366539843
2065,54.33947486315621,55.13142027943863,56.059822408649595,88.75161945518245,77.42736963460608,127.05701319396198,165.84289680357307
2066,54.438563172429795,55.23222642032885,56.16248235858715,87.22580641184193,76.03454117210823,127.1600227304807,166.0892791163625
2067,54.53747967893695,55.33280966165457,56.26488791548397,85.60947909285238,74.57549590352217,127.20312301110643,166.23772845105907
2068,54.64679847809485,55.44390703238045,56.37796195634264,83.99464469797519,73.12820756696846,127.23419447578414,166.35412981369353
2069,54.766009006735075,55.56500775251042,56.501189223723806,82.3874814441495,71.6961421524771,127.2538484283821,166.44211261890152
2070,54.894571325501545,55.69556992550708,56.63402207055076,80.79263675790546,70.28175491287455,127.26234930866742,166.50437885337078
2071,55.02623278951852,55.82925450741214,56.770017403201024,79.28742789268067,68.95097325310232,127.30045826060542,166.5962275186147
2072,55.137328665643636,55.94205532384571,56.8847667572454,78.16771128816403,67.95989346401413,127.53163263625872,166.9332692168507
2073,55.22061617227489,56.02662702517845,56.97080279486794,77.50168539337331,67.36672474862412,127.99745569099284,167.57141178640703
2074,55.27436260518253,56.081214192786376,57.0263419854507,77.28126760330618,67.16357495856153,128.69830382356028,168.51235714870802
2075,55.29668593722426,56.10390945324666,57.04944602457444,77.49683962901467,67.34141612326013,129.63399885635278,169.7568455389864
2076,55.28047458558728,56.08749915873884,57.032780689676855,78.01582361918129,67.78454044672345,130.72740704276495,171.2046442912109
2077,55.20383119220379,56.00976770405281,56.95375677481034,78.34559696855945,68.06460230354037,131.67140820029272,172.45411741041124
2078,55.06078572832423,55.864659059929934,56.80621684319169,78.36798844735948,68.07875559362564,132.38746043766966,173.40280922172045
2079,54.85065095253194,55.65147690944409,56.58945338887906,78.08820517143869,67.83137832343111,132.87364065694823,174.0485394998418
2080,54.572886708799906,55.36967400654418,56.30291039685252,77.51184746220407,67.32720483451747,133.1283422942118,174.3894923008226
2081,54.24654384560989,55.03858001619408,55.96624370697536,76.73022481219988,66.64542856938645,133.2051020361875,174.4960445295103
2082,53.94914210924656,54.73684710155665,55.65943147702157,76.08710501870786,66.08451637775397,133.32243597630602,174.65466928015553
2083,53.6999663504528,54.48404219348546,55.40237072449247,75.66333081230816,65.71456377878053,133.53471424527547,174.93679257020173
2084,53.49892678854187,54.280074613774204,55.19496947877437,75.45322997435403,65.53054591050343,133.84146218911494,175.34195875195533
2085,53.3460042199997,54.12492521169882,55.037208456552534,75.45099398512924,65.52734064998678,134.24216167549503,175.86962398957013
2086,53.225729199213646,54.00289893492697,54.91312821575679,75.62457796361663,65.67705713882877,134.7225575038,176.50122208794178
2087,53.07580201384838,53.85078661723919,54.758454306576084,75.86435784074901,65.88444496572622,135.22723398908042,177.16424032059635
2088,52.879959361485966,53.65208764843161,54.556408088640225,76.1407496188186,66.12377748604635,135.74181334170052,177.83991221752916
2089,52.637402220363036,53.40599147005567,54.30616541567487,76.45060028371243,66.39228904179399,136.26562307447244,178.5274140202697
2090,52.34734355338451,53.111699660538804,54.00691446984367,76.7908156659582,66.68727020083824,136.79799544584307,179.22591792985486
2091,52.01473240692534,52.77423361922356,53.663761338521155,77.12899905346345,66.98056869303696,137.33298162083037,179.92766867091612
2092,51.662025335864776,52.41637787807596,53.29987463709537,77.3463552431329,67.16900605578543,137.84854336830915,180.60382424878622
2093,51.295018837289504,52.044013635027,52.921234728710765,77.41507935936922,67.22842537633764,138.33797576588023,181.24562584588284
2094,50.91387573462964,51.65730614212059,52.52800967997413,77.33725155002735,67.16062424950064,138.7997125805268,181.85104257275444
2095,50.51877368143481,51.25643568869252,52.12038284289166,77.11505806941106,66.96749374629539,139.2321022222676,182.41792797714064
2096,50.10989191493153,50.84158416321519,51.698539191186995,76.7507692281081,66.65099908703658,139.6333969083122,182.94400650244495
2097,49.68739868436984,50.41292229947789,51.26265235230576,76.24672058234603,66.21316314577409,140.0017450371277,183.4268640368485
2098,49.2514397756276,49.9705980347711,50.81287277003058,75.60529832539774,65.65605362169664,140.33518753322016,183.86394356999259
2099,48.80212853083635,49.514726384721165,50.349317409182134,74.82892973341123,64.98177461687504,140.6316588244375,184.25254684091618
2100,48.33953772582157,49.04538120289099,49.87206137676454,73.92007936841976,64.19246322943107,140.88899298611426,184.58984269100873
