time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,412.89179219743863,215.64789107722507,614.0923196302371,1416.2023912877187,3.6383426595512006e-14
2018,420.05882869712065,220.43820005314836,624.7147073872042,1440.6615542952406,3.6383426595512006e-14
2019,427.01833223764544,225.1177723837624,635.0323682719231,1464.4055156526497,3.6383426595512006e-14
2020,433.74692382586585,229.67400770597413,645.011676257583,1487.353334976211,8.48405027766433e-14
2021,440.21574104912366,234.09109254689278,654.6112101290007,1509.4051255916104,3.6383426595512006e-14
2022,446.3894905924416,238.34935733635822,663.7804399152925,1530.438794789668,3.6383426595512006e-14
2023,452.229112770751,242.4269112869522,672.4637907387907,1550.319121936436,4.547928324439001e-14
2024,457.69341072492784,246.30059395058692,680.6031851827407,1568.9033017292886,3.6383426595512006e-14
2025,462.7405097984406,249.94678601760194,688.1403389026859,1586.0459152441747,2.7287569946634006e-14
2026,467.32936412641806,253.3422135745585,695.0191152946219,1601.604077444904,4.547928324439001e-14
2027,471.42109903394726,256.4646042703663,701.1875962220494,1615.442052230106,4.547928324439001e-14
2028,474.98259752011404,259.2948071446604,706.6034525598986,1627.4435333755714,4.547928324439001e-14
2029,477.9889316835506,261.8181900280696,711.2375364640513,1637.5200000572086,2.7287569946634006e-14
2030,480.4249806170947,264.02555082527135,715.0761872262121,1645.6163133518235,6.301794341687954e-14
2031,482.28598436481855,265.91338098660356,718.1218559226528,1651.7127078068072,2.7287569946634006e-14
2032,483.5767731854145,267.4832798388175,720.3916070068917,1655.8223190829967,8.48405027766433e-14
2033,484.3126128439736,268.7426196779772,721.9180763673174,1657.9941412542878,5.6803606565961885e-14
2034,484.51814183543786,269.7040274843811,722.7475780279167,1658.3094640558606,4.547928324439001e-14
2035,484.22535129813855,270.3842720898283,722.9367947222462,1656.87503371416,3.6383426595512006e-14
2036,483.4715549276247,270.8032018557229,722.5495684761995,1653.8161185576491,6.301794341687954e-14
2037,482.297633798846,270.98294228205805,721.6543651261622,1649.2703862021608,4.547928324439001e-14
2038,480.7451009892915,270.9460678525174,720.3197312365357,1643.3779310728949,6.301794341687954e-14
2039,478.8543371252675,270.7145561846598,718.6115969335337,1636.2752495794791,4.547928324439001e-14
2040,476.66349148536796,270.3091726487911,716.5916687878777,1628.0914479887533,4.547928324439001e-14
2041,474.207731453997,269.74903188864346,714.3163436425855,1618.945652831311,5.2646076529285904e-14
2042,471.5187908851036,269.0512996982228,711.8360081793603,1608.945480514749,4.547928324439001e-14
2043,468.6249843276271,268.23125280483873,709.195229919556,1598.187002859349,4.547928324439001e-14
2044,465.55128955715713,267.3023353960036,706.4330080618691,1586.7549760975442,6.301794341687954e-14
2045,462.3195274130432,266.27625296952925,703.5831327164516,1574.7234235907717,5.6803606565961885e-14
2046,458.94890084241797,265.16346458028465,700.6757233005641,1562.1571401329452,4.547928324439001e-14
2047,455.45700379039846,263.9743088533406,697.7411088519422,1549.114044723407,4.547928324439001e-14
2048,451.8592260474162,262.718034281683,694.8076233103336,1535.643822136834,3.6383426595512006e-14
2049,448.1688951320779,261.40267114173616,691.901299278315,1521.7886575951268,3.6383426595512006e-14
2050,444.39765843470934,260.03524039559994,689.046480235026,1507.5845140680638,3.6383426595512006e-14
2051,440.5557194602813,258.62180363212303,686.2658306393744,1493.0620827205287,3.805069832600208e-14
2052,436.6518475033798,257.167242785885,683.5791067852139,1478.2473641419165,4.547928324439001e-14
2053,432.6938863021736,255.67579015438784,681.0047812624497,1463.1629788539685,2.7287569946634006e-14
2054,428.6890234989693,254.1512546098494,678.5607752392875,1447.828913050395,3.6383426595512006e-14
2055,424.64394001316936,252.59710083183307,676.2646681604717,1432.2630096821192,3.279557754179968e-14
